# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance
#
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `n`       a positive odd integer
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `base2`   the binary representation of n
# `factors` the prime factors of n

dist,    n,       nl,       nr,       base2, factors
  13,  287,  (143 1),    (9 5),   100011111, {7 41}
  13,  303,  (151 1),   (19 4),   100101111, {3 101}
  13,  541,  (135 2),  (271 1),  1000011101, {541}
  13,  545,   (17 5),  (273 1),  1000100001, {5 109}
  13,  551,  (275 1),   (69 3),  1000100111, {19 29}
  13,  557,  (139 2),  (279 1),  1000101101, {557}
  13,  561,   (35 4),  (281 1),  1000110001, {3 11 17}
  13,  563,  (281 1),  (141 2),  1000110011, {563}
  13,  575,  (287 1),    (9 6),  1000111111, {5 23}
  13,  607,  (303 1),   (19 5),  1001011111, {607}
  14,  185,   (23 3),   (93 1),    10111001, {5 37}
  14,  187,   (93 1),   (47 2),    10111011, {11 17}
  14,  191,   (95 1),    (3 6),    10111111, {191}
  14,  361,   (45 3),  (181 1),   101101001, {19}
  14,  363,  (181 1),   (91 2),   101101011, {3 11}
  14,  367,  (183 1),   (23 4),   101101111, {367}
  14,  371,  (185 1),   (93 2),   101110011, {7 53}
  14,  375,  (187 1),   (47 3),   101110111, {3 5}
  14,  383,  (191 1),    (3 7),   101111111, {383}
  14,  721,   (45 4),  (361 1),  1011010001, {7 103}
  14,  723,  (361 1),  (181 2),  1011010011, {3 241}
  14,  727,  (363 1),   (91 3),  1011010111, {727}
  14,  735,  (367 1),   (23 5),  1011011111, {3 5 7}
  14,  741,  (185 2),  (371 1),  1011100101, {3 13 19}
  14,  747,  (373 1),  (187 2),  1011101011, {3 83}
  14,  749,  (187 2),  (375 1),  1011101101, {7 107}
  14,  765,  (191 2),  (383 1),  1011111101, {3 5 17}
  14,  809,  (101 3),  (405 1),  1100101001, {809}
  14,  891,  (445 1),  (223 2),  1101111011, {3 11}
  15,  123,   (61 1),   (31 2),     1111011, {3 41}
  15,  127,   (63 1),    (1 7),     1111111, {127}
  15,  247,  (123 1),   (31 3),    11110111, {13 19}
  15,  249,   (31 3),  (125 1),    11111001, {3 83}
  15,  255,  (127 1),    (1 8),    11111111, {3 5 17}
  15,  481,   (15 5),  (241 1),   111100001, {13 37}
  15,  489,   (61 3),  (245 1),   111101001, {3 163}
  15,  493,  (123 2),  (247 1),   111101101, {17 29}
  15,  499,  (249 1),  (125 2),   111110011, {499}
  15,  509,  (127 2),  (255 1),   111111101, {509}
  15,  539,  (269 1),  (135 2),  1000011011, {7 11}
  15,  961,   (15 6),  (481 1),  1111000001, {31}
  15,  963,  (481 1),  (241 2),  1111000011, {3 107}
  15,  969,  (121 3),  (485 1),  1111001001, {3 17 19}
  15,  979,  (489 1),  (245 2),  1111010011, {11 89}
  15,  989,  (247 2),  (495 1),  1111011101, {23 43}
  15,  997,  (249 2),  (499 1),  1111100101, {997}
  15,  999,  (499 1),  (125 3),  1111100111, {3 37}
  16,  169,   (21 3),   (85 1),    10101001, {13}
  16,  329,   (41 3),  (165 1),   101001001, {7 47}
  16,  339,  (169 1),   (85 2),   101010011, {3 113}
  16,  359,  (179 1),   (45 3),   101100111, {359}
  16,  641,    (5 7),  (321 1),  1010000001, {641}
  16,  657,   (41 4),  (329 1),  1010010001, {3 73}
  16,  659,  (329 1),  (165 2),  1010010011, {659}
  16,  665,   (83 3),  (333 1),  1010011001, {5 7 19}
  16,  677,  (169 2),  (339 1),  1010100101, {677}
  16,  719,  (359 1),   (45 4),  1011001111, {719}
  17,  219,  (109 1),   (55 2),    11011011, {3 73}
  17,  225,    (7 5),  (113 1),    11100001, {3 5}
  17,  239,  (119 1),   (15 4),    11101111, {239}
  17,  427,  (213 1),  (107 2),   110101011, {7 61}
  17,  439,  (219 1),   (55 3),   110110111, {439}
  17,  443,  (221 1),  (111 2),   110111011, {443}
  17,  451,  (225 1),  (113 2),   111000011, {11 41}
  17,  479,  (239 1),   (15 5),   111011111, {479}
  17,  855,  (427 1),  (107 3),  1101010111, {3 5 19}
  17,  877,  (219 2),  (439 1),  1101101101, {877}
  17,  887,  (443 1),  (111 3),  1101110111, {887}
  17,  901,  (225 2),  (451 1),  1110000101, {17 53}
  17,  907,  (453 1),  (227 2),  1110001011, {907}
  17,  957,  (239 2),  (479 1),  1110111101, {3 11 29}
  18,  159,   (79 1),    (5 5),    10011111, {3 53}
  18,  295,  (147 1),   (37 3),   100100111, {5 59}
  18,  319,  (159 1),    (5 6),   100111111, {11 29}
  18,  569,   (71 3),  (285 1),  1000111001, {569}
  18,  585,   (73 3),  (293 1),  1001001001, {3 5 13}
  18,  591,  (295 1),   (37 4),  1001001111, {3 197}
