# Odd core residue vectors

This is a list of integers in consecutive order. For every `n`:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of the odd core.
- residues of the odd core modulo a set of small primes follows (`m3`, `m5`, etc)

oc,k,dist,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31
173,1,9,2,3,5,8,4,3,2,12,28,18
347,0,45,2,2,4,6,9,7,5,2,28,6
87,2,9,0,2,3,10,9,2,11,18,0,25
349,0,9,1,4,6,8,11,9,7,4,1,8
175,1,28,1,0,0,10,6,5,4,14,1,20
351,0,28,0,1,1,10,0,11,9,6,3,10
11,5,4,2,1,4,0,11,11,11,11,11,11
353,0,45,2,3,3,1,2,13,11,8,5,12
177,1,9,0,2,2,1,8,7,6,16,3,22
355,0,9,1,0,5,3,4,15,13,10,7,14
89,2,9,2,4,5,1,11,4,13,20,2,27
357,0,9,0,2,0,5,6,0,15,12,9,16
179,1,9,2,4,4,3,10,9,8,18,5,24
359,0,16,2,4,2,7,8,2,17,14,11,18
45,3,4,0,0,3,1,6,11,7,22,16,14
361,0,14,1,1,4,9,10,4,0,16,13,20
181,1,4,1,1,6,5,12,11,10,20,7,26
363,0,14,0,3,6,0,12,6,2,18,15,22
91,2,33,1,1,0,3,0,6,15,22,4,29
365,0,33,2,0,1,2,1,8,4,20,17,24
183,1,33,0,3,1,7,1,13,12,22,9,28
367,0,14,1,2,3,4,3,10,6,22,19,26
23,4,4,2,3,2,1,10,6,4,0,23,23
369,0,4,0,4,5,6,5,12,8,1,21,28
185,1,14,2,0,3,9,3,15,14,1,11,30
371,0,14,2,1,0,8,7,14,10,3,23,30
93,2,4,0,3,2,5,2,8,17,1,6,0
373,0,4,1,3,2,10,9,16,12,5,25,1
187,1,14,1,2,5,0,5,0,16,3,13,1
375,0,14,0,0,4,1,11,1,14,7,27,3
47,3,38,2,2,5,3,8,13,9,1,18,16
377,0,21,2,2,6,3,0,3,16,9,0,5
189,1,38,0,4,0,2,7,2,18,5,15,3
379,0,19,1,4,1,5,2,5,18,11,2,7
95,2,38,2,0,4,7,4,10,0,3,8,2
381,0,38,0,1,3,7,4,7,1,13,4,9
191,1,14,2,1,2,4,9,4,1,7,17,5
383,0,14,2,3,5,9,6,9,3,15,6,11
3,7,2,0,3,3,3,3,3,3,3,3,3
385,0,9,1,0,0,0,8,11,5,17,8,13
193,1,43,1,3,4,6,11,6,3,9,19,7
387,0,43,0,2,2,2,10,13,7,19,10,15
97,2,43,1,2,6,9,6,12,2,5,10,4
389,0,43,2,4,4,4,12,15,9,21,12,17
195,1,43,0,0,6,8,0,8,5,11,21,9
391,0,43,1,1,6,6,1,0,11,0,14,19
49,3,7,1,4,0,5,10,15,11,3,20,18
393,0,19,0,3,1,8,3,2,13,2,16,21
197,1,7,2,2,1,10,2,10,7,13,23,11
395,0,26,2,0,3,10,5,4,15,4,18,23
99,2,7,0,4,1,0,8,14,4,7,12,6
397,0,7,1,2,5,1,7,6,17,6,20,25
199,1,43,1,4,3,1,4,12,9,15,25,13
399,0,43,0,4,0,3,9,8,0,8,22,27
25,4,7,1,0,4,3,12,8,6,2,25,25
401,0,4,2,1,2,5,11,10,2,10,24,29
201,1,4,0,1,5,3,6,14,11,17,27,15
403,0,4,1,3,4,7,0,12,4,12,26,0
101,2,7,2,1,3,2,10,16,6,9,14,8
405,0,7,0,0,6,9,2,14,6,14,28,2
203,1,12,2,3,0,5,8,16,13,19,0,17
407,0,12,2,2,1,0,4,16,8,16,1,4
51,3,7,0,1,2,7,12,0,13,5,22,20
409,0,12,1,4,3,2,6,1,10,18,3,6
205,1,7,1,0,2,7,10,1,15,21,2,19
411,0,48,0,1,5,4,8,3,12,20,5,8
103,2,31,1,3,5,4,12,1,8,11,16,10
413,0,31,2,3,0,6,10,5,14,22,7,10
207,1,31,0,2,4,9,12,3,17,0,4,21
415,0,48,1,0,2,8,12,7,16,1,9,12
