# Odd core environment

This is a list of the first 10000 integers in consecutive order. For every `n`:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- `base3` and `base2` representations of the oc are given.
- residues of oc modulo a set of small primes then follow (`m3`, `m5`, etc)

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29
137,1,32,12002,10001001,2,2,4,5,7,1,4,22,21
275,0,32,101012,100010011,2,0,2,0,2,3,9,22,14
69,2,3,2120,1000101,0,4,6,3,4,1,12,0,11
277,0,3,101021,100010101,1,2,4,2,4,5,11,1,16
139,1,13,12011,10001011,1,4,6,7,9,3,6,1,23
279,0,13,101100,100010111,0,4,6,4,6,7,13,3,18
35,3,3,1022,100011,2,0,0,2,9,1,16,12,6
281,0,13,101102,100011001,2,1,1,6,8,9,15,5,20
141,1,3,12020,10001101,0,1,1,9,11,5,8,3,25
283,0,20,101111,100011011,1,3,3,8,10,11,17,7,22
71,2,37,2122,1000111,2,1,1,5,6,3,14,2,13
285,0,37,101120,100011101,0,0,5,10,12,13,0,9,24
143,1,37,12022,10001111,2,3,3,0,0,7,10,5,27
287,0,13,101122,100011111,2,2,0,1,1,15,2,11,26
9,5,6,100,1001,0,4,2,9,9,9,9,9,9
289,0,8,101201,100100001,1,4,2,3,3,0,4,13,28
145,1,42,12101,10010001,1,0,5,2,2,9,12,7,0
291,0,42,101210,100100011,0,1,4,5,5,2,6,15,1
73,2,42,2201,1001001,1,3,3,7,8,5,16,4,15
293,0,42,101212,100100101,2,3,6,7,7,4,8,17,3
147,1,42,12110,10010011,0,2,0,4,4,11,14,9,2
295,0,18,101221,100100111,1,0,1,9,9,6,10,19,5
37,3,6,1101,100101,1,2,2,4,11,3,18,14,8
297,0,25,102000,100101001,0,2,3,0,11,8,12,21,7
149,1,6,12112,10010101,2,4,2,6,6,13,16,11,4
299,0,42,102002,100101011,2,4,5,2,0,10,14,0,9
75,2,3,2210,1001011,0,0,5,9,10,7,18,6,17
301,0,3,102011,100101101,1,1,0,4,2,12,16,2,11
151,1,3,12121,10010111,1,1,4,8,8,15,18,13,6
303,0,13,102020,100101111,0,3,2,6,4,14,18,4,13
19,4,6,201,10011,1,4,5,8,6,2,0,19,19
305,0,11,102022,100110001,2,0,4,8,6,16,1,6,15
153,1,11,12200,10011001,0,3,6,10,10,0,1,15,8
307,0,11,102101,100110011,1,2,6,10,8,1,3,8,17
77,2,6,2212,1001101,2,2,0,0,12,9,1,8,19
309,0,6,102110,100110101,0,4,1,1,10,3,5,10,19
155,1,30,12202,10011011,2,0,1,1,12,2,3,17,10
311,0,30,102112,100110111,2,1,3,3,12,5,7,12,21
39,3,11,1110,100111,0,4,4,6,0,5,1,16,10
313,0,47,102121,100111001,1,3,5,5,1,7,9,14,23
157,1,11,12211,10011101,1,2,3,3,1,4,5,19,12
315,0,11,102200,100111011,0,0,0,7,3,9,11,16,25
79,2,11,2221,1001111,1,4,2,2,1,11,3,10,21
317,0,11,102202,100111101,2,2,2,9,5,11,13,18,27
159,1,18,12220,10011111,0,4,5,5,3,6,7,21,14
319,0,18,102211,100111111,1,4,4,0,7,13,15,20,0
5,6,1,12,101,2,0,5,5,5,5,5,5,5
321,0,6,102220,101000001,0,1,6,2,9,15,17,22,2
161,1,35,12222,10100001,2,1,0,7,5,8,9,0,16
323,0,35,102222,101000011,2,3,1,4,11,0,0,1,4
81,2,6,10000,1010001,0,1,4,4,3,13,5,12,23
325,0,6,110001,101000101,1,0,3,6,0,2,2,3,6
163,1,6,20001,10100011,1,3,2,9,7,10,11,2,18
327,0,52,110010,101000111,0,2,5,8,2,4,4,5,8
41,3,40,1112,101001,2,1,6,8,2,7,3,18,12
329,0,16,110012,101001001,2,4,0,10,4,6,6,7,10
165,1,40,20010,10100101,0,0,4,0,9,12,13,4,20
331,0,6,110021,101001011,1,1,2,1,6,8,8,9,12
83,2,40,10002,1010011,2,3,6,6,5,15,7,14,25
333,0,40,110100,101001101,0,3,4,3,8,10,10,11,14
167,1,23,20012,10100111,2,2,6,2,11,14,15,6,22
335,0,23,110102,101001111,2,0,6,5,10,12,12,13,16
21,4,1,210,10101,0,1,0,10,8,4,2,21,21
337,0,40,110111,101010001,1,2,1,7,12,14,14,15,18
169,1,16,20021,10101001,1,4,1,4,0,16,17,8,24
339,0,16,110120,101010011,0,4,3,9,1,16,16,17,20
85,2,1,10011,1010101,1,0,1,8,7,0,9,16,27
341,0,1,110122,101010101,2,1,5,0,3,1,18,19,22
171,1,45,20100,10101011,0,1,3,6,2,1,0,10,26
343,0,45,110201,101010111,1,3,0,2,5,3,1,21,24
43,3,9,1121,101011,1,3,1,10,4,9,5,20,14
345,0,45,110210,101011001,0,0,2,4,7,5,3,0,26
173,1,9,20102,10101101,2,3,5,8,4,3,2,12,28
347,0,45,110212,101011011,2,2,4,6,9,7,5,2,28
87,2,9,10020,1010111,0,2,3,10,9,2,11,18,0
349,0,9,110221,101011101,1,4,6,8,11,9,7,4,1
175,1,28,20111,10101111,1,0,0,10,6,5,4,14,1
351,0,28,111000,101011111,0,1,1,10,0,11,9,6,3
11,5,4,102,1011,2,1,4,0,11,11,11,11,11
353,0,45,111002,101100001,2,3,3,1,2,13,11,8,5
177,1,9,20120,10110001,0,2,2,1,8,7,6,16,3
355,0,9,111011,101100011,1,0,5,3,4,15,13,10,7
89,2,9,10022,1011001,2,4,5,1,11,4,13,20,2
357,0,9,111020,101100101,0,2,0,5,6,0,15,12,9
179,1,9,20122,10110011,2,4,4,3,10,9,8,18,5
359,0,16,111022,101100111,2,4,2,7,8,2,17,14,11
45,3,4,1200,101101,0,0,3,1,6,11,7,22,16
361,0,14,111101,101101001,1,1,4,9,10,4,0,16,13
181,1,4,20201,10110101,1,1,6,5,12,11,10,20,7
363,0,14,111110,101101011,0,3,6,0,12,6,2,18,15
91,2,33,10101,1011011,1,1,0,3,0,6,15,22,4
