# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance, for 10000 integers

desc,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31
oc(5351-1),1,2675,2,0,1,2,10,6,15,7,7,9
oc(5351+1),3,669,0,4,4,9,6,6,4,2,2,18
oc(5359-1),1,2679,0,4,5,6,1,10,0,11,11,13
oc(5359+1),4,335,2,0,6,5,10,12,12,13,16,25
oc(5479-1),1,2739,0,4,2,0,9,2,3,2,13,11
oc(5479+1),3,685,1,0,6,3,9,5,1,18,18,3
oc(5505-1),7,43,1,3,1,10,4,9,5,20,14,12
oc(5505+1),1,2753,2,3,2,3,10,16,17,16,27,25

# dist 68:
oc(3947-1),1,1973,2,3,6,4,10,1,16,18,1,20
oc(3947+1),2,987,0,2,0,8,12,1,18,21,1,26
oc(3999-1),1,1999,1,4,4,8,10,10,4,21,27,15
oc(3999+1),5,125,2,0,6,4,8,6,11,10,9,1
oc(4011-1),1,2005,1,0,3,3,3,16,10,4,4,21
oc(4011+1),2,1003,1,3,2,2,2,0,15,14,17,11
oc(4129-1),5,129,0,4,3,8,12,10,15,14,13,5
oc(4129+1),1,2065,1,0,0,8,11,8,13,18,6,19
oc(7895-1),1,3947,2,2,6,9,8,3,14,14,3,10
oc(7895+1),3,987,0,2,0,8,12,1,18,21,1,26
oc(7905-1),5,247,1,2,2,5,0,9,0,17,15,30
oc(7905+1),1,3953,2,3,5,4,1,9,1,20,9,16
oc(7999-1),1,3999,0,4,2,6,8,4,9,20,26,0
oc(7999+1),6,125,2,0,6,4,8,6,11,10,9,1
oc(8023-1),1,4011,0,1,0,7,7,16,2,9,9,12
oc(8023+1),3,1003,1,3,2,2,2,0,15,14,17,11
oc(8027-1),1,4013,2,3,2,9,9,1,4,11,11,14
oc(8027+1),2,2007,0,2,5,5,5,1,12,6,6,23
oc(8039-1),1,4019,2,4,1,4,2,7,10,17,17,20
oc(8039+1),3,1005,0,0,4,4,4,2,17,16,19,13
oc(8091-1),1,4045,1,0,6,8,2,16,17,20,14,15
oc(8091+1),2,2023,1,3,0,10,8,0,9,22,22,8
oc(8103-1),1,4051,1,1,5,3,8,5,4,3,20,21
oc(8103+1),3,1013,2,3,5,1,12,10,6,1,27,21
oc(8127-1),1,4063,1,3,3,4,7,0,16,15,3,2
oc(8127+1),6,127,1,2,1,6,10,8,13,12,11,3
oc(8219-1),1,4109,2,4,0,6,1,12,5,15,20,17
oc(8219+1),2,2055,0,0,4,9,1,15,3,8,25,9
oc(8223-1),1,4111,1,1,2,8,3,14,7,17,22,19
oc(8223+1),5,257,2,2,5,4,10,2,10,4,25,9
oc(8257-1),6,129,0,4,3,8,12,10,15,14,13,5
oc(8257+1),1,4129,1,4,6,4,8,15,6,12,11,6
oc(8259-1),1,4129,1,4,6,4,8,15,6,12,11,6
oc(8259+1),2,2065,1,0,0,8,11,8,13,18,6,19
oc(8313-1),3,1039,1,4,3,5,12,2,13,4,24,16
oc(8313+1),1,4157,2,2,6,10,10,9,15,17,10,3
oc(8329-1),3,1041,0,1,5,7,1,4,15,6,26,18
oc(8329+1),1,4165,1,0,0,7,5,0,4,2,18,11

# dist 67:
oc(3097-1),3,387,0,2,2,2,10,13,7,19,10,15
oc(3097+1),1,1549,1,4,2,9,2,2,10,8,12,30
oc(5921-1),5,185,2,0,3,9,3,15,14,1,11,30
oc(5921+1),1,2961,0,1,0,2,10,3,16,17,3,16
oc(5929-1),3,741,0,1,6,4,0,10,0,5,16,28
oc(5929+1),1,2965,1,0,4,6,1,7,1,21,7,20
oc(5999-1),1,2999,2,4,3,7,9,7,16,9,12,23
oc(5999+1),4,375,0,0,4,1,11,1,14,7,27,3
oc(6017-1),7,47,2,2,5,3,8,13,9,1,18,16
oc(6017+1),1,3009,0,4,6,6,6,0,7,19,22,2
oc(6027-1),1,3013,1,3,3,10,10,4,11,0,26,6
oc(6027+1),2,1507,1,2,2,0,12,11,6,12,28,19
oc(6057-1),3,757,1,2,1,9,3,9,16,21,3,13
oc(6057+1),1,3029,2,4,5,4,0,3,8,16,13,22
oc(6123-1),1,3061,1,1,2,3,6,1,2,2,16,23
oc(6123+1),2,1531,1,1,5,2,10,1,11,13,23,12
oc(6193-1),4,387,0,2,2,2,10,13,7,19,10,15
oc(6193+1),1,3097,1,2,3,6,3,3,0,15,23,28
oc(6195-1),1,3097,1,2,3,6,3,3,0,15,23,28
oc(6195+1),2,1549,1,4,2,9,2,2,10,8,12,30
oc(6235-1),1,3117,0,2,2,4,10,6,1,12,14,17
oc(6235+1),2,1559,2,4,5,8,12,12,1,18,22,9
oc(6247-1),1,3123,0,3,1,10,3,12,7,18,20,23
oc(6247+1),3,781,1,1,4,0,1,16,2,22,27,6

# dist 66:
oc(1161-1),3,145,1,0,5,2,2,9,12,7,0,21
oc(1161+1),1,581,2,1,0,9,9,3,11,6,1,23
oc(2223-1),1,1111,1,1,5,0,6,6,9,7,9,26
oc(2223+1),4,139,1,4,6,7,9,3,6,1,23,15
oc(2323-1),1,1161,0,1,6,6,4,5,2,11,1,14
oc(2323+1),2,581,2,1,0,9,9,3,11,6,1,23
oc(4347-1),1,2173,1,3,3,6,2,14,7,11,27,3
oc(4347+1),2,1087,1,2,2,9,8,16,4,6,14,2
oc(4441-1),3,555,0,0,2,5,9,11,4,3,4,28
oc(4441+1),1,2221,1,1,2,10,11,11,17,13,17,20
oc(4447-1),1,2223,0,3,4,1,0,13,0,15,19,22
oc(4447+1),5,139,1,4,6,7,9,3,6,1,23,15
oc(4491-1),1,2245,1,0,5,1,9,1,3,14,12,13
oc(4491+1),2,1123,1,3,3,1,5,1,2,19,21,7
oc(4513-1),5,141,0,1,1,9,11,5,8,3,25,17
oc(4513+1),1,2257,1,2,3,2,8,13,15,3,24,25
oc(4521-1),3,565,1,0,5,4,6,4,14,13,14,7
oc(4521+1),1,2261,2,1,0,6,12,0,0,7,28,29
oc(4539-1),1,2269,1,4,1,3,7,8,8,15,7,6
oc(4539+1),2,1135,1,0,1,2,4,13,14,8,4,19
oc(4543-1),1,2271,0,1,3,5,9,10,10,17,9,8
oc(4543+1),6,71,2,1,1,5,6,3,14,2,13,9
oc(4551-1),1,2275,1,0,0,9,0,14,14,21,13,12
oc(4551+1),3,569,2,4,2,8,10,8,18,17,18,11
oc(4645-1),2,1161,0,1,6,6,4,5,2,11,1,14
oc(4645+1),1,2323,1,3,6,2,9,11,5,0,3,29
oc(8695-1),1,4347,0,2,0,2,5,12,15,0,26,7
oc(8695+1),3,1087,1,2,2,9,8,16,4,6,14,2
oc(8881-1),4,555,0,0,2,5,9,11,4,3,4,28
oc(8881+1),1,4441,1,1,3,8,8,4,14,2,4,8
oc(8883-1),1,4441,1,1,3,8,8,4,14,2,4,8
oc(8883+1),2,2221,1,1,2,10,11,11,17,13,17,20
oc(8889-1),3,1111,1,1,5,0,6,6,9,7,9,26
oc(8889+1),1,4445,2,0,0,1,12,8,18,6,8,12
oc(8893-1),2,2223,0,3,4,1,0,13,0,15,19,22
oc(8893+1),1,4447,1,2,2,3,1,10,1,8,10,14
oc(8983-1),1,4491,0,1,4,3,6,3,7,6,25,27
oc(8983+1),3,1123,1,3,3,1,5,1,2,19,21,7
oc(8985-1),3,1123,1,3,3,1,5,1,2,19,21,7
oc(8985+1),1,4493,2,3,6,5,8,5,9,8,27,29
oc(8999-1),1,4499,2,4,5,0,1,11,15,14,4,4
oc(8999+1),3,1125,0,0,5,3,7,3,4,21,23,9
oc(9027-1),1,4513,1,3,5,3,2,8,10,5,18,18
oc(9027+1),2,2257,1,2,3,2,8,13,15,3,24,25
oc(9031-1),1,4515,0,0,0,5,4,10,12,7,20,20
oc(9031+1),3,1129,1,4,2,7,11,7,8,2,27,13
oc(9041-1),4,565,1,0,5,4,6,4,14,13,14,7
oc(9041+1),1,4521,0,1,6,0,10,16,18,13,26,26
oc(9043-1),1,4521,0,1,6,0,10,16,18,13,26,26
oc(9043+1),2,2261,2,1,0,6,12,0,0,7,28,29
oc(9079-1),1,4539,0,4,3,7,2,0,17,8,15,13
oc(9079+1),3,1135,1,0,1,2,4,13,14,8,4,19
oc(9087-1),1,4543,1,3,0,0,6,4,2,12,19,17
oc(9087+1),7,71,2,1,1,5,6,3,14,2,13,9
oc(9103-1),1,4551,0,1,1,8,1,12,10,20,27,25
oc(9103+1),4,569,2,4,2,8,10,8,18,17,18,11
oc(9185-1),5,287,2,2,0,1,1,15,2,11,26,8
oc(9185+1),1,4593,0,3,1,6,4,3,14,16,11,5
oc(9247-1),1,4623,0,3,3,3,8,16,6,0,12,4
oc(9247+1),5,289,1,4,2,3,3,0,4,13,28,10
oc(9249-1),5,289,1,4,2,3,3,0,4,13,28,10
oc(9249+1),1,4625,2,0,5,5,10,1,8,2,14,6
oc(9293-1),2,2323,1,3,6,2,9,11,5,0,3,29
oc(9293+1),1,4647,0,2,6,5,6,6,11,1,7,28
oc(9297-1),4,581,2,1,0,9,9,3,11,6,1,23
oc(9297+1),1,4649,2,4,1,7,8,8,13,3,9,30
oc(9345-1),7,73,1,3,3,7,8,5,16,4,15,11
oc(9345+1),1,4673,2,3,4,9,6,15,18,4,4,23
oc(9353-1),3,1169,2,4,0,3,12,13,10,19,9,22
oc(9353+1),1,4677,0,2,1,2,10,2,3,8,8,27
oc(9371-1),1,4685,2,0,2,10,5,10,11,16,16,4
oc(9371+1),2,2343,0,3,5,0,3,14,6,20,23,18
oc(9663-1),1,4831,1,1,1,2,8,3,5,1,17,26
oc(9663+1),6,151,1,1,4,8,8,15,18,13,6,27

# dist 65:
oc(871-1),1,435,0,0,1,6,6,10,17,21,0,1
oc(871+1),3,109,1,4,4,10,5,7,14,17,22,16
oc(1665-1),7,13,1,3,6,2,0,13,13,13,13,13
oc(1665+1),1,833,2,3,0,8,1,0,16,5,21,27
oc(1695-1),1,847,1,2,0,0,2,14,11,19,6,10
oc(1695+1),5,53,2,3,4,9,1,2,15,7,24,22
oc(1743-1),1,871,1,1,3,2,0,4,16,20,1,3
oc(1743+1),4,109,1,4,4,10,5,7,14,17,22,16
oc(3331-1),1,1665,0,0,6,4,1,16,12,9,12,22
oc(3331+1),2,833,2,3,0,8,1,0,16,5,21,27
oc(3335-1),1,1667,2,2,1,6,3,1,14,11,14,24
oc(3335+1),3,417,0,2,4,10,1,9,18,3,11,14
oc(3369-1),3,421,1,1,1,3,5,13,3,7,15,18
oc(3369+1),1,1685,2,0,5,2,8,2,13,6,3,11
oc(3385-1),3,423,0,3,3,5,7,15,5,9,17,20
oc(3385+1),1,1693,1,3,6,10,3,10,2,14,11,19
oc(3391-1),1,1695,0,0,1,1,5,12,4,16,13,21
oc(3391+1),6,53,2,3,4,9,1,2,15,7,24,22
oc(3485-1),2,871,1,1,3,2,0,4,16,20,1,3
oc(3485+1),1,1743,0,3,0,5,1,9,14,18,3,7
oc(6521-1),3,815,2,0,3,1,9,16,17,10,3,9
oc(6521+1),1,3261,0,1,6,5,11,14,12,18,13,6
oc(6661-1),2,1665,0,0,6,4,1,16,12,9,12,22
oc(6661+1),1,3331,1,1,6,9,3,16,6,19,25,14
oc(6667-1),1,3333,0,3,1,0,5,1,8,21,27,16
oc(6667+1),2,1667,2,2,1,6,3,1,14,11,14,24
oc(6671-1),1,3335,2,0,3,2,7,3,10,0,0,18
oc(6671+1),4,417,0,2,4,10,1,9,18,3,11,14
oc(6737-1),4,421,1,1,1,3,5,13,3,7,15,18
oc(6737+1),1,3369,0,4,2,3,2,3,6,11,5,21
oc(6739-1),1,3369,0,4,2,3,2,3,6,11,5,21
oc(6739+1),2,1685,2,0,5,2,8,2,13,6,3,11
oc(6747-1),1,3373,1,3,6,7,6,7,10,15,9,25
oc(6747+1),2,1687,1,2,0,4,10,4,15,8,5,13
oc(6771-1),1,3385,1,0,4,8,5,2,3,4,21,6
oc(6771+1),2,1693,1,3,6,10,3,10,2,14,11,19
oc(6781-1),2,1695,0,0,1,1,5,12,4,16,13,21
oc(6781+1),1,3391,1,1,3,3,11,8,9,10,27,12
oc(6783-1),1,3391,1,1,3,3,11,8,9,10,27,12
oc(6783+1),7,53,2,3,4,9,1,2,15,7,24,22
oc(6809-1),3,851,2,1,4,4,6,1,15,0,10,14
oc(6809+1),1,3405,0,0,3,6,12,5,4,1,12,26
oc(6815-1),1,3407,2,2,5,8,1,7,6,3,14,28
oc(6815+1),5,213,0,3,3,4,5,9,4,6,10,27
oc(6827-1),1,3413,2,3,4,3,7,13,12,9,20,3
oc(6827+1),2,1707,0,2,6,2,4,7,16,5,25,2
oc(6889-1),3,861,0,1,0,3,3,11,6,10,20,24
oc(6889+1),1,3445,1,0,1,2,0,11,6,18,23,4
oc(6937-1),3,867,0,2,6,9,9,0,12,16,26,30
oc(6937+1),1,3469,1,4,4,4,11,1,11,19,18,28
oc(6973-1),2,1743,0,3,0,5,1,9,14,18,3,7
oc(6973+1),1,3487,1,2,1,0,3,2,10,14,7,15
oc(7009-1),5,219,0,4,2,10,11,15,10,12,16,2
oc(7009+1),1,3505,1,0,5,7,8,3,9,9,25,2
oc(7015-1),1,3507,0,2,0,9,10,5,11,11,27,4
oc(7015+1),3,877,1,2,2,8,6,10,3,3,7,9

# dist 64:
oc(1249-1),5,39,0,4,4,6,0,5,1,16,10,8
oc(1249+1),1,625,1,0,2,9,1,13,17,4,16,5
oc(1263-1),1,631,1,1,1,4,7,2,4,10,22,11
oc(1263+1),4,79,1,4,2,2,1,11,3,10,21,17
oc(1307-1),1,653,2,3,2,4,3,7,7,9,15,2
oc(1307+1),2,327,0,2,5,8,2,4,4,5,8,17
oc(2499-1),1,1249,1,4,3,6,1,8,14,7,2,9
oc(2499+1),2,625,1,0,2,9,1,13,17,4,16,5
oc(2527-1),1,1263,0,3,3,9,2,5,9,21,16,23
oc(2527+1),5,79,1,4,2,2,1,11,3,10,21,17
oc(2539-1),1,1269,0,4,2,4,8,11,15,4,22,29
oc(2539+1),2,635,2,0,5,8,11,6,8,14,26,15
