# The odd-to-odd Collatz orbit of 27

n          - a positive integer
dist       - the number of odd-to-odd Collatz for n steps to reach 1
base3      - the ternary representation of n
base2      - the binary representation of n
factors    - the prime factors of n
pdist      - the distance from n to the nearest prime
nl         - the odd core valuation of the even number n-1 to the left of odd n
factorsl   - the prime factors of n-1
nr         - the odd core valuation of the even number n+1 to the right of odd n
factorsr   - the prime factors of n+1
tcn        - the nearest "ternary core", among (0, 1, 2), after dividing out powers of three
hsum       - the harmonic sum, the sum of the reciprocals of the prime factors of n
π          - the prime counting function π(n), the number of primes less than or equal to n
π~         - an estimate of the prime counting function π(n), the number of primes less than or equal to n: n / (log n - 1)
R          - the Riemann R function R(n)
Li         - the logarithmic integral Li(n)
θ          - the Chebyshev θ(n) function, the sum of log p for primes p ≤ n
ψ          - the Chebyshev ψ(n) function, the sum of log p for prime powers p^k ≤ n
Λ          - the von Mangoldt function of n, Λ(n)
τ          - the number of divisors of n, τ(n)
σ          - the sum of divisors of n, σ(n)
φ          - the Euler totient of n, φ(n)
λ          - the Carmichael function of n, λ(n)
Dψ         - the Dedekind ψ(n) function
μ          - the Möbius function of n, which is 1 if n is a product of an even number of distinct primes, -1 if odd, and 0 if any prime is repeated
ω          - the number of distinct prime factors of n, ω(n)
Ω          - the total number of prime factors of n, counting multiplicity, Ω(n)
ℓ          - the Liouville function of n, ℓ(n) = (-1)^Ω(n)
M          - the Mertens function M(n)
m*         - the prime residues of n modulo a set of primes
rvol       - the residue volatility of n, the sum of the prime residues of n weighted by 1/p
rvolabs    - the absolute residue volatility of n, the sum of the prime residues of n
psym       - the symmetric primes at equal offsets around n
crad       - the Collatz "cursor radical" of n, the product of its prime factors above 3
cmask      - factor mask of Collatz "cursor radical" of n

   n,   dist,   base3,         base2, factors, pdist,        nl, factorsl,         nr, factorsr,   tcn,     hsum,    π,       π~,        R,       Li,         θ,         ψ,      Λ,  τ,     σ,     φ,     λ,    Dψ,   μ,  ω,  Ω,   ℓ,    M, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37,  rvol,   rvolabs, psym,                                        crad, cmask
1079,   15,   1110222,   10000110111, 13⋅83,       8,   (539 1), 2⋅7²⋅11,     (135 3), 2³⋅3³⋅5,     40,  0.08897,  180,  180.321,  179.593,  188.983,  1039.586,  1118.129,  0.000,  4,  1176,   984,   492,  1175,   1,  2,  2,   1,   -7,  2,  4,  1,   1,   0,   8,  15,  21,   6,  25,   6,  5.387,   84.000, 18 30 102 108 138 150 198 222 240 282 …,     1079,    X                X
1619,   14,   2012222,   11001010011, 1619,        0,   (809 1), 2⋅809,       (405 2), 2²⋅3⁴⋅5,     20,  0.00062,  256,  253.382,  253.348,  263.999,  1587.254,  1671.527,  7.390,  2,  1620,  1618,  1618,  1619,  -1,  1,  1,  -1,  -13,  2,  4,  2,   2,   7,   4,   4,   9,  24,   7,  28,  5.620,   94.000, 18 48 168 192 252 258 312 330 360 468 …,     1619,                                                                                                                                                                                                                                                              X
2429,   13,  10022222,  100101111101, 7⋅347,       6,   (607 2), 2²⋅607,     (1215 1), 2⋅3⁵⋅5,      10,  0.14574,  360,  357.456,  358.325,  370.518,  2378.955,  2490.765,  0.000,  4,  2784,  2076,  1038,  2784,   1,  2,  2,   1,  -12,  2,  4,  0,   9,  11,  15,  16,  14,  22,  11,  24,  9.139,  192.000, 12 18 30 48 120 162 192 300 348 360 …,       2429,  X                                                                X
 911,   12,   1020202,    1110001111, 911,         0,   (455 1), 2⋅5⋅7⋅13,     (57 4), 2⁴⋅3⋅19,    304,  0.00110,  156,  156.676,  155.627,  164.639,   873.854,   953.816,  6.815,  2,   912,   910,   910,   912,  -1,  1,  1,  -1,   -1,  2,  1,  1,   9,   1,  10,  18,  14,  12,  12,  23,  4.963,   69.000, 30 72 102 138 150 192 252 270 312 318 …,      911,                                                                                                                                                          X
1367,   11,   1212122,   10101010111, 1367,        0,   (683 1), 2⋅683,       (171 3), 2³⋅3²⋅19,   152,  0.00073,  219,  219.762,  219.407,  229.511,  1316.613,  1415.747,  7.220,  2,  1368,  1366,  1366,  1368,  -1,  1,  1,  -1,    7,  2,  2,  2,   3,   2,   7,  18,  10,   4,   3,  35,  4.308,   54.000, 6 60 66 84 144 186 204 216 270 354 …,        1367,                                                                                                                                                                                                                         X
2051,   10,   2210222,  100000000011, 7⋅293,       2,  (1025 1), 2⋅5²⋅41,     (513 2), 2²⋅3³⋅19,    76,  0.14627,  309,  309.534,  309.945,  321.508,  1985.507,  2103.306,  0.000,  4,  2352,  1752,   876,  2352,   1,  2,  2,   1,    9,  2,  1,  0,   5,  10,  11,  18,   4,  21,   5,  16,  6.399,  125.000, 12 48 78 102 162 330 342 480 492 498 …,      2051,  X                                                         X
3077,    9,  11012222,  110000000101, 17⋅181,      2,   (769 2), 2²⋅769,     (1539 1), 2⋅3⁴⋅19,     38,  0.06435,  439,  437.589,  439.225,  452.361,  3004.519,  3141.735,  0.000,  4,  3276,  2880,   720,  3276,   1,  2,  2,   1,   -2,  2,  2,  4,   8,   9,   0,  18,  18,   3,   8,   6,  6.943,  130.000, 114 174 180 336 384 390 414 456 546 600 …,   3077,     X                                  X
 577,    8,    210101,    1001000001, 577,         0,     (9 6), 2⁶⋅3²,       (289 1), 2⋅17²,       64,  0.00173,  106,  107.693,  106.213,  114.040,   543.826,   613.284,  6.358,  2,   578,   576,   576,   578,  -1,  1,  1,  -1,    4,  1,  2,  3,   5,   5,  16,   7,   2,  26,  19,  22,  3.898,   42.000, 30 36 54 114 156 180 210 246 300 306 …,       577,                                                                                                        X
 433,    7,    121001,     110110001, 433,         0,    (27 4), 2⁴⋅3³,       (217 1), 2⋅7⋅31,      16,  0.00231,   84,   85.392,   83.728,   90.889,   406.958,   465.168,  6.071,  2,   434,   432,   432,   434,  -1,  1,  1,  -1,   -4,  1,  3,  6,   4,   4,   8,  15,  19,  27,  30,  26,  4.222,   42.000, 24 54 66 210 240 276 294 306 324 336 …,       433,                                                                                  X
 325,    6,    110001,     101000101, 5²⋅13,       6,    (81 2), 2²⋅3⁴,       (163 1), 2⋅163,        4,  0.27692,   66,   67.937,   66.136,   72.686,   299.997,   346.207,  0.000,  6,   434,   240,    60,   419,   0,  2,  3,  -1,   -3,  1,  0,  3,   6,   0,   2,   2,   3,   6,  15,  29,  1.925,   13.000, 12 42 48 54 84 96 114 132 162 174 …,           65, X  X
  61,    5,      2021,        111101, 61,          0,    (15 2), 2²⋅3⋅5,       (31 1), 2⋅31,        20,  0.01639,   18,   19.609,   17.373,   21.209,    53.119,    72.636,  4.111,  2,    62,    60,    60,    62,  -1,  1,  1,  -1,   -2,  1,  1,  5,   6,   9,  10,   4,  15,   3,  30,  24,  1.748,    8.000, 18 42 48,                                      61,                X
  23,    4,       212,         10111, 23,          0,    (11 1), 2⋅11,          (3 3), 2³⋅3,         8,  0.04348,    9,   10.770,    8.458,   10.884,    19.223,    28.314,  3.135,  2,    24,    22,    22,    24,  -1,  1,  1,  -1,   -2,  2,  3,  2,   1,  10,   6,   4,   0,  23,  23,  23,  1.167,    3.000, 6 18 20,                                       23,       X
  35,    3,      1022,        100011, 5⋅7,         2,    (17 1), 2⋅17,          (9 2), 2²⋅3²,        4,  0.34286,   11,   13.697,   11.352,   14.460,    26.024,    40.579,  0.000,  4,    48,    24,    12,    47,   1,  2,  2,   1,   -1,  2,  0,  0,   2,   9,   1,  16,  12,   6,   4,  35,  1.167,    3.000, 6 12 18 24 32,                                 35, XX
  53,    2,      1222,        110101, 53,          0,    (13 2), 2²⋅13,        (27 1), 2⋅3³,         2,  0.01887,   16,   17.843,   15.585,   19.230,    44.931,    64.495,  3.970,  2,    54,    52,    52,    54,  -1,  1,  1,  -1,   -3,  2,  3,  4,   9,   1,   2,  15,   7,  24,  22,  16,  2.338,   10.000, 6 30 36 48 50,                                 53,              X
   5,    1,        12,           101, 5,           0,     (1 2), 2²,            (3 1), 2⋅3,          2,  0.20000,    3,    8.204,    2.954,    3.635,     3.401,     6.303,  1.609,  2,     6,     4,     4,     6,  -1,  1,  1,  -1,   -2,  2,  0,  5,   5,   5,   5,   5,   5,   5,   5,   5,  0.500,    1.000, 2,                                              5, X
   1,    0,         1,             1, ,            1,     (0 0), 0,             (1 1), 2,            0,  0.00000,    0,    0.000,    0.000,    0.000,     0.000,     0.000,  0.000,  1,     1,     1,     1,     1,   1,  0,  0,   1,    1,  1,  1,  1,   1,   1,   1,   1,   1,   1,   1,   1,  0.000,    0.000, ,                                               1,

