n      - a positive integer
psym   - the symmetric primes at equal offsets around n

n,     psym
1423,  24 120 126 144 174 186 270 300 330 336 354 360 456 564 570 594 666 690 714 780 816 846 924 960 966 1014 1044 1050 1116 1194 1224 1260 1266 1284 1296 1326 1344 1380 1410 1420
1427,  54 60 66 126 144 210 240 396 444 450 474 480 486 546 570 600 654 684 726 780 786 810 840 870 906 924 966 984 996 1116 1164 1194 1230 1236 1260 1314 1326 1374 1410 1416 1424
1429,  30 102 138 150 180 192 198 228 312 360 432 438 522 570 600 660 702 810 822 852 858 882 942 1008 1092 1122 1188 1218 1230 1248 1278 1290 1302 1320 1362 1368 1422
1433,  6 60 66 126 150 174 204 414 456 480 546 570 594 606 636 774 780 834 840 864 876 924 966 984 990 1014 1044 1116 1176 1200 1254 1260 1266 1296 1320 1344 1386 1404 1410 1428
1439,  12 72 120 132 162 180 258 348 408 462 468 492 510 558 600 630 642 798 870 918 960 972 978 1008 1020 1038 1092 1170 1182 1248 1260 1272 1290 1302 1338 1350 1380 1398 1422
1447,  24 120 150 210 216 246 276 294 330 354 384 414 426 540 564 570 636 690 696 714 756 774 804 834 840 846 900 924 990 1026 1074 1110 1170 1224 1236 1266 1284 1320 1344 1350 1386 1404 1410 1440
1451,  42 132 150 162 168 258 270 360 420 438 480 498 522 588 612 630 678 690 792 858 882 888 930 942 948 960 972 990 1008 1092 1098 1140 1158 1170 1182 1212 1260 1278 1302 1338 1350 1368 1392 1410 1428 1446
1453,  6 30 126 156 174 204 216 240 300 324 330 336 414 420 534 546 576 600 630 684 726 834 840 930 1014 1020 1086 1104 1140 1224 1230 1254 1260 1296 1314 1344 1350 1380 1434 1450
1459,  12 30 138 162 168 210 288 330 342 372 408 420 492 540 552 630 672 702 720 828 852 882 888 912 918 1062 1080 1092 1188 1218 1230 1248 1260 1308 1332 1392 1398 1428
1471,  12 18 72 150 192 222 270 318 402 408 462 480 612 618 642 660 732 780 798 810 840 870 900 1032 1050 1122 1188 1200 1242 1248 1260 1278 1320 1332 1362 1468
