# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance

desc,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29
# dist 62:
oc(703-1),1,351,0,1,1,10,0,11,9,6,3
oc(703+1),6,11,2,1,4,0,11,11,11,11,11
oc(1407-1),1,703,1,3,3,10,1,6,0,13,7
oc(1407+1),7,11,2,1,4,0,11,11,11,11,11
oc(1471-1),1,735,0,0,0,9,7,4,13,22,10
oc(1471+1),6,23,2,3,2,1,10,6,4,0,23
oc(2751-1),1,1375,1,0,3,0,10,15,7,18,12
oc(2751+1),6,43,1,3,1,10,4,9,5,20,14
oc(2813-1),2,703,1,3,3,10,1,6,0,13,7
oc(2813+1),1,1407,0,2,0,10,3,13,1,4,15
oc(2843-1),1,1421,2,1,0,2,4,10,15,18,0
oc(2843+1),2,711,0,1,4,7,9,14,8,21,15
oc(2847-1),1,1423,1,3,2,4,6,12,17,20,2
oc(2847+1),5,89,2,4,5,1,11,4,13,20,2
oc(2857-1),3,357,0,2,0,5,6,0,15,12,9
oc(2857+1),1,1429,1,4,1,10,12,1,4,3,8
oc(2873-1),3,359,2,4,2,7,8,2,17,14,11
oc(2873+1),1,1437,0,2,2,7,7,9,12,11,16
oc(2927-1),1,1463,2,3,0,0,7,1,0,14,13
oc(2927+1),4,183,0,3,1,7,1,13,12,22,9
oc(2943-1),1,1471,1,1,1,8,2,9,8,22,21
oc(2943+1),7,23,2,3,2,1,10,6,4,0,23

# dist 61:
oc(1055-1),1,527,2,2,2,10,7,0,14,21,5
oc(1055+1),5,33,0,3,5,0,7,16,14,10,4
oc(1071-1),1,535,1,0,3,7,2,8,3,6,13
oc(1071+1),4,67,1,2,4,1,2,16,10,21,9
oc(2111-1),1,1055,2,0,5,10,2,1,10,20,11
oc(2111+1),6,33,0,3,5,0,7,16,14,10,4
oc(2143-1),1,1071,0,1,0,4,5,0,7,13,27
oc(2143+1),5,67,1,2,4,1,2,16,10,21,9
oc(2155-1),1,1077,0,2,6,10,11,6,13,19,4
oc(2155+1),2,539,2,4,0,0,6,12,7,10,17
oc(2207-1),1,1103,2,3,4,3,11,15,1,22,1
oc(2207+1),5,69,0,4,6,3,4,1,12,0,11
oc(4127-1),1,2063,2,3,5,6,9,6,11,16,4
oc(4127+1),5,129,0,4,3,8,12,10,15,14,13
oc(4221-1),2,1055,2,0,5,10,2,1,10,20,11
oc(4221+1),1,2111,2,1,4,10,5,3,2,18,23
oc(4265-1),3,533,2,3,1,5,0,6,1,4,11
oc(4265+1),1,2133,0,3,5,10,1,8,5,17,16
oc(4271-1),1,2135,2,0,0,1,3,10,7,19,18
oc(4271+1),4,267,0,2,1,3,7,12,1,14,6
oc(4285-1),2,1071,0,1,0,4,5,0,7,13,27
oc(4285+1),1,2143,1,3,1,9,11,1,15,4,26
oc(4311-1),1,2155,1,0,6,10,10,13,8,16,9
oc(4311+1),3,539,2,4,0,0,6,12,7,10,17
oc(4321-1),5,135,0,0,2,3,5,16,2,20,19
oc(4321+1),1,2161,1,1,5,5,3,2,14,22,15
oc(4327-1),1,2163,0,3,0,7,5,4,16,1,17
oc(4327+1),3,541,1,1,2,2,8,14,9,12,19
oc(4359-1),1,2179,1,4,2,1,8,3,13,17,4
oc(4359+1),3,545,2,0,6,6,12,1,13,16,23
oc(4391-1),1,2195,2,0,4,6,11,2,10,10,20
oc(4391+1),3,549,0,4,3,10,3,5,17,20,27
oc(4415-1),1,2207,2,2,2,7,10,14,3,22,3
oc(4415+1),6,69,0,4,6,3,4,1,12,0,11
oc(4591-1),1,2295,0,0,6,7,7,0,15,18,4
oc(4591+1),4,287,2,2,0,1,1,15,2,11,26

# dist 60:
oc(1583-1),1,791,2,1,0,10,11,9,12,9,8
oc(1583+1),4,99,0,4,1,0,8,14,4,7,12
oc(1607-1),1,803,2,3,5,0,10,4,5,21,20
oc(1607+1),3,201,0,1,5,3,6,14,11,17,27
oc(3167-1),1,1583,2,3,1,10,10,2,6,19,17
oc(3167+1),5,99,0,4,1,0,8,14,4,7,12
oc(3199-1),1,1599,0,4,3,4,0,1,3,12,4
oc(3199+1),7,25,1,0,4,3,12,8,6,2,25
oc(3201-1),7,25,1,0,4,3,12,8,6,2,25
oc(3201+1),1,1601,2,1,5,6,2,3,5,14,6
