# Odd core "extended family" distance groups

The numbers here are grouped by their odd-to-odd Collatz stopping distance.
Every n is represented by a group of 7 lines that forms a small tree.
The "children" of n are defined as the 2-adic odd cores of the even neighbors, n-1 and n+1.
They have their own children in turn, and for every n this small hierarchy is shown.
When reading the tables, n is the center row in each group of seven lines.

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71

# Distance 65:

121,3,34,11111,1111001,1,1,2,0,4,2,7,6,5,28,10,39,35,27,15,3,60,54,50 # oc(967+1)
61,1,5,2021,111101,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61 # oc(oc(967+1)+1)

243,1,34,100000,11110011,0,3,5,1,9,5,15,13,11,26,21,38,28,8,31,7,60,42,30 # oc(oc(975-1)-1)
487,1,51,200001,111100111,1,2,4,3,6,11,12,4,23,22,6,36,14,17,10,15,60,18,61 # oc(975-1)
61,3,5,2021,111101,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61 # oc(oc(975-1)+1)
975,0,51,1100010,1111001111,0,0,2,7,0,6,6,9,18,14,13,32,29,35,21,31,60,37,52 # 975 -> 1463
15,2,5,120,1111,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15 # oc(oc(975+1)-1)
61,4,5,2021,111101,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61 # oc(975+1)
31,1,39,1011,11111,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31 # oc(oc(975+1)+1)

245,1,5,100002,11110101,2,0,0,3,11,7,17,15,13,28,23,40,30,10,33,9,1,44,32 # oc(oc(983-1)-1)
491,1,51,200012,111101011,2,1,1,7,10,15,16,8,27,26,10,40,18,21,14,19,3,22,65 # oc(983-1)
123,2,15,11120,1111011,0,3,4,2,6,4,9,8,7,30,12,0,37,29,17,5,1,56,52 # oc(oc(983-1)+1)
983,0,51,1100102,1111010111,2,3,3,4,8,14,14,17,26,22,21,40,37,43,29,39,7,45,60 # 983 -> 1475
61,1,5,2021,111101,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61 # oc(oc(983+1)-1)
123,3,15,11120,1111011,0,3,4,2,6,4,9,8,7,30,12,0,37,29,17,5,1,56,52 # oc(983+1)
31,2,39,1011,11111,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31 # oc(oc(983+1)+1)


# Distance 50:

91,2,33,10101,1011011,1,1,0,3,0,6,15,22,4,29,17,9,5,44,38,32,30,24,20 # oc(oc(731-1)-1)
365,1,33,111112,101101101,2,0,1,2,1,8,4,20,17,24,32,37,21,36,47,11,60,30,10 # oc(731-1)
183,1,33,20210,10110111,0,3,1,7,1,13,12,22,9,28,35,19,11,42,24,6,0,49,41 # oc(oc(731-1)+1)
731,0,50,1000002,1011011011,2,1,3,5,3,0,9,18,6,18,28,34,0,26,42,23,60,61,21 # 731 -> 1097
