# Integer factorization table

n     - a positive integer
fact  - the prime factors of n, indented by distance from the nearest prime
π     - the prime counting function π(n), the number of primes less than or equal to n
π~    - an estimate of the prime counting function π(n), the number of primes less than or equal to n: n / (log n - 1)
R     - the Riemann R function R(n)
Li    - the logarithmic integral Li(n)
θ     - the Chebyshev θ(n) function, the sum of log p for primes p ≤ n
ψ     - the Chebyshev ψ(n) function, the sum of log p for prime powers p^k ≤ n
Λ     - the von Mangoldt function of n, Λ(n)
τ     - the number of divisors of n, τ(n)
σ     - the sum of divisors of n, σ(n)
φ     - the Euler totient of n, φ(n)
λ     - the Carmichael function of n, λ(n)
Dψ    - the Dedekind ψ(n) function
μ     - the Möbius function of n, which is 1 if n is a product of an even number of distinct primes, -1 if odd, and 0 if any prime is repeated
ω     - the number of distinct prime factors of n, ω(n)
Ω     - the total number of prime factors of n, counting multiplicity, Ω(n)
λ     - the Liouville function of n, λ(n) = (-1)^Ω(n)
M     - the Mertens function M(n)
m*    - the prime residues of n modulo a set of primes
psym  - the symmetric primes at equal offsets around n
rad   - the radical of n, the product of its unique prime factors
mask  - the mask of prime factors (radical) of n, as a string

```csv
    n, fact,                        π,       π~,        R,       Li,         θ,         ψ,      Λ,   τ,      σ,     φ,     λ,     Dψ,   μ,  ω,   Ω,   λ,    M, m2, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, psym,                                 rad, mask
   57,   3⋅19,                     16,   18.731,   16.484,   20.228,    44.931,    64.525,  0.000,   4,     80,    36,    18,     80,   1,  2,   2,   1,   -1,  1,  0,  2,  1,   2,   5,   6,   0,  11,  28,  26, 4 10 14 16 26 40 44 46 …,              57,  X     X
   58,  2⋅29,                      16,   18.952,   16.708,   20.475,    44.931,    65.525,  0.000,   4,     90,    28,    28,     90,   1,  2,   2,   1,    0,  0,  1,  3,  2,   3,   6,   7,   1,  12,   0,  27, 15 21 39 45 51 55,                     58, X        X
   59, 59,                         17,   19.171,   16.930,   20.721,    49.008,    70.603,  4.078,   2,     60,    58,    58,     60,  -1,  1,   1,  -1,   -1,  1,  2,  4,  3,   4,   7,   8,   2,  13,   1,  28, 12 30 42 48 54,                        59,                 X
   60,  2²⋅3⋅5,                    17,   19.390,   17.152,   20.965,    49.008,    67.525,  0.000,  12,    168,    16,     4,    144,   0,  3,   4,   1,   -1,  0,  0,  0,  4,   5,   8,   9,   3,  14,   2,  29, 1 7 13 19 23 29 37 41 …,               30, XXX
   61, 61,                         18,   19.609,   17.373,   21.209,    53.119,    72.636,  4.111,   2,     62,    60,    60,     62,  -1,  1,   1,  -1,   -2,  1,  1,  1,  5,   6,   9,  10,   4,  15,   3,  30, 18 42 48,                              61,                  X
   62,  2⋅31,                      18,   19.826,   17.593,   21.452,    53.119,    69.525,  0.000,   4,     96,    30,    30,     96,   1,  2,   2,   1,   -1,  0,  2,  2,  6,   7,  10,  11,   5,  16,   4,   0, 9 21 39 45 51,                         62, X         X
   63,   3²⋅7,                     18,   20.044,   17.813,   21.694,    53.119,    70.525,  0.000,   6,    104,    36,     6,     96,   0,  2,   3,  -1,   -1,  1,  0,  3,  0,   8,  11,  12,   6,  17,   5,   1, 4 10 16 20 26 34 40 44 …,              21,  X X
   64,    2⁶,                      18,   20.260,   18.206,   21.935,    53.119,    72.218,  0.693,   7,    127,    32,    16,     96,   0,  1,   6,   1,   -1,  0,  1,  4,  1,   9,  12,  13,   7,  18,   6,   2, 3 33 45,                                2, X
   65,   5⋅13,                     18,   20.476,   18.425,   22.175,    53.119,    73.218,  0.000,   4,     84,    48,    12,     83,   1,  2,   2,   1,    0,  1,  2,  0,  2,  10,   0,  14,   8,  19,   7,   3, 6 18 24 36 42 48 62,                   65,   X  X
   66,  2⋅3⋅11,                    18,   20.692,   18.644,   22.414,    53.119,    74.218,  0.000,   8,    144,    20,    10,    144,  -1,  3,   3,  -1,   -1,  0,  0,  1,  3,   0,   1,  15,   9,  20,   8,   4, 5 7 13 23 35 37 43 47 …,               66, XX  X
