n,k,oc,m3,m5,m7,m11,m13,m17
387,0,387,0,2,2,2,10,13
388,2,97,1,2,6,9,6,12
389,0,389,2,4,4,4,12,15
390,1,195,0,0,6,8,0,8
391,0,391,1,1,6,6,1,0
392,3,49,1,4,0,5,10,15
393,0,393,0,3,1,8,3,2
394,1,197,2,2,1,10,2,10
395,0,395,2,0,3,10,5,4
396,2,99,0,4,1,0,8,14
397,0,397,1,2,5,1,7,6
398,1,199,1,4,3,1,4,12
399,0,399,0,4,0,3,9,8
400,4,25,1,0,4,3,12,8
401,0,401,2,1,2,5,11,10
402,1,201,0,1,5,3,6,14
403,0,403,1,3,4,7,0,12
404,2,101,2,1,3,2,10,16
405,0,405,0,0,6,9,2,14
406,1,203,2,3,0,5,8,16
407,0,407,2,2,1,0,4,16
408,3,51,0,1,2,7,12,0
409,0,409,1,4,3,2,6,1
410,1,205,1,0,2,7,10,1
411,0,411,0,1,5,4,8,3
412,2,103,1,3,5,4,12,1
413,0,413,2,3,0,6,10,5
414,1,207,0,2,4,9,12,3
415,0,415,1,0,2,8,12,7
416,5,13,1,3,6,2,0,13
417,0,417,0,2,4,10,1,9
418,1,209,2,4,6,0,1,5
419,0,419,2,4,6,1,3,11
420,2,105,0,0,0,6,1,3
421,0,421,1,1,1,3,5,13
422,1,211,1,1,1,2,3,7
423,0,423,0,3,3,5,7,15
424,3,53,2,3,4,9,1,2
425,0,425,2,0,5,7,9,0
426,1,213,0,3,3,4,5,9
427,0,427,1,2,0,9,11,2
428,2,107,2,2,2,8,3,5
429,0,429,0,4,2,0,0,4
430,1,215,2,0,5,6,7,11
431,0,431,2,1,4,2,2,6
432,4,27,0,2,6,5,1,10
433,0,433,1,3,6,4,4,8
434,1,217,1,2,0,8,9,13
435,0,435,0,0,1,6,6,10
436,2,109,1,4,4,10,5,7
437,0,437,2,2,3,8,8,12
438,1,219,0,4,2,10,11,15
439,0,439,1,4,5,10,10,14
440,3,55,1,0,6,0,3,4
441,0,441,0,1,0,1,12,16
442,1,221,2,1,4,1,0,0
443,0,443,2,3,2,3,1,1
444,2,111,0,1,6,1,7,9
445,0,445,1,0,4,5,3,3
446,1,223,1,3,6,3,2,2
447,0,447,0,2,6,7,5,5
448,6,7,1,2,0,7,7,7
449,0,449,2,4,1,9,7,7
450,1,225,0,0,1,5,4,4
451,0,451,1,1,3,0,9,9
452,2,113,2,3,1,3,9,11
453,0,453,0,3,5,2,11,11
454,1,227,2,2,3,7,6,6
455,0,455,2,0,0,4,0,13
456,3,57,0,2,1,2,5,6
457,0,457,1,2,2,6,2,15
458,1,229,1,4,5,9,8,8
459,0,459,0,4,4,8,4,0
460,2,115,1,0,3,5,11,13
461,0,461,2,1,6,10,6,2
462,1,231,0,1,0,0,10,10
463,0,463,1,3,1,1,8,4
464,4,29,2,4,1,7,3,12
465,0,465,0,0,3,3,10,6
466,1,233,2,3,2,2,12,12
467,0,467,2,2,5,5,12,8
468,2,117,0,2,5,7,0,15
469,0,469,1,4,0,7,1,10
470,1,235,1,0,4,4,1,14
471,0,471,0,1,2,9,3,12
472,3,59,2,4,3,4,7,8
473,0,473,2,3,4,0,5,14
474,1,237,0,2,6,6,3,16
475,0,475,1,0,6,2,7,16
476,2,119,2,4,0,9,2,0
477,0,477,0,2,1,4,9,1
478,1,239,2,4,1,8,5,1
479,0,479,2,4,3,6,11,3
480,5,15,0,0,1,4,2,15
481,0,481,1,1,5,8,0,5
482,1,241,1,1,3,10,7,3
483,0,483,0,3,0,10,2,7
484,2,121,1,1,2,0,4,2
485,0,485,2,0,2,1,4,9
486,1,243,0,3,5,1,9,5
487,0,487,1,2,4,3,6,11
488,3,61,1,1,5,6,9,10
489,0,489,0,4,6,5,8,13
490,1,245,2,0,0,3,11,7
491,0,491,2,1,1,7,10,15
492,2,123,0,3,4,2,6,4
493,0,493,1,3,3,9,12,0
494,1,247,1,2,2,5,0,9
495,0,495,0,0,5,0,1,2
496,4,31,1,1,3,9,5,14
497,0,497,2,2,0,2,3,4
498,1,249,0,4,4,7,2,11
499,0,499,1,4,2,4,5,6
500,2,125,2,0,6,4,8,6
501,0,501,0,1,4,6,7,8
502,1,251,2,1,6,9,4,13
503,0,503,2,3,6,8,9,10
504,3,63,0,3,0,8,11,12
505,0,505,1,0,1,10,11,12
506,1,253,1,3,1,0,6,15
507,0,507,0,2,3,1,0,14
508,2,127,1,2,1,6,10,8
509,0,509,2,4,5,3,2,16
510,1,255,0,0,3,2,8,0
511,0,511,1,1,0,5,4,1
512,9,1,1,1,1,1,1,1
513,0,513,0,3,2,7,6,3
514,1,257,2,2,5,4,10,2
515,0,515,2,0,4,9,8,5
516,2,129,0,4,3,8,12,10
517,0,517,1,2,6,0,10,7
518,1,259,1,4,0,6,12,4
519,0,519,0,4,1,2,12,9
520,3,65,2,0,2,10,0,14
521,0,521,2,1,3,4,1,11
522,1,261,0,1,2,8,1,6
523,0,523,1,3,5,6,3,13
524,2,131,2,1,5,10,1,12
525,0,525,0,0,0,8,5,15
526,1,263,2,3,4,10,3,8
527,0,527,2,2,2,10,7,0
528,4,33,0,3,5,0,7,16
529,0,529,1,4,4,1,9,2
530,1,265,1,0,6,1,5,10
531,0,531,0,1,6,3,11,4
532,2,133,1,3,0,1,3,14
533,0,533,2,3,1,5,0,6
534,1,267,0,2,1,3,7,12
535,0,535,1,0,3,7,2,8
536,3,67,1,2,4,1,2,16
