# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

factorzig,          primeness
   2²⋅11²,          radical power
  5⋅97,             radical
 2⋅3⁵,              
487,                prime
 2³⋅61,             
  3⋅163,            radical
 2⋅5⋅7²,            
491,                prime
 2²⋅3⋅41,           
  17⋅29,            radical
   2⋅13⋅19,         radical
    3²⋅5⋅11,        
   2⁴⋅31,           
  7⋅71,             radical
 2⋅3⋅83,            radical
499,                prime
 2²⋅5³,             
  3⋅167,            radical
 2⋅251,             radical
503,                prime
 2³⋅3²⋅7,           
  5⋅101,            radical
   2⋅11⋅23,         radical
  3⋅13²,            
 2²⋅127,            
509,                prime
 2⋅3⋅5⋅17,          radical
  7⋅73,             radical
   2⁹,              prime power
    3³⋅19,          
     2⋅257,         radical
      5⋅103,        radical
     2²⋅3⋅43,       
    11⋅47,          radical
   2⋅7⋅37,          radical
  3⋅173,            radical
 2³⋅5⋅13,           
521,                prime twin
 2⋅3²⋅29,           
523,                prime twin
 2²⋅131,            
  3⋅5²⋅7,           
   2⋅263,           radical
    17⋅31,          radical
     2⁴⋅3⋅11,       
      23²,          prime power
       2⋅5⋅53,      radical
        3²⋅59,      
         2²⋅7⋅19,   
        13⋅41,      radical
       2⋅3⋅89,      radical
      5⋅107,        radical
     2³⋅67,         
    3⋅179,          radical
   2⋅269,           radical
  7²⋅11,            
 2²⋅3³⋅5,           
541,                prime
 2⋅271,             radical
  3⋅181,            radical
   2⁵⋅17,           
  5⋅109,            radical
 2⋅3⋅7⋅13,          radical
547,                prime
 2²⋅137,            
  3²⋅61,            
   2⋅5²⋅11,         
    19⋅29,          radical
     2³⋅3⋅23,       
    7⋅79,           radical
   2⋅277,           radical
  3⋅5⋅37,           radical
 2²⋅139,            
557,                prime
 2⋅3²⋅31,           
  13⋅43,            radical
   2⁴⋅5⋅7,          
  3⋅11⋅17,          radical
 2⋅281,             radical
563,                prime
 2²⋅3⋅47,           
  5⋅113,            radical
   2⋅283,           radical
  3⁴⋅7,             
 2³⋅71,             
569,                prime twin
 2⋅3⋅5⋅19,          radical
571,                prime twin
 2²⋅11⋅13,          
  3⋅191,            radical
   2⋅7⋅41,          radical
  5²⋅23,            
 2⁶⋅3²,             
577,                prime
 2⋅17²,             
  3⋅193,            radical
   2²⋅5⋅29,         
    7⋅83,           radical
     2⋅3⋅97,        radical
    11⋅53,          radical
   2³⋅73,           
  3²⋅5⋅13,          
 2⋅293,             radical
587,                prime
 2²⋅3⋅7²,           
  19⋅31,            radical
   2⋅5⋅59,          radical
  3⋅197,            radical
 2⁴⋅37,             
593,                prime
 2⋅3³⋅11,           
  5⋅7⋅17,           radical
   2²⋅149,          
  3⋅199,            radical
 2⋅13⋅23,           radical
599,                prime twin
 2³⋅3⋅5²,           
601,                prime twin
 2⋅7⋅43,            radical
  3²⋅67,            
   2²⋅151,          
  5⋅11²,            
 2⋅3⋅101,           radical
607,                prime
 2⁵⋅19,             
  3⋅7⋅29,           radical
   2⋅5⋅61,          radical
  13⋅47,            radical
 2²⋅3²⋅17,          
613,                prime
 2⋅307,             radical
  3⋅5⋅41,           radical
 2³⋅7⋅11,           
617,                prime twin
 2⋅3⋅103,           radical
619,                prime twin
 2²⋅5⋅31,           
  3³⋅23,            
   2⋅311,           radical
    7⋅89,           radical
     2⁴⋅3⋅13,       
      5⁴,           prime power
     2⋅313,         radical
    3⋅11⋅19,        radical
   2²⋅157,          
  17⋅37,            radical
 2⋅3²⋅5⋅7,          
