# `dist`      the number of odd-to-odd Collatz for n steps to reach 1
# `n`         a positive odd integer
# `factors`   the prime factors of n
# `ocldist`   the Collatz odd-to-odd distance of the odd core of n-1
# `nl`        the odd core valuation of the even number n-1 to the left of odd n
# `ofactorsl` the odd prime factors of n-1
# `ocrdist`   the Collatz odd-to-odd distance of the odd core of n+1
# `nr`        the odd core valuation of the even number n+1 to the right of odd n
# `ofactorsr` the odd prime factors of n+1
# `tcn`       the nearest "ternary core", among (0, 1, 2), after dividing out powers of three
# `base2`     the binary representation of n
# `base3`     the ternary representation of n
# `base5`     the base-5 representation of n
# `base7`     the base-7 representation of n
# `m*`        the prime residues of n modulo a set of primes
# `pre_total` the total number of preimages of n under the odd-to-odd Collatz map

dist,     n, factors,       ocldist,        nl, ofactorsl,    ocrdist,        nr, ofactorsr,      tcn,           base2,      base3,   base5,  base7, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, pre_total
  15,   255, {3 5 17},           15,   (127 1), {127},              0,     (1 8), {},              85,        11111111,     100110,    2010,    513, 0,  0,  3,  2,   8,   0,   8,   2,   23,  7,   33,  9,           0
   8,   261, {3 29},              8,    (65 2), {5 13},             8,   (131 1), {131},           29,       100000101,     100200,    2021,    522, 0,  1,  2,  8,   1,   6,   14,  8,   0,   13,  2,   15,          0
   5,   267, {3 89},              8,   (133 1), {7 19},             8,    (67 2), {67},            89,       100001011,     100220,    2032,    531, 0,  2,  1,  3,   7,   12,  1,   14,  6,   19,  8,   21,          0
   8,   273, {3 7 13},            3,    (17 4), {17},              32,   (137 1), {137},           91,       100010001,     101010,    2043,    540, 0,  3,  0,  9,   0,   1,   7,   20,  12,  25,  14,  27,          0
  13,   279, {3 31},             13,   (139 1), {139},              3,    (35 3), {5 7},           31,       100010111,     101100,    2104,    546, 0,  4,  6,  4,   6,   7,   13,  3,   18,  0,   20,  33,          0
  37,   285, {3 5 19},           37,    (71 2), {71},              37,   (143 1), {11 13},         95,       100011101,     101120,    2120,    555, 0,  0,  5,  10,  12,  13,  0,   9,   24,  6,   26,  39,          0
  42,   291, {3 97},             42,   (145 1), {5 29},            42,    (73 2), {73},            97,       100100011,     101210,    2131,    564, 0,  1,  4,  5,   5,   2,   6,   15,  1,   12,  32,  4,           0
  25,   297, {3 11},              6,    (37 3), {37},               6,   (149 1), {149},           11,       100101001,     102000,    2142,    603, 0,  2,  3,  0,   11,  8,   12,  21,  7,   18,  1,   10,          0
  13,   303, {3 101},             3,   (151 1), {151},              6,    (19 4), {19},           101,       100101111,     102020,    2203,    612, 0,  3,  2,  6,   4,   14,  18,  4,   13,  24,  7,   16,          0
   6,   309, {3 103},             6,    (77 2), {7 11},            30,   (155 1), {5 31},         103,       100110101,     102110,    2214,    621, 0,  4,  1,  1,   10,  3,   5,   10,  19,  30,  13,  22,          0
  11,   315, {3 5 7},            11,   (157 1), {157},             11,    (79 2), {79},            35,       100111011,     102200,    2230,    630, 0,  0,  0,  7,   3,   9,   11,  16,  25,  5,   19,  28,          0
   6,   321, {3 107},             1,     (5 6), {5},               35,   (161 1), {7 23},         107,       101000001,     102220,    2241,    636, 0,  1,  6,  2,   9,   15,  17,  22,  2,   11,  25,  34,          0
  52,   327, {3 109},             6,   (163 1), {163},             40,    (41 3), {41},           109,       101000111,     110010,    2302,    645, 0,  2,  5,  8,   2,   4,   4,   5,   8,   17,  31,  40,          0
  40,   333, {3 37},             40,    (83 2), {83},              23,   (167 1), {167},           37,       101001101,     110100,    2313,    654, 0,  3,  4,  3,   8,   10,  10,  11,  14,  23,  0,   5,           0
  16,   339, {3 113},            16,   (169 1), {13},               1,    (85 2), {5 17},         113,       101010011,     110120,    2324,    663, 0,  4,  3,  9,   1,   16,  16,  17,  20,  29,  6,   11,          0
  45,   345, {3 5 23},            9,    (43 3), {43},               9,   (173 1), {173},          115,       101011001,     110210,    2340,   1002, 0,  0,  2,  4,   7,   5,   3,   0,   26,  4,   12,  17,          0
  28,   351, {3 13},             28,   (175 1), {5 7},              4,    (11 5), {11},            13,       101011111,     111000,    2401,   1011, 0,  1,  1,  10,  0,   11,  9,   6,   3,   10,  18,  23,          0
   9,   357, {3 7 17},            9,    (89 2), {89},               9,   (179 1), {179},          119,       101100101,     111020,    2412,   1020, 0,  2,  0,  5,   6,   0,   15,  12,  9,   16,  24,  29,          0
  14,   363, {3 11},              4,   (181 1), {181},             33,    (91 2), {7 13},         121,       101101011,     111110,    2423,   1026, 0,  3,  6,  0,   12,  6,   2,   18,  15,  22,  30,  35,          0
   4,   369, {3 41},              4,    (23 4), {23},              14,   (185 1), {5 37},          41,       101110001,     111200,    2434,   1035, 0,  4,  5,  6,   5,   12,  8,   1,   21,  28,  36,  0,           0
  14,   375, {3 5},              14,   (187 1), {11 17},           38,    (47 3), {47},           125,       101110111,     111220,    3000,   1044, 0,  0,  4,  1,   11,  1,   14,  7,   27,  3,   5,   6,           0
  38,   381, {3 127},            38,    (95 2), {5 19},            14,   (191 1), {191},          127,       101111101,     112010,    3011,   1053, 0,  1,  3,  7,   4,   7,   1,   13,  4,   9,   11,  12,          0
  43,   387, {3 43},             43,   (193 1), {193},             43,    (97 2), {97},            43,       110000011,     112100,    3022,   1062, 0,  2,  2,  2,   10,  13,  7,   19,  10,  15,  17,  18,          0
  19,   393, {3 131},             7,    (49 3), {7},                7,   (197 1), {197},          131,       110001001,     112120,    3033,   1101, 0,  3,  1,  8,   3,   2,   13,  2,   16,  21,  23,  24,          0
  43,   399, {3 7 19},           43,   (199 1), {199},              7,    (25 4), {5},            133,       110001111,     112210,    3044,   1110, 0,  4,  0,  3,   9,   8,   0,   8,   22,  27,  29,  30,          0
   7,   405, {3 5},               7,   (101 2), {101},             12,   (203 1), {7 29},           5,       110010101,     120000,    3110,   1116, 0,  0,  6,  9,   2,   14,  6,   14,  28,  2,   35,  36,          0
  48,   411, {3 137},             7,   (205 1), {5 41},            31,   (103 2), {103},          137,       110011011,     120020,    3121,   1125, 0,  1,  5,  4,   8,   3,   12,  20,  5,   8,   4,   1,           0
  48,   417, {3 139},             2,    (13 5), {13},              12,   (209 1), {11 19},        139,       110100001,     120110,    3132,   1134, 0,  2,  4,  10,  1,   9,   18,  3,   11,  14,  10,  7,           0
   9,   423, {3 47},             12,   (211 1), {211},              2,    (53 3), {53},            47,       110100111,     120200,    3143,   1143, 0,  3,  3,  5,   7,   15,  5,   9,   17,  20,  16,  13,          0
  36,   429, {3 11 13},          36,   (107 2), {107},             36,   (215 1), {5 43},         143,       110101101,     120220,    3204,   1152, 0,  4,  2,  0,   0,   4,   11,  15,  23,  26,  22,  19,          0
