# Natural order of prime factor sets

This is a list of the first 1000 integers in consecutive order. For every integer n:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- ternary and binary representations of the oc are given.
- `factors` is a mask of the odd prime factor set of oc, where each bit represents a prime (3, 5, 7, etc)

The pattern of prime factors in integers is a cycle modulo the product of primes as you increment n. Call this the "natural" permutation, the one you get by simply adding 1. This transform is the only thing +1 knows how to do.

(The factor sets of the odd cores are shown for the even numbers below, but note that since they only differ by a power of 2, their odd prime factor mask is unchanged).

Successive numbers share no factors, which amounts to an information-preserving mechanism. The +1 operation is an invertible permutation over all prime factor rings of integers at once, which is a very complicated mapping, but it's also a cycle modulo the product of any subset of those rings, which makes things simple again if you don't care about the specific *order* of the permutation.

And we don't.

oc,k,dist,base3,base2,factors
143,1,37,12022,10001111,00011
287,0,13,101122,100011111,001000000001
9,5,6,100,1001,1
289,0,8,101201,100100001,000001
145,1,42,12101,10010001,010000001
291,0,42,101210,100100011,100000000000000000000001
73,2,42,2201,1001001,00000000000000000001
293,0,42,101212,100100101,0000000000000000000000000000000000000000000000000000000000001
147,1,42,12110,10010011,101
295,0,18,101221,100100111,0100000000000001
37,3,6,1101,100101,00000000001
297,0,25,102000,100101001,1001
149,1,6,12112,10010101,0000000000000000000000000000000001
299,0,42,102002,100101011,00001001
75,2,3,2210,1001011,11
301,0,3,102011,100101101,0010000000001
151,1,3,12121,10010111,00000000000000000000000000000000001
303,0,13,102020,100101111,1000000000000000000000001
19,4,6,201,10011,0000001
305,0,11,102022,100110001,01000000000000001
153,1,11,12200,10011001,100001
307,0,11,102101,100110011,00000000000000000000000000000000000000000000000000000000000001
77,2,6,2212,1001101,0011
309,0,6,102110,100110101,10000000000000000000000001
155,1,30,12202,10011011,0100000001
311,0,30,102112,100110111,000000000000000000000000000000000000000000000000000000000000001
39,3,11,1110,100111,10001
313,0,47,102121,100111001,0000000000000000000000000000000000000000000000000000000000000001
157,1,11,12211,10011101,000000000000000000000000000000000001
315,0,11,102200,100111011,111
79,2,11,2221,1001111,000000000000000000001
317,0,11,102202,100111101,00000000000000000000000000000000000000000000000000000000000000001
159,1,18,12220,10011111,100000000000001
319,0,18,102211,100111111,000100001
5,6,1,12,101,01
321,0,6,102220,101000001,100000000000000000000000001
161,1,35,12222,10100001,00100001
323,0,35,102222,101000011,0000011
81,2,6,10000,1010001,1
325,0,6,110001,101000101,01001
163,1,6,20001,10100011,0000000000000000000000000000000000001
327,0,52,110010,101000111,1000000000000000000000000001
41,3,40,1112,101001,000000000001
329,0,16,110012,101001001,00100000000001
165,1,40,20010,10100101,1101
331,0,6,110021,101001011,000000000000000000000000000000000000000000000000000000000000000001
83,2,40,10002,1010011,0000000000000000000001
333,0,40,110100,101001101,10000000001
167,1,23,20012,10100111,00000000000000000000000000000000000001
335,0,23,110102,101001111,010000000000000001
21,4,1,210,10101,101
337,0,40,110111,101010001,0000000000000000000000000000000000000000000000000000000000000000001
169,1,16,20021,10101001,00001
339,0,16,110120,101010011,10000000000000000000000000001
85,2,1,10011,1010101,010001
341,0,1,110122,101010101,0001000001
171,1,45,20100,10101011,1000001
343,0,45,110201,101010111,001
43,3,9,1121,101011,0000000000001
345,0,45,110210,101011001,11000001
173,1,9,20102,10101101,000000000000000000000000000000000000001
347,0,45,110212,101011011,00000000000000000000000000000000000000000000000000000000000000000001
87,2,9,10020,1010111,100000001
349,0,9,110221,101011101,000000000000000000000000000000000000000000000000000000000000000000001
175,1,28,20111,10101111,011
351,0,28,111000,101011111,10001
11,5,4,102,1011,0001
353,0,45,111002,101100001,0000000000000000000000000000000000000000000000000000000000000000000001
177,1,9,20120,10110001,1000000000000001
355,0,9,111011,101100011,0100000000000000001
89,2,9,10022,1011001,00000000000000000000001
357,0,9,111020,101100101,101001
179,1,9,20122,10110011,0000000000000000000000000000000000000001
359,0,16,111022,101100111,00000000000000000000000000000000000000000000000000000000000000000000001
45,3,4,1200,101101,11
361,0,14,111101,101101001,0000001
181,1,4,20201,10110101,00000000000000000000000000000000000000001
363,0,14,111110,101101011,1001
91,2,33,10101,1011011,00101
365,0,33,111112,101101101,01000000000000000001
183,1,33,20210,10110111,10000000000000001
367,0,14,111121,101101111,000000000000000000000000000000000000000000000000000000000000000000000001
23,4,4,212,10111,00000001
369,0,4,111200,101110001,100000000001
185,1,14,20212,10111001,01000000001
371,0,14,111202,101110011,001000000000001
93,2,4,10110,1011101,1000000001
373,0,4,111211,101110101,0000000000000000000000000000000000000000000000000000000000000000000000001
187,1,14,20221,10111011,000101
375,0,14,111220,101110111,11
47,3,38,1202,101111,00000000000001
377,0,21,111222,101111001,000010001
189,1,38,21000,10111101,101
379,0,19,112001,101111011,00000000000000000000000000000000000000000000000000000000000000000000000001
95,2,38,10112,1011111,0100001
381,0,38,112010,101111101,100000000000000000000000000001
191,1,14,21002,10111111,000000000000000000000000000000000000000001
383,0,14,112012,101111111,000000000000000000000000000000000000000000000000000000000000000000000000001
3,7,2,10,11,1
385,0,9,112021,110000001,0111
193,1,43,21011,11000001,0000000000000000000000000000000000000000001
387,0,43,112100,110000011,1000000000001
97,2,43,10121,1100001,000000000000000000000001
389,0,43,112102,110000101,0000000000000000000000000000000000000000000000000000000000000000000000000001
195,1,43,21020,11000011,11001
391,0,43,112111,110000111,00000101
49,3,7,1211,110001,001
393,0,19,112120,110001001,1000000000000000000000000000001
197,1,7,21022,11000101,00000000000000000000000000000000000000000001
395,0,26,112122,110001011,010000000000000000001
99,2,7,10200,1100011,1001
397,0,7,112201,110001101,00000000000000000000000000000000000000000000000000000000000000000000000000001
199,1,43,21101,11000111,000000000000000000000000000000000000000000001
399,0,43,112210,110001111,1010001
25,4,7,221,11001,01
401,0,4,112212,110010001,000000000000000000000000000000000000000000000000000000000000000000000000000001
201,1,4,21110,11001001,100000000000000001
403,0,4,112221,110010011,0000100001
101,2,7,10202,1100101,0000000000000000000000001
405,0,7,120000,110010101,11
203,1,12,21112,11001011,001000001
407,0,12,120002,110010111,00010000001
51,3,7,1220,110011,100001
409,0,12,120011,110011001,0000000000000000000000000000000000000000000000000000000000000000000000000000001
205,1,7,21121,11001101,010000000001
