# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `psym`      the symmetric primes at equal offsets around n

factorzig,          psym
  13⋅17,            [30 42 48 72 90]
 2⋅3⋅37,            [11 29 41 49 55 59 71 85]
223,                [60 84]
 2⁵⋅7,              [27 33 45 57 87 93]
  3²⋅5²,            [2 14 26 32 44 46 52 58]
 2⋅113,             [3 15 45 87]
227,                [30 36 54 90]
 2²⋅3⋅19,           [1 5 29 35 49 55 65 79]
229,                [48 78]
 2⋅5⋅23,            [3 33 39 51 63 81]
  3⋅7⋅11,           [2 8 20 32 38 40 50 52]
 2³⋅29,             [9 39 51 75 81]
233,                [6 36 60 84]
 2⋅3²⋅13,           [5 7 23 35 37 43 77 83]
  5⋅47,             [6 36 42 72 78 96]
   2²⋅59,           [3 45 57]
  3⋅79,             [4 14 26 40 44 46 56 70]
 2⋅7⋅17,            [39 45 75 99]
239,                [12 42 72]
 2⁴⋅3⋅5,            [1 11 17 29 41 43 67 73]
241,                [30 42 90]
 2⋅11²,             [9 15 51 69 75]
  3⁵,               [14 20 50 64 70 94]
   2²⋅61,           [33 63 87 93]
    5⋅7²,           [6 12 18 48 66 72]
     2⋅3⋅41,        [5 17 23 35 47 65 67]
    13⋅19,          [24 36 66 84 90]
   2³⋅31,           [9 15 21 69 99]
  3⋅83,             [8 20 22 58 68 82 98 100]
 2⋅5³,              [21 27 57 87 99]
251,                [12 18 60]
 2²⋅3²⋅7,           [11 19 25 29 41 55 59 61]
  11⋅23,            [24 30 54 60 96]
   2⋅127,           [3 15 27 57 63]
  3⋅5⋅17,           [14 16 22 26 28 56 58 62]
 2⁸,                [15 27 57 75 93]
257,                [6 24 60 90]
 2⋅3⋅43,            [19 25 35 59 79 91 95]
  7⋅37,             [18 48 78]
   2²⋅5⋅13,         [3 9 21 33 87 93]
  3²⋅29,            [10 20 22 32 50 70 88 98]
 2⋅131,             [21 51 69]
263,                [6 30 84 90 96]
 2³⋅3⋅11,           [7 13 53 67 73 83 85]
  5⋅53,             [42 66 72 84]
   2⋅7⋅19,          [3 15 27 87 93]
  3⋅89,             [4 10 16 26 40 44 70 86]
 2²⋅67,             [39 45 69]
269,                [12 42 78 90]
 2⋅3³⋅5,            [1 7 13 37 41 43 47 77]
271,                [42 60 78]
 2⁴⋅17,             [9 21 39 45 75 81]
  3⋅7⋅13,           [4 10 34 40 44 74 76 80]
   2⋅137,           [3 33 63 75 93]
  5²⋅11,            [6 18 36 42 78 84]
 2²⋅3⋅23,           [5 7 35 37 77 83 97]
277,                [6 36 54 96]
 2⋅139,             [15 39 81]
  3²⋅31,            [2 28 38 52 68 80 88 100]
 2³⋅5⋅7,            [3 51 57 69 87 99]
281,                [12 30]
 2⋅3⋅47,            [1 11 25 31 49 55 71 85]
283,                [54 84 90]
 2²⋅71,             [27 33]
  3⋅5⋅19,           [8 22 28 46 52 62 74 88]
   2⋅11⋅13,         [45 63 87 93]
    7⋅41,           [6 24 30 60 96]
     2⁵⋅3²,         [5 19 25 49 59 61 65 91]
    17²,            [18 48 60 78 90]
   2⋅5⋅29,          [21 27 57 63 93 99]
  3⋅97,             [20 22 40 58 62 68 92 98]
 2²⋅73,             [15 21 81]
293,                [24 54 60 66 96]
 2⋅3⋅7²,            [13 17 23 37 43 53 55 65]
  5⋅59,             [12 18 54 72 84]
   2³⋅37,           [15 57 63]
    3³⋅11,          [14 16 20 34 40 56 70 86]
     2⋅149,         [15 69 75 99]
      13⋅23,        [18 48 60]
       2²⋅3⋅5²,     [7 17 31 37 49 59 67 73]
      7⋅43,         [30 72 78]
     2⋅151,         [9 45 51]
    3⋅101,          [10 34 46 64 70 76 80]
   2⁴⋅19,           [27 33 63 75 93]
  5⋅61,             [12 42 48 54 78]
 2⋅3²⋅17,           [25 43 67 73 77 83 95]
307,                [24 30 66]
 2²⋅7⋅11,           [39 45 51 75 81]
  3⋅103,            [2 28 38 40 58 70 80]
 2⋅5⋅31,            [3 27 39 69 87 99]
311,                [42 48 72 78]
 2³⋅3⋅13,           [1 5 19 35 41 55 61 71]
313,                [36 84]
 2⋅157,             [3 33 45 75 87]
  3²⋅5⋅7,           [2 22 32 34 38 44 52 58]
 2²⋅79,             [33 93]
317,                [36 66 84]
 2⋅3⋅53,            [35 41 49 55 61 79 91]
  11⋅29,            [12 48 78 90]
   2⁶⋅5,            [27 39 63 69 81]
    3⋅107,          [10 28 38 52 58 80 88 98]
     2⋅7⋅23,        [9 15 45 51 99]
      17⋅19,        [30 60 66 96]
       2²⋅3⁴,       [7 13 43 55 73 85 95 97]
      5²⋅13,        [12 42 48 54 84 96]
     2⋅163,         [33 57 63 75 93]
    3⋅109,          [10 20 46 56 70 94]
   2³⋅41,           [21 45 51]
  7⋅47,             [18 60 72 90]
 2⋅3⋅5⋅11,          [17 19 23 37 49 53 59 67]
331,                [18 48 90]
 2²⋅83,             [15 21 51 69 99]
  3²⋅37,            [16 20 26 40 50 56 64 76]
   2⋅167,           [3 63]
  5⋅67,             [18 24 54 66 84 96]
 2⁴⋅3⋅7,            [23 43 53 65 73 85 95 97]
337,                [30 60 96]
 2⋅13²,             [21 45 81]
  3⋅113,            [8 28 58 62 70 82 100]
   2²⋅5⋅17,         [9 27 33 57 69 99]
    11⋅31,          [48 60 78 90]
     2⋅3²⋅19,       [5 11 25 31 59 79 91]
    7³,             [6 30 36 66]
   2³⋅43,           [75 87]
  3⋅5⋅23,           [8 14 28 34 38 52 64 74]
 2⋅173,             [33 63 75]
347,                [36 54 84 96]
 2²⋅3⋅29,           [1 11 31 35 41 71 85 91]
349,                [18 72]
 2⋅5²⋅7,            [3 33 39 69 81 93 99]
  3³⋅13,            [2 38 58 68 70 80 82 88]
 2⁵⋅11,             [15 21 45 69 81]
353,                [6 36 90 96]
 2⋅3⋅59,            [5 43 47 77 85]
  5⋅71,             [18 24 42 78 84]
   2²⋅89,           [3 45 63 75 87 93]
  3⋅7⋅17,           [10 26 40 44 64 74 76 86]
 2⋅179,             [9 21 51 75 81]
359,                [42 90]
 2³⋅3²⋅5,           [7 13 23 29 49 79 83 89]
  19²,              [12 48 78]
   2⋅181,           [69 81 99]
    3⋅11²,          [4 10 16 26 46 56 70 80]
   2²⋅7⋅13,         [15 33 57 93]
  5⋅73,             [18 54 84 96]
 2⋅3⋅61,            [7 13 17 35 53 55 73 83]
367,                [30 54 90 96]
 2⁴⋅23,             [15 21 51 75 99]
  3²⋅41,            [10 20 32 52 62 88 92 98]
   2⋅5⋅37,          [3 39 63 87 93]
  7⋅53,             [12 18 60 78 90]
 2²⋅3⋅31,           [25 59 61 89 91 95]
373,                [6 24 36 60 66 90]
 2⋅11⋅17,           [15 27 57 93]
  3⋅5³,             [8 22 26 44 58 64 68 82]
   2³⋅47,           [3 45 63]
  13⋅29,            [24 66 84]
 2⋅3³⋅7,            [5 11 19 31 41 61 65 71]
379,                [30 42]
 2²⋅5⋅19,           [21 63 69 87 99]
  3⋅127,            [2 8 28 50 68 98]
 2⋅191,             [15 51 75]
383,                [36 66]
 2⁷⋅3,              [5 17 25 35 37 47 73 77]
  5⋅7⋅11,           [12 36 48 54 72 78]
   2⋅193,           [3 33 75 93]
  3²⋅43,            [14 34 56 70 74 76 80]
 2²⋅97,             [9 21 51 75]
389,                [30 42 72 78]
 2⋅3⋅5⋅13,          [7 11 31 41 43 53 59 73]
  17⋅23,            [18 42]
   2³⋅7²,           [9 39 75 99]
    3⋅131,          [4 26 40 46 56 86]
   2⋅197,           [15 27 45 63]
  5⋅79,             [6 36 48 84]
 2²⋅3²⋅11,          [13 23 37 43 47 65 83]
397,                [24 60 66 90]
 2⋅199,             [45 51 81]
