# Root path traces

Here are some examples of the path taken by always following the odd core of the even neighbor with the lowest k value to the root of the tree (1).
The numbers in parentheses indicate the branch *not* taken at every step.
Some of these direct paths merge immediately, others after one or more steps.
That indicates any stopping time differentiation on the direct path has to be near the seed, as the end of the path is widely shared.

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73,m79,m83,m89,m97,m101,m103,m107,m109,m113,m127

# Root path 31 -> 15(1) -> 7(1) -> 3(1) -> 1(1) -> 1

11,2,4,102,1011,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11 # oc(43+1)

5,2,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(21-1)
21,,1,210,10101,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21 # 21 (Collatz next is 1)
11,1,4,102,1011,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11 # oc(21+1)

5,1,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # oc(11-1)
11,,4,102,1011,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11 # 11 (Collatz next is 17)
3,2,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3 # oc(11+1)

1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 # oc(5-1)
5,,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5 # 5 (Collatz next is 1)
