# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `m*`            the prime residues of n modulo a set of primes
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial

    n, factorization, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, primeness
   41, 41,            2,  1,  6,  8,   2,   7,   3,   18,  12,  10,  prime
   42, 2 3 7,         0,  2,  0,  9,   3,   8,   4,   19,  13,  11,  radical
   43, 43,            1,  3,  1,  10,  4,   9,   5,   20,  14,  12,  prime
   44, 2² 11,         2,  4,  2,  0,   5,   10,  6,   21,  15,  13,  
   45, 3² 5,          0,  0,  3,  1,   6,   11,  7,   22,  16,  14,  
   46, 2 23,          1,  1,  4,  2,   7,   12,  8,   0,   17,  15,  radical
   47, 47,            2,  2,  5,  3,   8,   13,  9,   1,   18,  16,  prime
   48, 2⁴ 3,          0,  3,  6,  4,   9,   14,  10,  2,   19,  17,  
   49, 7²,            1,  4,  0,  5,   10,  15,  11,  3,   20,  18,  prime power
   50, 2 5²,          2,  0,  1,  6,   11,  16,  12,  4,   21,  19,  
   51, 3 17,          0,  1,  2,  7,   12,  0,   13,  5,   22,  20,  radical
   52, 2² 13,         1,  2,  3,  8,   0,   1,   14,  6,   23,  21,  
   53, 53,            2,  3,  4,  9,   1,   2,   15,  7,   24,  22,  prime
   54, 2 3³,          0,  4,  5,  10,  2,   3,   16,  8,   25,  23,  
   55, 5 11,          1,  0,  6,  0,   3,   4,   17,  9,   26,  24,  radical
   56, 2³ 7,          2,  1,  0,  1,   4,   5,   18,  10,  27,  25,  
   57, 3 19,          0,  2,  1,  2,   5,   6,   0,   11,  28,  26,  radical
   58, 2 29,          1,  3,  2,  3,   6,   7,   1,   12,  0,   27,  radical
   59, 59,            2,  4,  3,  4,   7,   8,   2,   13,  1,   28,  prime
   60, 2² 3 5,        0,  0,  4,  5,   8,   9,   3,   14,  2,   29,  
   61, 61,            1,  1,  5,  6,   9,   10,  4,   15,  3,   30,  prime
   62, 2 31,          2,  2,  6,  7,   10,  11,  5,   16,  4,   0,   radical
   63, 3² 7,          0,  3,  0,  8,   11,  12,  6,   17,  5,   1,   
   64, 2⁶,            1,  4,  1,  9,   12,  13,  7,   18,  6,   2,   prime power
   65, 5 13,          2,  0,  2,  10,  0,   14,  8,   19,  7,   3,   radical
   66, 2 3 11,        0,  1,  3,  0,   1,   15,  9,   20,  8,   4,   radical
   67, 67,            1,  2,  4,  1,   2,   16,  10,  21,  9,   5,   prime
   68, 2² 17,         2,  3,  5,  2,   3,   0,   11,  22,  10,  6,   
   69, 3 23,          0,  4,  6,  3,   4,   1,   12,  0,   11,  7,   radical
   70, 2 5 7,         1,  0,  0,  4,   5,   2,   13,  1,   12,  8,   radical
   71, 71,            2,  1,  1,  5,   6,   3,   14,  2,   13,  9,   prime
   72, 2³ 3²,         0,  2,  2,  6,   7,   4,   15,  3,   14,  10,  
   73, 73,            1,  3,  3,  7,   8,   5,   16,  4,   15,  11,  prime
   74, 2 37,          2,  4,  4,  8,   9,   6,   17,  5,   16,  12,  radical
   75, 3 5²,          0,  0,  5,  9,   10,  7,   18,  6,   17,  13,  
   76, 2² 19,         1,  1,  6,  10,  11,  8,   0,   7,   18,  14,  
   77, 7 11,          2,  2,  0,  0,   12,  9,   1,   8,   19,  15,  radical
   78, 2 3 13,        0,  3,  1,  1,   0,   10,  2,   9,   20,  16,  radical
   79, 79,            1,  4,  2,  2,   1,   11,  3,   10,  21,  17,  prime
   80, 2⁴ 5,          2,  0,  3,  3,   2,   12,  4,   11,  22,  18,  
   81, 3⁴,            0,  1,  4,  4,   3,   13,  5,   12,  23,  19,  prime power
   82, 2 41,          1,  2,  5,  5,   4,   14,  6,   13,  24,  20,  radical
   83, 83,            2,  3,  6,  6,   5,   15,  7,   14,  25,  21,  prime
   84, 2² 3 7,        0,  4,  0,  7,   6,   16,  8,   15,  26,  22,  
   85, 5 17,          1,  0,  1,  8,   7,   0,   9,   16,  27,  23,  radical
   86, 2 43,          2,  1,  2,  9,   8,   1,   10,  17,  28,  24,  radical
   87, 3 29,          0,  2,  3,  10,  9,   2,   11,  18,  0,   25,  radical
   88, 2³ 11,         1,  3,  4,  0,   10,  3,   12,  19,  1,   26,  
   89, 89,            2,  4,  5,  1,   11,  4,   13,  20,  2,   27,  prime
   90, 2 3² 5,        0,  0,  6,  2,   12,  5,   14,  21,  3,   28,  
   91, 7 13,          1,  1,  0,  3,   0,   6,   15,  22,  4,   29,  radical
   92, 2² 23,         2,  2,  1,  4,   1,   7,   16,  0,   5,   30,  
   93, 3 31,          0,  3,  2,  5,   2,   8,   17,  1,   6,   0,   radical
   94, 2 47,          1,  4,  3,  6,   3,   9,   18,  2,   7,   1,   radical
   95, 5 19,          2,  0,  4,  7,   4,   10,  0,   3,   8,   2,   radical
   96, 2⁵ 3,          0,  1,  5,  8,   5,   11,  1,   4,   9,   3,   
   97, 97,            1,  2,  6,  9,   6,   12,  2,   5,   10,  4,   prime
   98, 2 7²,          2,  3,  0,  10,  7,   13,  3,   6,   11,  5,   
   99, 3² 11,         0,  4,  1,  0,   8,   14,  4,   7,   12,  6,   
  100, 2² 5²,         1,  0,  2,  1,   9,   15,  5,   8,   13,  7,   radical power
  101, 101,           2,  1,  3,  2,   10,  16,  6,   9,   14,  8,   prime
  102, 2 3 17,        0,  2,  4,  3,   11,  0,   7,   10,  15,  9,   radical
  103, 103,           1,  3,  5,  4,   12,  1,   8,   11,  16,  10,  prime
  104, 2³ 13,         2,  4,  6,  5,   0,   2,   9,   12,  17,  11,  
  105, 3 5 7,         0,  0,  0,  6,   1,   3,   10,  13,  18,  12,  radical
  106, 2 53,          1,  1,  1,  7,   2,   4,   11,  14,  19,  13,  radical
  107, 107,           2,  2,  2,  8,   3,   5,   12,  15,  20,  14,  prime
  108, 2² 3³,         0,  3,  3,  9,   4,   6,   13,  16,  21,  15,  
  109, 109,           1,  4,  4,  10,  5,   7,   14,  17,  22,  16,  prime
  110, 2 5 11,        2,  0,  5,  0,   6,   8,   15,  18,  23,  17,  radical
  111, 3 37,          0,  1,  6,  1,   7,   9,   16,  19,  24,  18,  radical
  112, 2⁴ 7,          1,  2,  0,  2,   8,   10,  17,  20,  25,  19,  
  113, 113,           2,  3,  1,  3,   9,   11,  18,  21,  26,  20,  prime
  114, 2 3 19,        0,  4,  2,  4,   10,  12,  0,   22,  27,  21,  radical
  115, 5 23,          1,  0,  3,  5,   11,  13,  1,   0,   28,  22,  radical
  116, 2² 29,         2,  1,  4,  6,   12,  14,  2,   1,   0,   23,  
  117, 3² 13,         0,  2,  5,  7,   0,   15,  3,   2,   1,   24,  
  118, 2 59,          1,  3,  6,  8,   1,   16,  4,   3,   2,   25,  radical
  119, 7 17,          2,  4,  0,  9,   2,   0,   5,   4,   3,   26,  radical
  120, 2³ 3 5,        0,  0,  1,  10,  3,   1,   6,   5,   4,   27,  
  121, 11²,           1,  1,  2,  0,   4,   2,   7,   6,   5,   28,  prime power
  122, 2 61,          2,  2,  3,  1,   5,   3,   8,   7,   6,   29,  radical
  123, 3 41,          0,  3,  4,  2,   6,   4,   9,   8,   7,   30,  radical
  124, 2² 31,         1,  4,  5,  3,   7,   5,   10,  9,   8,   0,   
  125, 5³,            2,  0,  6,  4,   8,   6,   11,  10,  9,   1,   prime power
  126, 2 3² 7,        0,  1,  0,  5,   9,   7,   12,  11,  10,  2,   
  127, 127,           1,  2,  1,  6,   10,  8,   13,  12,  11,  3,   prime
  128, 2⁷,            2,  3,  2,  7,   11,  9,   14,  13,  12,  4,   prime power
  129, 3 43,          0,  4,  3,  8,   12,  10,  15,  14,  13,  5,   radical
  130, 2 5 13,        1,  0,  4,  9,   0,   11,  16,  15,  14,  6,   radical
  131, 131,           2,  1,  5,  10,  1,   12,  17,  16,  15,  7,   prime
  132, 2² 3 11,       0,  2,  6,  0,   2,   13,  18,  17,  16,  8,   
  133, 7 19,          1,  3,  0,  1,   3,   14,  0,   18,  17,  9,   radical
  134, 2 67,          2,  4,  1,  2,   4,   15,  1,   19,  18,  10,  radical
  135, 3³ 5,          0,  0,  2,  3,   5,   16,  2,   20,  19,  11,  
  136, 2³ 17,         1,  1,  3,  4,   6,   0,   3,   21,  20,  12,  
  137, 137,           2,  2,  4,  5,   7,   1,   4,   22,  21,  13,  prime
  138, 2 3 23,        0,  3,  5,  6,   8,   2,   5,   0,   22,  14,  radical
  139, 139,           1,  4,  6,  7,   9,   3,   6,   1,   23,  15,  prime
  140, 2² 5 7,        2,  0,  0,  8,   10,  4,   7,   2,   24,  16,  
  141, 3 47,          0,  1,  1,  9,   11,  5,   8,   3,   25,  17,  radical
  142, 2 71,          1,  2,  2,  10,  12,  6,   9,   4,   26,  18,  radical
  143, 11 13,         2,  3,  3,  0,   0,   7,   10,  5,   27,  19,  radical
  144, 2⁴ 3²,         0,  4,  4,  1,   1,   8,   11,  6,   28,  20,  
  145, 5 29,          1,  0,  5,  2,   2,   9,   12,  7,   0,   21,  radical
  146, 2 73,          2,  1,  6,  3,   3,   10,  13,  8,   1,   22,  radical
  147, 3 7²,          0,  2,  0,  4,   4,   11,  14,  9,   2,   23,  
  148, 2² 37,         1,  3,  1,  5,   5,   12,  15,  10,  3,   24,  
  149, 149,           2,  4,  2,  6,   6,   13,  16,  11,  4,   25,  prime
  150, 2 3 5²,        0,  0,  3,  7,   7,   14,  17,  12,  5,   26,  
  151, 151,           1,  1,  4,  8,   8,   15,  18,  13,  6,   27,  prime
  152, 2³ 19,         2,  2,  5,  9,   9,   16,  0,   14,  7,   28,  
  153, 3² 17,         0,  3,  6,  10,  10,  0,   1,   15,  8,   29,  
  154, 2 7 11,        1,  4,  0,  0,   11,  1,   2,   16,  9,   30,  radical
  155, 5 31,          2,  0,  1,  1,   12,  2,   3,   17,  10,  0,   radical
  156, 2² 3 13,       0,  1,  2,  2,   0,   3,   4,   18,  11,  1,   
  157, 157,           1,  2,  3,  3,   1,   4,   5,   19,  12,  2,   prime
  158, 2 79,          2,  3,  4,  4,   2,   5,   6,   20,  13,  3,   radical
  159, 3 53,          0,  4,  5,  5,   3,   6,   7,   21,  14,  4,   radical
  160, 2⁵ 5,          1,  0,  6,  6,   4,   7,   8,   22,  15,  5,   
  161, 7 23,          2,  1,  0,  7,   5,   8,   9,   0,   16,  6,   radical
  162, 2 3⁴,          0,  2,  1,  8,   6,   9,   10,  1,   17,  7,   
  163, 163,           1,  3,  2,  9,   7,   10,  11,  2,   18,  8,   prime
  164, 2² 41,         2,  4,  3,  10,  8,   11,  12,  3,   19,  9,   
  165, 3 5 11,        0,  0,  4,  0,   9,   12,  13,  4,   20,  10,  radical
  166, 2 83,          1,  1,  5,  1,   10,  13,  14,  5,   21,  11,  radical
  167, 167,           2,  2,  6,  2,   11,  14,  15,  6,   22,  12,  prime
  168, 2³ 3 7,        0,  3,  0,  3,   12,  15,  16,  7,   23,  13,  
  169, 13²,           1,  4,  1,  4,   0,   16,  17,  8,   24,  14,  prime power
  170, 2 5 17,        2,  0,  2,  5,   1,   0,   18,  9,   25,  15,  radical
  171, 3² 19,         0,  1,  3,  6,   2,   1,   0,   10,  26,  16,  
  172, 2² 43,         1,  2,  4,  7,   3,   2,   1,   11,  27,  17,  
  173, 173,           2,  3,  5,  8,   4,   3,   2,   12,  28,  18,  prime
  174, 2 3 29,        0,  4,  6,  9,   5,   4,   3,   13,  0,   19,  radical
  175, 5² 7,          1,  0,  0,  10,  6,   5,   4,   14,  1,   20,  
  176, 2⁴ 11,         2,  1,  1,  0,   7,   6,   5,   15,  2,   21,  
  177, 3 59,          0,  2,  2,  1,   8,   7,   6,   16,  3,   22,  radical
  178, 2 89,          1,  3,  3,  2,   9,   8,   7,   17,  4,   23,  radical
  179, 179,           2,  4,  4,  3,   10,  9,   8,   18,  5,   24,  prime
  180, 2² 3² 5,       0,  0,  5,  4,   11,  10,  9,   19,  6,   25,  
  181, 181,           1,  1,  6,  5,   12,  11,  10,  20,  7,   26,  prime
  182, 2 7 13,        2,  2,  0,  6,   0,   12,  11,  21,  8,   27,  radical
  183, 3 61,          0,  3,  1,  7,   1,   13,  12,  22,  9,   28,  radical
  184, 2³ 23,         1,  4,  2,  8,   2,   14,  13,  0,   10,  29,  
  185, 5 37,          2,  0,  3,  9,   3,   15,  14,  1,   11,  30,  radical
  186, 2 3 31,        0,  1,  4,  10,  4,   16,  15,  2,   12,  0,   radical
  187, 11 17,         1,  2,  5,  0,   5,   0,   16,  3,   13,  1,   radical
  188, 2² 47,         2,  3,  6,  1,   6,   1,   17,  4,   14,  2,   
  189, 3³ 7,          0,  4,  0,  2,   7,   2,   18,  5,   15,  3,   
  190, 2 5 19,        1,  0,  1,  3,   8,   3,   0,   6,   16,  4,   radical
  191, 191,           2,  1,  2,  4,   9,   4,   1,   7,   17,  5,   prime
  192, 2⁶ 3,          0,  2,  3,  5,   10,  5,   2,   8,   18,  6,   
  193, 193,           1,  3,  4,  6,   11,  6,   3,   9,   19,  7,   prime
  194, 2 97,          2,  4,  5,  7,   12,  7,   4,   10,  20,  8,   radical
  195, 3 5 13,        0,  0,  6,  8,   0,   8,   5,   11,  21,  9,   radical
  196, 2² 7²,         1,  1,  0,  9,   1,   9,   6,   12,  22,  10,  radical power
  197, 197,           2,  2,  1,  10,  2,   10,  7,   13,  23,  11,  prime
  198, 2 3² 11,       0,  3,  2,  0,   3,   11,  8,   14,  24,  12,  
  199, 199,           1,  4,  3,  1,   4,   12,  9,   15,  25,  13,  prime
  200, 2³ 5²,         2,  0,  4,  2,   5,   13,  10,  16,  26,  14,  
  201, 3 67,          0,  1,  5,  3,   6,   14,  11,  17,  27,  15,  radical
  202, 2 101,         1,  2,  6,  4,   7,   15,  12,  18,  28,  16,  radical
  203, 7 29,          2,  3,  0,  5,   8,   16,  13,  19,  0,   17,  radical
  204, 2² 3 17,       0,  4,  1,  6,   9,   0,   14,  20,  1,   18,  
  205, 5 41,          1,  0,  2,  7,   10,  1,   15,  21,  2,   19,  radical
  206, 2 103,         2,  1,  3,  8,   11,  2,   16,  22,  3,   20,  radical
  207, 3² 23,         0,  2,  4,  9,   12,  3,   17,  0,   4,   21,  
  208, 2⁴ 13,         1,  3,  5,  10,  0,   4,   18,  1,   5,   22,  
  209, 11 19,         2,  4,  6,  0,   1,   5,   0,   2,   6,   23,  radical
  210, 2 3 5 7,       0,  0,  0,  1,   2,   6,   1,   3,   7,   24,  primorial
  211, 211,           1,  1,  1,  2,   3,   7,   2,   4,   8,   25,  prime
  212, 2² 53,         2,  2,  2,  3,   4,   8,   3,   5,   9,   26,  
  213, 3 71,          0,  3,  3,  4,   5,   9,   4,   6,   10,  27,  radical
  214, 2 107,         1,  4,  4,  5,   6,   10,  5,   7,   11,  28,  radical
  215, 5 43,          2,  0,  5,  6,   7,   11,  6,   8,   12,  29,  radical
  216, 2³ 3³,         0,  1,  6,  7,   8,   12,  7,   9,   13,  30,  radical power
  217, 7 31,          1,  2,  0,  8,   9,   13,  8,   10,  14,  0,   radical
  218, 2 109,         2,  3,  1,  9,   10,  14,  9,   11,  15,  1,   radical
  219, 3 73,          0,  4,  2,  10,  11,  15,  10,  12,  16,  2,   radical
  220, 2² 5 11,       1,  0,  3,  0,   12,  16,  11,  13,  17,  3,   
  221, 13 17,         2,  1,  4,  1,   0,   0,   12,  14,  18,  4,   radical
  222, 2 3 37,        0,  2,  5,  2,   1,   1,   13,  15,  19,  5,   radical
  223, 223,           1,  3,  6,  3,   2,   2,   14,  16,  20,  6,   prime
  224, 2⁵ 7,          2,  4,  0,  4,   3,   3,   15,  17,  21,  7,   
  225, 3² 5²,         0,  0,  1,  5,   4,   4,   16,  18,  22,  8,   radical power
  226, 2 113,         1,  1,  2,  6,   5,   5,   17,  19,  23,  9,   radical
  227, 227,           2,  2,  3,  7,   6,   6,   18,  20,  24,  10,  prime
  228, 2² 3 19,       0,  3,  4,  8,   7,   7,   0,   21,  25,  11,  
  229, 229,           1,  4,  5,  9,   8,   8,   1,   22,  26,  12,  prime
  230, 2 5 23,        2,  0,  6,  10,  9,   9,   2,   0,   27,  13,  radical
  231, 3 7 11,        0,  1,  0,  0,   10,  10,  3,   1,   28,  14,  radical
  232, 2³ 29,         1,  2,  1,  1,   11,  11,  4,   2,   0,   15,  
  233, 233,           2,  3,  2,  2,   12,  12,  5,   3,   1,   16,  prime
  234, 2 3² 13,       0,  4,  3,  3,   0,   13,  6,   4,   2,   17,  
  235, 5 47,          1,  0,  4,  4,   1,   14,  7,   5,   3,   18,  radical
  236, 2² 59,         2,  1,  5,  5,   2,   15,  8,   6,   4,   19,  
  237, 3 79,          0,  2,  6,  6,   3,   16,  9,   7,   5,   20,  radical
  238, 2 7 17,        1,  3,  0,  7,   4,   0,   10,  8,   6,   21,  radical
  239, 239,           2,  4,  1,  8,   5,   1,   11,  9,   7,   22,  prime
  240, 2⁴ 3 5,        0,  0,  2,  9,   6,   2,   12,  10,  8,   23,  
  241, 241,           1,  1,  3,  10,  7,   3,   13,  11,  9,   24,  prime
  242, 2 11²,         2,  2,  4,  0,   8,   4,   14,  12,  10,  25,  
  243, 3⁵,            0,  3,  5,  1,   9,   5,   15,  13,  11,  26,  prime power
  244, 2² 61,         1,  4,  6,  2,   10,  6,   16,  14,  12,  27,  
  245, 5 7²,          2,  0,  0,  3,   11,  7,   17,  15,  13,  28,  
  246, 2 3 41,        0,  1,  1,  4,   12,  8,   18,  16,  14,  29,  radical
  247, 13 19,         1,  2,  2,  5,   0,   9,   0,   17,  15,  30,  radical
  248, 2³ 31,         2,  3,  3,  6,   1,   10,  1,   18,  16,  0,   
  249, 3 83,          0,  4,  4,  7,   2,   11,  2,   19,  17,  1,   radical
  250, 2 5³,          1,  0,  5,  8,   3,   12,  3,   20,  18,  2,   
  251, 251,           2,  1,  6,  9,   4,   13,  4,   21,  19,  3,   prime
  252, 2² 3² 7,       0,  2,  0,  10,  5,   14,  5,   22,  20,  4,   
  253, 11 23,         1,  3,  1,  0,   6,   15,  6,   0,   21,  5,   radical
  254, 2 127,         2,  4,  2,  1,   7,   16,  7,   1,   22,  6,   radical
  255, 3 5 17,        0,  0,  3,  2,   8,   0,   8,   2,   23,  7,   radical
  256, 2⁸,            1,  1,  4,  3,   9,   1,   9,   3,   24,  8,   prime power
  257, 257,           2,  2,  5,  4,   10,  2,   10,  4,   25,  9,   prime
  258, 2 3 43,        0,  3,  6,  5,   11,  3,   11,  5,   26,  10,  radical
  259, 7 37,          1,  4,  0,  6,   12,  4,   12,  6,   27,  11,  radical
  260, 2² 5 13,       2,  0,  1,  7,   0,   5,   13,  7,   28,  12,  
  261, 3² 29,         0,  1,  2,  8,   1,   6,   14,  8,   0,   13,  
  262, 2 131,         1,  2,  3,  9,   2,   7,   15,  9,   1,   14,  radical
  263, 263,           2,  3,  4,  10,  3,   8,   16,  10,  2,   15,  prime
  264, 2³ 3 11,       0,  4,  5,  0,   4,   9,   17,  11,  3,   16,  
  265, 5 53,          1,  0,  6,  1,   5,   10,  18,  12,  4,   17,  radical
  266, 2 7 19,        2,  1,  0,  2,   6,   11,  0,   13,  5,   18,  radical
  267, 3 89,          0,  2,  1,  3,   7,   12,  1,   14,  6,   19,  radical
  268, 2² 67,         1,  3,  2,  4,   8,   13,  2,   15,  7,   20,  
  269, 269,           2,  4,  3,  5,   9,   14,  3,   16,  8,   21,  prime
  270, 2 3³ 5,        0,  0,  4,  6,   10,  15,  4,   17,  9,   22,  
  271, 271,           1,  1,  5,  7,   11,  16,  5,   18,  10,  23,  prime
  272, 2⁴ 17,         2,  2,  6,  8,   12,  0,   6,   19,  11,  24,  
  273, 3 7 13,        0,  3,  0,  9,   0,   1,   7,   20,  12,  25,  radical
  274, 2 137,         1,  4,  1,  10,  1,   2,   8,   21,  13,  26,  radical
  275, 5² 11,         2,  0,  2,  0,   2,   3,   9,   22,  14,  27,  
  276, 2² 3 23,       0,  1,  3,  1,   3,   4,   10,  0,   15,  28,  
  277, 277,           1,  2,  4,  2,   4,   5,   11,  1,   16,  29,  prime
  278, 2 139,         2,  3,  5,  3,   5,   6,   12,  2,   17,  30,  radical
  279, 3² 31,         0,  4,  6,  4,   6,   7,   13,  3,   18,  0,   
  280, 2³ 5 7,        1,  0,  0,  5,   7,   8,   14,  4,   19,  1,   
  281, 281,           2,  1,  1,  6,   8,   9,   15,  5,   20,  2,   prime
  282, 2 3 47,        0,  2,  2,  7,   9,   10,  16,  6,   21,  3,   radical
  283, 283,           1,  3,  3,  8,   10,  11,  17,  7,   22,  4,   prime
  284, 2² 71,         2,  4,  4,  9,   11,  12,  18,  8,   23,  5,   
  285, 3 5 19,        0,  0,  5,  10,  12,  13,  0,   9,   24,  6,   radical
  286, 2 11 13,       1,  1,  6,  0,   0,   14,  1,   10,  25,  7,   radical
  287, 7 41,          2,  2,  0,  1,   1,   15,  2,   11,  26,  8,   radical
  288, 2⁵ 3²,         0,  3,  1,  2,   2,   16,  3,   12,  27,  9,   
  289, 17²,           1,  4,  2,  3,   3,   0,   4,   13,  28,  10,  prime power
  290, 2 5 29,        2,  0,  3,  4,   4,   1,   5,   14,  0,   11,  radical
  291, 3 97,          0,  1,  4,  5,   5,   2,   6,   15,  1,   12,  radical
  292, 2² 73,         1,  2,  5,  6,   6,   3,   7,   16,  2,   13,  
  293, 293,           2,  3,  6,  7,   7,   4,   8,   17,  3,   14,  prime
  294, 2 3 7²,        0,  4,  0,  8,   8,   5,   9,   18,  4,   15,  
  295, 5 59,          1,  0,  1,  9,   9,   6,   10,  19,  5,   16,  radical
  296, 2³ 37,         2,  1,  2,  10,  10,  7,   11,  20,  6,   17,  
  297, 3³ 11,         0,  2,  3,  0,   11,  8,   12,  21,  7,   18,  
  298, 2 149,         1,  3,  4,  1,   12,  9,   13,  22,  8,   19,  radical
  299, 13 23,         2,  4,  5,  2,   0,   10,  14,  0,   9,   20,  radical
  300, 2² 3 5²,       0,  0,  6,  3,   1,   11,  15,  1,   10,  21,  
  301, 7 43,          1,  1,  0,  4,   2,   12,  16,  2,   11,  22,  radical
  302, 2 151,         2,  2,  1,  5,   3,   13,  17,  3,   12,  23,  radical
  303, 3 101,         0,  3,  2,  6,   4,   14,  18,  4,   13,  24,  radical
  304, 2⁴ 19,         1,  4,  3,  7,   5,   15,  0,   5,   14,  25,  
  305, 5 61,          2,  0,  4,  8,   6,   16,  1,   6,   15,  26,  radical
  306, 2 3² 17,       0,  1,  5,  9,   7,   0,   2,   7,   16,  27,  
  307, 307,           1,  2,  6,  10,  8,   1,   3,   8,   17,  28,  prime
  308, 2² 7 11,       2,  3,  0,  0,   9,   2,   4,   9,   18,  29,  
  309, 3 103,         0,  4,  1,  1,   10,  3,   5,   10,  19,  30,  radical
  310, 2 5 31,        1,  0,  2,  2,   11,  4,   6,   11,  20,  0,   radical
  311, 311,           2,  1,  3,  3,   12,  5,   7,   12,  21,  1,   prime
  312, 2³ 3 13,       0,  2,  4,  4,   0,   6,   8,   13,  22,  2,   
  313, 313,           1,  3,  5,  5,   1,   7,   9,   14,  23,  3,   prime
  314, 2 157,         2,  4,  6,  6,   2,   8,   10,  15,  24,  4,   radical
  315, 3² 5 7,        0,  0,  0,  7,   3,   9,   11,  16,  25,  5,   
  316, 2² 79,         1,  1,  1,  8,   4,   10,  12,  17,  26,  6,   
  317, 317,           2,  2,  2,  9,   5,   11,  13,  18,  27,  7,   prime
  318, 2 3 53,        0,  3,  3,  10,  6,   12,  14,  19,  28,  8,   radical
  319, 11 29,         1,  4,  4,  0,   7,   13,  15,  20,  0,   9,   radical
  320, 2⁶ 5,          2,  0,  5,  1,   8,   14,  16,  21,  1,   10,  
  321, 3 107,         0,  1,  6,  2,   9,   15,  17,  22,  2,   11,  radical
  322, 2 7 23,        1,  2,  0,  3,   10,  16,  18,  0,   3,   12,  radical
  323, 17 19,         2,  3,  1,  4,   11,  0,   0,   1,   4,   13,  radical
  324, 2² 3⁴,         0,  4,  2,  5,   12,  1,   1,   2,   5,   14,  
  325, 5² 13,         1,  0,  3,  6,   0,   2,   2,   3,   6,   15,  
  326, 2 163,         2,  1,  4,  7,   1,   3,   3,   4,   7,   16,  radical
  327, 3 109,         0,  2,  5,  8,   2,   4,   4,   5,   8,   17,  radical
