## Collatz orbit of 871

- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- ternary and binary representations of the oc are given.
- `factors` is a mask of the odd prime factor set of oc, where each bit represents prime 3, 5, 7, etc
- residues of oc modulo a set of small primes then follow 

oc,k,dist,base3,base2,factors,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73,m79,m83,m89,m97,m101,m103,m107,m109,m113,m127
299,0,42,102002,100101011,00001001,2,4,5,2,0,10,14,0,9,20,3,12,41,17,34,4,55,31,15,7,62,50,32,8,97,93,85,81,73,45
449,0,41,121122,111000001,00000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,4,1,9,7,7,12,12,14,15,5,39,19,26,25,36,22,47,23,11,54,34,4,61,45,37,21,13,110,68
337,0,40,110111,101010001,0000000000000000000000000000000000000000000000000000000000000000001,1,2,1,7,12,14,14,15,18,27,4,9,36,8,19,42,32,2,53,45,21,5,70,46,34,28,16,10,111,83
253,0,39,100101,11111101,00010001,1,3,1,0,6,15,6,0,21,5,31,7,38,18,41,17,9,52,40,34,16,4,75,59,51,47,39,35,27,126
95,0,38,10112,1011111,0100001,2,0,4,7,4,10,0,3,8,2,21,13,9,1,42,36,34,28,24,22,16,12,6,95,95,95,95,95,95,95
143,0,37,12022,10001111,00011,2,3,3,0,0,7,10,5,27,19,32,20,14,2,37,25,21,9,1,70,64,60,54,46,42,40,36,34,30,16
215,0,36,21222,11010111,0100000000001,2,0,5,6,7,11,6,8,12,29,30,10,0,27,3,38,32,14,2,69,57,49,37,21,13,9,1,106,102,88
323,0,35,102222,101000011,0000011,2,3,1,4,11,0,0,1,4,13,27,36,22,41,5,28,18,55,39,31,7,74,56,32,20,14,2,105,97,69
485,0,34,122222,111100101,010000000000000000000001,2,0,2,1,4,9,10,2,21,20,4,34,12,15,8,13,58,16,59,47,11,70,40,0,81,73,57,49,33,104
91,0,33,10101,1011011,00101,1,1,0,3,0,6,15,22,4,29,17,9,5,44,38,32,30,24,20,18,12,8,2,91,91,91,91,91,91,91
137,0,32,12002,10001001,00000000000000000000000000000001,2,2,4,5,7,1,4,22,21,13,26,14,8,43,31,19,15,3,66,64,58,54,48,40,36,34,30,28,24,10
103,0,31,10211,1100111,00000000000000000000000001,1,3,5,4,12,1,8,11,16,10,29,21,17,9,50,44,42,36,32,30,24,20,14,6,2,0,103,103,103,103
155,0,30,12202,10011011,0100000001,2,0,1,1,12,2,3,17,10,0,7,32,26,14,49,37,33,21,13,9,76,72,66,58,54,52,48,46,42,28
233,0,29,22122,11101001,00000000000000000000000000000000000000000000000001,2,3,2,2,12,12,5,3,1,16,11,28,18,45,21,56,50,32,20,14,75,67,55,39,31,27,19,15,7,106
175,0,28,20111,10101111,011,1,0,0,10,6,5,4,14,1,20,27,11,3,34,16,57,53,41,33,29,17,9,86,78,74,72,68,66,62,48
263,0,27,100202,100000111,0000000000000000000000000000000000000000000000000000001,2,3,4,10,3,8,16,10,2,15,4,17,5,28,51,27,19,62,50,44,26,14,85,69,61,57,49,45,37,9
395,0,26,112122,110001011,010000000000000000001,2,0,3,10,5,4,15,4,18,23,25,26,8,19,24,41,29,60,40,30,0,63,39,7,92,86,74,68,56,14
593,0,25,210222,1001010001,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,3,5,10,8,15,4,18,13,4,1,19,34,29,10,3,44,57,25,9,40,12,59,11,88,78,58,48,28,85
445,0,24,121111,110111101,01000000000000000000001,1,0,4,5,3,3,8,8,10,11,1,35,15,22,21,32,18,43,19,7,50,30,0,57,41,33,17,9,106,64
167,0,23,20012,10100111,00000000000000000000000000000000000001,2,2,6,2,11,14,15,6,22,12,19,3,38,26,8,49,45,33,25,21,9,1,78,70,66,64,60,58,54,40
251,0,22,100022,11111011,00000000000000000000000000000000000000000000000000001,2,1,6,9,4,13,4,21,19,3,29,5,36,16,39,15,7,50,38,32,14,2,73,57,49,45,37,33,25,124
377,0,21,111222,101111001,000010001,2,2,6,3,0,3,16,9,0,5,7,8,33,1,6,23,11,42,22,12,61,45,21,86,74,68,56,50,38,123
283,0,20,101111,100011011,000000000000000000000000000000000000000000000000000000000001,1,3,3,8,10,11,17,7,22,4,24,37,25,1,18,47,39,15,70,64,46,34,16,89,81,77,69,65,57,29
425,0,19,120202,110101001,010001,2,0,5,7,9,0,7,11,19,22,18,15,38,2,1,12,59,23,70,60,30,10,69,37,21,13,104,98,86,44
319,0,18,102211,100111111,000100001,1,4,4,0,7,13,15,20,0,9,23,32,18,37,1,24,14,51,35,27,3,70,52,28,16,10,105,101,93,65
479,0,17,122202,111011111,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,4,3,6,11,3,4,19,15,14,35,28,6,9,2,7,52,10,53,41,5,64,34,91,75,67,51,43,27,98
719,0,16,222122,1011001111,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,4,5,4,4,5,16,6,23,6,16,22,31,14,30,11,48,49,9,62,8,55,7,40,12,101,77,65,41,84
1079,0,15,1110222,10000110111,0000100000000000000001,2,4,1,1,0,8,15,21,6,25,6,13,4,45,19,17,42,7,14,57,52,0,11,12,69,49,9,98,62,63
1619,0,14,2012222,11001010011,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,4,2,2,7,4,4,9,24,7,28,20,28,21,29,26,33,11,57,13,39,42,17,67,3,74,14,93,37,95
2429,0,13,10022222,100101111101,00100000000000000000000000000000000000000000000000000000000000000001,2,4,0,9,11,15,16,14,22,11,24,10,21,32,44,10,50,17,15,20,59,22,26,4,5,60,75,31,56,16
911,0,12,1020202,1110001111,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,1,1,9,1,10,18,14,12,12,23,9,8,18,10,26,57,40,59,35,42,81,21,38,2,87,55,39,7,22
1367,0,11,1212122,10101010111,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,2,2,3,2,7,18,10,4,3,35,14,34,4,42,10,25,27,18,53,24,39,32,9,54,28,83,59,11,97
2051,0,10,2210222,100000000011,0010000000000000000000000000000000000000000000000000000000001,2,1,0,5,10,11,18,4,21,5,16,1,30,30,37,45,38,41,63,7,76,59,4,14,31,94,18,89,17,19
3077,0,9,11012222,110000000101,00000100000000000000000000000000000000001,2,2,4,8,9,0,18,18,3,8,6,2,24,22,3,9,27,62,24,11,75,6,51,70,47,90,81,25,26,29
577,0,8,210101,1001000001,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,1,2,3,5,5,16,7,2,26,19,22,3,18,13,47,46,28,41,9,66,24,79,43,92,72,62,42,32,12,69
433,0,7,121001,110110001,00000000000000000000000000000000000000000000000000000000000000000000000000000000001,1,3,6,4,4,8,15,19,27,30,26,23,3,10,9,20,6,31,7,68,38,18,77,45,29,21,5,106,94,52
325,0,6,110001,101000101,01001,1,0,3,6,0,2,2,3,6,15,29,38,24,43,7,30,20,57,41,33,9,76,58,34,22,16,4,107,99,71
61,0,5,2021,111101,00000000000000001,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61,61,61,61,61,61,61,61,61,61,61,61
23,0,4,212,10111,00000001,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
35,0,3,1022,100011,011,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
53,0,2,1222,110101,000000000000001,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
5,0,1,12,101,01,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5

