# Orbit traces of odd numbers under 1000

Here is the same table printed 3 times:
- in order of ascending n 
- sorted by stopping distance, to group numbers with similar fates 
- sorted by orbit (backwards), to show where they merge

Many adjacent odd numbers have the same stopping time, but diverge for (usually 3 or 6) steps before joining. The intermediate steps are often strongly correlated (part of a chain of almost-doublings).

# `n`          a positive odd integer
# `base2`      the binary representation of n
# `base3`      the ternary representation of n
# `factors`    the prime factors of n
# `dist`       the number of odd-to-odd Collatz for n steps to reach 1
# `nl`         the odd core valuation of the even number to the left of odd n
# `ocldist`    the Collatz odd-to-odd distance of the odd core of n-1
# `nr`         the odd core valuation of the even number to the right of odd n
# `ocrdist`    the Collatz odd-to-odd distance of the odd core of n+1
# `orbit_back` the remaining orbit of n under the odd-to-odd Collatz map, bacwards from 1

n,   base2,      base3,   factors,   dist, nl,      ocldist, nr,      ocrdist, orbit_back
811, 1100101011, 1010001, {811},     48,   (405 1), 7,       (203 2), 12,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 41<- 109<- 145<- 193<- 257<- 685<- 913<- 1217<- 811
813, 1100101101, 1010010, {3 271},   12,   (203 2), 12,      (407 1), 12,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 229<- 305<- 813
815, 1100101111, 1010012, {5 163},   48,   (407 1), 12,      (51 4),  7,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 41<- 109<- 581<- 1549<- 2065<- 2753<- 1835<- 1223<- 815
817, 1100110001, 1010021, {19 43},   12,   (51 4),  7,       (409 1), 12,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 115<- 613<- 817
819, 1100110011, 1010100, {3 7 13},  12,   (409 1), 12,      (205 2), 7,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 461<- 1229<- 819
821, 1100110101, 1010102, {821},     7,    (205 2), 7,       (411 1), 48,      1<- 5<- 13<- 17<- 11<- 29<- 77<- 821
823, 1100110111, 1010111, {823},     48,   (411 1), 48,      (103 3), 31,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 661<- 881<- 587<- 1565<- 1043<- 695<- 1853<- 1235<- 823
825, 1100111001, 1010120, {3 5 11},  48,   (103 3), 31,      (413 1), 31,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 221<- 589<- 785<- 523<- 697<- 929<- 619<- 825
827, 1100111011, 1010122, {827},     12,   (413 1), 31,      (207 2), 31,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 197<- 131<- 1397<- 931<- 1241<- 827
829, 1100111101, 1010201, {829},     31,   (207 2), 31,      (415 1), 48,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 701<- 467<- 311<- 829
831, 1100111111, 1010210, {3 277},   48,   (415 1), 48,      (13 6),  2,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 1333<- 1777<- 2369<- 6317<- 4211<- 2807<- 1871<- 1247<- 831
833, 1101000001, 1010212, {7 17},    7,    (13 6),  2,       (417 1), 48,      1<- 5<- 13<- 17<- 11<- 469<- 625<- 833
835, 1101000011, 1010221, {5 167},   48,   (417 1), 48,      (209 2), 12,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 95<- 253<- 337<- 449<- 299<- 199<- 265<- 353<- 235<- 1253<- 835
837, 1101000101, 1011000, {3 31},    12,   (209 2), 12,      (419 1), 12,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157<- 837
839, 1101000111, 1011002, {839},     29,   (419 1), 12,      (105 3), 12,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 917<- 611<- 407<- 271<- 361<- 481<- 641<- 427<- 569<- 379<- 505<- 2693<- 1795<- 2393<- 1595<- 1063<- 1417<- 1889<- 1259<- 839
841, 1101001001, 1011011, {29},      12,   (105 3), 12,      (421 1), 12,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 25<- 533<- 1421<- 947<- 631<- 841
843, 1101001011, 1011020, {3 281},   12,   (421 1), 12,      (211 2), 12,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 949<- 1265<- 843
845, 1101001101, 1011022, {5 13},    12,   (211 2), 12,      (423 1), 9,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 269<- 179<- 119<- 317<- 845
847, 1101001111, 1011101, {7 11},    9,    (423 1), 9,       (53 4),  2,       1<- 341<- 227<- 151<- 805<- 1073<- 2861<- 1907<- 1271<- 847
849, 1101010001, 1011110, {3 283},   19,   (53 4),  2,       (425 1), 19,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 607<- 809<- 539<- 359<- 239<- 637<- 849
851, 1101010011, 1011112, {23 37},   19,   (425 1), 19,      (213 2), 2,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 1277<- 851
853, 1101010101, 1011121, {853},     2,    (213 2), 2,       (427 1), 17,      1<- 5<- 853
855, 1101010111, 1011200, {3 5 19},  17,   (427 1), 17,      (107 3), 36,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 917<- 611<- 407<- 271<- 361<- 1925<- 1283<- 855
857, 1101011001, 1011202, {857},     7,    (107 3), 36,      (429 1), 36,      1<- 5<- 13<- 17<- 181<- 965<- 643<- 857
859, 1101011011, 1011211, {859},     53,   (429 1), 36,      (215 2), 36,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 55<- 73<- 97<- 2069<- 1379<- 919<- 1225<- 1633<- 2177<- 1451<- 967<- 1289<- 859
861, 1101011101, 1011220, {3 7 41},  36,   (215 2), 36,      (431 1), 12,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 861
863, 1101011111, 1011222, {863},     12,   (431 1), 12,      (27 5),  41,      1<- 5<- 13<- 17<- 11<- 29<- 77<- 205<- 4373<- 2915<- 1943<- 1295<- 863
865, 1101100001, 1012001, {5 173},   53,   (27 5),  41,      (433 1), 7,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 661<- 881<- 587<- 1565<- 1043<- 695<- 1853<- 1235<- 823<- 1097<- 731<- 487<- 649<- 865
867, 1101100011, 1012010, {3 17},    7,    (433 1), 7,       (217 2), 7,       1<- 5<- 53<- 35<- 23<- 61<- 1301<- 867
869, 1101100101, 1012012, {11 79},   7,    (217 2), 7,       (435 1), 7,       1<- 5<- 53<- 35<- 23<- 245<- 163<- 869
871, 1101100111, 1012021, {13 67},   65,   (435 1), 7,       (109 3), 41,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 95<- 253<- 337<- 449<- 299<- 797<- 2125<- 11333<- 7555<- 10073<- 6715<- 8953<- 47749<- 63665<- 42443<- 28295<- 18863<- 12575<- 8383<- 11177<- 7451<- 4967<- 3311<- 2207<- 1471<- 1961<- 1307<- 871
873, 1101101001, 1012100, {3 97},    53,   (109 3), 41,      (437 1), 41,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 1333<- 1777<- 2369<- 1579<- 2105<- 1403<- 935<- 623<- 415<- 2213<- 1475<- 983<- 655<- 873
875, 1101101011, 1012102, {5 7},     7,    (437 1), 41,      (219 2), 17,      1<- 5<- 13<- 1109<- 739<- 985<- 1313<- 875
877, 1101101101, 1012111, {877},     17,   (219 2), 17,      (439 1), 17,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157<- 209<- 557<- 371<- 247<- 329<- 877
879, 1101101111, 1012120, {3 293},   53,   (439 1), 17,      (55 4),  41,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 95<- 253<- 337<- 449<- 299<- 199<- 265<- 353<- 235<- 1253<- 3341<- 2227<- 2969<- 1979<- 1319<- 879
881, 1101110001, 1012122, {881},     41,   (55 4),  41,      (441 1), 7,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 661<- 881
883, 1101110011, 1012201, {883},     7,    (441 1), 7,       (221 2), 41,      1<- 5<- 53<- 35<- 373<- 497<- 1325<- 883
885, 1101110101, 1012210, {3 5 59},  41,   (221 2), 41,      (443 1), 17,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 885
887, 1101110111, 1012212, {887},     17,   (443 1), 17,      (111 3), 24,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 269<- 179<- 119<- 317<- 211<- 281<- 749<- 1997<- 1331<- 887
889, 1101111001, 1012221, {7 127},   53,   (111 3), 24,      (445 1), 24,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 6101<- 4067<- 2711<- 7229<- 4819<- 6425<- 4283<- 2855<- 1903<- 2537<- 1691<- 1127<- 751<- 1001<- 667<- 889
891, 1101111011, 1020000, {3 11},    14,   (445 1), 24,      (223 2), 24,      1<- 341<- 227<- 151<- 805<- 1073<- 2861<- 1907<- 1271<- 847<- 1129<- 1505<- 1003<- 1337<- 891
893, 1101111101, 1020002, {19 47},   24,   (223 2), 24,      (447 1), 34,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 1133<- 755<- 503<- 335<- 893
895, 1101111111, 1020011, {5 179},   34,   (447 1), 34,      (7 7),   5,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 7381<- 9841<- 13121<- 8747<- 5831<- 3887<- 2591<- 1727<- 1151<- 767<- 2045<- 5453<- 3635<- 2423<- 1615<- 2153<- 5741<- 3827<- 10205<- 6803<- 4535<- 3023<- 2015<- 1343<- 895
897, 1110000001, 1020020, {3 13 23}, 22,   (7 7),   5,       (449 1), 41,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 917<- 611<- 407<- 271<- 361<- 481<- 641<- 427<- 569<- 379<- 505<- 673<- 897
899, 1110000011, 1020022, {29 31},   41,   (449 1), 41,      (225 2), 17,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 95<- 253<- 1349<- 899
901, 1110000101, 1020101, {17 53},   17,   (225 2), 17,      (451 1), 17,      1<- 5<- 13<- 17<- 11<- 29<- 77<- 205<- 1093<- 1457<- 971<- 647<- 431<- 287<- 191<- 127<- 169<- 901
903, 1110000111, 1020110, {3 7 43},  41,   (451 1), 17,      (113 3), 2,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 1525<- 2033<- 1355<- 903
905, 1110001001, 1020112, {5 181},   22,   (113 3), 2,       (453 1), 2,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 461<- 307<- 409<- 545<- 1453<- 1937<- 1291<- 1721<- 1147<- 1529<- 1019<- 679<- 905
907, 1110001011, 1020121, {907},     17,   (453 1), 2,       (227 2), 2,       1<- 5<- 13<- 17<- 11<- 29<- 77<- 205<- 4373<- 2915<- 1943<- 1295<- 863<- 575<- 383<- 1021<- 1361<- 907
909, 1110001101, 1020200, {3 101},   2,    (227 2), 2,       (455 1), 12,      1<- 341<- 909
911, 1110001111, 1020202, {911},     12,   (455 1), 12,      (57 4),  10,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911
913, 1110010001, 1020211, {11 83},   46,   (57 4),  10,      (457 1), 46,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 41<- 109<- 145<- 193<- 257<- 685<- 913
915, 1110010011, 1020220, {3 5 61},  46,   (457 1), 46,      (229 2), 10,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 41<- 109<- 145<- 773<- 515<- 1373<- 915
917, 1110010101, 1020222, {7 131},   10,   (229 2), 10,      (459 1), 46,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 917
919, 1110010111, 1021001, {919},     46,   (459 1), 46,      (115 3), 10,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 55<- 73<- 97<- 2069<- 1379<- 919
921, 1110011001, 1021010, {3 307},   46,   (115 3), 10,      (461 1), 10,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 55<- 73<- 389<- 1037<- 691<- 921
923, 1110011011, 1021012, {13 71},   22,   (461 1), 10,      (231 2), 46,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157<- 209<- 557<- 371<- 247<- 329<- 3509<- 2339<- 1559<- 1039<- 1385<- 923
925, 1110011101, 1021021, {5 37},    46,   (231 2), 46,      (463 1), 46,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 661<- 881<- 587<- 391<- 521<- 347<- 925
927, 1110011111, 1021100, {3 103},   41,   (463 1), 46,      (29 5),  5,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 607<- 809<- 539<- 359<- 239<- 637<- 3397<- 4529<- 3019<- 4025<- 2683<- 3577<- 4769<- 3179<- 2119<- 2825<- 1883<- 5021<- 3347<- 2231<- 1487<- 991<- 5285<- 3523<- 4697<- 3131<- 2087<- 1391<- 927
929, 1110100001, 1021102, {929},     46,   (29 5),  5,       (465 1), 10,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 221<- 589<- 785<- 523<- 697<- 929
931, 1110100011, 1021111, {7 19},    10,   (465 1), 10,      (233 2), 29,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 197<- 131<- 1397<- 931
933, 1110100101, 1021120, {3 311},   29,   (233 2), 29,      (467 1), 29,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 933
935, 1110100111, 1021122, {5 11 17}, 46,   (467 1), 29,      (117 3), 5,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 1333<- 1777<- 2369<- 1579<- 2105<- 1403<- 935
937, 1110101001, 1021201, {937},     63,   (117 3), 5,       (469 1), 5,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 157<- 3349<- 4465<- 23813<- 15875<- 10583<- 7055<- 4703<- 50165<- 33443<- 22295<- 14863<- 19817<- 13211<- 8807<- 23485<- 31313<- 83501<- 55667<- 37111<- 49481<- 32987<- 21991<- 29321<- 19547<- 13031<- 8687<- 5791<- 7721<- 5147<- 3431<- 2287<- 12197<- 32525<- 21683<- 14455<- 19273<- 25697<- 17131<- 22841<- 15227<- 10151<- 6767<- 4511<- 3007<- 4009<- 5345<- 3563<- 2375<- 1583<- 1055<- 703<- 937
939, 1110101011, 1021210, {3 313},   29,   (469 1), 5,       (235 2), 46,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 1133<- 755<- 503<- 335<- 893<- 595<- 793<- 1057<- 1409<- 939
941, 1110101101, 1021212, {941},     46,   (235 2), 46,      (471 1), 46,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 95<- 253<- 337<- 449<- 299<- 199<- 265<- 353<- 941
943, 1110101111, 1021221, {23 41},   10,   (471 1), 46,      (59 4),  10,      1<- 5<- 13<- 17<- 11<- 7<- 2389<- 3185<- 2123<- 1415<- 943
945, 1110110001, 1022000, {3 5 7},   10,   (59 4),  10,      (473 1), 10,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 25<- 133<- 709<- 945
947, 1110110011, 1022002, {947},     10,   (473 1), 10,      (237 2), 10,      1<- 5<- 13<- 17<- 11<- 29<- 19<- 25<- 533<- 1421<- 947
949, 1110110101, 1022011, {13 73},   10,   (237 2), 10,      (475 1), 7,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 949
951, 1110110111, 1022020, {3 317},   7,    (475 1), 7,       (119 3), 10,      1<- 85<- 113<- 1205<- 803<- 2141<- 1427<- 951
953, 1110111001, 1022022, {953},     7,    (119 3), 10,      (477 1), 10,      1<- 341<- 227<- 151<- 805<- 1073<- 715<- 953
955, 1110111011, 1022101, {5 191},   7,    (477 1), 10,      (239 2), 17,      1<- 341<- 227<- 605<- 1613<- 1075<- 1433<- 955
957, 1110111101, 1022110, {3 11 29}, 17,   (239 2), 17,      (479 1), 17,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 607<- 809<- 539<- 359<- 957
959, 1110111111, 1022112, {7 137},   46,   (479 1), 17,      (15 6),  5,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 365<- 3893<- 10381<- 13841<- 9227<- 6151<- 8201<- 5467<- 7289<- 4859<- 3239<- 2159<- 1439<- 959
961, 1111000001, 1022121, {31},      15,   (15 6),  5,       (481 1), 15,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 229<- 305<- 203<- 541<- 721<- 961
963, 1111000011, 1022200, {3 107},   15,   (481 1), 15,      (241 2), 5,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 43<- 917<- 611<- 407<- 271<- 1445<- 963
965, 1111000101, 1022202, {5 193},   5,    (241 2), 5,       (483 1), 5,       1<- 5<- 13<- 17<- 181<- 965
967, 1111000111, 1022211, {967},     51,   (483 1), 5,       (121 3), 34,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 55<- 73<- 97<- 2069<- 1379<- 919<- 1225<- 1633<- 2177<- 1451<- 967
969, 1111001001, 1022220, {3 17 19}, 15,   (121 3), 34,      (485 1), 34,      1<- 5<- 13<- 17<- 11<- 7<- 37<- 49<- 65<- 173<- 461<- 307<- 1637<- 1091<- 727<- 969
971, 1111001011, 1022222, {971},     10,   (485 1), 34,      (243 2), 34,      1<- 5<- 13<- 17<- 11<- 29<- 77<- 205<- 1093<- 1457<- 971
973, 1111001101, 1100001, {7 139},   34,   (243 2), 34,      (487 1), 51,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 365<- 973
975, 1111001111, 1100010, {3 5 13},  51,   (487 1), 51,      (61 4),  5,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 661<- 881<- 587<- 1565<- 1043<- 695<- 1853<- 1235<- 3293<- 2195<- 1463<- 975
977, 1111010001, 1100012, {977},     34,   (61 4),  5,       (489 1), 15,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 413<- 275<- 733<- 977
979, 1111010011, 1100021, {11 89},   15,   (489 1), 15,      (245 2), 5,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 197<- 131<- 1397<- 931<- 1241<- 827<- 551<- 1469<- 979
981, 1111010101, 1100100, {3 109},   5,    (245 2), 5,       (491 1), 51,      1<- 5<- 53<- 35<- 23<- 981
983, 1111010111, 1100102, {983},     51,   (491 1), 51,      (123 3), 15,      1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 1333<- 1777<- 2369<- 1579<- 2105<- 1403<- 935<- 623<- 415<- 2213<- 1475<- 983
985, 1111011001, 1100111, {5 197},   5,    (123 3), 15,      (493 1), 15,      1<- 5<- 13<- 1109<- 739<- 985
987, 1111011011, 1100120, {3 7 47},  10,   (493 1), 15,      (247 2), 15,      1<- 5<- 13<- 17<- 11<- 469<- 2501<- 1667<- 1111<- 1481<- 987
