# Orbit traces of odd numbers under 1000

Here is the same table printed 3 times:
- in order of ascending n 
- sorted by stopping distance, to group numbers with similar fates 
- sorted by orbit (backwards), to show where they merge

Many adjacent odd numbers have the same stopping time, but diverge for (usually 3 or 6) steps before joining. The intermediate steps are often strongly correlated (part of a chain of almost-doublings).

# `n`          a positive odd integer
# `base2`      the binary representation of n
# `base3`      the ternary representation of n
# `factors`    the prime factors of n
# `dist`       the number of odd-to-odd Collatz for n steps to reach 1
# `nl`         the odd core valuation of the even number to the left of odd n
# `ocldist`    the Collatz odd-to-odd distance of the odd core of n-1
# `nr`         the odd core valuation of the even number to the right of odd n
# `ocrdist`    the Collatz odd-to-odd distance of the odd core of n+1
# `orbit_back` the remaining orbit of n under the odd-to-odd Collatz map, bacwards from 1

n,   base2,      base3,   factors,   dist, nl,      ocldist, nr,      ocrdist, orbit_back
87,  1010111,    10020,   {3 29},    9,    (43 1),  9,       (11 3),  4,       1<- 5<- 13<- 17<- 11<- 7<- 37<- 197<- 131<- 87
89,  1011001,    10022,   {89},      9,    (11 3),  4,       (45 1),  4,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89
91,  1011011,    10101,   {7 13},    33,   (45 1),  4,       (23 2),  4,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91
93,  1011101,    10110,   {3 31},    4,    (23 2),  4,       (47 1),  38,      1<- 5<- 53<- 35<- 93
95,  1011111,    10112,   {5 19},    38,   (47 1),  38,      (3 5),   2,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 485<- 323<- 215<- 143<- 95
97,  1100001,    10121,   {97},      43,   (3 5),   2,       (49 1),  7,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 125<- 83<- 55<- 73<- 97
99,  1100011,    10200,   {3 11},    7,    (49 1),  7,       (25 2),  7,       1<- 5<- 13<- 17<- 11<- 7<- 149<- 99
101, 1100101,    10202,   {101},     7,    (25 2),  7,       (51 1),  7,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101
103, 1100111,    10211,   {103},     31,   (51 1),  7,       (13 3),  2,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103
105, 1101001,    10220,   {3 5 7},   12,   (13 3),  2,       (53 1),  2,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 269<- 179<- 119<- 79<- 105
