# `n`       a positive integer
# `factors` the prime factors of n
# `gbpairs` the Goldbach prime pairs that sum to n, if n is even and greater than 4

n,     factors,    gbpairs
958,   2⋅479,      5+953 11+947 17+941 29+929 47+911 71+887 101+857 131+827 137+821 149+809 197+761 239+719 257+701 281+677 311+647 317+641 359+599 389+569 401+557 449+509 467+491 479+479
959,   7⋅137,      
960,   2⁶⋅3⋅5,     7+953 13+947 19+941 23+937 31+929 41+919 53+907 73+887 79+881 83+877 97+863 101+859 103+857 107+853 131+829 137+823 139+821 149+811 151+809 163+797 173+787 191+769 199+761 227+733 233+727 241+719 251+709 269+691 277+683 283+677 307+653 313+647 317+643 347+613 353+607 359+601 367+593 373+587 383+577 389+571 397+563 419+541 439+521 457+503 461+499
961,   31²,        
962,   2⋅13⋅37,    43+919 79+883 103+859 109+853 139+823 151+811 193+769 211+751 223+739 229+733 271+691 331+631 349+613 421+541 439+523 463+499
963,   3²⋅107,     
964,   2²⋅241,     11+953 17+947 23+941 53+911 83+881 101+863 107+857 137+827 167+797 191+773 263+701 281+683 311+653 317+647 347+617 401+563 443+521 461+503
965,   5⋅193,      
966,   2⋅3⋅7⋅23,   13+953 19+947 29+937 37+929 47+919 59+907 79+887 83+883 89+877 103+863 107+859 109+857 113+853 127+839 137+829 139+827 157+809 179+787 193+773 197+769 223+743 227+739 233+733 239+727 257+709 283+683 293+673 307+659 313+653 347+619 349+617 353+613 359+607 367+599 373+593 379+587 389+577 397+569 409+557 419+547 443+523 457+509 463+503 467+499 479+487
967,   967,        
968,   2³⋅11²,     31+937 61+907 109+859 139+829 157+811 181+787 199+769 211+757 229+739 241+727 277+691 307+661 337+631 349+619 367+601 397+571 421+547
969,   3⋅17⋅19,    
970,   2⋅5⋅97,     3+967 17+953 23+947 29+941 41+929 59+911 83+887 89+881 107+863 113+857 131+839 149+821 173+797 197+773 227+743 251+719 269+701 293+677 311+659 317+653 353+617 383+587 401+569 449+521 461+509 467+503 479+491
971,   971,        
972,   2²⋅3⁵,      5+967 19+953 31+941 43+929 53+919 61+911 89+883 109+863 113+859 149+823 151+821 163+809 199+773 211+761 229+743 233+739 239+733 263+709 271+701 281+691 311+661 313+659 331+641 353+619 359+613 373+599 379+593 401+571 409+563 431+541 449+523 463+509
973,   7⋅139,      
974,   2⋅487,      3+971 7+967 37+937 67+907 97+877 151+823 163+811 223+751 241+733 283+691 313+661 331+643 367+607 373+601 397+577 433+541 487+487
975,   3⋅5²⋅13,    
976,   2⁴⋅61,      5+971 23+953 29+947 47+929 89+887 113+863 137+839 149+827 167+809 179+797 233+743 257+719 293+683 317+659 359+617 383+593 389+587 419+557 467+509
977,   977,        
978,   2⋅3⋅163,    7+971 11+967 31+947 37+941 41+937 59+919 67+911 71+907 97+881 101+877 139+839 149+829 151+827 157+821 167+811 181+797 191+787 227+751 239+739 251+727 269+709 277+701 317+661 331+647 337+641 347+631 359+619 379+599 401+577 409+569 421+557 431+547 457+521 479+499 487+491
979,   11⋅89,      
980,   2²⋅5⋅7²,    3+977 13+967 43+937 61+919 73+907 97+883 103+877 127+853 151+829 157+823 193+787 211+769 223+757 229+751 241+739 271+709 307+673 337+643 349+631 367+613 373+607 379+601 409+571 433+547 439+541 457+523
981,   3²⋅109,     
982,   2⋅491,      5+977 11+971 29+953 41+941 53+929 71+911 101+881 173+809 239+743 263+719 281+701 383+599 389+593 419+563 461+521 479+503 491+491
983,   983,        
984,   2³⋅3⋅41,    7+977 13+971 17+967 31+953 37+947 43+941 47+937 73+911 97+887 101+883 103+881 107+877 127+857 131+853 157+827 163+821 173+811 197+787 211+773 223+761 227+757 233+751 241+743 251+733 257+727 283+701 293+691 307+677 311+673 331+653 337+647 353+631 367+617 383+601 397+587 421+563 443+541 461+523 463+521
985,   5⋅197,      
986,   2⋅17⋅29,    3+983 19+967 67+919 79+907 103+883 109+877 127+859 157+829 163+823 199+787 229+757 277+709 313+673 367+619 373+613 379+607 409+577 439+547 463+523 487+499
987,   3⋅7⋅47,     
988,   2²⋅13⋅19,   5+983 11+977 17+971 41+947 47+941 59+929 101+887 107+881 131+857 149+839 167+821 179+809 191+797 227+761 269+719 311+677 347+641 389+599 401+587 419+569 431+557 467+521 479+509
989,   23⋅43,      
990,   2⋅3²⋅5⋅11,  7+983 13+977 19+971 23+967 37+953 43+947 53+937 61+929 71+919 79+911 83+907 103+887 107+883 109+881 113+877 127+863 131+859 137+853 151+839 163+827 167+823 179+811 181+809 193+797 229+761 233+757 239+751 251+739 257+733 263+727 271+719 281+709 307+683 313+677 317+673 331+659 337+653 347+643 349+641 359+631 373+617 383+607 389+601 397+593 419+571 421+569 433+557 443+547 449+541 467+523 487+503 491+499
991,   991,        
992,   2⁵⋅31,      73+919 109+883 139+853 163+829 181+811 223+769 241+751 283+709 331+661 349+643 373+619 379+613 421+571
993,   3⋅331,      
994,   2⋅7⋅71,     3+991 11+983 17+977 23+971 41+953 47+947 53+941 83+911 107+887 113+881 131+863 137+857 167+827 173+821 197+797 233+761 251+743 293+701 311+683 317+677 347+647 353+641 401+593 431+563 491+503
995,   5⋅199,      
996,   2²⋅3⋅83,    5+991 13+983 19+977 29+967 43+953 59+937 67+929 89+907 109+887 113+883 137+859 139+857 157+839 167+829 173+823 199+797 223+773 227+769 239+757 257+739 263+733 269+727 277+719 313+683 337+659 349+647 353+643 379+617 383+613 389+607 397+599 409+587 419+577 433+563 439+557 449+547 487+509
997,   997,        
998,   2⋅499,      7+991 31+967 61+937 79+919 139+859 211+787 229+769 241+757 271+727 307+691 337+661 367+631 379+619 397+601 421+577 457+541 499+499
999,   3³⋅37,      
1000,  2³⋅5³,      3+997 17+983 23+977 29+971 47+953 53+947 59+941 71+929 89+911 113+887 137+863 173+827 179+821 191+809 227+773 239+761 257+743 281+719 317+683 347+653 353+647 359+641 383+617 401+599 431+569 443+557 479+521 491+509
