n,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
115,0,115,1,0,3,5,11,13,1,0,28,22,4,33,29,21,9,56,54,48,44,42
116,2,29,2,4,1,7,3,12,10,6,0,29,29,29,29,29,29,29,29,29,29,29
117,0,117,0,2,5,7,0,15,3,2,1,24,6,35,31,23,11,58,56,50,46,44
118,1,59,2,4,3,4,7,8,2,13,1,28,22,18,16,12,6,0,59,59,59,59
119,0,119,2,4,0,9,2,0,5,4,3,26,8,37,33,25,13,1,58,52,48,46
120,3,15,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
121,0,121,1,1,2,0,4,2,7,6,5,28,10,39,35,27,15,3,60,54,50,48
122,1,61,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61,61
123,0,123,0,3,4,2,6,4,9,8,7,30,12,0,37,29,17,5,1,56,52,50
124,2,31,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31,31
125,0,125,2,0,6,4,8,6,11,10,9,1,14,2,39,31,19,7,3,58,54,52
126,1,63,0,3,0,8,11,12,6,17,5,1,26,22,20,16,10,4,2,63,63,63
127,0,127,1,2,1,6,10,8,13,12,11,3,16,4,41,33,21,9,5,60,56,54
128,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,0,129,0,4,3,8,12,10,15,14,13,5,18,6,0,35,23,11,7,62,58,56
130,1,65,2,0,2,10,0,14,8,19,7,3,28,24,22,18,12,6,4,65,65,65
131,0,131,2,1,5,10,1,12,17,16,15,7,20,8,2,37,25,13,9,64,60,58
132,2,33,0,3,5,0,7,16,14,10,4,2,33,33,33,33,33,33,33,33,33,33
133,0,133,1,3,0,1,3,14,0,18,17,9,22,10,4,39,27,15,11,66,62,60
134,1,67,1,2,4,1,2,16,10,21,9,5,30,26,24,20,14,8,6,0,67,67
135,0,135,0,0,2,3,5,16,2,20,19,11,24,12,6,41,29,17,13,1,64,62
136,3,17,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17
137,0,137,2,2,4,5,7,1,4,22,21,13,26,14,8,43,31,19,15,3,66,64
138,1,69,0,4,6,3,4,1,12,0,11,7,32,28,26,22,16,10,8,2,69,69
139,0,139,1,4,6,7,9,3,6,1,23,15,28,16,10,45,33,21,17,5,68,66
140,2,35,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35,35
141,0,141,0,1,1,9,11,5,8,3,25,17,30,18,12,0,35,23,19,7,70,68
142,1,71,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0,71
143,0,143,2,3,3,0,0,7,10,5,27,19,32,20,14,2,37,25,21,9,1,70
144,4,9,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
145,0,145,1,0,5,2,2,9,12,7,0,21,34,22,16,4,39,27,23,11,3,72
146,1,73,1,3,3,7,8,5,16,4,15,11,36,32,30,26,20,14,12,6,2,0
147,0,147,0,2,0,4,4,11,14,9,2,23,36,24,18,6,41,29,25,13,5,1
148,2,37,1,2,2,4,11,3,18,14,8,6,0,37,37,37,37,37,37,37,37,37
149,0,149,2,4,2,6,6,13,16,11,4,25,1,26,20,8,43,31,27,15,7,3
150,1,75,0,0,5,9,10,7,18,6,17,13,1,34,32,28,22,16,14,8,4,2
151,0,151,1,1,4,8,8,15,18,13,6,27,3,28,22,10,45,33,29,17,9,5
152,3,19,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19
153,0,153,0,3,6,10,10,0,1,15,8,29,5,30,24,12,47,35,31,19,11,7
154,1,77,2,2,0,0,12,9,1,8,19,15,3,36,34,30,24,18,16,10,6,4
155,0,155,2,0,1,1,12,2,3,17,10,0,7,32,26,14,49,37,33,21,13,9
156,2,39,0,4,4,6,0,5,1,16,10,8,2,39,39,39,39,39,39,39,39,39
157,0,157,1,2,3,3,1,4,5,19,12,2,9,34,28,16,51,39,35,23,15,11
158,1,79,1,4,2,2,1,11,3,10,21,17,5,38,36,32,26,20,18,12,8,6
159,0,159,0,4,5,5,3,6,7,21,14,4,11,36,30,18,0,41,37,25,17,13
160,5,5,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
