# Twin prime centers up to 10000

# `n`       a positive even integer sitting between two prime numbers
# `base3`   the ternary representation of n
# `symbol3` symbolic representation of the ternary encoding of n (1 = "░", 2 = "▒", 3 = "█")
# `base2`   the binary representation of n
# `symbol2` symbolic representation of the binary encoding of n (1 = "░", 2 = "█")
# `factors` the prime factors of n

    n,      base3,    symbol3,           base2,         symbol2, factors
 4422,   20001210,   █░░░▒█▒░,   1000101000110,   █░░░█░█░░░██░, {2 3 11 67}
 4482,   20011000,   █░░▒▒░░░,   1000110000010,   █░░░██░░░░░█░, {2 3 83}
 4518,   20012100,   █░░▒█▒░░,   1000110100110,   █░░░██░█░░██░, {2 3 251}
 4548,   20020110,   █░░█░▒▒░,   1000111000100,   █░░░███░░░█░░, {2 3 379}
 4638,   20100210,   █░▒░░█▒░,   1001000011110,   █░░█░░░░████░, {2 3 773}
 4650,   20101020,   █░▒░▒░█░,   1001000101010,   █░░█░░░█░█░█░, {2 3 5 31}
 4722,   20110220,   █░▒▒░██░,   1001001110010,   █░░█░░███░░█░, {2 3 787}
 4788,   20120100,   █░▒█░▒░░,   1001010110100,   █░░█░█░██░█░░, {2 3 7 19}
 4800,   20120210,   █░▒█░█▒░,   1001011000000,   █░░█░██░░░░░░, {2 3 5}
 4932,   20202200,   █░█░██░░,   1001101000100,   █░░██░█░░░█░░, {2 3 137}
 4968,   20211000,   █░█▒▒░░░,   1001101101000,   █░░██░██░█░░░, {2 3 23}
 5010,   20212120,   █░█▒█▒█░,   1001110010010,   █░░███░░█░░█░, {2 3 5 167}
 5022,   20220000,   █░██░░░░,   1001110011110,   █░░███░░████░, {2 3 31}
 5100,   20222220,   █░█████░,   1001111101100,   █░░█████░██░░, {2 3 5 17}
 5232,   21011210,   █▒░▒▒█▒░,   1010001110000,   █░█░░░███░░░░, {2 3 109}
 5280,   21020120,   █▒░█░▒█░,   1010010100000,   █░█░░█░█░░░░░, {2 3 5 11}
 5418,   21102200,   █▒▒░██░░,   1010100101010,   █░█░█░░█░█░█░, {2 3 7 43}
 5442,   21110120,   █▒▒▒░▒█░,   1010101000010,   █░█░█░█░░░░█░, {2 3 907}
 5478,   21111220,   █▒▒▒▒██░,   1010101100110,   █░█░█░██░░██░, {2 3 11 83}
 5502,   21112210,   █▒▒▒██▒░,   1010101111110,   █░█░█░██████░, {2 3 7 131}
 5520,   21120110,   █▒▒█░▒▒░,   1010110010000,   █░█░██░░█░░░░, {2 3 5 23}
 5640,   21201220,   █▒█░▒██░,   1011000001000,   █░██░░░░░█░░░, {2 3 5 47}
 5652,   21202100,   █▒█░█▒░░,   1011000010100,   █░██░░░░█░█░░, {2 3 157}
 5658,   21202120,   █▒█░█▒█░,   1011000011010,   █░██░░░░██░█░, {2 3 23 41}
 5742,   21212200,   █▒█▒██░░,   1011001101110,   █░██░░██░███░, {2 3 11 29}
 5850,   22000200,   ██░░░█░░,   1011011011010,   █░██░██░██░█░, {2 3 5 13}
 5868,   22001100,   ██░░▒▒░░,   1011011101100,   █░██░███░██░░, {2 3 163}
 5880,   22001210,   ██░░▒█▒░,   1011011111000,   █░██░█████░░░, {2 3 5 7}
 6090,   22100120,   ██▒░░▒█░,   1011111001010,   █░█████░░█░█░, {2 3 5 7 29}
 6132,   22102010,   ██▒░█░▒░,   1011111110100,   █░███████░█░░, {2 3 7 73}
 6198,   22111120,   ██▒▒▒▒█░,   1100000110110,   ██░░░░░██░██░, {2 3 1033}
 6270,   22121020,   ██▒█▒░█░,   1100001111110,   ██░░░░██████░, {2 3 5 11 19}
 6300,   22122100,   ██▒██▒░░,   1100010011100,   ██░░░█░░███░░, {2 3 5 7}
 6360,   22201120,   ███░▒▒█░,   1100011011000,   ██░░░██░██░░░, {2 3 5 53}
 6450,   22211220,   ███▒▒██░,   1100100110010,   ██░░█░░██░░█░, {2 3 5 43}
 6552,   22222200,   ██████░░,   1100110011000,   ██░░██░░██░░░, {2 3 7 13}
