# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `psym`      the symmetric primes at equal offsets around n

factorzig,                     psym
4013,                          [6 66]
 2⋅3²⋅223,                     [7 13 85 97]
  5⋅11⋅73,                     [12 84 96]
   2⁴⋅251,                     [3]
  3⋅13⋅103,                    [4 10 74 94]
 2⋅7²⋅41,                      [75]
4019,                          [30 72]
 2²⋅3⋅5⋅67,                    [1 7 31 53 73 91]
4021,                          [78 90]
 2⋅2011,                       []
  3³⋅149,                      [4 34 56 76]
   2³⋅503,                     [3]
  5²⋅7⋅23,                     [24]
 2⋅3⋅11⋅61,                    [23 25]
4027,                          [24 84]
 2²⋅19⋅53,                     [21 99]
  3⋅17⋅79,                     [22 28 62 82 98 100]
   2⋅5⋅13⋅31,                  [27 63 99]
    29⋅139,                    [18 42]
     2⁶⋅3²⋅7,                  [19 25]
      37⋅109,                  [66]
       2⋅2017,                 [15 45]
        3⋅5⋅269,               [14 16 22 92]
         2²⋅1009,              [15 93]
          11⋅367,              [36 90]
           2⋅3⋅673,            [11 19 35 91 95]
          7⋅577,               [12 18 72]
         2³⋅5⋅101,             [33 39 51 93]
        3²⋅449,                [38 52 98]
       2⋅43⋅47,                [15]
      13⋅311,                  [30 36 96]
     2²⋅3⋅337,                 [55]
    5⋅809,                     []
   2⋅7⋅17²,                    [27 33 45]
  3⋅19⋅71,                     [26 44 46 80]
 2⁴⋅11⋅23,                     [45 81]
4049,                          [30 42]
 2⋅3⁴⋅5²,                      [1 23 29 43 49 61 83]
4051,                          [48]
 2²⋅1013,                      [39]
  3⋅7⋅193,                     [4 26 40 46 86]
   2⋅2027,                     [3]
  5⋅811,                       [36]
 2³⋅3⋅13²,                     [35 37 43 55]
4057,                          [36 54]
 2⋅2029,                       [69]
  3²⋅11⋅41,                    [32 40 52 70]
   2²⋅5⋅7⋅29,                  [33 39 93]
    31⋅131,                    [12 72]
     2⋅3⋅677,                  [11 49 95]
      17⋅239,                  [36 96]
       2⁵⋅127,                 [15 63 75]
        3⋅5⋅271,               [8 14 46 62 64]
       2⋅19⋅107,               [45 63]
      7²⋅83,                   [60 66]
     2²⋅3²⋅113,                [11 61 65]
    13⋅313,                    [42]
   2⋅5⋅11⋅37,                  [21 57 63 69]
  3⋅23⋅59,                     [20 22 58 68 82]
 2³⋅509,                       [21]
4073,                          [54 60 66 84]
 2⋅3⋅7⋅97,                     [17 25 53 55 85]
  5²⋅163,                      [18 24 54]
   2²⋅1019,                    [3 57 63]
  3³⋅151,                      [50 56 76]
 2⋅2039,                       [21 51 75]
4079,                          [60 78]
 2⁴⋅3⋅5⋅17,                    [31 53 59 73 77 79]
  7⋅11⋅53,                     [30 78]
   2⋅13⋅157,                   [9 75]
    3⋅1361,                    [10 56 70 76 94]
     2²⋅1021,                  [27]
      5⋅19⋅43,                 [6 72]
     2⋅3²⋅227,                 [7 13 67 73]
    61⋅67,                     [66]
   2³⋅7⋅73,                    [39 69]
  3⋅29⋅47,                     [10 38 40 68 70 88]
 2⋅5⋅409,                      [39 63 69 87]
4091,                          [42]
 2²⋅3⋅11⋅31,                   [1 19 35 41 65 85]
4093,                          [36 66]
 2⋅23⋅89,                      [45]
  3²⋅5⋅7⋅13,                   [4 16 38 44 82]
   2¹²,                        [3]
  17⋅241,                      []
 2⋅3⋅683,                      [41 79]
4099,                          [78]
 2²⋅5²⋅41,                     [27]
  3⋅1367,                      [10 28 52 100]
   2⋅7⋅293,                    [9 51 75 99]
    11⋅373,                    [24 30 54]
     2³⋅3³⋅19,                 [25 53 55 97]
      5⋅821,                   [6 48 54]
     2⋅2053,                   [27 33]
    3⋅37²,                     [50 94]
   2²⋅13⋅79,                   [51]
  7⋅587,                       [18 30]
 2⋅3⋅5⋅137,                    [17 19 91]
4111,                          [18 90]
 2⁴⋅257,                       [21 99]
  3²⋅457,                      [14 20 40 64]
   2⋅11²⋅17,                   [15 63 87]
    5⋅823,                     [24 42 96]
     2²⋅3⋅7³,                  [17 23 37 43 95]
      23⋅179,                  [60]
       2⋅29⋅71,                [39 99]
        3⋅1373,                [8 20 40 92 98 100]
       2³⋅5⋅103,               [9 99]
      13⋅317,                  []
     2⋅3²⋅229,                 [11 31 95]
    7⋅19⋅31,                   [30 96]
   2²⋅1031,                    [33]
  3⋅5³⋅11,                     [14 32 34 52 76]
 2⋅2063,                       [27 33 75]
4127,                          []
 2⁵⋅3⋅43,                      [1 29 49]
4129,                          [30 72]
 2⋅5⋅7⋅59,                     [3 81]
  3⁵⋅17,                       [2 80]
 2²⋅1033,                      [21]
4133,                          [6 84]
 2⋅3⋅13⋅53,                    [5 23 43 77 83 85]
  5⋅827,                       [24 42 84]
   2³⋅11⋅47,                   [3]
  3⋅7⋅197,                     [64 80]
 2⋅2069,                       [39 81]
4139,                          [90]
 2²⋅3²⋅5⋅23,                   [13 61 89 91]
  41⋅101,                      [12 90]
   2⋅19⋅109,                   [15 69]
    3⋅1381,                    [10 14 16 86]
     2⁴⋅7⋅37,                  [15 33 87]
      5⋅829,                   [12 66 72 96]
       2⋅3⋅691,                [7 13 55 73 95 97]
      11⋅13⋅29,                [54 96]
     2²⋅17⋅61,                 [9 69]
    3²⋅461,                    [10 70 92]
   2⋅5²⋅83,                    [51 93]
  7⋅593,                       [60 78]
 2³⋅3⋅173,                     [25 59 79]
4153,                          [24]
 2⋅31⋅67,                      [63 75]
  3⋅5⋅277,                     [2 22 56 62 64 76 98]
 2²⋅1039,                      [3 45 63]
4157,                          [84]
 2⋅3³⋅7⋅11,                    [1 19 59 85]
4159,                          [60]
 2⁶⋅5⋅13,                      [69 81]
  3⋅19⋅73,                     [50 68 70 82]
   2⋅2081,                     [69]
    23⋅181,                    [90]
     2²⋅3⋅347,                 [37 53 65]
      5⋅7²⋅17,                 [12 36 54 66]
       2⋅2083,                 [75 87 93]
        3²⋅463,                [10 34 74 76 94]
         2³⋅521,               [9 75]
        11⋅379,                [42 90]
       2⋅3⋅5⋅139,              [31 41 59 71 91]
      43⋅97,                   [60 72]
     2²⋅7⋅149,                 [39 45 81 99]
    3⋅13⋅107,                  [44 46 80 100]
   2⋅2087,                     [45]
  5²⋅167,                      [36 42 84 96]
 2⁴⋅3²⋅29,                     [43 65 77 83 85 97]
4177,                          [24 66 84]
 2⋅2089,                       [39 51]
  3⋅7⋅199,                     [22 40 50 52 80]
   2²⋅5⋅11⋅19,                 [21 51 81]
    37⋅113,                    [48 90]
     2⋅3⋅17⋅41,                [29 49 71 89 91]
      47⋅89,                   [90]
       2³⋅523,                 [27 45 57]
        3³⋅5⋅31,               [26 32 46 56 58 74 86]
         2⋅7⋅13⋅23,            [33 57 75 87]
          53⋅79,               [30 54 96]
           2²⋅3⋅349,           [29 31 55 95]
            59⋅71,             [12 30]
           2⋅5⋅419,            [51 63 99]
          3⋅11⋅127,            [38 52 62 80 92 98]
         2⁵⋅131,               [39 81]
        7⋅599,                 [36 60 66]
       2⋅3²⋅233,               [17 35 37 65 67 95]
      5⋅839,                   [36 66]
     2²⋅1049,                  [57 63]
    3⋅1399,                    [20 44 64 86]
   2⋅2099,                     [21 45 99]
  13⋅17⋅19,                    [42 60 72]
 2³⋅3⋅5²⋅7,                    [41 43 61 71 73 89]
4201,                          [42 72]
 2⋅11⋅191,                     [69]
  3²⋅467,                      [26 50 70]
   2²⋅1051,                    [27 93]
    5⋅29²,                     [48 66 78]
     2⋅3⋅701,                  [5 47 53 67 77]
    7⋅601,                     [54]
   2⁴⋅263,                     [51 75 81]
  3⋅23⋅61,                     [8 32 50 52 80]
 2⋅5⋅421,                      [9 33 51]
4211,                          [72 78]
 2²⋅3⁴⋅13,                     [59 85]
  11⋅383,                      [60 84]
   2⋅7²⋅43,                    [3 57 75]
  3⋅5⋅281,                     [4 14 38 56 58 82]
 2³⋅17⋅31,                     [15 57]
4217,                          []
 2⋅3⋅19⋅37,                    [1 41 65 79]
4219,                          [42]
 2²⋅5⋅211,                     [9 63]
  3²⋅7⋅67,                     [10 20 62 68]
   2⋅2111,                     [21]
    41⋅103,                    [6 66]
     2⁷⋅3⋅11,                  [5 7 47 65]
    5²⋅13²,                    [6 48 72]
   2⋅2113,                     [15]
  3⋅1409,                      [16 26 70 100]
 2²⋅7⋅151,                     [69 99]
4229,                          [12]
 2⋅3²⋅5⋅47,                    [1 11 13 29 53 97]
4231,                          [12 30]
 2³⋅23²,                       [21]
  3⋅17⋅83,                     [56 94]
   2⋅29⋅73,                    []
    5⋅7⋅11²,                   [6 18 24]
     2²⋅3⋅353,                 [5 7 17 25 35]
    19⋅223,                    [6 36 60]
   2⋅13⋅163,                   [21 99]
  3³⋅157,                      [20 22 100]
 2⁴⋅5⋅53,                      [21 87]
4241,                          [12 30]
 2⋅3⋅7⋅101,                    [1 11 31 41 85]
4243,                          [84]
 2²⋅1061,                      [15 27]
  3⋅5⋅283,                     [14 16 26 28 44 92]
   2⋅11⋅193,                   [15 27 93]
    31⋅137,                    [6 36 90]
     2³⋅3²⋅59,                 [5 89 91]
    7⋅607,                     [48 90]
   2⋅5³⋅17,                    [9 21 33 39]
  3⋅13⋅109,                    [8 10 20 22 32 98]
 2²⋅1063,                      [9 21 75]
4253,                          [36 96]
 2⋅3⋅709,                      [35 43 95]
  5⋅23⋅37,                     []
   2⁵⋅7⋅19,                    [3 15 27]
  3²⋅11⋅43,                    [4 14 16 26 40 80 100]
 2⋅2129,                       [15 39 81 99]
4259,                          [30]
 2²⋅3⋅5⋅71,                    [1 29]
4261,                          []
 2⋅2131,                       [9 21]
  3⋅7²⋅29,                     [10 20 34 86]
   2³⋅13⋅41,                   [33 63]
    5⋅853,                     [6 24]
     2⋅3³⋅79,                  [5 7 23]
    17⋅251,                    [6 90]
   2²⋅11⋅97,                   [15]
  3⋅1423,                      [28 58 68]
 2⋅5⋅7⋅61,                     [27 69 93]
4271,                          [12 18]
 2⁴⋅3⋅89,                      [1 11 55]
4273,                          [54]
 2⋅2137,                       [15 63]
  3²⋅5²⋅19,                    [14 22 64 74 98]
   2²⋅1069,                    []
    7⋅13⋅47,                   [6 60]
     2⋅3⋅23⋅31,                [5 19 49 59 61]
    11⋅389,                    [18 48 60 78]
   2³⋅5⋅107,                   [9 69]
  3⋅1427,                      [8]
 2⋅2141,                       [81]
4283,                          [54 66]
 2²⋅3²⋅7⋅17,                   [13 43 53 55 65 73]
  5⋅857,                       [12 42 54]
   2⋅2143,                     [3]
  3⋅1429,                      [70 76 86]
 2⁶⋅67,                        [69]
4289,                          [48 60]
 2⋅3⋅5⋅11⋅13,                  [7 37 47 49 59 73]
  7⋅613,                       [48 72]
   2²⋅29⋅37,                   [81]
    3⁴⋅53,                     [4 34 64]
   2⋅19⋅113,                   [33 63]
  5⋅859,                       [42 54 78]
 2³⋅3⋅179,                     [43 53 67 77 95]
4297,                          [66]
 2⋅7⋅307,                      [39]
  3⋅1433,                      [28 38 40 58 98]
   2²⋅5²⋅43,                   [27 39 57]
    11⋅17⋅23,                  [48 72 90]
     2⋅3²⋅239,                 [61 71]
      13⋅331,                  [60]
       2⁴⋅269,                 [33 45 87 93]
        3⋅5⋅7⋅41,              [22 32 34 44 52 86]
         2⋅2153,               [33]
          59⋅73,               [66 90]
           2²⋅3⋅359,           [19 49 55 65 89]
            31⋅139,            [48]
             2⋅5⋅431,          [27 39 81 99]
              3²⋅479,          [28 38 52 80]
               2³⋅7²⋅11,       [15 51]
              19⋅227,          [24 60 84 96]
             2⋅3⋅719,          [25 43 83 95]
            5⋅863,             [42]
           2²⋅13⋅83,           [33 57 75]
          3⋅1439,              [20 46 56 74]
         2⋅17⋅127,             [21 45]
        7⋅617,                 [30 78 90]
       2⁵⋅3³⋅5,                [37 77 89]
      29⋅149,                  []
     2⋅2161,                   [51 69]
    3⋅11⋅131,                  [26 34 40 50]
   2²⋅23⋅47,                   []
  5²⋅173,                      [66 72 84 96]
 2⋅3⋅7⋅103,                    [37 65 83 95 97]
4327,                          [30 96]
 2³⋅541,                       [45 69]
  3²⋅13⋅37,                    [68]
   2⋅5⋅433,                    [33]
    61⋅71,                     [42 60 78 90]
     2²⋅3⋅19²,                 [5 59 89 91]
    7⋅619,                     [6 90]
   2⋅11⋅197,                   [63 75]
  3⋅5⋅17²,                     [38 62 74]
 2⁴⋅271,                       []
4337,                          [54 84]
 2⋅3²⋅241,                     [1 11 85]
4339,                          []
 2²⋅5⋅7⋅31,                    [51 57 69 81]
  3⋅1447,                      [68 80 82 100]
   2⋅13⋅167,                   [15 81 99]
    43⋅101,                    [6 54]
     2³⋅3⋅181,                 [5 47]
    5⋅11⋅79,                   [18]
   2⋅41⋅53,                    [63 75]
  3³⋅7⋅23,                     [10 50 74 76 94]
 2²⋅1087,                      [9 75]
4349,                          [60]
 2⋅3⋅5²⋅29,                    [13 23 91 97]
  19⋅229,                      [12 90]
   2⁸⋅17,                      [69 99]
    3⋅1451,                    [4 56 70 94]
   2⋅7⋅311,                    [93]
  5⋅13⋅67,                     [18 66 96]
 2²⋅3²⋅11²,                    [7 17 67 85 95]
4357,                          [84]
 2⋅2179,                       [99]
  3⋅1453,                      [32 62 88 98]
   2³⋅5⋅109,                   [3 63 87]
  7²⋅89,                       [12 90]
 2⋅3⋅727,                      [35 79 89]
4363,                          []
 2²⋅1091,                      [27 93]
  3²⋅5⋅97,                     [8 26 76 82 92]
   2⋅37⋅59,                    []
    11⋅397,                    [30 84 96]
     2⁴⋅3⋅7⋅13,                [5 29 41 79 95]
    17⋅257,                    [72]
   2⋅5⋅19⋅23,                  [21 81 87]
  3⋅31⋅47,                     []
 2²⋅1093,                      [75]
4373,                          [24 36 84 90]
 2⋅3⁷,                         [17 35 47 77]
  5⁴⋅7,                        [48]
   2³⋅547,                     [87]
    3⋅1459,                    [14 20 80]
     2⋅11⋅199,                 []
      29⋅151,                  [30 42]
       2²⋅3⋅5⋅73,              [17 41 43 83]
        13⋅337,                [42]
         2⋅7⋅313,              [9 99]
        3²⋅487,                [26 100]
       2⁵⋅137,                 [57]
      5⋅877,                   [12 36 96]
     2⋅3⋅17⋅43,                [23 37 97]
    41⋅107,                    [60]
   2²⋅1097,                    []
  3⋅7⋅11⋅19,                   [32 52 62 92]
 2⋅5⋅439,                      [33 51 93]
4391,                          [18]
 2³⋅3²⋅61,                     [29 55 65]
  23⋅191,                      [30 54]
   2⋅13³,                      [3 57]
  3⋅5⋅293,                     [46 56 68 98]
 2²⋅7⋅157,                     []
4397,                          [24 60]
 2⋅3⋅733,                      [25 49 59]
  53⋅83,                       [42]
   2⁴⋅5²⋅11,                   [9 51 63]
    3³⋅163,                    [62]
     2⋅31⋅71,                  [39 45]
      7⋅17⋅37,                 [6 54]
     2²⋅3⋅367,                 [47 77]
    5⋅881,                     [42 78]
   2⋅2203,                     [15 57]
  3⋅13⋅113,                    [16 34 44 50]
 2³⋅19⋅29,                     []
4409,                          [12 72]
 2⋅3²⋅5⋅7²,                    [13 37 47 53 71 73 83]
  11⋅401,                      [72]
   2²⋅1103,                    [39]
    3⋅1471,                    [50]
     2⋅2207,                   []
      5⋅883,                   [6 42 66 78]
     2⁶⋅3⋅23,                  [7 25 67 77]
    7⋅631,                     [90]
   2⋅47²,                      [45]
  3²⋅491,                      [22 28 62]
 2²⋅5⋅13⋅17,                   [63 93]
4421,                          [30 72]
 2⋅3⋅11⋅67,                    [1 25 59 85 95]
4423,                          [60 84 96]
 2³⋅7⋅79,                      [27 33]
  3⋅5²⋅59,                     [16 68 88 98]
   2⋅2213,                     [87]
    19⋅233,                    [30 36 54 90]
     2²⋅3³⋅41,                 [19 55 65 79 89 91]
      43⋅103,                  [90]
       2⋅5⋅443,                [21 33 93]
        3⋅7⋅211,               [10 82 92]
         2⁴⋅277,               [9 75]
        11⋅13⋅31,              [24 60 84]
       2⋅3⋅739,                [13 85]
      5⋅887,                   [12 72 78]
     2²⋅1109,                  [15 27 45 87]
    3²⋅17⋅29,                  [14 46 80]
   2⋅7⋅317,                    [75 81]
  23⋅193,                      [18 42]
 2³⋅3⋅5⋅37,                    [17 43 67 77 83]
4441,                          [78]
 2⋅2221,                       [21 51]
  3⋅1481,                      [20 70 80]
   2²⋅11⋅101,                  [3]
  5⋅7⋅127,                     [36 48 72]
 2⋅3²⋅13⋅19,                   [5 37 73]
4447,                          []
 2⁵⋅139,                       [75 99]
  3⋅1483,                      [2 8 58 100]
 2⋅5²⋅89,                      []
4451,                          [30 42]
 2²⋅3⋅7⋅53,                    [5 11 29 31 55 61 95]
  61⋅73,                       [30 96]
   2⋅17⋅131,                   [3 63]
  3⁴⋅5⋅11,                     [8 58 64 92]
 2³⋅557,                       [93]
4457,                          [6 36 60 66]
 2⋅3⋅743,                      [35 49 61]
  7³⋅13,                       []
   2²⋅5⋅223,                   [3 63 87]
  3⋅1487,                      [20 52 88]
 2⋅23⋅97,                      [21 99]
4463,                          [54]
 2⁴⋅3²⋅31,                     [17 43 55]
  5⋅19⋅47,                     [18 42]
   2⋅7⋅11⋅29,                  [15 57]
    3⋅1489,                    [16 26 46 94]
     2²⋅1117,                  [45]
      41⋅109,                  [12 48 78]
       2⋅3⋅5⋅149,              [13 23 47 49 79 97]
        17⋅263,                [48]
         2³⋅13⋅43,             [9 21 51 75]
        3²⋅7⋅71,               [10 50 76]
       2⋅2237,                 [33]
      5²⋅179,                  [18]
     2²⋅3⋅373,                 [85]
    11²⋅37,                    [30 36]
   2⋅2239,                     [15 69]
  3⋅1493,                      [28 38 70 82 88]
 2⁷⋅5⋅7,                       [33 39]
4481,                          []
 2⋅3³⋅83,                      [1 25 31 35 41 85]
4483,                          [36]
 2²⋅19⋅59,                     [33 63]
  3⋅5⋅13⋅23,                   [22 28 34 38 62 64 76]
   2⋅2243,                     [63]
    7⋅641,                     [6 30 36 96]
     2³⋅3⋅11⋅17,               [5 25 31 79]
    67²,                       []
   2⋅5⋅449,                    [27 33 93]
  3²⋅499,                      [28 70 100]
 2²⋅1123,                      [69]
4493,                          [30]
 2⋅3⋅7⋅107,                    [13 53 73 97]
  5⋅29⋅31,                     [12 54 72]
   2⁴⋅281,                     [87]
    3⋅1499,                    [16 50 100]
     2⋅13⋅173,                 [15 51]
      11⋅409,                  [18 48]
       2²⋅3²⋅5³,               [7 17 19 49 91]
      7⋅643,                   [18 60]
     2⋅2251,                   [21 45 81]
    3⋅19⋅79,                   [10 20 46 80 94]
   2³⋅563,                     [57 63]
  5⋅17⋅53,                     [12 42]
 2⋅3⋅751,                      [13 43 55 85 97]
4507,                          [60 84]
 2²⋅7²⋅23,                     [15]
  3³⋅167,                      [52 58 88]
   2⋅5⋅11⋅41,                  [3 87]
  13⋅347,                      []
 2⁵⋅3⋅47,                      [5 49 55 71 91]
4513,                          [6 90]
 2⋅37⋅61,                      [33]
  3⋅5⋅7⋅43,                    [2 8 32 34 52 68]
 2²⋅1129,                      [3 33 75]
4517,                          [66]
 2⋅3²⋅251,                     [1 5]
4519,                          [72 78]
 2³⋅5⋅113,                     [3 27 63]
  3⋅11⋅137,                    [2 28 40 70 100]
 2⋅7⋅17⋅19,                    [39 75 81 99]
4523,                          [60]
 2²⋅3⋅13⋅29,                   [43 67 73]
  5²⋅181,                      [42 78]
   2⋅31⋅73,                    []
    3²⋅503,                    [20 34 64 70 76]
     2⁴⋅283,                   [21]
      7⋅647,                   []
       2⋅3⋅5⋅151,              [17 37 67 73]
        23⋅197,                [18 90]
         2²⋅11⋅103,            [15 51]
          3⋅1511,              [14 16 50 70]
           2⋅2267,             [15 27 87]
            5⋅907,             [12]
           2³⋅3⁴⋅7,            [13 55 85]
          13⋅349,              [24 30 54]
         2⋅2269,               [45]
        3⋅17⋅89,               [22 58 82 98]
       2²⋅5⋅227,               [21 27 57 99]
      19⋅239,                  []
     2⋅3⋅757,                  [19 25 49 61 79 95]
    7⋅11⋅59,                   [24 60 96]
   2⁶⋅71,                      [93]
  3²⋅5⋅101,                    [22 38 52 94 98]
 2⋅2273,                       []
4547,                          [90 96]
 2²⋅3⋅379,                     [1 35 55 91]
4549,                          [42]
 2⋅5²⋅7⋅13,                    [33 87 93 99]
  3⋅37⋅41,                     [32 70 88 100]
   2³⋅569,                     [39 45 69]
    29⋅157,                    [30 90 96]
     2⋅3²⋅11⋅23,               [7 37 97]
      5⋅911,                   [6 36 42 48]
     2²⋅17⋅67,                 [93]
    3⋅7²⋅31,                   [10 34 40 64 94 100]
   2⋅43⋅53,                    [9 39 45]
  47⋅97,                       [78]
 2⁴⋅3⋅5⋅19,                    [37 43 77 79 97]
4561,                          [42 78]
 2⋅2281,                       [81]
  3³⋅13²,                      [40 80 100]
   2²⋅7⋅163,                   [3 57]
  5⋅11⋅83,                     [18 72 84]
 2⋅3⋅761,                      [17 73 83 85]
4567,                          [54 84]
 2³⋅571,                       [75]
  3⋅1523,                      [22 52 88]
   2⋅5⋅457,                    [21 51 87]
    7⋅653,                     [78]
     2²⋅3²⋅127,                [11 25 49 65 79 91]
      17⋅269,                  [24 66 90]
       2⋅2287,                 []
        3⋅5²⋅61,               [8 28 62 68 82]
       2⁵⋅11⋅13,               [15 27 63]
      23⋅199,                  [60 96]
     2⋅3⋅7⋅109,                [59 61 65 71 85 95]
    19⋅241,                    [12 18 60 72]
   2²⋅5⋅229,                   [57 63 99]
  3²⋅509,                      [58 62 68 98]
 2⋅29⋅79,                      [15 21 69 75]
4583,                          [60 66 90]
 2³⋅3⋅191,                     [37 65 67]
  5⋅7⋅131,                     [18 36 66 72 78]
   2⋅2293,                     [63 93]
    3⋅11⋅139,                  [4 64 70]
   2²⋅31⋅37,                   [69 75]
  13⋅353,                      []
 2⋅3³⋅5⋅17,                    [7 67 73 83]
4591,                          [30 72]
 2⁴⋅7⋅41,                      [45 99]
  3⋅1531,                      [10 44 46 70 80 86]
   2⋅2297,                     [3 27 45]
  5⋅919,                       [48 78]
 2²⋅3⋅383,                     [47 77 83]
4597,                          [6]
 2⋅11²⋅19,                     [51 75 81]
  3²⋅7⋅73,                     [38 50 52 80 92]
   2³⋅5²⋅23,                   [3 39 51]
  43⋅107,                      [78]
 2⋅3⋅13⋅59,                    [19 35 41 55 89]
4603,                          [36 54]
 2²⋅1151,                      [87]
  3⋅5⋅307,                     [38 44 58 86 98]
   2⋅7²⋅47,                    [15 45 57]
    17⋅271,                    [84]
     2⁹⋅3²,                    [41 95]
      11⋅419,                  [12 42 48]
       2⋅5⋅461,                [27 63 93]
        3⋅29⋅53,               [28 62 92]
         2²⋅1153,              [9 45 51]
        7⋅659,                 [30 66 90]
       2⋅3⋅769,                [23 65]
      5⋅13⋅71,                 [24 48]
     2³⋅577,                   [33]
    3⁵⋅19,                     [20 26 34 56]
   2⋅2309,                     [21]
  31⋅149,                      [72]
 2²⋅3⋅5⋅7⋅11,                  [17 23 29 37 53 59 71]
4621,                          [18 30]
 2⋅2311,                       [99]
  3⋅23⋅67,                     [20 26 40 56 100]
   2⁴⋅17²,                     [27 33]
    5³⋅37,                     [78]
     2⋅3²⋅257,                 [23 65 77]
      7⋅661,                   [24 30 36]
       2²⋅13⋅89,               [45]
        3⋅1543,                [8 62]
       2⋅5⋅463,                [9 27 33]
      11⋅421,                  [48]
     2³⋅3⋅193,                 [11 41 71]
    41⋅113,                    [30]
   2⋅7⋅331,                    [87]
  3²⋅5⋅103,                    [14 38 44 68 86 88]
 2²⋅19⋅61,                     [15 87]
4637,                          [54]
 2⋅3⋅773,                      [1 35 41 91]
4639,                          [18 90]
 2⁵⋅5⋅29,                      [3 93]
  3⋅7⋅13⋅17,                   [2 38 50 80 92]
 2⋅11⋅211,                     [21 81]
4643,                          [6 60]
 2²⋅3³⋅43,                     [5 7 47 77]
  5⋅929,                       [6 78 84]
   2⋅23⋅101,                   [3]
  3⋅1549,                      [4 10 26 44 56 86]
 2³⋅7⋅83,                      [9 81]
4649,                          []
 2⋅3⋅5²⋅31,                    [1 7 13 29 53 83]
4651,                          [12]
 2²⋅1163,                      [69]
  3²⋅11⋅47,                    [4 10 50 70]
   2⋅13⋅179,                   [3]
  5⋅7²⋅19,                     [18]
 2⁴⋅3⋅97,                      [7 17 35 65 73 95]
4657,                          [6 66]
 2⋅17⋅137,                     [15 21 75]
  3⋅1553,                      [20 62 92]
   2²⋅5⋅233,                   [3 63 69 99]
  59⋅79,                       [12 18]
 2⋅3²⋅7⋅37,                    [11 41 59 71]
4663,                          [60 66 96]
 2³⋅11⋅53,                     [15 27]
  3⋅5⋅311,                     [8 14 26 68]
   2⋅2333,                     [63]
    13⋅359,                    [24 84]
     2²⋅3⋅389,                 [5 11 65]
    7⋅23⋅29,                   []
   2⋅5⋅467,                    [21 33]
  3³⋅173,                      [8 20 32 50 80 88]
 2⁶⋅73,                        [51]
4673,                          [30]
 2⋅3⋅19⋅41,                    [17 77]
  5²⋅11⋅17,                    [54 84]
   2²⋅7⋅167,                   [3 27]
  3⋅1559,                      [14 26 56 74]
 2⋅2339,                       [81]
4679,                          [42]
 2³⋅3²⋅5⋅13,                   [23 41 43]
  31⋅151,                      [42 78]
   2⋅2341,                     [9 39]
    3⋅7⋅223,                   [20 40 46 100]
     2²⋅1171,                  [45]
      5⋅937,                   [6 36 48]
     2⋅3⋅11⋅71,                [35 37 43 47 65]
    43⋅109,                    [36 96]
   2⁴⋅293,                     [15 45]
  3²⋅521,                      [32 40 98]
 2⋅5⋅7⋅67,                     [33 39 69 93 99]
4691,                          [12 42]
 2²⋅3⋅17⋅23,                   [29 41 95]
  13⋅19²,                      [30 36 90 96]
   2⋅2347,                     [57]
    3⋅5⋅313,                   [38 56 92 98]
     2³⋅587,                   [33 93]
      7⋅11⋅61,                 [6 24 54]
     2⋅3⁴⋅29,                  [25 35 61 95]
    37⋅127,                    [60]
   2²⋅5²⋅47,                   [21 51]
  3⋅1567,                      [22 28 50 58 98]
 2⋅2351,                       [81 99]
4703,                          [30]
 2⁵⋅3⋅7²,                      [25 47 55 83]
  5⋅941,                       [54 84]
   2⋅13⋅181,                   [15 27]
    3²⋅523,                    [16 44 86]
     2²⋅11⋅107,                [51]
      17⋅277,                  []
       2⋅3⋅5⋅157,              [19 73 89]
        7⋅673,                 [48 72 90]
         2³⋅19⋅31,             [9 21 39 75]
        3⋅1571,                [10 70 74 76]
       2⋅2357,                 [75]
      5⋅23⋅41,                 [36 72 78]
     2²⋅3²⋅131,                [13 43 67 73 77]
    53⋅89,                     [66 96]
   2⋅7⋅337,                    [15 69 75 81]
  3⋅11²⋅13,                    [40 68 70 80 82 98]
 2⁴⋅5⋅59,                      [63 69 81]
4721,                          [30 72 78]
 2⋅3⋅787,                      [1 65 71 79]
4723,                          [60 66]
 2²⋅1181,                      [75]
  3³⋅5²⋅7,                     [4 34 62 68 74 76 88]
   2⋅17⋅139,                   [3 63 75 87]
  29⋅163,                      [6 24 90]
 2³⋅3⋅197,                     [5 55 65 71 85 89]
4729,                          [72]
 2⋅5⋅11⋅43,                    [57 87]
  3⋅19⋅83,                     [2 28 52 58 68 82]
 2²⋅7⋅13²,                     [69 81]
4733,                          [54 60 84]
 2⋅3²⋅263,                     [55 83 97]
  5⋅947,                       [78 96]
   2⁷⋅37,                      [15 57 63]
    3⋅1579,                    [14 46 64 80 94]
     2⋅23⋅103,                 [75]
      7⋅677,                   [48 60]
       2²⋅3⋅5⋅79,              [11 19 49 61 77 91]
        11⋅431,                [18 90]
         2⋅2371,               [9 51]
        3²⋅17⋅31,              [40 70]
       2³⋅593,                 [15 87]
      5⋅13⋅73,                 [42 54 72]
     2⋅3⋅7⋅113,                [13 43 55 67]
    47⋅101,                    [84]
   2²⋅1187,                    [45 69]
  3⋅1583,                      []
 2⋅5³⋅19,                      []
4751,                          [48]
 2⁴⋅3³⋅11,                     [31 49 61 79]
  7²⋅97,                       [30]
   2⋅2377,                     [33 63]
    3⋅5⋅317,                   [4 32 34 76]
