# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, m43, m47, m53, m59, m61, m67, m71, m73
   34, 2 17,          radical,        1,  4,  6,  1,   8,   0,   15,  11,  5,   3,   34,  34,  34,  34,  34,  34,  34,  34,  34,  34
   35, 5 7,           radical,        2,  0,  0,  2,   9,   1,   16,  12,  6,   4,   35,  35,  35,  35,  35,  35,  35,  35,  35,  35
   36, 2² 3²,         radical power,  0,  1,  1,  3,   10,  2,   17,  13,  7,   5,   36,  36,  36,  36,  36,  36,  36,  36,  36,  36
   37, 37,            prime,          1,  2,  2,  4,   11,  3,   18,  14,  8,   6,   0,   37,  37,  37,  37,  37,  37,  37,  37,  37
   38, 2 19,          radical,        2,  3,  3,  5,   12,  4,   0,   15,  9,   7,   1,   38,  38,  38,  38,  38,  38,  38,  38,  38
   39, 3 13,          radical,        0,  4,  4,  6,   0,   5,   1,   16,  10,  8,   2,   39,  39,  39,  39,  39,  39,  39,  39,  39
   40, 2³ 5,          ,               1,  0,  5,  7,   1,   6,   2,   17,  11,  9,   3,   40,  40,  40,  40,  40,  40,  40,  40,  40
   41, 41,            prime,          2,  1,  6,  8,   2,   7,   3,   18,  12,  10,  4,   0,   41,  41,  41,  41,  41,  41,  41,  41
   42, 2 3 7,         radical,        0,  2,  0,  9,   3,   8,   4,   19,  13,  11,  5,   1,   42,  42,  42,  42,  42,  42,  42,  42
   43, 43,            prime,          1,  3,  1,  10,  4,   9,   5,   20,  14,  12,  6,   2,   0,   43,  43,  43,  43,  43,  43,  43
   44, 2² 11,         ,               2,  4,  2,  0,   5,   10,  6,   21,  15,  13,  7,   3,   1,   44,  44,  44,  44,  44,  44,  44
   45, 3² 5,          ,               0,  0,  3,  1,   6,   11,  7,   22,  16,  14,  8,   4,   2,   45,  45,  45,  45,  45,  45,  45
