# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, m43, m47, m53, m59, m61, m67, m71, m73
  365, 5 73,          radical,        2,  0,  1,  2,   1,   8,   4,   20,  17,  24,  32,  37,  21,  36,  47,  11,  60,  30,  10,  0
  366, 2 3 61,        radical,        0,  1,  2,  3,   2,   9,   5,   21,  18,  25,  33,  38,  22,  37,  48,  12,  0,   31,  11,  1
  367, 367,           prime,          1,  2,  3,  4,   3,   10,  6,   22,  19,  26,  34,  39,  23,  38,  49,  13,  1,   32,  12,  2
  368, 2⁴ 23,         ,               2,  3,  4,  5,   4,   11,  7,   0,   20,  27,  35,  40,  24,  39,  50,  14,  2,   33,  13,  3
  369, 3² 41,         ,               0,  4,  5,  6,   5,   12,  8,   1,   21,  28,  36,  0,   25,  40,  51,  15,  3,   34,  14,  4
  370, 2 5 37,        radical,        1,  0,  6,  7,   6,   13,  9,   2,   22,  29,  0,   1,   26,  41,  52,  16,  4,   35,  15,  5
  371, 7 53,          radical,        2,  1,  0,  8,   7,   14,  10,  3,   23,  30,  1,   2,   27,  42,  0,   17,  5,   36,  16,  6
  372, 2² 3 31,       ,               0,  2,  1,  9,   8,   15,  11,  4,   24,  0,   2,   3,   28,  43,  1,   18,  6,   37,  17,  7
  373, 373,           prime,          1,  3,  2,  10,  9,   16,  12,  5,   25,  1,   3,   4,   29,  44,  2,   19,  7,   38,  18,  8
  374, 2 11 17,       radical,        2,  4,  3,  0,   10,  0,   13,  6,   26,  2,   4,   5,   30,  45,  3,   20,  8,   39,  19,  9
  375, 3 5³,          ,               0,  0,  4,  1,   11,  1,   14,  7,   27,  3,   5,   6,   31,  46,  4,   21,  9,   40,  20,  10
  376, 2³ 47,         ,               1,  1,  5,  2,   12,  2,   15,  8,   28,  4,   6,   7,   32,  0,   5,   22,  10,  41,  21,  11
  377, 13 29,         radical,        2,  2,  6,  3,   0,   3,   16,  9,   0,   5,   7,   8,   33,  1,   6,   23,  11,  42,  22,  12
  378, 2 3³ 7,        ,               0,  3,  0,  4,   1,   4,   17,  10,  1,   6,   8,   9,   34,  2,   7,   24,  12,  43,  23,  13
  379, 379,           prime,          1,  4,  1,  5,   2,   5,   18,  11,  2,   7,   9,   10,  35,  3,   8,   25,  13,  44,  24,  14
  380, 2² 5 19,       ,               2,  0,  2,  6,   3,   6,   0,   12,  3,   8,   10,  11,  36,  4,   9,   26,  14,  45,  25,  15
  381, 3 127,         radical,        0,  1,  3,  7,   4,   7,   1,   13,  4,   9,   11,  12,  37,  5,   10,  27,  15,  46,  26,  16
  382, 2 191,         radical,        1,  2,  4,  8,   5,   8,   2,   14,  5,   10,  12,  13,  38,  6,   11,  28,  16,  47,  27,  17
  383, 383,           prime,          2,  3,  5,  9,   6,   9,   3,   15,  6,   11,  13,  14,  39,  7,   12,  29,  17,  48,  28,  18
  384, 2⁷ 3,          ,               0,  4,  6,  10,  7,   10,  4,   16,  7,   12,  14,  15,  40,  8,   13,  30,  18,  49,  29,  19
  385, 5 7 11,        radical,        1,  0,  0,  0,   8,   11,  5,   17,  8,   13,  15,  16,  41,  9,   14,  31,  19,  50,  30,  20
  386, 2 193,         radical,        2,  1,  1,  1,   9,   12,  6,   18,  9,   14,  16,  17,  42,  10,  15,  32,  20,  51,  31,  21
  387, 3² 43,         ,               0,  2,  2,  2,   10,  13,  7,   19,  10,  15,  17,  18,  0,   11,  16,  33,  21,  52,  32,  22
  388, 2² 97,         ,               1,  3,  3,  3,   11,  14,  8,   20,  11,  16,  18,  19,  1,   12,  17,  34,  22,  53,  33,  23
  389, 389,           prime,          2,  4,  4,  4,   12,  15,  9,   21,  12,  17,  19,  20,  2,   13,  18,  35,  23,  54,  34,  24
  390, 2 3 5 13,      radical,        0,  0,  5,  5,   0,   16,  10,  22,  13,  18,  20,  21,  3,   14,  19,  36,  24,  55,  35,  25
  391, 17 23,         radical,        1,  1,  6,  6,   1,   0,   11,  0,   14,  19,  21,  22,  4,   15,  20,  37,  25,  56,  36,  26
  392, 2³ 7²,         ,               2,  2,  0,  7,   2,   1,   12,  1,   15,  20,  22,  23,  5,   16,  21,  38,  26,  57,  37,  27
  393, 3 131,         radical,        0,  3,  1,  8,   3,   2,   13,  2,   16,  21,  23,  24,  6,   17,  22,  39,  27,  58,  38,  28
  394, 2 197,         radical,        1,  4,  2,  9,   4,   3,   14,  3,   17,  22,  24,  25,  7,   18,  23,  40,  28,  59,  39,  29
  395, 5 79,          radical,        2,  0,  3,  10,  5,   4,   15,  4,   18,  23,  25,  26,  8,   19,  24,  41,  29,  60,  40,  30
  396, 2² 3² 11,      ,               0,  1,  4,  0,   6,   5,   16,  5,   19,  24,  26,  27,  9,   20,  25,  42,  30,  61,  41,  31
  397, 397,           prime,          1,  2,  5,  1,   7,   6,   17,  6,   20,  25,  27,  28,  10,  21,  26,  43,  31,  62,  42,  32
  398, 2 199,         radical,        2,  3,  6,  2,   8,   7,   18,  7,   21,  26,  28,  29,  11,  22,  27,  44,  32,  63,  43,  33
  399, 3 7 19,        radical,        0,  4,  0,  3,   9,   8,   0,   8,   22,  27,  29,  30,  12,  23,  28,  45,  33,  64,  44,  34
  400, 2⁴ 5²,         ,               1,  0,  1,  4,   10,  9,   1,   9,   23,  28,  30,  31,  13,  24,  29,  46,  34,  65,  45,  35
  401, 401,           prime,          2,  1,  2,  5,   11,  10,  2,   10,  24,  29,  31,  32,  14,  25,  30,  47,  35,  66,  46,  36
  402, 2 3 67,        radical,        0,  2,  3,  6,   12,  11,  3,   11,  25,  30,  32,  33,  15,  26,  31,  48,  36,  0,   47,  37
  403, 13 31,         radical,        1,  3,  4,  7,   0,   12,  4,   12,  26,  0,   33,  34,  16,  27,  32,  49,  37,  1,   48,  38
  404, 2² 101,        ,               2,  4,  5,  8,   1,   13,  5,   13,  27,  1,   34,  35,  17,  28,  33,  50,  38,  2,   49,  39
  405, 3⁴ 5,          ,               0,  0,  6,  9,   2,   14,  6,   14,  28,  2,   35,  36,  18,  29,  34,  51,  39,  3,   50,  40
  406, 2 7 29,        radical,        1,  1,  0,  10,  3,   15,  7,   15,  0,   3,   36,  37,  19,  30,  35,  52,  40,  4,   51,  41
  407, 11 37,         radical,        2,  2,  1,  0,   4,   16,  8,   16,  1,   4,   0,   38,  20,  31,  36,  53,  41,  5,   52,  42
  408, 2³ 3 17,       ,               0,  3,  2,  1,   5,   0,   9,   17,  2,   5,   1,   39,  21,  32,  37,  54,  42,  6,   53,  43
  409, 409,           prime,          1,  4,  3,  2,   6,   1,   10,  18,  3,   6,   2,   40,  22,  33,  38,  55,  43,  7,   54,  44
  410, 2 5 41,        radical,        2,  0,  4,  3,   7,   2,   11,  19,  4,   7,   3,   0,   23,  34,  39,  56,  44,  8,   55,  45
  411, 3 137,         radical,        0,  1,  5,  4,   8,   3,   12,  20,  5,   8,   4,   1,   24,  35,  40,  57,  45,  9,   56,  46
  412, 2² 103,        ,               1,  2,  6,  5,   9,   4,   13,  21,  6,   9,   5,   2,   25,  36,  41,  58,  46,  10,  57,  47
  413, 7 59,          radical,        2,  3,  0,  6,   10,  5,   14,  22,  7,   10,  6,   3,   26,  37,  42,  0,   47,  11,  58,  48
  414, 2 3² 23,       ,               0,  4,  1,  7,   11,  6,   15,  0,   8,   11,  7,   4,   27,  38,  43,  1,   48,  12,  59,  49
  415, 5 83,          radical,        1,  0,  2,  8,   12,  7,   16,  1,   9,   12,  8,   5,   28,  39,  44,  2,   49,  13,  60,  50
  416, 2⁵ 13,         ,               2,  1,  3,  9,   0,   8,   17,  2,   10,  13,  9,   6,   29,  40,  45,  3,   50,  14,  61,  51
  417, 3 139,         radical,        0,  2,  4,  10,  1,   9,   18,  3,   11,  14,  10,  7,   30,  41,  46,  4,   51,  15,  62,  52
  418, 2 11 19,       radical,        1,  3,  5,  0,   2,   10,  0,   4,   12,  15,  11,  8,   31,  42,  47,  5,   52,  16,  63,  53
  419, 419,           prime,          2,  4,  6,  1,   3,   11,  1,   5,   13,  16,  12,  9,   32,  43,  48,  6,   53,  17,  64,  54
  420, 2² 3 5 7,      ,               0,  0,  0,  2,   4,   12,  2,   6,   14,  17,  13,  10,  33,  44,  49,  7,   54,  18,  65,  55
  421, 421,           prime,          1,  1,  1,  3,   5,   13,  3,   7,   15,  18,  14,  11,  34,  45,  50,  8,   55,  19,  66,  56
  422, 2 211,         radical,        2,  2,  2,  4,   6,   14,  4,   8,   16,  19,  15,  12,  35,  46,  51,  9,   56,  20,  67,  57
  423, 3² 47,         ,               0,  3,  3,  5,   7,   15,  5,   9,   17,  20,  16,  13,  36,  0,   52,  10,  57,  21,  68,  58
  424, 2³ 53,         ,               1,  4,  4,  6,   8,   16,  6,   10,  18,  21,  17,  14,  37,  1,   0,   11,  58,  22,  69,  59
  425, 5² 17,         ,               2,  0,  5,  7,   9,   0,   7,   11,  19,  22,  18,  15,  38,  2,   1,   12,  59,  23,  70,  60
  426, 2 3 71,        radical,        0,  1,  6,  8,   10,  1,   8,   12,  20,  23,  19,  16,  39,  3,   2,   13,  60,  24,  0,   61
  427, 7 61,          radical,        1,  2,  0,  9,   11,  2,   9,   13,  21,  24,  20,  17,  40,  4,   3,   14,  0,   25,  1,   62
  428, 2² 107,        ,               2,  3,  1,  10,  12,  3,   10,  14,  22,  25,  21,  18,  41,  5,   4,   15,  1,   26,  2,   63
  429, 3 11 13,       radical,        0,  4,  2,  0,   0,   4,   11,  15,  23,  26,  22,  19,  42,  6,   5,   16,  2,   27,  3,   64
  430, 2 5 43,        radical,        1,  0,  3,  1,   1,   5,   12,  16,  24,  27,  23,  20,  0,   7,   6,   17,  3,   28,  4,   65
  431, 431,           prime,          2,  1,  4,  2,   2,   6,   13,  17,  25,  28,  24,  21,  1,   8,   7,   18,  4,   29,  5,   66
  432, 2⁴ 3³,         ,               0,  2,  5,  3,   3,   7,   14,  18,  26,  29,  25,  22,  2,   9,   8,   19,  5,   30,  6,   67
  433, 433,           prime,          1,  3,  6,  4,   4,   8,   15,  19,  27,  30,  26,  23,  3,   10,  9,   20,  6,   31,  7,   68
  434, 2 7 31,        radical,        2,  4,  0,  5,   5,   9,   16,  20,  28,  0,   27,  24,  4,   11,  10,  21,  7,   32,  8,   69
  435, 3 5 29,        radical,        0,  0,  1,  6,   6,   10,  17,  21,  0,   1,   28,  25,  5,   12,  11,  22,  8,   33,  9,   70
  436, 2² 109,        ,               1,  1,  2,  7,   7,   11,  18,  22,  1,   2,   29,  26,  6,   13,  12,  23,  9,   34,  10,  71
  437, 19 23,         radical,        2,  2,  3,  8,   8,   12,  0,   0,   2,   3,   30,  27,  7,   14,  13,  24,  10,  35,  11,  72
  438, 2 3 73,        radical,        0,  3,  4,  9,   9,   13,  1,   1,   3,   4,   31,  28,  8,   15,  14,  25,  11,  36,  12,  0
  439, 439,           prime,          1,  4,  5,  10,  10,  14,  2,   2,   4,   5,   32,  29,  9,   16,  15,  26,  12,  37,  13,  1
  440, 2³ 5 11,       ,               2,  0,  6,  0,   11,  15,  3,   3,   5,   6,   33,  30,  10,  17,  16,  27,  13,  38,  14,  2
  441, 3² 7²,         radical power,  0,  1,  0,  1,   12,  16,  4,   4,   6,   7,   34,  31,  11,  18,  17,  28,  14,  39,  15,  3
  442, 2 13 17,       radical,        1,  2,  1,  2,   0,   0,   5,   5,   7,   8,   35,  32,  12,  19,  18,  29,  15,  40,  16,  4
  443, 443,           prime,          2,  3,  2,  3,   1,   1,   6,   6,   8,   9,   36,  33,  13,  20,  19,  30,  16,  41,  17,  5
  444, 2² 3 37,       ,               0,  4,  3,  4,   2,   2,   7,   7,   9,   10,  0,   34,  14,  21,  20,  31,  17,  42,  18,  6
  445, 5 89,          radical,        1,  0,  4,  5,   3,   3,   8,   8,   10,  11,  1,   35,  15,  22,  21,  32,  18,  43,  19,  7
  446, 2 223,         radical,        2,  1,  5,  6,   4,   4,   9,   9,   11,  12,  2,   36,  16,  23,  22,  33,  19,  44,  20,  8
  447, 3 149,         radical,        0,  2,  6,  7,   5,   5,   10,  10,  12,  13,  3,   37,  17,  24,  23,  34,  20,  45,  21,  9
  448, 2⁶ 7,          ,               1,  3,  0,  8,   6,   6,   11,  11,  13,  14,  4,   38,  18,  25,  24,  35,  21,  46,  22,  10
  449, 449,           prime,          2,  4,  1,  9,   7,   7,   12,  12,  14,  15,  5,   39,  19,  26,  25,  36,  22,  47,  23,  11
  450, 2 3² 5²,       ,               0,  0,  2,  10,  8,   8,   13,  13,  15,  16,  6,   40,  20,  27,  26,  37,  23,  48,  24,  12
  451, 11 41,         radical,        1,  1,  3,  0,   9,   9,   14,  14,  16,  17,  7,   0,   21,  28,  27,  38,  24,  49,  25,  13
  452, 2² 113,        ,               2,  2,  4,  1,   10,  10,  15,  15,  17,  18,  8,   1,   22,  29,  28,  39,  25,  50,  26,  14
  453, 3 151,         radical,        0,  3,  5,  2,   11,  11,  16,  16,  18,  19,  9,   2,   23,  30,  29,  40,  26,  51,  27,  15
  454, 2 227,         radical,        1,  4,  6,  3,   12,  12,  17,  17,  19,  20,  10,  3,   24,  31,  30,  41,  27,  52,  28,  16
  455, 5 7 13,        radical,        2,  0,  0,  4,   0,   13,  18,  18,  20,  21,  11,  4,   25,  32,  31,  42,  28,  53,  29,  17
  456, 2³ 3 19,       ,               0,  1,  1,  5,   1,   14,  0,   19,  21,  22,  12,  5,   26,  33,  32,  43,  29,  54,  30,  18
  457, 457,           prime,          1,  2,  2,  6,   2,   15,  1,   20,  22,  23,  13,  6,   27,  34,  33,  44,  30,  55,  31,  19
  458, 2 229,         radical,        2,  3,  3,  7,   3,   16,  2,   21,  23,  24,  14,  7,   28,  35,  34,  45,  31,  56,  32,  20
  459, 3³ 17,         ,               0,  4,  4,  8,   4,   0,   3,   22,  24,  25,  15,  8,   29,  36,  35,  46,  32,  57,  33,  21
  460, 2² 5 23,       ,               1,  0,  5,  9,   5,   1,   4,   0,   25,  26,  16,  9,   30,  37,  36,  47,  33,  58,  34,  22
  461, 461,           prime,          2,  1,  6,  10,  6,   2,   5,   1,   26,  27,  17,  10,  31,  38,  37,  48,  34,  59,  35,  23
  462, 2 3 7 11,      radical,        0,  2,  0,  0,   7,   3,   6,   2,   27,  28,  18,  11,  32,  39,  38,  49,  35,  60,  36,  24
  463, 463,           prime,          1,  3,  1,  1,   8,   4,   7,   3,   28,  29,  19,  12,  33,  40,  39,  50,  36,  61,  37,  25
  464, 2⁴ 29,         ,               2,  4,  2,  2,   9,   5,   8,   4,   0,   30,  20,  13,  34,  41,  40,  51,  37,  62,  38,  26
  465, 3 5 31,        radical,        0,  0,  3,  3,   10,  6,   9,   5,   1,   0,   21,  14,  35,  42,  41,  52,  38,  63,  39,  27
  466, 2 233,         radical,        1,  1,  4,  4,   11,  7,   10,  6,   2,   1,   22,  15,  36,  43,  42,  53,  39,  64,  40,  28
  467, 467,           prime,          2,  2,  5,  5,   12,  8,   11,  7,   3,   2,   23,  16,  37,  44,  43,  54,  40,  65,  41,  29
  468, 2² 3² 13,      ,               0,  3,  6,  6,   0,   9,   12,  8,   4,   3,   24,  17,  38,  45,  44,  55,  41,  66,  42,  30
  469, 7 67,          radical,        1,  4,  0,  7,   1,   10,  13,  9,   5,   4,   25,  18,  39,  46,  45,  56,  42,  0,   43,  31
  470, 2 5 47,        radical,        2,  0,  1,  8,   2,   11,  14,  10,  6,   5,   26,  19,  40,  0,   46,  57,  43,  1,   44,  32
  471, 3 157,         radical,        0,  1,  2,  9,   3,   12,  15,  11,  7,   6,   27,  20,  41,  1,   47,  58,  44,  2,   45,  33
  472, 2³ 59,         ,               1,  2,  3,  10,  4,   13,  16,  12,  8,   7,   28,  21,  42,  2,   48,  0,   45,  3,   46,  34
  473, 11 43,         radical,        2,  3,  4,  0,   5,   14,  17,  13,  9,   8,   29,  22,  0,   3,   49,  1,   46,  4,   47,  35
  474, 2 3 79,        radical,        0,  4,  5,  1,   6,   15,  18,  14,  10,  9,   30,  23,  1,   4,   50,  2,   47,  5,   48,  36
  475, 5² 19,         ,               1,  0,  6,  2,   7,   16,  0,   15,  11,  10,  31,  24,  2,   5,   51,  3,   48,  6,   49,  37
  476, 2² 7 17,       ,               2,  1,  0,  3,   8,   0,   1,   16,  12,  11,  32,  25,  3,   6,   52,  4,   49,  7,   50,  38
  477, 3² 53,         ,               0,  2,  1,  4,   9,   1,   2,   17,  13,  12,  33,  26,  4,   7,   0,   5,   50,  8,   51,  39
  478, 2 239,         radical,        1,  3,  2,  5,   10,  2,   3,   18,  14,  13,  34,  27,  5,   8,   1,   6,   51,  9,   52,  40
  479, 479,           prime,          2,  4,  3,  6,   11,  3,   4,   19,  15,  14,  35,  28,  6,   9,   2,   7,   52,  10,  53,  41
  480, 2⁵ 3 5,        ,               0,  0,  4,  7,   12,  4,   5,   20,  16,  15,  36,  29,  7,   10,  3,   8,   53,  11,  54,  42
  481, 13 37,         radical,        1,  1,  5,  8,   0,   5,   6,   21,  17,  16,  0,   30,  8,   11,  4,   9,   54,  12,  55,  43
  482, 2 241,         radical,        2,  2,  6,  9,   1,   6,   7,   22,  18,  17,  1,   31,  9,   12,  5,   10,  55,  13,  56,  44
  483, 3 7 23,        radical,        0,  3,  0,  10,  2,   7,   8,   0,   19,  18,  2,   32,  10,  13,  6,   11,  56,  14,  57,  45
  484, 2² 11²,        radical power,  1,  4,  1,  0,   3,   8,   9,   1,   20,  19,  3,   33,  11,  14,  7,   12,  57,  15,  58,  46
  485, 5 97,          radical,        2,  0,  2,  1,   4,   9,   10,  2,   21,  20,  4,   34,  12,  15,  8,   13,  58,  16,  59,  47
  486, 2 3⁵,          ,               0,  1,  3,  2,   5,   10,  11,  3,   22,  21,  5,   35,  13,  16,  9,   14,  59,  17,  60,  48
  487, 487,           prime,          1,  2,  4,  3,   6,   11,  12,  4,   23,  22,  6,   36,  14,  17,  10,  15,  60,  18,  61,  49
  488, 2³ 61,         ,               2,  3,  5,  4,   7,   12,  13,  5,   24,  23,  7,   37,  15,  18,  11,  16,  0,   19,  62,  50
  489, 3 163,         radical,        0,  4,  6,  5,   8,   13,  14,  6,   25,  24,  8,   38,  16,  19,  12,  17,  1,   20,  63,  51
  490, 2 5 7²,        ,               1,  0,  0,  6,   9,   14,  15,  7,   26,  25,  9,   39,  17,  20,  13,  18,  2,   21,  64,  52
  491, 491,           prime,          2,  1,  1,  7,   10,  15,  16,  8,   27,  26,  10,  40,  18,  21,  14,  19,  3,   22,  65,  53
  492, 2² 3 41,       ,               0,  2,  2,  8,   11,  16,  17,  9,   28,  27,  11,  0,   19,  22,  15,  20,  4,   23,  66,  54
  493, 17 29,         radical,        1,  3,  3,  9,   12,  0,   18,  10,  0,   28,  12,  1,   20,  23,  16,  21,  5,   24,  67,  55
  494, 2 13 19,       radical,        2,  4,  4,  10,  0,   1,   0,   11,  1,   29,  13,  2,   21,  24,  17,  22,  6,   25,  68,  56
  495, 3² 5 11,       ,               0,  0,  5,  0,   1,   2,   1,   12,  2,   30,  14,  3,   22,  25,  18,  23,  7,   26,  69,  57
  496, 2⁴ 31,         ,               1,  1,  6,  1,   2,   3,   2,   13,  3,   0,   15,  4,   23,  26,  19,  24,  8,   27,  70,  58
  497, 7 71,          radical,        2,  2,  0,  2,   3,   4,   3,   14,  4,   1,   16,  5,   24,  27,  20,  25,  9,   28,  0,   59
  498, 2 3 83,        radical,        0,  3,  1,  3,   4,   5,   4,   15,  5,   2,   17,  6,   25,  28,  21,  26,  10,  29,  1,   60
  499, 499,           prime,          1,  4,  2,  4,   5,   6,   5,   16,  6,   3,   18,  7,   26,  29,  22,  27,  11,  30,  2,   61
  500, 2² 5³,         ,               2,  0,  3,  5,   6,   7,   6,   17,  7,   4,   19,  8,   27,  30,  23,  28,  12,  31,  3,   62
  501, 3 167,         radical,        0,  1,  4,  6,   7,   8,   7,   18,  8,   5,   20,  9,   28,  31,  24,  29,  13,  32,  4,   63
  502, 2 251,         radical,        1,  2,  5,  7,   8,   9,   8,   19,  9,   6,   21,  10,  29,  32,  25,  30,  14,  33,  5,   64
  503, 503,           prime,          2,  3,  6,  8,   9,   10,  9,   20,  10,  7,   22,  11,  30,  33,  26,  31,  15,  34,  6,   65
  504, 2³ 3² 7,       ,               0,  4,  0,  9,   10,  11,  10,  21,  11,  8,   23,  12,  31,  34,  27,  32,  16,  35,  7,   66
  505, 5 101,         radical,        1,  0,  1,  10,  11,  12,  11,  22,  12,  9,   24,  13,  32,  35,  28,  33,  17,  36,  8,   67
  506, 2 11 23,       radical,        2,  1,  2,  0,   12,  13,  12,  0,   13,  10,  25,  14,  33,  36,  29,  34,  18,  37,  9,   68
  507, 3 13²,         ,               0,  2,  3,  1,   0,   14,  13,  1,   14,  11,  26,  15,  34,  37,  30,  35,  19,  38,  10,  69
  508, 2² 127,        ,               1,  3,  4,  2,   1,   15,  14,  2,   15,  12,  27,  16,  35,  38,  31,  36,  20,  39,  11,  70
  509, 509,           prime,          2,  4,  5,  3,   2,   16,  15,  3,   16,  13,  28,  17,  36,  39,  32,  37,  21,  40,  12,  71
  510, 2 3 5 17,      radical,        0,  0,  6,  4,   3,   0,   16,  4,   17,  14,  29,  18,  37,  40,  33,  38,  22,  41,  13,  72
  511, 7 73,          radical,        1,  1,  0,  5,   4,   1,   17,  5,   18,  15,  30,  19,  38,  41,  34,  39,  23,  42,  14,  0
  512, 2⁹,            prime power,    2,  2,  1,  6,   5,   2,   18,  6,   19,  16,  31,  20,  39,  42,  35,  40,  24,  43,  15,  1
  513, 3³ 19,         ,               0,  3,  2,  7,   6,   3,   0,   7,   20,  17,  32,  21,  40,  43,  36,  41,  25,  44,  16,  2
  514, 2 257,         radical,        1,  4,  3,  8,   7,   4,   1,   8,   21,  18,  33,  22,  41,  44,  37,  42,  26,  45,  17,  3
  515, 5 103,         radical,        2,  0,  4,  9,   8,   5,   2,   9,   22,  19,  34,  23,  42,  45,  38,  43,  27,  46,  18,  4
  516, 2² 3 43,       ,               0,  1,  5,  10,  9,   6,   3,   10,  23,  20,  35,  24,  0,   46,  39,  44,  28,  47,  19,  5
  517, 11 47,         radical,        1,  2,  6,  0,   10,  7,   4,   11,  24,  21,  36,  25,  1,   0,   40,  45,  29,  48,  20,  6
  518, 2 7 37,        radical,        2,  3,  0,  1,   11,  8,   5,   12,  25,  22,  0,   26,  2,   1,   41,  46,  30,  49,  21,  7
  519, 3 173,         radical,        0,  4,  1,  2,   12,  9,   6,   13,  26,  23,  1,   27,  3,   2,   42,  47,  31,  50,  22,  8
  520, 2³ 5 13,       ,               1,  0,  2,  3,   0,   10,  7,   14,  27,  24,  2,   28,  4,   3,   43,  48,  32,  51,  23,  9
  521, 521,           prime,          2,  1,  3,  4,   1,   11,  8,   15,  28,  25,  3,   29,  5,   4,   44,  49,  33,  52,  24,  10
  522, 2 3² 29,       ,               0,  2,  4,  5,   2,   12,  9,   16,  0,   26,  4,   30,  6,   5,   45,  50,  34,  53,  25,  11
  523, 523,           prime,          1,  3,  5,  6,   3,   13,  10,  17,  1,   27,  5,   31,  7,   6,   46,  51,  35,  54,  26,  12
  524, 2² 131,        ,               2,  4,  6,  7,   4,   14,  11,  18,  2,   28,  6,   32,  8,   7,   47,  52,  36,  55,  27,  13
  525, 3 5² 7,        ,               0,  0,  0,  8,   5,   15,  12,  19,  3,   29,  7,   33,  9,   8,   48,  53,  37,  56,  28,  14
  526, 2 263,         radical,        1,  1,  1,  9,   6,   16,  13,  20,  4,   30,  8,   34,  10,  9,   49,  54,  38,  57,  29,  15
  527, 17 31,         radical,        2,  2,  2,  10,  7,   0,   14,  21,  5,   0,   9,   35,  11,  10,  50,  55,  39,  58,  30,  16
  528, 2⁴ 3 11,       ,               0,  3,  3,  0,   8,   1,   15,  22,  6,   1,   10,  36,  12,  11,  51,  56,  40,  59,  31,  17
  529, 23²,           prime power,    1,  4,  4,  1,   9,   2,   16,  0,   7,   2,   11,  37,  13,  12,  52,  57,  41,  60,  32,  18
  530, 2 5 53,        radical,        2,  0,  5,  2,   10,  3,   17,  1,   8,   3,   12,  38,  14,  13,  0,   58,  42,  61,  33,  19
  531, 3² 59,         ,               0,  1,  6,  3,   11,  4,   18,  2,   9,   4,   13,  39,  15,  14,  1,   0,   43,  62,  34,  20
  532, 2² 7 19,       ,               1,  2,  0,  4,   12,  5,   0,   3,   10,  5,   14,  40,  16,  15,  2,   1,   44,  63,  35,  21
  533, 13 41,         radical,        2,  3,  1,  5,   0,   6,   1,   4,   11,  6,   15,  0,   17,  16,  3,   2,   45,  64,  36,  22
  534, 2 3 89,        radical,        0,  4,  2,  6,   1,   7,   2,   5,   12,  7,   16,  1,   18,  17,  4,   3,   46,  65,  37,  23
  535, 5 107,         radical,        1,  0,  3,  7,   2,   8,   3,   6,   13,  8,   17,  2,   19,  18,  5,   4,   47,  66,  38,  24
  536, 2³ 67,         ,               2,  1,  4,  8,   3,   9,   4,   7,   14,  9,   18,  3,   20,  19,  6,   5,   48,  0,   39,  25
  537, 3 179,         radical,        0,  2,  5,  9,   4,   10,  5,   8,   15,  10,  19,  4,   21,  20,  7,   6,   49,  1,   40,  26
  538, 2 269,         radical,        1,  3,  6,  10,  5,   11,  6,   9,   16,  11,  20,  5,   22,  21,  8,   7,   50,  2,   41,  27
  539, 7² 11,         ,               2,  4,  0,  0,   6,   12,  7,   10,  17,  12,  21,  6,   23,  22,  9,   8,   51,  3,   42,  28
  540, 2² 3³ 5,       ,               0,  0,  1,  1,   7,   13,  8,   11,  18,  13,  22,  7,   24,  23,  10,  9,   52,  4,   43,  29
  541, 541,           prime,          1,  1,  2,  2,   8,   14,  9,   12,  19,  14,  23,  8,   25,  24,  11,  10,  53,  5,   44,  30
  542, 2 271,         radical,        2,  2,  3,  3,   9,   15,  10,  13,  20,  15,  24,  9,   26,  25,  12,  11,  54,  6,   45,  31
  543, 3 181,         radical,        0,  3,  4,  4,   10,  16,  11,  14,  21,  16,  25,  10,  27,  26,  13,  12,  55,  7,   46,  32
  544, 2⁵ 17,         ,               1,  4,  5,  5,   11,  0,   12,  15,  22,  17,  26,  11,  28,  27,  14,  13,  56,  8,   47,  33
  545, 5 109,         radical,        2,  0,  6,  6,   12,  1,   13,  16,  23,  18,  27,  12,  29,  28,  15,  14,  57,  9,   48,  34
  546, 2 3 7 13,      radical,        0,  1,  0,  7,   0,   2,   14,  17,  24,  19,  28,  13,  30,  29,  16,  15,  58,  10,  49,  35
  547, 547,           prime,          1,  2,  1,  8,   1,   3,   15,  18,  25,  20,  29,  14,  31,  30,  17,  16,  59,  11,  50,  36
  548, 2² 137,        ,               2,  3,  2,  9,   2,   4,   16,  19,  26,  21,  30,  15,  32,  31,  18,  17,  60,  12,  51,  37
  549, 3² 61,         ,               0,  4,  3,  10,  3,   5,   17,  20,  27,  22,  31,  16,  33,  32,  19,  18,  0,   13,  52,  38
  550, 2 5² 11,       ,               1,  0,  4,  0,   4,   6,   18,  21,  28,  23,  32,  17,  34,  33,  20,  19,  1,   14,  53,  39
  551, 19 29,         radical,        2,  1,  5,  1,   5,   7,   0,   22,  0,   24,  33,  18,  35,  34,  21,  20,  2,   15,  54,  40
  552, 2³ 3 23,       ,               0,  2,  6,  2,   6,   8,   1,   0,   1,   25,  34,  19,  36,  35,  22,  21,  3,   16,  55,  41
  553, 7 79,          radical,        1,  3,  0,  3,   7,   9,   2,   1,   2,   26,  35,  20,  37,  36,  23,  22,  4,   17,  56,  42
  554, 2 277,         radical,        2,  4,  1,  4,   8,   10,  3,   2,   3,   27,  36,  21,  38,  37,  24,  23,  5,   18,  57,  43
