# `n`         a positive integer
# `factors`   the prime factorization of n
# `psym`      the symmetric primes at equal offsets around n
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

n,      factors,       psym,                        primeness
2650,   2 5² 53,       [33 57 99],                  
2651,   11 241,        [42 60],                     radical
2652,   2² 3 13 17,    [5 19 31 35 59 61],          
2653,   7 379,         [6 36 60 96],                radical
2654,   2 1327,        [33 45 75],                  radical
2655,   3² 5 59,       [8 22 34 38 64 76 98],       
2656,   2⁵ 83,         [63],                        
2657,   2657,          [36],                        prime twin
2658,   2 3 443,       [1 25 41 49],                radical
2659,   2659,          [12],                        prime twin
2660,   2² 5 7 19,     [3 27 39 51 69 81],          
2661,   3 887,         [2 28 52 68 70],             radical
2662,   2 11³,         [15 45 69],                  
2663,   2663,          [30],                        prime
2664,   2³ 3² 37,      [7 43 47 55 85],             
2665,   5 13 41,       [6 18 48],                   radical
2666,   2 31 43,       [33 45 75 87],               radical
2667,   3 7 127,       [4 10 20 46 74],             radical
2668,   2² 23 29,      [9 21 51],                   
2669,   17 157,        [60],                        radical
2670,   2 3 5 89,      [7 13 23 37 49 61 79],       radical
2671,   2671,          [12 78],                     prime
2672,   2⁴ 167,        [15 39 81],                  
2673,   3⁵ 11,         [10 14 16 26 40 56 80 94],   
2674,   2 7 191,       [3 15 57],                   radical
2675,   5² 107,        [12 18 54 66],               
2676,   2² 3 223,      [13 17 43 55],               
2677,   2677,          [6 30],                      prime
2678,   2 13 103,      [15 21 99],                  radical
2679,   3 19 47,       [8 20 32 62 70 88],          radical
2680,   2³ 5 67,       [3 9 33 87],                 
2681,   7 383,         [18 48 60 72],               radical
2682,   2 3² 149,      [5 11 25 49],                
2683,   2683,          [6 24 36 66],                prime
2684,   2² 11 61,      [27 93],                     
2685,   3 5 179,       [2 8 14 22 26 28 64 68],     radical
2686,   2 17 79,       [3 27],                      radical
2687,   2687,          [24 54 66],                  prime twin
2688,   2⁷ 3 7,        [1 5 11 25 31 41 79],        
2689,   2689,          [18 30 42],                  prime twin
2690,   2 5 269,       [3 99],                      radical
2691,   3² 13 23,      [2 8 20 28 58 98 100],       
2692,   2² 673,        [15 21 75 99],               
2693,   2693,          [6 36 60 84],                prime
2694,   2 3 449,       [5 17 35 37 47 73],          radical
2695,   5 7² 11,       [12 18 24 36],               
2696,   2³ 337,        [3 33],                      
2697,   3 29 31,       [10 14 34 80],               radical
2698,   2 19 71,       [9 15 21 51],                radical
2699,   2699,          [12 42 78 90],               prime
2700,   2² 3³ 5²,      [7 11 13 29 41 53 67 91],    
2701,   37 73,         [12 18 30],                  radical
2702,   2 7 193,       [9 39],                      radical
2703,   3 17 53,       [4 10 16 26 46 86 94],       radical
2704,   2⁴ 13²,        [15 27 45 87],               
2705,   5 541,         [6 48 72 84 96],             radical
2706,   2 3 11 41,     [7 13 23 35 43 47 85 97],    radical
2707,   2707,          [24 60 90],                  prime
2708,   2² 677,        [21 45],                     
2709,   3² 7 43,       [2 10 20 22 32 88 92],       
2710,   2 5 271,       [3 21 39 93],                radical
2711,   2711,          [18 78 90],                  prime twin
2712,   2³ 3 113,      [1 19 29 41 55 65 79 91],    
2713,   2713,          [6 36 54],                   prime twin
2714,   2 23 59,       [15 27],                     radical
2715,   3 5 181,       [4 16 26 38 52 82],          radical
2716,   2² 7 97,       [3 33],                      
2717,   11 13 19,      [24 60 84],                  radical
2718,   2 3² 151,      [11 31 35 59 71 85],         
2719,   2719,          [12 30 48 72],               prime
2720,   2⁵ 5 17,       [9 21 33 57 99],             
2721,   3 907,         [8 10 28 32],                radical
2722,   2 1361,        [9 45 75],                   radical
2723,   7 389,         [30 66],                     radical
2724,   2² 3 227,      [5 17 25 53 65 67 77],       
2725,   5² 109,        [6 42 66 78],                
2726,   2 29 47,       [15 27 63 93],               radical
2727,   3³ 101,        [14 40 50 64 70],            
2728,   2³ 11 31,      [21 39 69],                  
2729,   2729,          [72],                        prime twin
2730,   2 3 5 7 13,    [1 11 19 23 37 47 59 67],    radical
2731,   2731,          [18 60 72],                  prime twin
2732,   2² 683,        [21 45 69],                  
2733,   3 911,         [20 34 44 56 70 86 100],     radical
2734,   2 1367,        [15 57 63],                  radical
2735,   5 547,         [6 42],                      radical
2736,   2⁴ 3² 19,      [5 17 53 65],                
2737,   7 17 23,       [30 54 60 66],               radical
2738,   2 37²,         [39 51 81],                  
2739,   3 11 83,       [10 28 50 52 62 80],         radical
2740,   2² 5 137,      [9 27 51 57 63 93],          
2741,   2741,          [12 48 78],                  prime
2742,   2 3 457,       [11 35 49 55 59 95],         radical
2743,   13 211,        [24 54 60],                  radical
2744,   2³ 7³,         [33 45 57],                  radical power
2745,   3² 5 61,       [4 32 46 52 56 58 74 88],    
2746,   2 1373,        [57 87],                     radical
2747,   41 67,         [6 54 90],                   radical
2748,   2² 3 229,      [19 29 41 49 55 71 85 89],   
2749,   2749,          [18 42],                     prime
2750,   2 5³ 11,       [39 51 87 93],               
2751,   3 7 131,       [2 38 40 52 68 92],          radical
2752,   2⁶ 43,         [39 45 81],                  
2753,   2753,          [24 66 90],                  prime
2754,   2 3⁴ 17,       [13 23 35 43 47 65 83 97],   
2755,   5 19 29,       [36 42 48 78 96],            radical
2756,   2² 13 53,      [45 63],                     
2757,   3 919,         [44 46 80 86 94 100],        radical
2758,   2 7 197,       [9 39 45 75 99],             radical
2759,   31 89,         [18 30 60],                  radical
2760,   2³ 3 5 23,     [7 29 31 41 73 77 83 97],    
2761,   11 251,        [30 42 72 90],               radical
2762,   2 1381,        [75 99],                     radical
2763,   3² 307,        [14 34 56 70 74 80],         
2764,   2² 691,        [33 87 93],                  
2765,   5 7 79,        [12 24 36 54 72 78],         radical
2766,   2 3 461,       [25 35 37 53 67 77 95],      radical
2767,   2767,          [36 84 90],                  prime
2768,   2⁴ 173,        [69 75],                     
2769,   3 13 71,       [20 28 50 82 92],            radical
2770,   2 5 277,       [21 63 81 87],               radical
2771,   17 163,        [18 30 72],                  radical
2772,   2² 3² 7 11,    [5 19 31 61 65 79 85 89],    
2773,   47 59,         [24 60 84],                  radical
2774,   2 19 73,       [45 63 87],                  radical
2775,   3 5² 37,       [22 26 44 62 68 76 82 86],   
2776,   2³ 347,        [27 57],                     
2777,   2777,          [24 66 84],                  prime
2778,   2 3 463,       [11 25 59 65 79],            radical
2779,   7 397,         [12 72],                     radical
2780,   2² 5 139,      [39 81],                     
2781,   3³ 103,        [52 62 70 98],               
2782,   2 13 107,      [15 51 69 75],               radical
2783,   11² 23,        [6 54 96],                   
2784,   2⁵ 3 29,       [7 17 35 53 73 77 95],       
2785,   5 557,         [18 66 72],                  radical
2786,   2 7 199,       [33 57 75 93],               radical
2787,   3 929,         [10 46 56 74 100],           radical
2788,   2² 17 41,      [69 99],                     
2789,   2789,          [12 48 90],                  prime twin
2790,   2 3² 5 31,     [1 13 61 71 97],             
2791,   2791,          [42 60],                     prime twin
2792,   2³ 349,        [51],                        
2793,   3 7² 19,       [4 26 40 44 64 86 94],       
2794,   2 11 127,      [3 63],                      radical
2795,   5 13 43,       [6 42 66 84],                radical
2796,   2² 3 233,      [5 7 47 55 65 83],           
2797,   2797,          [6 90],                      prime
2798,   2 1399,        [21 45 99],                  radical
2799,   3² 311,        [2 58 80 88],                
2800,   2⁴ 5² 7,       [3 33 51 87],                
2801,   2801,          [60],                        prime twin
2802,   2 3 467,       [1 35 49 95],                radical
2803,   2803,          [54 84],                     prime twin
2804,   2² 701,        [15 75 93],                  
2805,   3 5 11 17,     [14 28 38 52 56 74 92 98],   radical
2806,   2 23 61,       [],                          radical
2807,   7 401,         [30 54 96],                  radical
2808,   2³ 3³ 13,      [11 79 89 95],               
2809,   53²,           [42 78],                     prime power
2810,   2 5 281,       [9 33 69 99],                radical
2811,   3 937,         [8 22 92 98],                radical
2812,   2² 19 37,      [21 45],                     
2813,   29 97,         [24 84],                     radical
2814,   2 3 7 67,      [23 37 47 65 73 83 95],      radical
2815,   5 563,         [18],                        radical
2816,   2⁸ 11,         [27 63 87],                  
2817,   3² 313,        [16 20 26 40 86],            
2818,   2 1409,        [15 69 99],                  radical
2819,   2819,          [18 42 78 90],               prime
2820,   2² 3 5 47,     [17 23 31 67 89],            
2821,   7 13 31,       [30],                        radical
2822,   2 17 83,       [21 81],                     radical
2823,   3 941,         [20 34 56 74 94],            radical
2824,   2³ 353,        [27 33 93],                  
2825,   5² 113,        [36 72 84],                  
2826,   2 3² 157,      [7 25 35 77],                
2827,   11 257,        [24 30 60],                  radical
2828,   2² 7 101,      [9 51 75 99],                
2829,   3 23 41,       [28 32 80 88 98],            radical
2830,   2 5 283,       [27],                        radical
2831,   19 149,        [12 30 78],                  radical
2832,   2⁴ 3 59,       [29 55 65],                  
2833,   2833,          [84],                        prime
2834,   2 13 109,      [45 93],                     radical
2835,   3⁴ 5 7,        [2 16 44 68 82],             
2836,   2² 709,        [],                          
2837,   2837,          [60],                        prime
2838,   2 3 11 43,     [5 19 41 49 71 89],          radical
2839,   17 167,        [48],                        radical
2840,   2³ 5 71,       [3 21 39 63 87 99],          
2841,   3 947,         [38],                        radical
2842,   2 7² 29,       [9 45 75],                   
2843,   2843,          [54 66],                     prime
2844,   2² 3² 79,      [7 43 53 95],                
2845,   5 569,         [12 42],                     radical
2846,   2 1423,        [57 93],                     radical
2847,   3 13 73,       [4 10 14 50 56 70 80],       radical
2848,   2⁵ 89,         [],                          
2849,   7 11 37,       [12 30 48 60],               radical
2850,   2 3 5² 19,     [7 47 53 59],                
2851,   2851,          [],                          prime
2852,   2² 23 31,      [9 51 75],                   
2853,   3² 317,        [34 50 56 64 86 100],        
2854,   2 1427,        [3 63],                      radical
2855,   5 571,         [54],                        radical
2856,   2³ 3 7 17,     [5 23 53],                   
2857,   2857,          [60],                        prime
2858,   2 1429,        [21 39 69 81],               radical
2859,   3 953,         [2 58 68],                   radical
2860,   2² 5 11 13,    [27 57 93],                  
2861,   2861,          [18 42],                     prime
2862,   2 3³ 53,       [25 65 95],                  
2863,   7 409,         [],                          radical
2864,   2⁴ 179,        [45 63 75],                  
2865,   3 5 191,       [14 22 32 62 74 88 98],      radical
2866,   2 1433,        [],                          radical
2867,   47 61,         [30 90],                     radical
2868,   2² 3 239,      [11 35 49 71],               
2869,   19 151,        [18],                        radical
2870,   2 5 7 41,      [9 27 33 69 93],             radical
2871,   3² 11 29,      [38 68 82],                  
2872,   2³ 359,        [15 81],                     
2873,   13² 17,        [30 36 54 84 96],            
2874,   2 3 479,       [13 23 83 97],               radical
2875,   5³ 23,         [42 78],                     
2876,   2² 719,        [33 87],                     
2877,   3 7 137,       [20 26 40 76 80 86],         radical
2878,   2 1439,        [75],                        radical
2879,   2879,          [18 60 78 90],               prime
2880,   2⁶ 3² 5,       [23 29 37 47 77 83 89 91],   
2881,   43 67,         [90],                        radical
2882,   2 11 131,      [21 45 81],                  radical
2883,   3 31²,         [4 26 80 86],                
2884,   2² 7 103,      [33 87],                     
2885,   5 577,         [24 42 84],                  radical
2886,   2 3 13 37,     [53 67 83 85],               radical
2887,   2887,          [30 84],                     prime
2888,   2³ 19²,        [9 51 69],                   
2889,   3³ 107,        [28 38],                     
2890,   2 5 17²,       [],                          
2891,   7² 59,         [12 48 72],                  
2892,   2² 3 241,      [5 35],                      
2893,   11 263,        [60],                        radical
2894,   2 1447,        [15 33 75],                  radical
2895,   3 5 193,       [8 44 58 62 76],             radical
2896,   2⁴ 181,        [],                          
2897,   2897,          [60],                        prime
2898,   2 3² 7 23,     [11 19 41 55 65],            
2899,   13 223,        [],                          radical
2900,   2² 5² 29,      [3 39 57 63 99],             
2901,   3 967,         [68 98 100],                 radical
2902,   2 1451,        [15 51 69 99],               radical
2903,   2903,          [6 24 60 66],                prime
2904,   2³ 3 11²,      [53 67],                     
2905,   5 7 83,        [48],                        radical
2906,   2 1453,        [3 63],                      radical
2907,   3² 17 19,      [10 20 46 50 56 64],         
2908,   2² 727,        [],                          
2909,   2909,          [30 48 90],                  prime
2910,   2 3 5 97,      [7 53 59 91],                radical
2911,   41 71,         [60],                        radical
2912,   2⁵ 7 13,       [15 51],                     
2913,   3 971,         [4 26 56],                   radical
2914,   2 31 47,       [57],                        radical
2915,   5 11 53,       [12 54 96],                  radical
2916,   2² 3⁶,         [37 55 83],                  
2917,   2917,          [84],                        prime
2918,   2 1459,        [9 21 39 81],                radical
2919,   3 7 139,       [82 100],                    radical
2920,   2³ 5 73,       [33],                        
2921,   23 127,        [18 42 78],                  radical
2922,   2 3 487,       [5 35 79 89],                radical
2923,   37 79,         [],                          radical
2924,   2² 17 43,      [15 45 87],                  
2925,   3² 5² 13,      [28 38 46 74],               
2926,   2 7 11 19,     [75 93],                     radical
2927,   2927,          [30 84],                     prime
2928,   2⁴ 3 61,       [11 25 41 71 91 95],         
2929,   29 101,        [42 72],                     radical
2930,   2 5 293,       [27 33 69 93],               radical
2931,   3 977,         [22 70 80 88],               radical
2932,   2² 733,        [],                          
2933,   7 419,         [6 24 30 36 90],             radical
2934,   2 3² 163,      [37 77],                     
2935,   5 587,         [18 84],                     radical
2936,   2³ 367,        [27 33 75],                  
2937,   3 11 89,       [20 34 86 100],              radical
2938,   2 13 113,      [81],                        radical
2939,   2939,          [30 60],                     prime
2940,   2² 3 5 7²,     [13 23 31 61 79 83 97],      
2941,   17 173,        [],                          radical
2942,   2 1471,        [15 81 99],                  radical
2943,   3³ 109,        [26 56],                     
2944,   2⁷ 23,         [27 57 93],                  
2945,   5 19 31,       [18 66],                     radical
2946,   2 3 491,       [7 95],                      radical
2947,   7 421,         [90],                        radical
2948,   2² 11 67,      [9 21 51],                   
2949,   3 983,         [22 52 62 70 88 92],         radical
2950,   2 5² 59,       [99],                        
2951,   13 227,        [12 48 72 90],               radical
2952,   2³ 3² 41,      [49],                        
2953,   2953,          [66 96],                     prime
2954,   2 7 211,       [15 45 57],                  radical
2955,   3 5 197,       [2 16 46 68 94],             radical
2956,   2² 739,        [],                          
2957,   2957,          [54],                        prime
2958,   2 3 17 29,     [5 41 61 79],                radical
2959,   11 269,        [42],                        radical
2960,   2⁴ 5 37,       [3 51 63 81],                
2961,   3² 7 47,       [8 58 100],                  
2962,   2 1481,        [9 75],                      radical
2963,   2963,          [6 36 60],                   prime
2964,   2² 3 13 19,    [7 37 47 55 77 85],          
2965,   5 593,         [],                          radical
2966,   2 1483,        [3 57],                      radical
2967,   3 23 43,       [4 70],                      radical
2968,   2³ 7 53,       [51 81],                     
2969,   2969,          [30 42 72],                  prime twin
2970,   2 3³ 5 11,     [1 31 53 67 91],             
2971,   2971,          [],                          prime twin
2972,   2² 743,        [69],                        
2973,   3 991,         [46 64 76 94],               radical
2974,   2 1487,        [87],                        radical
2975,   5² 7 17,       [36 48 66],                  
2976,   2⁵ 3 31,       [23 73],                     
2977,   13 229,        [24 60 90],                  radical
2978,   2 1489,        [21],                        radical
2979,   3² 331,        [22 40 62 70 82 100],        
2980,   2² 5 149,      [],                          
2981,   11 271,        [18 42],                     radical
2982,   2 3 7 71,      [19 29 55 79 85],            radical
2983,   19 157,        [66 96],                     radical
2984,   2³ 373,        [15 27 57],                  
2985,   3 5 199,       [14 16 76 82 98],            radical
2986,   2 1493,        [15 33],                     radical
2987,   29 103,        [24],                        radical
2988,   2² 3² 83,      [31 35 49 61 79 91],         
2989,   7² 61,         [72],                        
2990,   2 5 13 23,     [21 33 51 93],               radical
2991,   3 997,         [20 28 88],                  radical
2992,   2⁴ 11 17,      [75],                        
2993,   41 73,         [30 90 96],                  radical
2994,   2 3 499,       [25 55 67 85],               radical
2995,   5 599,         [24 42],                     radical
2996,   2² 7 107,      [27 87 93],                  
2997,   3⁴ 37,         [26 40 44 70],               
2998,   2 1499,        [81],                        radical
2999,   2999,          [42 90],                     prime twin
3000,   2³ 3 5³,       [1 37 61 83],                
3001,   3001,          [48],                        prime twin
3002,   2 19 79,       [39],                        radical
3003,   3 7 11 13,     [34 46 64 76 86],            radical
3004,   2² 751,        [33],                        
3005,   5 601,         [6 36 78],                   radical
3006,   2 3² 167,      [5 35 43],                   
3007,   31 97,         [54],                        radical
3008,   2⁶ 47,         [81],                        
3009,   3 17 59,       [10 40 52 70 100],           radical
3010,   2 5 7 43,      [9 39 57],                   radical
3011,   3011,          [12 72],                     prime
3012,   2² 3 251,      [11 49 55],                  
3013,   23 131,        [96],                        radical
3014,   2 11 137,      [75],                        radical
3015,   3² 5 67,       [4 46 52],                   
3016,   2³ 13 29,      [45 63],                     
3017,   7 431,         [6],                         radical
3018,   2 3 503,       [19 49 61 65 91],            radical
3019,   3019,          [18 48],                     prime
3020,   2² 5 151,      [21 63],                     
3021,   3 19 53,       [2 20 58 68],                radical
3022,   2 1511,        [],                          radical
3023,   3023,          [60 66 96],                  prime
3024,   2⁴ 3³ 7,       [13 25 55 85 97],            
3025,   5² 11²,        [24 54],                     radical power
3026,   2 17 89,       [15 57 63],                  radical
3027,   3 1009,        [56],                        radical
3028,   2² 757,        [9],                         
3029,   13 233,        [60 90],                     radical
3030,   2 3 5 101,     [7 11 19 31 59 91],          radical
3031,   7 433,         [30 78],                     radical
3032,   2³ 379,        [9],                         
3033,   3² 337,        [34 76],                     
3034,   2 37 41,       [15 33],                     radical
3035,   5 607,         [],                          radical
3036,   2² 3 11 23,    [13 25 73 83],               
3037,   3037,          [84],                        prime
3038,   2 7² 31,       [81 99],                     
3039,   3 1013,        [2 28 40 70 82],             radical
3040,   2⁵ 5 19,       [21 39 69],                  
3041,   3041,          [42 78],                     prime
3042,   2 3² 13²,      [19 41 79],                  
3043,   17 179,        [6 24],                      radical
3044,   2² 761,        [45 75],                     
3045,   3 5 7 29,      [4 22 34 44 74 76 92],       radical
3046,   2 1523,        [75],                        radical
3047,   11 277,        [36 90],                     radical
3048,   2³ 3 127,      [],                          
3049,   3049,          [12 30],                     prime
3050,   2 5² 61,       [39 87],                     
3051,   3³ 113,        [10 28 32],                  
3052,   2² 7 109,      [15],                        
3053,   43 71,         [30 84],                     radical
3054,   2 3 509,       [13 35 55 83],               radical
3055,   5 13 47,       [6 54],                      radical
3056,   2⁴ 191,        [33],                        
3057,   3 1019,        [],                          radical
3058,   2 11 139,      [9 21],                      radical
3059,   7 19 23,       [60],                        radical
3060,   2² 3² 5 17,    [19 23 49 59 61],            
3061,   3061,          [60],                        prime
3062,   2 1531,        [21],                        radical
3063,   3 1021,        [26 100],                    radical
3064,   2³ 383,        [3 15 45],                   
3065,   5 613,         [24 54],                     radical
3066,   2 3 7 73,      [17 43 55 97],               radical
3067,   3067,          [96],                        prime
3068,   2² 13 59,      [69 99],                     
3069,   3² 11 31,      [20 50 68 98 100],           
3070,   2 5 307,       [9 51 99],                   radical
3071,   37 83,         [48],                        radical
3072,   2¹⁰ 3,         [11 49],                     
3073,   7 439,         [6 36],                      radical
3074,   2 29 53,       [63],                        radical
3075,   3 5² 41,       [8 14 34],                   
3076,   2² 769,        [],                          
3077,   17 181,        [],                          radical
3078,   2 3⁴ 19,       [11 41 59],                  
3079,   3079,          [30 42],                     prime
3080,   2³ 5 7 11,     [39 57],                     
3081,   3 13 79,       [2 40 82],                   radical
3082,   2 23 67,       [81],                        radical
3083,   3083,          [84],                        prime
3084,   2² 3 257,      [5 35 83 85],                
3085,   5 617,         [24 36 84],                  radical
3086,   2 1543,        [3],                         radical
3087,   3² 7³,         [50 76],                     
3088,   2⁴ 193,        [21],                        
3089,   3089,          [48 78],                     prime
3090,   2 3 5 103,     [29 79 91],                  radical
3091,   11 281,        [30 72 90],                  radical
3092,   2² 773,        [],                          
3093,   3 1031,        [26 44 70 74 94],            radical
3094,   2 7 13 17,     [15 27 75 93],               radical
3095,   5 619,         [72 96],                     radical
3096,   2³ 3² 43,      [13 73 85 95],               
3097,   19 163,        [],                          radical
3098,   2 1549,        [],                          radical
3099,   3 1033,        [10 20 38 88],               radical
3100,   2² 5² 31,      [21 63 81],                  
3101,   7 443,         [18 90],                     radical
3102,   2 3 11 47,     [19 35 61 65 79],            radical
3103,   29 107,        [66 84],                     radical
3104,   2⁵ 97,         [15 63],                     
3105,   3³ 5 23,       [16 64 82 86],               
3106,   2 1553,        [57],                        radical
3107,   13 239,        [84 96],                     radical
3108,   2² 3 7 37,     [29 59],                     
3109,   3109,          [60 72],                     prime
3110,   2 5 311,       [27 99],                     radical
3111,   3 17 61,       [70 92],                     radical
3112,   2³ 389,        [51 75],                     
3113,   11 283,        [24 90],                     radical
3114,   2 3² 173,      [5 53 73 77 95],             
3115,   5 7 89,        [6 48 54 66],                radical
3116,   2² 19 41,      [75 93],                     
3117,   3 1039,        [50],                        radical
3118,   2 1559,        [51 69 99],                  radical
3119,   3119,          [],                          prime twin
3120,   2⁴ 3 5 13,     [1 71 83 97],                
3121,   3121,          [42 60],                     prime twin
3122,   2 7 223,       [81 99],                     radical
3123,   3² 347,        [14 40 44 86],               
3124,   2² 11 71,      [45 57 63],                  
3125,   5⁵,            [42 84],                     prime power
3126,   2 3 521,       [37 43 65 77],               radical
3127,   53 59,         [60 90],                     radical
3128,   2³ 17 23,      [9 39],                      
3129,   3 7 149,       [8 40 62 80 88 92],          radical
3130,   2 5 313,       [51],                        radical
3131,   31 101,        [90],                        radical
3132,   2² 3³ 29,      [49 71],                     
3133,   13 241,        [54 84 96],                  radical
3134,   2 1567,        [],                          radical
3135,   3 5 11 19,     [46 52 56 68 74 86 94],      radical
3136,   2⁶ 7²,         [27],                        
3137,   3137,          [54],                        prime
3138,   2 3 523,       [29 49 71],                  radical
3139,   43 73,         [30 78 90],                  radical
3140,   2² 5 157,      [51],                        
3141,   3² 349,        [22 62 80],                  
3142,   2 1571,        [21 75],                     radical
3143,   7 449,         [24 60],                     radical
3144,   2³ 3 131,      [23 25 65 77],               
3145,   5 17 37,       [24 36 84],                  radical
3146,   2 11² 13,      [57 63],                     
3147,   3 1049,        [],                          radical
3148,   2² 787,        [39 69 81],                  
3149,   47 67,         [60],                        radical
3150,   2 3² 5² 7,     [13 31 41 67 71],            
3151,   23 137,        [30],                        radical
3152,   2⁴ 197,        [15 69],                     
3153,   3 1051,        [16 34 64],                  radical
3154,   2 19 83,       [33 75],                     radical
3155,   5 631,         [36 66],                     radical
3156,   2² 3 263,      [35 47 73 95],               
3157,   7 11 41,       [96],                        radical
3158,   2 1579,        [],                          radical
3159,   3⁵ 13,         [22 50 70 92 98],            
3160,   2³ 5 79,       [93 99],                     
3161,   29 109,        [42],                        radical
3162,   2 3 17 31,     [25 41 95],                  radical
3163,   3163,          [54 96],                     prime
3164,   2² 7 113,      [27 45],                     
3165,   3 5 211,       [2 44 56 86],                radical
3166,   2 1583,        [3 87],                      radical
3167,   3167,          [84],                        prime twin
3168,   2⁵ 3² 11,      [1 49 85 89],                
3169,   3169,          [48 60 90],                  prime twin
3170,   2 5 317,       [33 51 81 87],               radical
3171,   3 7 151,       [50 82 88],                  radical
3172,   2² 13 61,      [9],                         
3173,   19 167,        [36 84],                     radical
3174,   2 3 23²,       [7 55 85],                   
3175,   5² 127,        [6 12 54 96],                
3176,   2³ 397,        [],                          
3177,   3² 353,        [10 14 40 94],               
3178,   2 7 227,       [9],                         radical
3179,   11 17²,        [12 42],                     
3180,   2² 3 5 53,     [11 71 91],                  
3181,   3181,          [72],                        prime
3182,   2 37 43,       [],                          radical
3183,   3 1061,        [20 46 74],                  radical
3184,   2⁴ 199,        [3 75],                      
3185,   5 7² 13,       [18 66],                     
3186,   2 3³ 59,       [5 17 23 65 67],             
3187,   3187,          [66],                        prime
3188,   2² 797,        [21 69],                     
3189,   3 1063,        [2 20 68 70],                radical
3190,   2 5 11 29,     [27 69 81],                  radical
3191,   3191,          [],                          prime
3192,   2³ 3 7 19,     [11 25 29],                  
3193,   31 103,        [24],                        radical
3194,   2 1597,        [27 57],                     radical
3195,   3² 5 71,       [8 14 26 58 76],             
3196,   2² 17 47,      [33 75],                     
3197,   23 139,        [6 60],                      radical
3198,   2 3 13 41,     [11 31 61],                  radical
3199,   7 457,         [18 30],                     radical
3200,   2⁷ 5²,         [9],                         
3201,   3 11 97,       [20],                        radical
3202,   2 1601,        [15],                        radical
3203,   3203,          [],                          prime
3204,   2² 3² 89,      [13 17 67 95],               
3205,   5 641,         [24 96],                     radical
3206,   2 7 229,       [3 15],                      radical
3207,   3 1069,        [44],                        radical
3208,   2³ 401,        [21 45 99],                  
3209,   3209,          [42 90],                     prime
3210,   2 3 5 107,     [7 19 41 43 47 89 91],       radical
3211,   13² 19,        [42 48 90],                  
3212,   2² 11 73,      [9 45],                      
3213,   3³ 7 17,       [4 44 46 94],                
3214,   2 1607,        [45 93],                     radical
3215,   5 643,         [6],                         radical
3216,   2⁴ 3 67,       [13 35 97],                  
3217,   3217,          [36 54 96],                  prime
3218,   2 1609,        [81],                        radical
3219,   3 29 37,       [2 10 32 38 52 82 100],      radical
3220,   2² 5 7 23,     [33 39 51 99],               
3221,   3221,          [30],                        prime
3222,   2 3² 179,      [31 35 85],                  
3223,   11 293,        [6 36],                      radical
3224,   2³ 13 31,      [33],                        
3225,   3 5² 43,       [4 34 88],                   
3226,   2 1613,        [45],                        radical
3227,   7 461,         [24],                        radical
3228,   2² 3 269,      [25 91],                     
3229,   3229,          [42],                        prime
3230,   2 5 17 19,     [21 27 93],                  radical
3231,   3² 359,        [22 28 40 68],               
3232,   2⁵ 101,        [69],                        
3233,   53 61,         [24 66 96],                  radical
3234,   2 3 7² 11,     [17 25 65 67 97],            
3235,   5 647,         [18 66 72],                  radical
3236,   2² 809,        [15],                        
3237,   3 13 83,       [16 20 34 70],               radical
3238,   2 1619,        [21 69 75],                  radical
3239,   41 79,         [18],                        radical
3240,   2³ 3⁴ 5,       [11 19 31 59 73],            
3241,   7 463,         [12 60 72 78],               radical
3242,   2 1621,        [],                          radical
3243,   3 23 47,       [14 56 76 80],               radical
3244,   2² 811,        [15 27 57 63 75],            
3245,   5 11 59,       [54 78],                     radical
3246,   2 3 541,       [25 55 77 83],               radical
3247,   17 191,        [60 66 84],                  radical
3248,   2⁴ 7 29,       [81],                        
3249,   3² 19²,        [58 80 82],                  radical power
3250,   2 5³ 13,       [21 63 69 81],               
3251,   3251,          [48],                        prime twin
3252,   2² 3 271,      [1 49 61 71],                
3253,   3253,          [66 90],                     prime twin
3254,   2 1627,        [3 45],                      radical
3255,   3 5 7 31,      [2 4 46 52 64 68 74 88],     radical
3256,   2³ 11 37,      [3 75 87],                   
3257,   3257,          [66 90],                     prime twin
3258,   2 3² 181,      [1 41 49 55 71 89],          
3259,   3259,          [42 72],                     prime twin
3260,   2² 5 163,      [39 69],                     
3261,   3 1087,        [10 40 52 58 70 98],         radical
3262,   2 7 233,       [9 45 81 99],                radical
3263,   13 251,        [60 96],                     radical
3264,   2⁶ 3 17,       [7 35 43 55 83 95 97],       
3265,   5 653,         [6 36 48 78 96],             radical
3266,   2 23 71,       [57 63],                     radical
3267,   3³ 11²,        [46 64 76 80],               
3268,   2² 19 43,      [39 51],                     
3269,   7 467,         [60 78],                     radical
3270,   2 3 5 109,     [49 53 61 89],               radical
3271,   3271,          [42 90],                     prime
3272,   2³ 409,        [51],                        
3273,   3 1091,        [56 70 86],                  radical
3274,   2 1637,        [45 57 87],                  radical
3275,   5² 131,        [24 54 72 84],               
3276,   2² 3² 7 13,    [23 25 47 55 67 85 95],      
3277,   29 113,        [24 96],                     radical
3278,   2 11 149,      [21 69],                     radical
3279,   3 1093,        [20 22 28 50 92],            radical
3280,   2⁴ 5 41,       [21 27 51 63 93],            
3281,   17 193,        [78 90],                     radical
3282,   2 3 547,       [25 31 61 65 79 91],         radical
3283,   7² 67,         [24 30],                     
3284,   2² 821,        [63 75],                     
3285,   3² 5 73,       [14 28 34 76],               
3286,   2 31 53,       [15 27 33 57],               radical
