# `n`         a positive integer
# `factors`   the prime factorization of n
# `psym`      the symmetric primes at equal offsets around n
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

n,      factors,       psym,                        primeness
528,    2⁴ 3 11,       [19 29 41 49 65 71 79 85],   
529,    23²,           [42 72 90],                  prime power
530,    2 5 53,        [27 39 63 69 87],            radical
531,    3² 59,         [10 32 40 68 70 82 88 100],  
532,    2² 7 19,       [9 45 69 75 99],             
533,    13 41,         [24 30 54 66 84],            radical
534,    2 3 89,        [13 35 43 67 73 85],         radical
535,    5 107,         [12 36 72 78 96],            radical
536,    2³ 67,         [27 33 57],                  
537,    3 179,         [34 50 70 76 80 94],         radical
538,    2 269,         [39 75 81],                  radical
539,    7² 11,         [18 30 48 60 78],            
540,    2² 3³ 5,       [17 31 37 53 61 73 77 79],   
541,    541,           [78],                        prime
542,    2 271,         [21 51 75 99],               radical
543,    3 181,         [20 34 44 56 64 76 100],     radical
544,    2⁵ 17,         [3 57 87],                   
545,    5 109,         [24 42 54 96],               radical
546,    2 3 7 13,      [23 25 47 55 67 85 97],      radical
547,    547,           [24 60 84],                  prime
548,    2² 137,        [39 45 69 99],               
549,    3² 61,         [8 28 50 58 70 82 92],       
550,    2 5² 11,       [27 51 63 93],               
551,    19 29,         [42 48 90],                  radical
552,    2³ 3 23,       [5 11 49 61 65 89 91 95],    
553,    7 79,          [54 66 90],                  radical
554,    2 277,         [33 45 63 87 93],            radical
555,    3 5 37,        [8 14 32 46 52 64 76 88],    radical
556,    2² 139,        [15 57],                     
557,    557,           [36 90 96],                  prime
558,    2 3² 31,       [11 35 49 55 59 95],         
559,    13 43,         [12 18 60 72],               radical
560,    2⁴ 5 7,        [3 39 57 81 93 99],          
561,    3 11 17,       [38 40 52 58 70 82 98 100],  radical
562,    2 281,         [15 39 99],                  radical
563,    563,           [6 54 84 96],                prime
564,    2² 3 47,       [7 23 43 55 77 97],          
565,    5 113,         [42 66 78],                  radical
566,    2 283,         [3 75 87],                   radical
567,    3⁴ 7,          [4 10 20 26 46 64 76 80],    
