# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial

    n, factorization, primeness
  813, 3 271,         radical
  814, 2 11 37,       radical
  815, 5 163,         radical
  816, 2⁴ 3 17,       
  817, 19 43,         radical
  818, 2 409,         radical
  819, 3² 7 13,       
  820, 2² 5 41,       
  821, 821,           prime
  822, 2 3 137,       radical
  823, 823,           prime
  824, 2³ 103,        
  825, 3 5² 11,       
  826, 2 7 59,        radical
  827, 827,           prime
  828, 2² 3² 23,      
  829, 829,           prime
  830, 2 5 83,        radical
  831, 3 277,         radical
  832, 2⁶ 13,         
  833, 7² 17,         
  834, 2 3 139,       radical
  835, 5 167,         radical
  836, 2² 11 19,      
  837, 3³ 31,         
  838, 2 419,         radical
  839, 839,           prime
  840, 2³ 3 5 7,      
  841, 29²,           prime power
  842, 2 421,         radical
  843, 3 281,         radical
  844, 2² 211,        
  845, 5 13²,         
  846, 2 3² 47,       
  847, 7 11²,         
  848, 2⁴ 53,         
  849, 3 283,         radical
  850, 2 5² 17,       
  851, 23 37,         radical
  852, 2² 3 71,       
  853, 853,           prime
  854, 2 7 61,        radical
  855, 3² 5 19,       
  856, 2³ 107,        
  857, 857,           prime
  858, 2 3 11 13,     radical
  859, 859,           prime
  860, 2² 5 43,       
  861, 3 7 41,        radical
  862, 2 431,         radical
  863, 863,           prime
  864, 2⁵ 3³,         
  865, 5 173,         radical
  866, 2 433,         radical
  867, 3 17²,         
  868, 2² 7 31,       
  869, 11 79,         radical
  870, 2 3 5 29,      radical
  871, 13 67,         radical
  872, 2³ 109,        
  873, 3² 97,         
  874, 2 19 23,       radical
  875, 5³ 7,          
  876, 2² 3 73,       
  877, 877,           prime
  878, 2 439,         radical
  879, 3 293,         radical
  880, 2⁴ 5 11,       
  881, 881,           prime
  882, 2 3² 7²,       
  883, 883,           prime
  884, 2² 13 17,      
  885, 3 5 59,        radical
  886, 2 443,         radical
  887, 887,           prime
  888, 2³ 3 37,       
  889, 7 127,         radical
  890, 2 5 89,        radical
  891, 3⁴ 11,         
  892, 2² 223,        
  893, 19 47,         radical
  894, 2 3 149,       radical
  895, 5 179,         radical
  896, 2⁷ 7,          
  897, 3 13 23,       radical
  898, 2 449,         radical
  899, 29 31,         radical
  900, 2² 3² 5²,      radical power
  901, 17 53,         radical
  902, 2 11 41,       radical
  903, 3 7 43,        radical
  904, 2³ 113,        
  905, 5 181,         radical
  906, 2 3 151,       radical
  907, 907,           prime
  908, 2² 227,        
  909, 3² 101,        
  910, 2 5 7 13,      radical
  911, 911,           prime
  912, 2⁴ 3 19,       
  913, 11 83,         radical
  914, 2 457,         radical
  915, 3 5 61,        radical
  916, 2² 229,        
  917, 7 131,         radical
  918, 2 3³ 17,       
  919, 919,           prime
  920, 2³ 5 23,       
  921, 3 307,         radical
  922, 2 461,         radical
  923, 13 71,         radical
  924, 2² 3 7 11,     
  925, 5² 37,         
  926, 2 463,         radical
  927, 3² 103,        
  928, 2⁵ 29,         
  929, 929,           prime
  930, 2 3 5 31,      radical
  931, 7² 19,         
  932, 2² 233,        
  933, 3 311,         radical
  934, 2 467,         radical
  935, 5 11 17,       radical
  936, 2³ 3² 13,      
  937, 937,           prime
  938, 2 7 67,        radical
  939, 3 313,         radical
  940, 2² 5 47,       
  941, 941,           prime
  942, 2 3 157,       radical
  943, 23 41,         radical
  944, 2⁴ 59,         
  945, 3³ 5 7,        
  946, 2 11 43,       radical
  947, 947,           prime
  948, 2² 3 79,       
  949, 13 73,         radical
  950, 2 5² 19,       
  951, 3 317,         radical
  952, 2³ 7 17,       
  953, 953,           prime
  954, 2 3² 53,       
  955, 5 191,         radical
  956, 2² 239,        
  957, 3 11 29,       radical
  958, 2 479,         radical
  959, 7 137,         radical
  960, 2⁶ 3 5,        
  961, 31²,           prime power
  962, 2 13 37,       radical
  963, 3² 107,        
  964, 2² 241,        
  965, 5 193,         radical
  966, 2 3 7 23,      radical
  967, 967,           prime
  968, 2³ 11²,        
  969, 3 17 19,       radical
  970, 2 5 97,        radical
  971, 971,           prime
  972, 2² 3⁵,         
  973, 7 139,         radical
  974, 2 487,         radical
  975, 3 5² 13,       
  976, 2⁴ 61,         
  977, 977,           prime
  978, 2 3 163,       radical
  979, 11 89,         radical
  980, 2² 5 7²,       
  981, 3² 109,        
  982, 2 491,         radical
  983, 983,           prime
  984, 2³ 3 41,       
  985, 5 197,         radical
  986, 2 17 29,       radical
  987, 3 7 47,        radical
  988, 2² 13 19,      
  989, 23 43,         radical
  990, 2 3² 5 11,     
  991, 991,           prime
  992, 2⁵ 31,         
  993, 3 331,         radical
  994, 2 7 71,        radical
  995, 5 199,         radical
  996, 2² 3 83,       
  997, 997,           prime
  998, 2 499,         radical
  999, 3³ 37,         
 1000, 2³ 5³,         radical power
