# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial

     n, factorization, primeness
  5150, 2 5² 103,      
  5151, 3 17 101,      radical
  5152, 2⁵ 7 23,       
  5153, 5153,          prime
  5154, 2 3 859,       radical
  5155, 5 1031,        radical
  5156, 2² 1289,       
  5157, 3³ 191,        
  5158, 2 2579,        radical
  5159, 7 11 67,       radical
  5160, 2³ 3 5 43,     
  5161, 13 397,        radical
  5162, 2 29 89,       radical
  5163, 3 1721,        radical
  5164, 2² 1291,       
  5165, 5 1033,        radical
  5166, 2 3² 7 41,     
  5167, 5167,          prime
  5168, 2⁴ 17 19,      
  5169, 3 1723,        radical
  5170, 2 5 11 47,     radical
  5171, 5171,          prime
  5172, 2² 3 431,      
  5173, 7 739,         radical
  5174, 2 13 199,      radical
  5175, 3² 5² 23,      
  5176, 2³ 647,        
  5177, 31 167,        radical
  5178, 2 3 863,       radical
  5179, 5179,          prime
  5180, 2² 5 7 37,     
  5181, 3 11 157,      radical
  5182, 2 2591,        radical
  5183, 71 73,         radical
  5184, 2⁶ 3⁴,         
  5185, 5 17 61,       radical
  5186, 2 2593,        radical
  5187, 3 7 13 19,     radical
  5188, 2² 1297,       
  5189, 5189,          prime
  5190, 2 3 5 173,     radical
  5191, 29 179,        radical
  5192, 2³ 11 59,      
  5193, 3² 577,        
  5194, 2 7² 53,       
  5195, 5 1039,        radical
  5196, 2² 3 433,      
  5197, 5197,          prime
  5198, 2 23 113,      radical
  5199, 3 1733,        radical
  5200, 2⁴ 5² 13,      
  5201, 7 743,         radical
  5202, 2 3² 17²,      
  5203, 11² 43,        
  5204, 2² 1301,       
  5205, 3 5 347,       radical
  5206, 2 19 137,      radical
  5207, 41 127,        radical
  5208, 2³ 3 7 31,     
  5209, 5209,          prime
  5210, 2 5 521,       radical
  5211, 3³ 193,        
  5212, 2² 1303,       
  5213, 13 401,        radical
  5214, 2 3 11 79,     radical
  5215, 5 7 149,       radical
  5216, 2⁵ 163,        
  5217, 3 37 47,       radical
  5218, 2 2609,        radical
  5219, 17 307,        radical
  5220, 2² 3² 5 29,    
  5221, 23 227,        radical
  5222, 2 7 373,       radical
  5223, 3 1741,        radical
  5224, 2³ 653,        
  5225, 5² 11 19,      
  5226, 2 3 13 67,     radical
  5227, 5227,          prime
  5228, 2² 1307,       
  5229, 3² 7 83,       
  5230, 2 5 523,       radical
  5231, 5231,          prime
  5232, 2⁴ 3 109,      
  5233, 5233,          prime
  5234, 2 2617,        radical
  5235, 3 5 349,       radical
  5236, 2² 7 11 17,    
  5237, 5237,          prime
  5238, 2 3³ 97,       
  5239, 13² 31,        
  5240, 2³ 5 131,      
  5241, 3 1747,        radical
  5242, 2 2621,        radical
  5243, 7² 107,        
  5244, 2² 3 19 23,    
  5245, 5 1049,        radical
  5246, 2 43 61,       radical
  5247, 3² 11 53,      
  5248, 2⁷ 41,         
  5249, 29 181,        radical
  5250, 2 3 5³ 7,      
  5251, 59 89,         radical
  5252, 2² 13 101,     
  5253, 3 17 103,      radical
  5254, 2 37 71,       radical
  5255, 5 1051,        radical
  5256, 2³ 3² 73,      
  5257, 7 751,         radical
  5258, 2 11 239,      radical
  5259, 3 1753,        radical
  5260, 2² 5 263,      
  5261, 5261,          prime
  5262, 2 3 877,       radical
  5263, 19 277,        radical
  5264, 2⁴ 7 47,       
  5265, 3⁴ 5 13,       
  5266, 2 2633,        radical
  5267, 23 229,        radical
  5268, 2² 3 439,      
  5269, 11 479,        radical
  5270, 2 5 17 31,     radical
  5271, 3 7 251,       radical
  5272, 2³ 659,        
  5273, 5273,          prime
  5274, 2 3² 293,      
  5275, 5² 211,        
  5276, 2² 1319,       
  5277, 3 1759,        radical
  5278, 2 7 13 29,     radical
  5279, 5279,          prime
  5280, 2⁵ 3 5 11,     
  5281, 5281,          prime
  5282, 2 19 139,      radical
  5283, 3² 587,        
  5284, 2² 1321,       
  5285, 5 7 151,       radical
  5286, 2 3 881,       radical
  5287, 17 311,        radical
  5288, 2³ 661,        
  5289, 3 41 43,       radical
  5290, 2 5 23²,       
  5291, 11 13 37,      radical
  5292, 2² 3³ 7²,      
  5293, 67 79,         radical
  5294, 2 2647,        radical
  5295, 3 5 353,       radical
  5296, 2⁴ 331,        
  5297, 5297,          prime
  5298, 2 3 883,       radical
  5299, 7 757,         radical
  5300, 2² 5² 53,      
  5301, 3² 19 31,      
  5302, 2 11 241,      radical
  5303, 5303,          prime
  5304, 2³ 3 13 17,    
  5305, 5 1061,        radical
  5306, 2 7 379,       radical
  5307, 3 29 61,       radical
  5308, 2² 1327,       
  5309, 5309,          prime
  5310, 2 3² 5 59,     
  5311, 47 113,        radical
  5312, 2⁶ 83,         
  5313, 3 7 11 23,     radical
  5314, 2 2657,        radical
  5315, 5 1063,        radical
  5316, 2² 3 443,      
  5317, 13 409,        radical
  5318, 2 2659,        radical
  5319, 3³ 197,        
  5320, 2³ 5 7 19,     
  5321, 17 313,        radical
  5322, 2 3 887,       radical
  5323, 5323,          prime
  5324, 2² 11³,        
  5325, 3 5² 71,       
  5326, 2 2663,        radical
  5327, 7 761,         radical
  5328, 2⁴ 3² 37,      
  5329, 73²,           prime power
  5330, 2 5 13 41,     radical
  5331, 3 1777,        radical
  5332, 2² 31 43,      
  5333, 5333,          prime
  5334, 2 3 7 127,     radical
  5335, 5 11 97,       radical
  5336, 2³ 23 29,      
  5337, 3² 593,        
  5338, 2 17 157,      radical
  5339, 19 281,        radical
  5340, 2² 3 5 89,     
  5341, 7² 109,        
  5342, 2 2671,        radical
  5343, 3 13 137,      radical
  5344, 2⁵ 167,        
  5345, 5 1069,        radical
  5346, 2 3⁵ 11,       
  5347, 5347,          prime
  5348, 2² 7 191,      
  5349, 3 1783,        radical
  5350, 2 5² 107,      
  5351, 5351,          prime
  5352, 2³ 3 223,      
  5353, 53 101,        radical
  5354, 2 2677,        radical
  5355, 3² 5 7 17,     
  5356, 2² 13 103,     
  5357, 11 487,        radical
  5358, 2 3 19 47,     radical
  5359, 23 233,        radical
  5360, 2⁴ 5 67,       
  5361, 3 1787,        radical
  5362, 2 7 383,       radical
  5363, 31 173,        radical
  5364, 2² 3² 149,     
  5365, 5 29 37,       radical
  5366, 2 2683,        radical
  5367, 3 1789,        radical
  5368, 2³ 11 61,      
  5369, 7 13 59,       radical
  5370, 2 3 5 179,     radical
  5371, 41 131,        radical
  5372, 2² 17 79,      
  5373, 3³ 199,        
  5374, 2 2687,        radical
  5375, 5³ 43,         
  5376, 2⁸ 3 7,        
  5377, 19 283,        radical
  5378, 2 2689,        radical
  5379, 3 11 163,      radical
  5380, 2² 5 269,      
  5381, 5381,          prime
  5382, 2 3² 13 23,    
  5383, 7 769,         radical
  5384, 2³ 673,        
  5385, 3 5 359,       radical
  5386, 2 2693,        radical
  5387, 5387,          prime
  5388, 2² 3 449,      
  5389, 17 317,        radical
  5390, 2 5 7² 11,     
  5391, 3² 599,        
  5392, 2⁴ 337,        
  5393, 5393,          prime
  5394, 2 3 29 31,     radical
  5395, 5 13 83,       radical
  5396, 2² 19 71,      
  5397, 3 7 257,       radical
  5398, 2 2699,        radical
  5399, 5399,          prime
  5400, 2³ 3³ 5²,      
  5401, 11 491,        radical
  5402, 2 37 73,       radical
  5403, 3 1801,        radical
  5404, 2² 7 193,      
  5405, 5 23 47,       radical
  5406, 2 3 17 53,     radical
  5407, 5407,          prime
  5408, 2⁵ 13²,        
  5409, 3² 601,        
  5410, 2 5 541,       radical
  5411, 7 773,         radical
  5412, 2² 3 11 41,    
  5413, 5413,          prime
  5414, 2 2707,        radical
  5415, 3 5 19²,       
  5416, 2³ 677,        
  5417, 5417,          prime
  5418, 2 3² 7 43,     
  5419, 5419,          prime
  5420, 2² 5 271,      
  5421, 3 13 139,      radical
  5422, 2 2711,        radical
  5423, 11 17 29,      radical
  5424, 2⁴ 3 113,      
  5425, 5² 7 31,       
  5426, 2 2713,        radical
  5427, 3⁴ 67,         
  5428, 2² 23 59,      
  5429, 61 89,         radical
  5430, 2 3 5 181,     radical
  5431, 5431,          prime
  5432, 2³ 7 97,       
  5433, 3 1811,        radical
  5434, 2 11 13 19,    radical
  5435, 5 1087,        radical
  5436, 2² 3² 151,     
  5437, 5437,          prime
  5438, 2 2719,        radical
  5439, 3 7² 37,       
  5440, 2⁶ 5 17,       
  5441, 5441,          prime
  5442, 2 3 907,       radical
  5443, 5443,          prime
  5444, 2² 1361,       
  5445, 3² 5 11²,      
  5446, 2 7 389,       radical
  5447, 13 419,        radical
  5448, 2³ 3 227,      
  5449, 5449,          prime
  5450, 2 5² 109,      
  5451, 3 23 79,       radical
  5452, 2² 29 47,      
  5453, 7 19 41,       radical
  5454, 2 3³ 101,      
  5455, 5 1091,        radical
  5456, 2⁴ 11 31,      
  5457, 3 17 107,      radical
  5458, 2 2729,        radical
  5459, 53 103,        radical
  5460, 2² 3 5 7 13,   
  5461, 43 127,        radical
  5462, 2 2731,        radical
  5463, 3² 607,        
  5464, 2³ 683,        
  5465, 5 1093,        radical
  5466, 2 3 911,       radical
  5467, 7 11 71,       radical
  5468, 2² 1367,       
  5469, 3 1823,        radical
  5470, 2 5 547,       radical
  5471, 5471,          prime
  5472, 2⁵ 3² 19,      
  5473, 13 421,        radical
  5474, 2 7 17 23,     radical
  5475, 3 5² 73,       
  5476, 2² 37²,        radical power
  5477, 5477,          prime
  5478, 2 3 11 83,     radical
  5479, 5479,          prime
  5480, 2³ 5 137,      
  5481, 3³ 7 29,       
  5482, 2 2741,        radical
  5483, 5483,          prime
  5484, 2² 3 457,      
  5485, 5 1097,        radical
  5486, 2 13 211,      radical
  5487, 3 31 59,       radical
  5488, 2⁴ 7³,         
  5489, 11 499,        radical
  5490, 2 3² 5 61,     
  5491, 17² 19,        
  5492, 2² 1373,       
  5493, 3 1831,        radical
  5494, 2 41 67,       radical
  5495, 5 7 157,       radical
  5496, 2³ 3 229,      
  5497, 23 239,        radical
  5498, 2 2749,        radical
  5499, 3² 13 47,      
  5500, 2² 5³ 11,      
  5501, 5501,          prime
  5502, 2 3 7 131,     radical
  5503, 5503,          prime
  5504, 2⁷ 43,         
  5505, 3 5 367,       radical
  5506, 2 2753,        radical
  5507, 5507,          prime
  5508, 2² 3⁴ 17,      
  5509, 7 787,         radical
  5510, 2 5 19 29,     radical
  5511, 3 11 167,      radical
  5512, 2³ 13 53,      
  5513, 37 149,        radical
  5514, 2 3 919,       radical
  5515, 5 1103,        radical
  5516, 2² 7 197,      
  5517, 3² 613,        
  5518, 2 31 89,       radical
  5519, 5519,          prime
  5520, 2⁴ 3 5 23,     
  5521, 5521,          prime
  5522, 2 11 251,      radical
  5523, 3 7 263,       radical
  5524, 2² 1381,       
  5525, 5² 13 17,      
  5526, 2 3² 307,      
  5527, 5527,          prime
  5528, 2³ 691,        
  5529, 3 19 97,       radical
  5530, 2 5 7 79,      radical
  5531, 5531,          prime
  5532, 2² 3 461,      
  5533, 11 503,        radical
  5534, 2 2767,        radical
  5535, 3³ 5 41,       
  5536, 2⁵ 173,        
  5537, 7² 113,        
  5538, 2 3 13 71,     radical
  5539, 29 191,        radical
  5540, 2² 5 277,      
  5541, 3 1847,        radical
  5542, 2 17 163,      radical
  5543, 23 241,        radical
  5544, 2³ 3² 7 11,    
  5545, 5 1109,        radical
  5546, 2 47 59,       radical
  5547, 3 43²,         
  5548, 2² 19 73,      
  5549, 31 179,        radical
  5550, 2 3 5² 37,     
  5551, 7 13 61,       radical
  5552, 2⁴ 347,        
  5553, 3² 617,        
  5554, 2 2777,        radical
  5555, 5 11 101,      radical
  5556, 2² 3 463,      
  5557, 5557,          prime
  5558, 2 7 397,       radical
  5559, 3 17 109,      radical
  5560, 2³ 5 139,      
  5561, 67 83,         radical
  5562, 2 3³ 103,      
  5563, 5563,          prime
  5564, 2² 13 107,     
  5565, 3 5 7 53,      radical
  5566, 2 11² 23,      
  5567, 19 293,        radical
  5568, 2⁶ 3 29,       
  5569, 5569,          prime
  5570, 2 5 557,       radical
  5571, 3² 619,        
  5572, 2² 7 199,      
  5573, 5573,          prime
  5574, 2 3 929,       radical
  5575, 5² 223,        
  5576, 2³ 17 41,      
  5577, 3 11 13²,      
  5578, 2 2789,        radical
  5579, 7 797,         radical
  5580, 2² 3² 5 31,    
  5581, 5581,          prime
  5582, 2 2791,        radical
  5583, 3 1861,        radical
  5584, 2⁴ 349,        
  5585, 5 1117,        radical
  5586, 2 3 7² 19,     
  5587, 37 151,        radical
  5588, 2² 11 127,     
  5589, 3⁵ 23,         
  5590, 2 5 13 43,     radical
  5591, 5591,          prime
  5592, 2³ 3 233,      
  5593, 7 17 47,       radical
  5594, 2 2797,        radical
  5595, 3 5 373,       radical
  5596, 2² 1399,       
  5597, 29 193,        radical
  5598, 2 3² 311,      
  5599, 11 509,        radical
  5600, 2⁵ 5² 7,       
  5601, 3 1867,        radical
  5602, 2 2801,        radical
  5603, 13 431,        radical
  5604, 2² 3 467,      
  5605, 5 19 59,       radical
  5606, 2 2803,        radical
  5607, 3² 7 89,       
  5608, 2³ 701,        
  5609, 71 79,         radical
  5610, 2 3 5 11 17,   radical
  5611, 31 181,        radical
  5612, 2² 23 61,      
  5613, 3 1871,        radical
  5614, 2 7 401,       radical
  5615, 5 1123,        radical
  5616, 2⁴ 3³ 13,      
  5617, 41 137,        radical
  5618, 2 53²,         
  5619, 3 1873,        radical
  5620, 2² 5 281,      
  5621, 7 11 73,       radical
  5622, 2 3 937,       radical
  5623, 5623,          prime
  5624, 2³ 19 37,      
  5625, 3² 5⁴,         
  5626, 2 29 97,       radical
  5627, 17 331,        radical
  5628, 2² 3 7 67,     
  5629, 13 433,        radical
  5630, 2 5 563,       radical
  5631, 3 1877,        radical
  5632, 2⁹ 11,         
  5633, 43 131,        radical
  5634, 2 3² 313,      
  5635, 5 7² 23,       
  5636, 2² 1409,       
  5637, 3 1879,        radical
  5638, 2 2819,        radical
  5639, 5639,          prime
  5640, 2³ 3 5 47,     
  5641, 5641,          prime
  5642, 2 7 13 31,     radical
  5643, 3³ 11 19,      
  5644, 2² 17 83,      
  5645, 5 1129,        radical
  5646, 2 3 941,       radical
  5647, 5647,          prime
  5648, 2⁴ 353,        
  5649, 3 7 269,       radical
  5650, 2 5² 113,      
  5651, 5651,          prime
  5652, 2² 3² 157,     
  5653, 5653,          prime
  5654, 2 11 257,      radical
  5655, 3 5 13 29,     radical
  5656, 2³ 7 101,      
  5657, 5657,          prime
  5658, 2 3 23 41,     radical
  5659, 5659,          prime
  5660, 2² 5 283,      
  5661, 3² 17 37,      
  5662, 2 19 149,      radical
  5663, 7 809,         radical
  5664, 2⁵ 3 59,       
  5665, 5 11 103,      radical
  5666, 2 2833,        radical
  5667, 3 1889,        radical
  5668, 2² 13 109,     
  5669, 5669,          prime
  5670, 2 3⁴ 5 7,      
  5671, 53 107,        radical
  5672, 2³ 709,        
  5673, 3 31 61,       radical
  5674, 2 2837,        radical
  5675, 5² 227,        
  5676, 2² 3 11 43,    
  5677, 7 811,         radical
  5678, 2 17 167,      radical
  5679, 3² 631,        
  5680, 2⁴ 5 71,       
  5681, 13 19 23,      radical
  5682, 2 3 947,       radical
  5683, 5683,          prime
  5684, 2² 7² 29,      
  5685, 3 5 379,       radical
  5686, 2 2843,        radical
  5687, 11² 47,        
  5688, 2³ 3² 79,      
  5689, 5689,          prime
  5690, 2 5 569,       radical
  5691, 3 7 271,       radical
  5692, 2² 1423,       
  5693, 5693,          prime
  5694, 2 3 13 73,     radical
  5695, 5 17 67,       radical
  5696, 2⁶ 89,         
  5697, 3³ 211,        
  5698, 2 7 11 37,     radical
  5699, 41 139,        radical
  5700, 2² 3 5² 19,    
  5701, 5701,          prime
  5702, 2 2851,        radical
  5703, 3 1901,        radical
  5704, 2³ 23 31,      
  5705, 5 7 163,       radical
  5706, 2 3² 317,      
  5707, 13 439,        radical
  5708, 2² 1427,       
  5709, 3 11 173,      radical
  5710, 2 5 571,       radical
  5711, 5711,          prime
  5712, 2⁴ 3 7 17,     
  5713, 29 197,        radical
  5714, 2 2857,        radical
  5715, 3² 5 127,      
  5716, 2² 1429,       
  5717, 5717,          prime
  5718, 2 3 953,       radical
  5719, 7 19 43,       radical
  5720, 2³ 5 11 13,    
  5721, 3 1907,        radical
  5722, 2 2861,        radical
  5723, 59 97,         radical
  5724, 2² 3³ 53,      
  5725, 5² 229,        
  5726, 2 7 409,       radical
  5727, 3 23 83,       radical
  5728, 2⁵ 179,        
  5729, 17 337,        radical
  5730, 2 3 5 191,     radical
  5731, 11 521,        radical
  5732, 2² 1433,       
  5733, 3² 7² 13,      
  5734, 2 47 61,       radical
  5735, 5 31 37,       radical
  5736, 2³ 3 239,      
  5737, 5737,          prime
  5738, 2 19 151,      radical
  5739, 3 1913,        radical
  5740, 2² 5 7 41,     
  5741, 5741,          prime
  5742, 2 3² 11 29,    
  5743, 5743,          prime
  5744, 2⁴ 359,        
  5745, 3 5 383,       radical
  5746, 2 13² 17,      
  5747, 7 821,         radical
  5748, 2² 3 479,      
  5749, 5749,          prime
  5750, 2 5³ 23,       
  5751, 3⁴ 71,         
  5752, 2³ 719,        
  5753, 11 523,        radical
  5754, 2 3 7 137,     radical
  5755, 5 1151,        radical
  5756, 2² 1439,       
  5757, 3 19 101,      radical
  5758, 2 2879,        radical
  5759, 13 443,        radical
  5760, 2⁷ 3² 5,       
  5761, 7 823,         radical
  5762, 2 43 67,       radical
  5763, 3 17 113,      radical
  5764, 2² 11 131,     
  5765, 5 1153,        radical
  5766, 2 3 31²,       
  5767, 73 79,         radical
  5768, 2³ 7 103,      
  5769, 3² 641,        
  5770, 2 5 577,       radical
  5771, 29 199,        radical
  5772, 2² 3 13 37,    
  5773, 23 251,        radical
  5774, 2 2887,        radical
  5775, 3 5² 7 11,     
  5776, 2⁴ 19²,        
  5777, 53 109,        radical
  5778, 2 3³ 107,      
  5779, 5779,          prime
  5780, 2² 5 17²,      
  5781, 3 41 47,       radical
  5782, 2 7² 59,       
  5783, 5783,          prime
  5784, 2³ 3 241,      
  5785, 5 13 89,       radical
  5786, 2 11 263,      radical
  5787, 3² 643,        
  5788, 2² 1447,       
  5789, 7 827,         radical
  5790, 2 3 5 193,     radical
  5791, 5791,          prime
  5792, 2⁵ 181,        
  5793, 3 1931,        radical
  5794, 2 2897,        radical
  5795, 5 19 61,       radical
  5796, 2² 3² 7 23,    
  5797, 11 17 31,      radical
  5798, 2 13 223,      radical
  5799, 3 1933,        radical
  5800, 2³ 5² 29,      
  5801, 5801,          prime
  5802, 2 3 967,       radical
  5803, 7 829,         radical
  5804, 2² 1451,       
  5805, 3³ 5 43,       
  5806, 2 2903,        radical
  5807, 5807,          prime
  5808, 2⁴ 3 11²,      
  5809, 37 157,        radical
  5810, 2 5 7 83,      radical
  5811, 3 13 149,      radical
  5812, 2² 1453,       
  5813, 5813,          prime
  5814, 2 3² 17 19,    
  5815, 5 1163,        radical
  5816, 2³ 727,        
  5817, 3 7 277,       radical
  5818, 2 2909,        radical
  5819, 11 23²,        
  5820, 2² 3 5 97,     
  5821, 5821,          prime
  5822, 2 41 71,       radical
  5823, 3² 647,        
  5824, 2⁶ 7 13,       
  5825, 5² 233,        
  5826, 2 3 971,       radical
  5827, 5827,          prime
  5828, 2² 31 47,      
  5829, 3 29 67,       radical
  5830, 2 5 11 53,     radical
  5831, 7³ 17,         
  5832, 2³ 3⁶,         
  5833, 19 307,        radical
  5834, 2 2917,        radical
  5835, 3 5 389,       radical
  5836, 2² 1459,       
  5837, 13 449,        radical
  5838, 2 3 7 139,     radical
  5839, 5839,          prime
  5840, 2⁴ 5 73,       
  5841, 3² 11 59,      
  5842, 2 23 127,      radical
  5843, 5843,          prime
  5844, 2² 3 487,      
  5845, 5 7 167,       radical
  5846, 2 37 79,       radical
  5847, 3 1949,        radical
  5848, 2³ 17 43,      
  5849, 5849,          prime
  5850, 2 3² 5² 13,    
  5851, 5851,          prime
  5852, 2² 7 11 19,    
  5853, 3 1951,        radical
  5854, 2 2927,        radical
  5855, 5 1171,        radical
  5856, 2⁵ 3 61,       
  5857, 5857,          prime
  5858, 2 29 101,      radical
  5859, 3³ 7 31,       
  5860, 2² 5 293,      
  5861, 5861,          prime
  5862, 2 3 977,       radical
  5863, 11 13 41,      radical
  5864, 2³ 733,        
  5865, 3 5 17 23,     radical
  5866, 2 7 419,       radical
  5867, 5867,          prime
  5868, 2² 3² 163,     
  5869, 5869,          prime
  5870, 2 5 587,       radical
  5871, 3 19 103,      radical
  5872, 2⁴ 367,        
  5873, 7 839,         radical
  5874, 2 3 11 89,     radical
  5875, 5³ 47,         
  5876, 2² 13 113,     
  5877, 3² 653,        
  5878, 2 2939,        radical
  5879, 5879,          prime
  5880, 2³ 3 5 7²,     
  5881, 5881,          prime
  5882, 2 17 173,      radical
  5883, 3 37 53,       radical
  5884, 2² 1471,       
  5885, 5 11 107,      radical
  5886, 2 3³ 109,      
  5887, 7 29²,         
  5888, 2⁸ 23,         
  5889, 3 13 151,      radical
  5890, 2 5 19 31,     radical
  5891, 43 137,        radical
  5892, 2² 3 491,      
  5893, 71 83,         radical
  5894, 2 7 421,       radical
  5895, 3² 5 131,      
  5896, 2³ 11 67,      
  5897, 5897,          prime
  5898, 2 3 983,       radical
  5899, 17 347,        radical
  5900, 2² 5² 59,      
  5901, 3 7 281,       radical
  5902, 2 13 227,      radical
  5903, 5903,          prime
  5904, 2⁴ 3² 41,      
  5905, 5 1181,        radical
  5906, 2 2953,        radical
  5907, 3 11 179,      radical
  5908, 2² 7 211,      
  5909, 19 311,        radical
  5910, 2 3 5 197,     radical
  5911, 23 257,        radical
  5912, 2³ 739,        
  5913, 3⁴ 73,         
  5914, 2 2957,        radical
  5915, 5 7 13²,       
  5916, 2² 3 17 29,    
  5917, 61 97,         radical
  5918, 2 11 269,      radical
  5919, 3 1973,        radical
  5920, 2⁵ 5 37,       
  5921, 31 191,        radical
  5922, 2 3² 7 47,     
  5923, 5923,          prime
  5924, 2² 1481,       
  5925, 3 5² 79,       
  5926, 2 2963,        radical
  5927, 5927,          prime
  5928, 2³ 3 13 19,    
  5929, 7² 11²,        radical power
  5930, 2 5 593,       radical
  5931, 3² 659,        
  5932, 2² 1483,       
  5933, 17 349,        radical
  5934, 2 3 23 43,     radical
  5935, 5 1187,        radical
  5936, 2⁴ 7 53,       
  5937, 3 1979,        radical
  5938, 2 2969,        radical
  5939, 5939,          prime
  5940, 2² 3³ 5 11,    
  5941, 13 457,        radical
  5942, 2 2971,        radical
  5943, 3 7 283,       radical
  5944, 2³ 743,        
  5945, 5 29 41,       radical
  5946, 2 3 991,       radical
  5947, 19 313,        radical
  5948, 2² 1487,       
  5949, 3² 661,        
  5950, 2 5² 7 17,     
  5951, 11 541,        radical
  5952, 2⁶ 3 31,       
  5953, 5953,          prime
  5954, 2 13 229,      radical
  5955, 3 5 397,       radical
  5956, 2² 1489,       
  5957, 7 23 37,       radical
  5958, 2 3² 331,      
  5959, 59 101,        radical
  5960, 2³ 5 149,      
  5961, 3 1987,        radical
  5962, 2 11 271,      radical
  5963, 67 89,         radical
  5964, 2² 3 7 71,     
  5965, 5 1193,        radical
  5966, 2 19 157,      radical
  5967, 3³ 13 17,      
  5968, 2⁴ 373,        
  5969, 47 127,        radical
  5970, 2 3 5 199,     radical
  5971, 7 853,         radical
  5972, 2² 1493,       
  5973, 3 11 181,      radical
  5974, 2 29 103,      radical
  5975, 5² 239,        
  5976, 2³ 3² 83,      
  5977, 43 139,        radical
  5978, 2 7² 61,       
  5979, 3 1993,        radical
  5980, 2² 5 13 23,    
  5981, 5981,          prime
  5982, 2 3 997,       radical
  5983, 31 193,        radical
  5984, 2⁵ 11 17,      
  5985, 3² 5 7 19,     
  5986, 2 41 73,       radical
  5987, 5987,          prime
  5988, 2² 3 499,      
  5989, 53 113,        radical
  5990, 2 5 599,       radical
  5991, 3 1997,        radical
  5992, 2³ 7 107,      
  5993, 13 461,        radical
  5994, 2 3⁴ 37,       
  5995, 5 11 109,      radical
  5996, 2² 1499,       
  5997, 3 1999,        radical
  5998, 2 2999,        radical
  5999, 7 857,         radical
  6000, 2⁴ 3 5³,       
  6001, 17 353,        radical
  6002, 2 3001,        radical
  6003, 3² 23 29,      
  6004, 2² 19 79,      
  6005, 5 1201,        radical
  6006, 2 3 7 11 13,   radical
  6007, 6007,          prime
  6008, 2³ 751,        
  6009, 3 2003,        radical
  6010, 2 5 601,       radical
  6011, 6011,          prime
  6012, 2² 3² 167,     
  6013, 7 859,         radical
  6014, 2 31 97,       radical
  6015, 3 5 401,       radical
  6016, 2⁷ 47,         
  6017, 11 547,        radical
  6018, 2 3 17 59,     radical
  6019, 13 463,        radical
  6020, 2² 5 7 43,     
  6021, 3³ 223,        
  6022, 2 3011,        radical
  6023, 19 317,        radical
  6024, 2³ 3 251,      
  6025, 5² 241,        
  6026, 2 23 131,      radical
  6027, 3 7² 41,       
  6028, 2² 11 137,     
  6029, 6029,          prime
  6030, 2 3² 5 67,     
  6031, 37 163,        radical
  6032, 2⁴ 13 29,      
  6033, 3 2011,        radical
  6034, 2 7 431,       radical
  6035, 5 17 71,       radical
  6036, 2² 3 503,      
  6037, 6037,          prime
  6038, 2 3019,        radical
  6039, 3² 11 61,      
  6040, 2³ 5 151,      
  6041, 7 863,         radical
  6042, 2 3 19 53,     radical
  6043, 6043,          prime
  6044, 2² 1511,       
  6045, 3 5 13 31,     radical
  6046, 2 3023,        radical
  6047, 6047,          prime
  6048, 2⁵ 3³ 7,       
  6049, 23 263,        radical
  6050, 2 5² 11²,      
  6051, 3 2017,        radical
  6052, 2² 17 89,      
  6053, 6053,          prime
  6054, 2 3 1009,      radical
  6055, 5 7 173,       radical
  6056, 2³ 757,        
  6057, 3² 673,        
  6058, 2 13 233,      radical
  6059, 73 83,         radical
  6060, 2² 3 5 101,    
  6061, 11 19 29,      radical
  6062, 2 7 433,       radical
  6063, 3 43 47,       radical
  6064, 2⁴ 379,        
  6065, 5 1213,        radical
  6066, 2 3² 337,      
  6067, 6067,          prime
  6068, 2² 37 41,      
  6069, 3 7 17²,       
  6070, 2 5 607,       radical
  6071, 13 467,        radical
  6072, 2³ 3 11 23,    
  6073, 6073,          prime
  6074, 2 3037,        radical
  6075, 3⁵ 5²,         
  6076, 2² 7² 31,      
  6077, 59 103,        radical
  6078, 2 3 1013,      radical
  6079, 6079,          prime
  6080, 2⁶ 5 19,       
  6081, 3 2027,        radical
  6082, 2 3041,        radical
  6083, 7 11 79,       radical
  6084, 2² 3² 13²,     radical power
  6085, 5 1217,        radical
  6086, 2 17 179,      radical
  6087, 3 2029,        radical
  6088, 2³ 761,        
  6089, 6089,          prime
  6090, 2 3 5 7 29,    radical
  6091, 6091,          prime
  6092, 2² 1523,       
  6093, 3² 677,        
  6094, 2 11 277,      radical
  6095, 5 23 53,       radical
  6096, 2⁴ 3 127,      
  6097, 7 13 67,       radical
  6098, 2 3049,        radical
  6099, 3 19 107,      radical
  6100, 2² 5² 61,      
  6101, 6101,          prime
  6102, 2 3³ 113,      
  6103, 17 359,        radical
  6104, 2³ 7 109,      
  6105, 3 5 11 37,     radical
  6106, 2 43 71,       radical
  6107, 31 197,        radical
  6108, 2² 3 509,      
  6109, 41 149,        radical
  6110, 2 5 13 47,     radical
  6111, 3² 7 97,       
  6112, 2⁵ 191,        
  6113, 6113,          prime
  6114, 2 3 1019,      radical
  6115, 5 1223,        radical
  6116, 2² 11 139,     
  6117, 3 2039,        radical
  6118, 2 7 19 23,     radical
  6119, 29 211,        radical
  6120, 2³ 3² 5 17,    
  6121, 6121,          prime
  6122, 2 3061,        radical
  6123, 3 13 157,      radical
  6124, 2² 1531,       
  6125, 5³ 7²,         
