# Odd core environment

This is a list of integers in consecutive order. For every `n`:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of the odd core.
- 'base3' and 'base2' representations of the odd core are given.
- residues of the odd core modulo a set of small primes follows (`m3`, `m5`, etc)

n,oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
109,109,0,41,11001,1101101,1,4,4,10,5,7,14,17,22,16,35,27,23,15,3,50,48,42,38,36
110,55,1,41,2001,110111,1,0,6,0,3,4,17,9,26,24,18,14,12,8,2,55,55,55,55,55
111,111,0,24,11010,1101111,0,1,6,1,7,9,16,19,24,18,0,29,25,17,5,52,50,44,40,38
112,7,4,5,21,111,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
113,113,0,2,11012,1110001,2,3,1,3,9,11,18,21,26,20,2,31,27,19,7,54,52,46,42,40
114,57,1,10,2010,111001,0,2,1,2,5,6,0,11,28,26,20,16,14,10,4,57,57,57,57,57
115,115,0,10,11021,1110011,1,0,3,5,11,13,1,0,28,22,4,33,29,21,9,56,54,48,44,42
116,29,2,5,1002,11101,2,4,1,7,3,12,10,6,0,29,29,29,29,29,29,29,29,29,29,29
117,117,0,5,11100,1110101,0,2,5,7,0,15,3,2,1,24,6,35,31,23,11,58,56,50,46,44
118,59,1,10,2012,111011,2,4,3,4,7,8,2,13,1,28,22,18,16,12,6,0,59,59,59,59
119,119,0,10,11102,1110111,2,4,0,9,2,0,5,4,3,26,8,37,33,25,13,1,58,52,48,46
120,15,3,5,120,1111,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
121,121,0,34,11111,1111001,1,1,2,0,4,2,7,6,5,28,10,39,35,27,15,3,60,54,50,48
122,61,1,5,2021,111101,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61,61
123,123,0,15,11120,1111011,0,3,4,2,6,4,9,8,7,30,12,0,37,29,17,5,1,56,52,50
124,31,2,39,1011,11111,1,1,3,9,5,14,12,8,2,0,31,31,31,31,31,31,31,31,31,31
125,125,0,39,11122,1111101,2,0,6,4,8,6,11,10,9,1,14,2,39,31,19,7,3,58,54,52
126,63,1,39,2100,111111,0,3,0,8,11,12,6,17,5,1,26,22,20,16,10,4,2,63,63,63
127,127,0,15,11201,1111111,1,2,1,6,10,8,13,12,11,3,16,4,41,33,21,9,5,60,56,54
128,1,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,129,0,44,11210,10000001,0,4,3,8,12,10,15,14,13,5,18,6,0,35,23,11,7,62,58,56
130,65,1,8,2102,1000001,2,0,2,10,0,14,8,19,7,3,28,24,22,18,12,6,4,65,65,65
131,131,0,8,11212,10000011,2,1,5,10,1,12,17,16,15,7,20,8,2,37,25,13,9,64,60,58
132,33,2,8,1020,100001,0,3,5,0,7,16,14,10,4,2,33,33,33,33,33,33,33,33,33,33
133,133,0,8,11221,10000101,1,3,0,1,3,14,0,18,17,9,22,10,4,39,27,15,11,66,62,60
134,67,1,8,2111,1000011,1,2,4,1,2,16,10,21,9,5,30,26,24,20,14,8,6,0,67,67
135,135,0,13,12000,10000111,0,0,2,3,5,16,2,20,19,11,24,12,6,41,29,17,13,1,64,62
136,17,3,3,122,10001,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17
137,137,0,32,12002,10001001,2,2,4,5,7,1,4,22,21,13,26,14,8,43,31,19,15,3,66,64
138,69,1,3,2120,1000101,0,4,6,3,4,1,12,0,11,7,32,28,26,22,16,10,8,2,69,69
139,139,0,13,12011,10001011,1,4,6,7,9,3,6,1,23,15,28,16,10,45,33,21,17,5,68,66
140,35,2,3,1022,100011,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35,35
141,141,0,3,12020,10001101,0,1,1,9,11,5,8,3,25,17,30,18,12,0,35,23,19,7,70,68
142,71,1,37,2122,1000111,2,1,1,5,6,3,14,2,13,9,34,30,28,24,18,12,10,4,0,71
143,143,0,37,12022,10001111,2,3,3,0,0,7,10,5,27,19,32,20,14,2,37,25,21,9,1,70
