# Orbit of 6171

This is well studied Collatz sequence 6171, given in odd-to-odd Collatz order.
Every n is represented by a group of 7 lines that forms a small tree, with n in the center.
The "children" of n are defined as the 2-adic odd cores of its even neighbors, n-1 and n+1.
They have their own children in turn, and for every n this hierarchy is shown.

## Collatz orbit of 6171
oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71
17819,2,22,220102222,100010110011011,2,4,4,10,9,3,16,17,13,25,22,25,17,6,11,1,7,64,69 # oc(71275+1)
4455,2,32,20010000,1000101100111,0,0,3,0,9,1,9,16,18,22,15,27,26,37,3,30,2,33,53 # oc(oc(71275+1)+1)

835,2,48,1010221,1101000011,1,0,2,10,3,2,18,7,23,29,21,15,18,36,40,9,42,31,54 # oc(oc(106913-1)-1)
3341,5,48,11120202,110100001101,2,1,2,8,0,9,16,6,6,24,11,20,30,4,2,37,47,58,4 # oc(106913-1)
1671,1,12,2021220,11010000111,0,1,5,10,7,5,18,15,18,28,6,31,37,26,28,19,24,63,38 # oc(oc(106913-1)+1)
106913,0,77,12102122202,11010000110100001,2,3,2,4,1,0,0,9,19,25,20,26,15,35,12,5,41,48,58 # 106913 -> 80185
3341,4,48,11120202,110100001101,2,1,2,8,0,9,16,6,6,24,11,20,30,4,2,37,47,58,4 # oc(oc(106913+1)-1)
53457,1,21,2201022220,1101000011010001,0,2,5,8,1,9,10,5,10,13,29,34,8,18,33,3,21,58,65 # oc(106913+1)
26729,1,21,1100122222,110100001101001,2,4,3,10,1,5,15,3,20,7,15,38,26,33,17,2,11,63,33 # oc(oc(106913+1)+1)

5011,1,30,20212121,1001110010011,1,1,6,6,6,13,14,20,23,20,16,9,23,29,29,55,9,53,41 # oc(oc(80185-1)-1)
10023,3,20,111202020,10011100100111,0,3,6,2,0,10,10,18,18,10,33,19,4,12,6,52,19,40,12 # oc(80185-1)
1253,3,47,1201102,10011100101,2,3,0,10,5,12,18,11,6,13,32,23,6,31,34,14,33,47,46 # oc(oc(80185-1)+1)
80185,0,76,11001222211,10011100100111001,1,0,0,6,1,13,5,7,0,19,6,30,33,3,49,4,31,53,26 # 80185 -> 60139
10023,2,20,111202020,10011100100111,0,3,6,2,0,10,10,18,18,10,33,19,4,12,6,52,19,40,12 # oc(oc(80185+1)-1)
40093,1,20,2000222221,1001110010011101,1,3,4,9,1,7,3,4,15,10,22,36,17,2,25,32,16,27,49 # oc(80185+1)
20047,1,20,1000111111,100111001001111,1,2,6,5,1,4,2,14,8,21,30,39,9,25,13,46,39,14,25 # oc(oc(80185+1)+1)

7517,2,29,101022102,1110101011101,2,2,6,4,3,3,12,19,6,15,6,14,35,44,44,24,14,13,62 # oc(oc(60139-1)-1)
30069,1,29,1112020200,111010101110101,0,4,4,6,0,13,11,8,25,30,25,16,12,36,18,38,57,53,36 # oc(60139-1)
