These are some long Collatz sequences. The tables show the residue vectors of the 2-adic odd cores of n's immediate even neighbors. When combined with k, they completely encode its state, like a fingerprint of n's local arithmetic environment. Considered together they reveal rich information about n.


Collatz orbit of 7:
n,k,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73,comment
3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,oc(24)

# 35 (dist 3)
17,1,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,oc(34)
9,2,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,oc(36)

# 53 (dist 2)
13,2,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,oc(52)
27,1,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27,oc(54)

# 5 (dist 1)
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,oc(4)
3,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,oc(6)


Collatz orbit of 31:
n,k,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73,comment

# 31 (dist 39)
15,1,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,oc(30)
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,oc(32)

# 47 (dist 38)
23,1,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23,oc(46)
3,4,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,oc(48)

# 71 (dist 37)
35,1,2,0,0,2,9,1,16,12,6,4,35,35,35,35,35,35,35,35,35,35,oc(70)
9,3,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,oc(72)

# 107 (dist 36)
53,1,2,3,4,9,1,2,15,7,24,22,16,12,10,6,0,53,53,53,53,53,oc(106)
27,2,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27,oc(108)

# 161 (dist 35)
5,5,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,oc(160)
81,1,0,1,4,4,3,13,5,12,23,19,7,40,38,34,28,22,20,14,10,8,oc(162)

# 121 (dist 34)
15,3,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,oc(120)
61,1,1,1,5,6,9,10,4,15,3,30,24,20,18,14,8,2,0,61,61,61,oc(122)

# 91 (dist 33)
45,1,0,0,3,1,6,11,7,22,16,14,8,4,2,45,45,45,45,45,45,45,oc(90)
23,2,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23,oc(92)

# 137 (dist 32)
17,3,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,oc(136)
69,1,0,4,6,3,4,1,12,0,11,7,32,28,26,22,16,10,8,2,69,69,oc(138)

# 103 (dist 31)
