# Integer factorization table

n     - a positive integer
fact  - the prime factors of n, indented by distance from the nearest prime
rad   - the radical of n, the product of its unique prime factors
τ     - the number of divisors of n, τ(n)
σ     - the sum of divisors of n, σ(n)
φ     - the Euler totient of n, φ(n)
λ     - the Carmichael function of n, λ(n)
Dψ    - the Dedekind ψ(n) function
μ     - the Möbius function of n, which is 1 if n is a product of an even number of distinct primes, -1 if odd, and 0 if any prime is repeated
ω     - the number of distinct prime factors of n, ω(n)
Ω     - the total number of prime factors of n, counting multiplicity, Ω(n)
λ     - the Liouville function of n, λ(n) = (-1)^Ω(n)
M     - the Mertens function M(n)
Λ     - the von Mangoldt function of n, Λ(n)
m*    - the residues of n modulo a set of primes

```csv
    n, fact,                       rad,   τ,     σ,     φ,     λ,    Dψ,   μ,  ω,   Ω,   λ,    M,      Λ, m2, m3, m5, m7, m11, m13, m17
 1483, 1483,                      1483,   2,  1484,  1482,  1482,  1484,  -1,  1,   1,  -1,    3,  7.302,  1,  1,  3,  6,   9,   1,   4
 1484,  2²⋅7⋅53,                   742,  12,  3024,   624,   156,  2591,   0,  3,   4,   1,    3,  0.000,  0,  2,  4,  0,  10,   2,   5
 1485,   3³⋅5⋅11,                  165,  16,  2880,   720,   180,  2591,   0,  3,   5,  -1,    3,  0.000,  1,  0,  0,  1,   0,   3,   6
 1486,  2⋅743,                    1486,   4,  2232,   742,   742,  2232,   1,  2,   2,   1,    4,  0.000,  0,  1,  1,  2,   1,   4,   7
 1487, 1487,                      1487,   2,  1488,  1486,  1486,  1487,  -1,  1,   1,  -1,    3,  7.305,  1,  2,  2,  3,   2,   5,   8
 1488,  2⁴⋅3⋅31,                   186,  20,  3968,   480,    60,  3072,   0,  3,   6,   1,    3,  0.000,  0,  0,  3,  4,   3,   6,   9
 1489, 1489,                      1489,   2,  1490,  1488,  1488,  1490,  -1,  1,   1,  -1,    2,  7.306,  1,  1,  4,  5,   4,   7,  10
 1490,  2⋅5⋅149,                  1490,   8,  2700,   592,   148,  2700,  -1,  3,   3,  -1,    1,  0.000,  0,  2,  0,  6,   5,   8,  11
 1491,   3⋅7⋅71,                  1491,   8,  2304,   840,   210,  2304,  -1,  3,   3,  -1,    0,  0.000,  1,  0,  1,  0,   6,   9,  12
 1492,  2²⋅373,                    746,   6,  2618,   744,   372,  2244,   0,  2,   3,  -1,    0,  0.000,  0,  1,  2,  1,   7,  10,  13
 1493, 1493,                      1493,   2,  1494,  1492,  1492,  1494,  -1,  1,   1,  -1,   -1,  7.309,  1,  2,  3,  2,   8,  11,  14
 1494,  2⋅3²⋅83,                   498,  12,  3276,   492,   246,  3024,   0,  3,   4,   1,   -1,  0.000,  0,  0,  4,  3,   9,  12,  15
 1495,   5⋅13⋅23,                 1495,   8,  2016,  1056,   132,  2015,  -1,  3,   3,  -1,   -2,  0.000,  1,  1,  0,  4,  10,   0,  16
 1496,    2³⋅11⋅17,                374,  16,  3240,   640,    80,  2591,   0,  3,   5,  -1,   -2,  0.000,  0,  2,  1,  5,   0,   1,   0
 1497,   3⋅499,                   1497,   4,  2000,   996,   498,  1999,   1,  2,   2,   1,   -1,  0.000,  1,  0,  2,  6,   1,   2,   1
 1498,  2⋅7⋅107,                  1498,   8,  2592,   636,   318,  2591,  -1,  3,   3,  -1,   -2,  0.000,  0,  1,  3,  0,   2,   3,   2
 1499, 1499,                      1499,   2,  1500,  1498,  1498,  1500,  -1,  1,   1,  -1,   -3,  7.313,  1,  2,  4,  1,   3,   4,   3
 1500,  2²⋅3⋅5³,                    30,  24,  4368,   400,   100,  3600,   0,  3,   6,   1,   -3,  0.000,  0,  0,  0,  2,   4,   5,   4
 1501,   19⋅79,                   1501,   4,  1600,  1404,   234,  1600,   1,  2,   2,   1,   -2,  0.000,  1,  1,  1,  3,   5,   6,   5
 1502,    2⋅751,                  1502,   4,  2256,   750,   750,  2256,   1,  2,   2,   1,   -1,  0.000,  0,  2,  2,  4,   6,   7,   6
 1503,     3²⋅167,                 501,   6,  2184,   996,   498,  2015,   0,  2,   3,  -1,   -1,  0.000,  1,  0,  3,  5,   7,   8,   7
 1504,      2⁵⋅47,                  94,  12,  3024,   736,   184,  2304,   0,  2,   6,   1,   -1,  0.000,  0,  1,  4,  6,   8,   9,   8
 1505,       5⋅7⋅43,              1505,   8,  2112,  1008,    84,  2111,  -1,  3,   3,  -1,   -2,  0.000,  1,  2,  0,  0,   9,  10,   9
 1506,      2⋅3⋅251,              1506,   8,  3024,   500,   250,  3024,  -1,  3,   3,  -1,   -3,  0.000,  0,  0,  1,  1,  10,  11,  10
 1507,     11⋅137,                1507,   4,  1656,  1360,   680,  1656,   1,  2,   2,   1,   -2,  0.000,  1,  1,  2,  2,   0,  12,  11
 1508,    2²⋅13⋅29,                754,  12,  2940,   672,    84,  2520,   0,  3,   4,   1,   -2,  0.000,  0,  2,  3,  3,   1,   0,  12
 1509,   3⋅503,                   1509,   4,  2016,  1004,   502,  2015,   1,  2,   2,   1,   -1,  0.000,  1,  0,  4,  4,   2,   1,  13
 1510,  2⋅5⋅151,                  1510,   8,  2736,   600,   300,  2735,  -1,  3,   3,  -1,   -2,  0.000,  0,  1,  0,  5,   3,   2,  14
 1511, 1511,                      1511,   2,  1512,  1510,  1510,  1512,  -1,  1,   1,  -1,   -3,  7.321,  1,  2,  1,  6,   4,   3,  15
 1512,  2³⋅3³⋅7,                    42,  32,  4800,   432,    18,  3456,   0,  3,   7,  -1,   -3,  0.000,  0,  0,  2,  0,   5,   4,  16
 1513,   17⋅89,                   1513,   4,  1620,  1408,   176,  1620,   1,  2,   2,   1,   -2,  0.000,  1,  1,  3,  1,   6,   5,   0
 1514,    2⋅757,                  1514,   4,  2274,   756,   756,  2273,   1,  2,   2,   1,   -1,  0.000,  0,  2,  4,  2,   7,   6,   1
 1515,     3⋅5⋅101,               1515,   8,  2448,   800,   100,  2448,  -1,  3,   3,  -1,   -2,  0.000,  1,  0,  0,  3,   8,   7,   2
 1516,      2²⋅379,                758,   6,  2660,   756,   378,  2280,   0,  2,   3,  -1,   -2,  0.000,  0,  1,  1,  4,   9,   8,   3
 1517,       37⋅41,               1517,   4,  1596,  1440,   360,  1596,   1,  2,   2,   1,   -1,  0.000,  1,  2,  2,  5,  10,   9,   4
 1518,      2⋅3⋅11⋅23,            1518,  16,  3456,   440,   110,  3455,   1,  4,   4,   1,    0,  0.000,  0,  0,  3,  6,   0,  10,   5
 1519,     7²⋅31,                  217,   6,  1824,  1260,   210,  1792,   0,  2,   3,  -1,    0,  0.000,  1,  1,  4,  0,   1,  11,   6
 1520,    2⁴⋅5⋅19,                 190,  20,  3720,   576,    36,  2879,   0,  3,   6,   1,    0,  0.000,  0,  2,  0,  1,   2,  12,   7
 1521,   3²⋅13²,                    39,   9,  2379,   936,   156,  2183,   0,  2,   4,   1,    0,  0.000,  1,  0,  1,  2,   3,   0,   8
 1522,  2⋅761,                    1522,   4,  2286,   760,   760,  2285,   1,  2,   2,   1,    1,  0.000,  0,  1,  2,  3,   4,   1,   9
 1523, 1523,                      1523,   2,  1524,  1522,  1522,  1524,  -1,  1,   1,  -1,    0,  7.328,  1,  2,  3,  4,   5,   2,  10
 1524,  2²⋅3⋅127,                  762,  12,  3584,   504,   126,  3072,   0,  3,   4,   1,    0,  0.000,  0,  0,  4,  5,   6,   3,  11
 1525,   5²⋅61,                    305,   6,  1922,  1200,    60,  1860,   0,  2,   3,  -1,    0,  0.000,  1,  1,  0,  6,   7,   4,  12
 1526,    2⋅7⋅109,                1526,   8,  2640,   648,   108,  2639,  -1,  3,   3,  -1,   -1,  0.000,  0,  2,  1,  0,   8,   5,  13
 1527,     3⋅509,                 1527,   4,  2040,  1016,   508,  2039,   1,  2,   2,   1,    0,  0.000,  1,  0,  2,  1,   9,   6,  14
 1528,    2³⋅191,                  382,   8,  2880,   760,   190,  2303,   0,  2,   4,   1,    0,  0.000,  0,  1,  3,  2,  10,   7,  15
 1529,   11⋅139,                  1529,   4,  1680,  1380,   690,  1680,   1,  2,   2,   1,    1,  0.000,  1,  2,  4,  3,   0,   8,  16
 1530,  2⋅3²⋅5⋅17,                 510,  24,  4212,   384,    48,  3888,   0,  4,   5,  -1,    1,  0.000,  0,  0,  0,  4,   1,   9,   0
 1531, 1531,                      1531,   2,  1532,  1530,  1530,  1532,  -1,  1,   1,  -1,    0,  7.334,  1,  1,  1,  5,   2,  10,   1
 1532,  2²⋅383,                    766,   6,  2688,   764,   382,  2304,   0,  2,   3,  -1,    0,  0.000,  0,  2,  2,  6,   3,  11,   2
 1533,   3⋅7⋅73,                  1533,   8,  2368,   864,    72,  2368,  -1,  3,   3,  -1,   -1,  0.000,  1,  0,  3,  0,   4,  12,   3
 1534,    2⋅13⋅59,                1534,   8,  2520,   696,   348,  2520,  -1,  3,   3,  -1,   -2,  0.000,  0,  1,  4,  1,   5,   0,   4
 1535,     5⋅307,                 1535,   4,  1848,  1224,   612,  1848,   1,  2,   2,   1,   -1,  0.000,  1,  2,  0,  2,   6,   1,   5
 1536,      2⁹⋅3,                    6,  20,  4092,   512,   128,  3072,   0,  2,  10,   1,   -1,  0.000,  0,  0,  1,  3,   7,   2,   6
 1537,       29⋅53,               1537,   4,  1620,  1456,   364,  1620,   1,  2,   2,   1,    0,  0.000,  1,  1,  2,  4,   8,   3,   7
 1538,      2⋅769,                1538,   4,  2310,   768,   768,  2310,   1,  2,   2,   1,    1,  0.000,  0,  2,  3,  5,   9,   4,   8
 1539,     3⁴⋅19,                   57,  10,  2420,   972,    54,  2160,   0,  2,   5,  -1,    1,  0.000,  1,  0,  4,  6,  10,   5,   9
 1540,    2²⋅5⋅7⋅11,               770,  24,  4032,   480,    60,  3455,   0,  4,   5,  -1,    1,  0.000,  0,  1,  0,  0,   0,   6,  10
 1541,   23⋅67,                   1541,   4,  1632,  1452,    66,  1632,   1,  2,   2,   1,    2,  0.000,  1,  2,  1,  1,   1,   7,  11
 1542,  2⋅3⋅257,                  1542,   8,  3096,   512,   256,  3096,  -1,  3,   3,  -1,    1,  0.000,  0,  0,  2,  2,   2,   8,  12
 1543, 1543,                      1543,   2,  1544,  1542,  1542,  1544,  -1,  1,   1,  -1,    0,  7.341,  1,  1,  3,  3,   3,   9,  13
 1544,  2³⋅193,                    386,   8,  2910,   768,   192,  2328,   0,  2,   4,   1,    0,  0.000,  0,  2,  4,  4,   4,  10,  14
 1545,   3⋅5⋅103,                 1545,   8,  2496,   816,   204,  2496,  -1,  3,   3,  -1,   -1,  0.000,  1,  0,  0,  5,   5,  11,  15
 1546,    2⋅773,                  1546,   4,  2322,   772,   772,  2322,   1,  2,   2,   1,    0,  0.000,  0,  1,  1,  6,   6,  12,  16
 1547,   7⋅13⋅17,                 1547,   8,  2016,  1152,    48,  2015,  -1,  3,   3,  -1,   -1,  0.000,  1,  2,  2,  0,   7,   0,   0
 1548,  2²⋅3²⋅43,                  258,  18,  4004,   504,    42,  3168,   0,  3,   5,  -1,   -1,  0.000,  0,  0,  3,  1,   8,   1,   1
 1549, 1549,                      1549,   2,  1550,  1548,  1548,  1550,  -1,  1,   1,  -1,   -2,  7.345,  1,  1,  4,  2,   9,   2,   2
 1550,  2⋅5²⋅31,                   310,  12,  2976,   600,    60,  2880,   0,  3,   4,   1,   -2,  0.000,  0,  2,  0,  3,  10,   3,   3
 1551,   3⋅11⋅47,                 1551,   8,  2304,   920,   230,  2303,  -1,  3,   3,  -1,   -3,  0.000,  1,  0,  1,  4,   0,   4,   4
 1552,  2⁴⋅97,                     194,  10,  3038,   768,    96,  2352,   0,  2,   5,  -1,   -3,  0.000,  0,  1,  2,  5,   1,   5,   5
 1553, 1553,                      1553,   2,  1554,  1552,  1552,  1554,  -1,  1,   1,  -1,   -4,  7.348,  1,  2,  3,  6,   2,   6,   6
 1554,  2⋅3⋅7⋅37,                 1554,  16,  3648,   432,    36,  3647,   1,  4,   4,   1,   -3,  0.000,  0,  0,  4,  0,   3,   7,   7
 1555,   5⋅311,                   1555,   4,  1872,  1240,   620,  1871,   1,  2,   2,   1,   -2,  0.000,  1,  1,  0,  1,   4,   8,   8
 1556,    2²⋅389,                  778,   6,  2730,   776,   388,  2340,   0,  2,   3,  -1,   -2,  0.000,  0,  2,  1,  2,   5,   9,   9
 1557,   3²⋅173,                   519,   6,  2262,  1032,   516,  2088,   0,  2,   3,  -1,   -2,  0.000,  1,  0,  2,  3,   6,  10,  10
 1558,  2⋅19⋅41,                  1558,   8,  2520,   720,   360,  2520,  -1,  3,   3,  -1,   -3,  0.000,  0,  1,  3,  4,   7,  11,  11
 1559, 1559,                      1559,   2,  1560,  1558,  1558,  1559,  -1,  1,   1,  -1,   -4,  7.352,  1,  2,  4,  5,   8,  12,  12
 1560,  2³⋅3⋅5⋅13,                 390,  32,  5040,   384,    12,  4031,   0,  4,   6,   1,   -4,  0.000,  0,  0,  0,  6,   9,   0,  13
 1561,   7⋅223,                   1561,   4,  1792,  1332,   222,  1792,   1,  2,   2,   1,   -3,  0.000,  1,  1,  1,  0,  10,   1,  14
 1562,    2⋅11⋅71,                1562,   8,  2592,   700,    70,  2592,  -1,  3,   3,  -1,   -4,  0.000,  0,  2,  2,  1,   0,   2,  15
 1563,     3⋅521,                 1563,   4,  2088,  1040,   520,  2088,   1,  2,   2,   1,   -3,  0.000,  1,  0,  3,  2,   1,   3,  16
 1564,    2²⋅17⋅23,                782,  12,  3024,   704,   176,  2592,   0,  3,   4,   1,   -3,  0.000,  0,  1,  4,  3,   2,   4,   0
 1565,   5⋅313,                   1565,   4,  1884,  1248,   312,  1883,   1,  2,   2,   1,   -2,  0.000,  1,  2,  0,  4,   3,   5,   1
 1566,  2⋅3³⋅29,                   174,  16,  3600,   504,   252,  3240,   0,  3,   5,  -1,   -2,  0.000,  0,  0,  1,  5,   4,   6,   2
 1567, 1567,                      1567,   2,  1568,  1566,  1566,  1568,  -1,  1,   1,  -1,   -3,  7.357,  1,  1,  2,  6,   5,   7,   3
 1568,  2⁵⋅7²,                      14,  18,  3591,   672,   168,  2688,   0,  2,   7,  -1,   -3,  0.000,  0,  2,  3,  0,   6,   8,   4
 1569,   3⋅523,                   1569,   4,  2096,  1044,   522,  2096,   1,  2,   2,   1,   -2,  0.000,  1,  0,  4,  1,   7,   9,   5
 1570,  2⋅5⋅157,                  1570,   8,  2844,   624,   156,  2843,  -1,  3,   3,  -1,   -3,  0.000,  0,  1,  0,  2,   8,  10,   6
 1571, 1571,                      1571,   2,  1572,  1570,  1570,  1572,  -1,  1,   1,  -1,   -4,  7.359,  1,  2,  1,  3,   9,  11,   7
 1572,  2²⋅3⋅131,                  786,  12,  3696,   520,   130,  3167,   0,  3,   4,   1,   -4,  0.000,  0,  0,  2,  4,  10,  12,   8
 1573,   11²⋅13,                   143,   6,  1862,  1320,   660,  1848,   0,  2,   3,  -1,   -4,  0.000,  1,  1,  3,  5,   0,   0,   9
 1574,    2⋅787,                  1574,   4,  2364,   786,   786,  2364,   1,  2,   2,   1,   -3,  0.000,  0,  2,  4,  6,   1,   1,  10
 1575,     3²⋅5²⋅7,                105,  18,  3224,   720,    60,  2879,   0,  3,   5,  -1,   -3,  0.000,  1,  0,  0,  0,   2,   2,  11
 1576,    2³⋅197,                  394,   8,  2970,   784,   196,  2375,   0,  2,   4,   1,   -3,  0.000,  0,  1,  1,  1,   3,   3,  12
 1577,   19⋅83,                   1577,   4,  1680,  1476,   738,  1679,   1,  2,   2,   1,   -2,  0.000,  1,  2,  2,  2,   4,   4,  13
 1578,  2⋅3⋅263,                  1578,   8,  3168,   524,   262,  3167,  -1,  3,   3,  -1,   -3,  0.000,  0,  0,  3,  3,   5,   5,  14
 1579, 1579,                      1579,   2,  1580,  1578,  1578,  1580,  -1,  1,   1,  -1,   -4,  7.365,  1,  1,  4,  4,   6,   6,  15
 1580,  2²⋅5⋅79,                   790,  12,  3360,   624,   156,  2880,   0,  3,   4,   1,   -4,  0.000,  0,  2,  0,  5,   7,   7,  16
 1581,   3⋅17⋅31,                 1581,   8,  2304,   960,   240,  2303,  -1,  3,   3,  -1,   -5,  0.000,  1,  0,  1,  6,   8,   8,   0
 1582,  2⋅7⋅113,                  1582,   8,  2736,   672,   336,  2735,  -1,  3,   3,  -1,   -6,  0.000,  0,  1,  2,  0,   9,   9,   1
 1583, 1583,                      1583,   2,  1584,  1582,  1582,  1584,  -1,  1,   1,  -1,   -7,  7.367,  1,  2,  3,  1,  10,  10,   2
 1584,  2⁴⋅3²⋅11,                   66,  30,  4836,   480,    60,  3455,   0,  3,   7,  -1,   -7,  0.000,  0,  0,  4,  2,   0,  11,   3
 1585,   5⋅317,                   1585,   4,  1908,  1264,   316,  1908,   1,  2,   2,   1,   -6,  0.000,  1,  1,  0,  3,   1,  12,   4
 1586,    2⋅13⋅61,                1586,   8,  2604,   720,    60,  2604,  -1,  3,   3,  -1,   -7,  0.000,  0,  2,  1,  4,   2,   0,   5
 1587,     3⋅23²,                   69,   6,  2212,  1012,   506,  2208,   0,  2,   3,  -1,   -7,  0.000,  1,  0,  2,  5,   3,   1,   6
 1588,      2²⋅397,                794,   6,  2786,   792,   396,  2388,   0,  2,   3,  -1,   -7,  0.000,  0,  1,  3,  6,   4,   2,   7
 1589,       7⋅227,               1589,   4,  1824,  1356,   678,  1823,   1,  2,   2,   1,   -6,  0.000,  1,  2,  4,  0,   5,   3,   8
 1590,        2⋅3⋅5⋅53,           1590,  16,  3888,   416,    52,  3888,   1,  4,   4,   1,   -5,  0.000,  0,  0,  0,  1,   6,   4,   9
 1591,       37⋅43,               1591,   4,  1672,  1512,   252,  1672,   1,  2,   2,   1,   -4,  0.000,  1,  1,  1,  2,   7,   5,  10
 1592,      2³⋅199,                398,   8,  3000,   792,   198,  2400,   0,  2,   4,   1,   -4,  0.000,  0,  2,  2,  3,   8,   6,  11
 1593,     3³⋅59,                  177,   8,  2400,  1044,   522,  2160,   0,  2,   4,   1,   -4,  0.000,  1,  0,  3,  4,   9,   7,  12
 1594,    2⋅797,                  1594,   4,  2394,   796,   796,  2394,   1,  2,   2,   1,   -3,  0.000,  0,  1,  4,  5,  10,   8,  13
 1595,   5⋅11⋅29,                 1595,   8,  2160,  1120,   140,  2160,  -1,  3,   3,  -1,   -4,  0.000,  1,  2,  0,  6,   0,   9,  14
 1596,  2²⋅3⋅7⋅19,                 798,  24,  4480,   432,    18,  3840,   0,  4,   5,  -1,   -4,  0.000,  0,  0,  1,  0,   1,  10,  15
 1597, 1597,                      1597,   2,  1598,  1596,  1596,  1598,  -1,  1,   1,  -1,   -5,  7.376,  1,  1,  2,  1,   2,  11,  16
 1598,  2⋅17⋅47,                  1598,   8,  2592,   736,   368,  2592,  -1,  3,   3,  -1,   -6,  0.000,  0,  2,  3,  2,   3,  12,   0
 1599,   3⋅13⋅41,                 1599,   8,  2352,   960,   120,  2351,  -1,  3,   3,  -1,   -7,  0.000,  1,  0,  4,  3,   4,   0,   1
 1600,  2⁶⋅5²,                      10,  21,  3937,   640,    80,  2879,   0,  2,   8,   1,   -7,  0.000,  0,  1,  0,  4,   5,   1,   2
 1601, 1601,                      1601,   2,  1602,  1600,  1600,  1602,  -1,  1,   1,  -1,   -8,  7.378,  1,  2,  1,  5,   6,   2,   3
 1602,  2⋅3²⋅89,                   534,  12,  3510,   528,   264,  3240,   0,  3,   4,   1,   -8,  0.000,  0,  0,  2,  6,   7,   3,   4
 1603,   7⋅229,                   1603,   4,  1840,  1368,   228,  1839,   1,  2,   2,   1,   -7,  0.000,  1,  1,  3,  0,   8,   4,   5
 1604,    2²⋅401,                  802,   6,  2814,   800,   400,  2412,   0,  2,   3,  -1,   -7,  0.000,  0,  2,  4,  1,   9,   5,   6
 1605,   3⋅5⋅107,                 1605,   8,  2592,   848,   212,  2591,  -1,  3,   3,  -1,   -8,  0.000,  1,  0,  0,  2,  10,   6,   7
 1606,  2⋅11⋅73,                  1606,   8,  2664,   720,   360,  2664,  -1,  3,   3,  -1,   -9,  0.000,  0,  1,  1,  3,   0,   7,   8
 1607, 1607,                      1607,   2,  1608,  1606,  1606,  1608,  -1,  1,   1,  -1,  -10,  7.382,  1,  2,  2,  4,   1,   8,   9
 1608,  2³⋅3⋅67,                   402,  16,  4080,   528,    66,  3264,   0,  3,   5,  -1,  -10,  0.000,  0,  0,  3,  5,   2,   9,  10
 1609, 1609,                      1609,   2,  1610,  1608,  1608,  1610,  -1,  1,   1,  -1,  -11,  7.383,  1,  1,  4,  6,   3,  10,  11
 1610,  2⋅5⋅7⋅23,                 1610,  16,  3456,   528,   132,  3455,   1,  4,   4,   1,  -10,  0.000,  0,  2,  0,  0,   4,  11,  12
 1611,   3²⋅179,                   537,   6,  2340,  1068,   534,  2160,   0,  2,   3,  -1,  -10,  0.000,  1,  0,  1,  1,   5,  12,  13
 1612,  2²⋅13⋅31,                  806,  12,  3136,   720,    60,  2688,   0,  3,   4,   1,  -10,  0.000,  0,  1,  2,  2,   6,   0,  14
 1613, 1613,                      1613,   2,  1614,  1612,  1612,  1614,  -1,  1,   1,  -1,  -11,  7.386,  1,  2,  3,  3,   7,   1,  15
 1614,  2⋅3⋅269,                  1614,   8,  3240,   536,   268,  3239,  -1,  3,   3,  -1,  -12,  0.000,  0,  0,  4,  4,   8,   2,  16
 1615,   5⋅17⋅19,                 1615,   8,  2160,  1152,   144,  2160,  -1,  3,   3,  -1,  -13,  0.000,  1,  1,  0,  5,   9,   3,   0
 1616,    2⁴⋅101,                  202,  10,  3162,   800,   100,  2448,   0,  2,   5,  -1,  -13,  0.000,  0,  2,  1,  6,  10,   4,   1
 1617,   3⋅7²⋅11,                  231,  12,  2736,   840,   210,  2688,   0,  3,   4,   1,  -13,  0.000,  1,  0,  2,  0,   0,   5,   2
 1618,  2⋅809,                    1618,   4,  2430,   808,   808,  2430,   1,  2,   2,   1,  -12,  0.000,  0,  1,  3,  1,   1,   6,   3
 1619, 1619,                      1619,   2,  1620,  1618,  1618,  1619,  -1,  1,   1,  -1,  -13,  7.390,  1,  2,  4,  2,   2,   7,   4
 1620,  2²⋅3⁴⋅5,                    30,  30,  5082,   432,   108,  3888,   0,  3,   7,  -1,  -13,  0.000,  0,  0,  0,  3,   3,   8,   5
 1621, 1621,                      1621,   2,  1622,  1620,  1620,  1622,  -1,  1,   1,  -1,  -14,  7.391,  1,  1,  1,  4,   4,   9,   6
 1622,  2⋅811,                    1622,   4,  2436,   810,   810,  2436,   1,  2,   2,   1,  -13,  0.000,  0,  2,  2,  5,   5,  10,   7
 1623,   3⋅541,                   1623,   4,  2168,  1080,   540,  2168,   1,  2,   2,   1,  -12,  0.000,  1,  0,  3,  6,   6,  11,   8
 1624,    2³⋅7⋅29,                 406,  16,  3600,   672,    84,  2880,   0,  3,   5,  -1,  -12,  0.000,  0,  1,  4,  0,   7,  12,   9
 1625,   5³⋅13,                     65,   8,  2184,  1200,   300,  2099,   0,  2,   4,   1,  -12,  0.000,  1,  2,  0,  1,   8,   0,  10
 1626,  2⋅3⋅271,                  1626,   8,  3264,   540,   270,  3264,  -1,  3,   3,  -1,  -13,  0.000,  0,  0,  1,  2,   9,   1,  11
 1627, 1627,                      1627,   2,  1628,  1626,  1626,  1628,  -1,  1,   1,  -1,  -14,  7.394,  1,  1,  2,  3,  10,   2,  12
 1628,  2²⋅11⋅37,                  814,  12,  3192,   720,   180,  2735,   0,  3,   4,   1,  -14,  0.000,  0,  2,  3,  4,   0,   3,  13
 1629,   3²⋅181,                   543,   6,  2366,  1080,   180,  2184,   0,  2,   3,  -1,  -14,  0.000,  1,  0,  4,  5,   1,   4,  14
 1630,    2⋅5⋅163,                1630,   8,  2952,   648,   324,  2951,  -1,  3,   3,  -1,  -15,  0.000,  0,  1,  0,  6,   2,   5,  15
 1631,     7⋅233,                 1631,   4,  1872,  1392,   696,  1872,   1,  2,   2,   1,  -14,  0.000,  1,  2,  1,  0,   3,   6,  16
 1632,      2⁵⋅3⋅17,               102,  24,  4536,   512,    16,  3456,   0,  3,   7,  -1,  -14,  0.000,  0,  0,  2,  1,   4,   7,   0
 1633,     23⋅71,                 1633,   4,  1728,  1540,   770,  1727,   1,  2,   2,   1,  -13,  0.000,  1,  1,  3,  2,   5,   8,   1
 1634,    2⋅19⋅43,                1634,   8,  2640,   756,   126,  2640,  -1,  3,   3,  -1,  -14,  0.000,  0,  2,  4,  3,   6,   9,   2
 1635,   3⋅5⋅109,                 1635,   8,  2640,   864,   108,  2640,  -1,  3,   3,  -1,  -15,  0.000,  1,  0,  0,  4,   7,  10,   3
 1636,  2²⋅409,                    818,   6,  2870,   816,   408,  2460,   0,  2,   3,  -1,  -15,  0.000,  0,  1,  1,  5,   8,  11,   4
 1637, 1637,                      1637,   2,  1638,  1636,  1636,  1637,  -1,  1,   1,  -1,  -16,  7.401,  1,  2,  2,  6,   9,  12,   5
 1638,  2⋅3²⋅7⋅13,                 546,  24,  4368,   432,    12,  4031,   0,  4,   5,  -1,  -16,  0.000,  0,  0,  3,  0,  10,   0,   6
 1639,   11⋅149,                  1639,   4,  1800,  1480,   740,  1800,   1,  2,   2,   1,  -15,  0.000,  1,  1,  4,  1,   0,   1,   7
 1640,    2³⋅5⋅41,                 410,  16,  3780,   640,    40,  3024,   0,  3,   5,  -1,  -15,  0.000,  0,  2,  0,  2,   1,   2,   8
 1641,     3⋅547,                 1641,   4,  2192,  1092,   546,  2191,   1,  2,   2,   1,  -14,  0.000,  1,  0,  1,  3,   2,   3,   9
 1642,      2⋅821,                1642,   4,  2466,   820,   820,  2466,   1,  2,   2,   1,  -13,  0.000,  0,  1,  2,  4,   3,   4,  10
 1643,       31⋅53,               1643,   4,  1728,  1560,   780,  1727,   1,  2,   2,   1,  -12,  0.000,  1,  2,  3,  5,   4,   5,  11
 1644,        2²⋅3⋅137,            822,  12,  3864,   544,   136,  3312,   0,  3,   4,   1,  -12,  0.000,  0,  0,  4,  6,   5,   6,  12
 1645,         5⋅7⋅47,            1645,   8,  2304,  1104,   276,  2303,  -1,  3,   3,  -1,  -13,  0.000,  1,  1,  0,  0,   6,   7,  13
 1646,          2⋅823,            1646,   4,  2472,   822,   822,  2472,   1,  2,   2,   1,  -12,  0.000,  0,  2,  1,  1,   7,   8,  14
 1647,           3³⋅61,            183,   8,  2480,  1080,   180,  2232,   0,  2,   4,   1,  -12,  0.000,  1,  0,  2,  2,   8,   9,  15
 1648,          2⁴⋅103,            206,  10,  3224,   816,   204,  2496,   0,  2,   5,  -1,  -12,  0.000,  0,  1,  3,  3,   9,  10,  16
 1649,         17⋅97,             1649,   4,  1764,  1536,    96,  1764,   1,  2,   2,   1,  -11,  0.000,  1,  2,  4,  4,  10,  11,   0
 1650,        2⋅3⋅5²⋅11,           330,  24,  4464,   400,    20,  4319,   0,  4,   5,  -1,  -11,  0.000,  0,  0,  0,  5,   0,  12,   1
 1651,       13⋅127,              1651,   4,  1792,  1512,   252,  1791,   1,  2,   2,   1,  -10,  0.000,  1,  1,  1,  6,   1,   0,   2
 1652,      2²⋅7⋅59,               826,  12,  3360,   696,   174,  2879,   0,  3,   4,   1,  -10,  0.000,  0,  2,  2,  0,   2,   1,   3
 1653,     3⋅19⋅29,               1653,   8,  2400,  1008,   252,  2400,  -1,  3,   3,  -1,  -11,  0.000,  1,  0,  3,  1,   3,   2,   4
 1654,    2⋅827,                  1654,   4,  2484,   826,   826,  2484,   1,  2,   2,   1,  -10,  0.000,  0,  1,  4,  2,   4,   3,   5
 1655,   5⋅331,                   1655,   4,  1992,  1320,   660,  1992,   1,  2,   2,   1,   -9,  0.000,  1,  2,  0,  3,   5,   4,   6
 1656,  2³⋅3²⋅23,                  138,  24,  4680,   528,    66,  3456,   0,  3,   6,   1,   -9,  0.000,  0,  0,  1,  4,   6,   5,   7
