# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance
#
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `n`       a positive odd integer
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `base2`   the binary representation of n
# `factors` the prime factors of n

dist,     n,        nl,        nr,           base2, factors
  49,  8657,   (541 4),  (4329 1),  10000111010001, {11 787}
  49,  8665,  (1083 3),  (4333 1),  10000111011001, {5 1733}
  49,  8669,  (2167 2),  (4335 1),  10000111011101, {8669}
  49,  8673,   (271 5),  (4337 1),  10000111100001, {3 7 59}
  49,  8693,  (2173 2),  (4347 1),  10000111110101, {8693}
  49,  8707,  (4353 1),  (2177 2),  10001000000011, {8707}
  49,  8709,  (2177 2),  (4355 1),  10001000000101, {3 2903}
  49,  8713,  (1089 3),  (4357 1),  10001000001001, {8713}
  49,  8715,  (4357 1),  (2179 2),  10001000001011, {3 5 7 83}
  49,  8723,  (4361 1),  (2181 2),  10001000010011, {11 13 61}
  49,  8727,  (4363 1),  (1091 3),  10001000010111, {3 2909}
  49,  8729,  (1091 3),  (4365 1),  10001000011001, {7 29 43}
  49,  8733,  (2183 2),  (4367 1),  10001000011101, {3 41 71}
  49,  8735,  (4367 1),   (273 5),  10001000011111, {5 1747}
  49,  8737,   (273 5),  (4369 1),  10001000100001, {8737}
  49,  8769,   (137 6),  (4385 1),  10001001000001, {3 37 79}
  49,  8771,  (4385 1),  (2193 2),  10001001000011, {7 179}
  49,  8773,  (2193 2),  (4387 1),  10001001000101, {31 283}
  49,  8775,  (4387 1),  (1097 3),  10001001000111, {3 5 13}
  49,  8777,  (1097 3),  (4389 1),  10001001001001, {67 131}
  49,  8779,  (4389 1),  (2195 2),  10001001001011, {8779}
  49,  8781,  (2195 2),  (4391 1),  10001001001101, {3 2927}
  49,  8785,   (549 4),  (4393 1),  10001001010001, {5 7 251}
  49,  8787,  (4393 1),  (2197 2),  10001001010011, {3 29 101}
  49,  8803,  (4401 1),  (2201 2),  10001001100011, {8803}
  49,  8805,  (2201 2),  (4403 1),  10001001100101, {3 5 587}
  49,  8825,  (1103 3),  (4413 1),  10001001111001, {5 353}
  49,  8841,  (1105 3),  (4421 1),  10001010001001, {3 7 421}
  49,  8853,  (2213 2),  (4427 1),  10001010010101, {3 13 227}
  49,  8867,  (4433 1),  (2217 2),  10001010100011, {8867}
  49,  8901,  (2225 2),  (4451 1),  10001011000101, {3 23 43}
  49,  8909,  (2227 2),  (4455 1),  10001011001101, {59 151}
  49,  8921,  (1115 3),  (4461 1),  10001011011001, {11 811}
  49,  8933,  (2233 2),  (4467 1),  10001011100101, {8933}
  49,  8951,  (4475 1),  (1119 3),  10001011110111, {8951}
  49,  8953,  (1119 3),  (4477 1),  10001011111001, {7 1279}
  49,  8957,  (2239 2),  (4479 1),  10001011111101, {13 53}
  49,  8967,  (4483 1),  (1121 3),  10001100000111, {3 7 61}
  49,  8971,  (4485 1),  (2243 2),  10001100001011, {8971}
  49,  8991,  (4495 1),   (281 5),  10001100011111, {3 37}
  49,  9001,  (1125 3),  (4501 1),  10001100101001, {9001}
  49,  9021,  (2255 2),  (4511 1),  10001100111101, {3 31 97}
  49,  9089,    (71 7),  (4545 1),  10001110000001, {61 149}
  49,  9091,  (4545 1),  (2273 2),  10001110000011, {9091}
  49,  9093,  (2273 2),  (4547 1),  10001110000101, {3 7 433}
  49,  9095,  (4547 1),  (1137 3),  10001110000111, {5 17 107}
  49,  9263,  (4631 1),   (579 4),  10010000101111, {59 157}
  50,   731,   (365 1),   (183 2),      1011011011, {17 43}
  50,   737,    (23 5),   (369 1),      1011100001, {11 67}
  50,   751,   (375 1),    (47 4),      1011101111, {751}
  50,  1441,    (45 5),   (721 1),     10110100001, {11 131}
  50,  1449,   (181 3),   (725 1),     10110101001, {3 7 23}
  50,  1451,   (725 1),   (363 2),     10110101011, {1451}
  50,  1455,   (727 1),    (91 4),     10110101111, {3 5 97}
  50,  1463,   (731 1),   (183 3),     10110110111, {7 11 19}
  50,  1467,   (733 1),   (367 2),     10110111011, {3 163}
  50,  1475,   (737 1),   (369 2),     10111000011, {5 59}
  50,  1483,   (741 1),   (371 2),     10111001011, {1483}
  50,  1503,   (751 1),    (47 5),     10111011111, {3 167}
  50,  1515,   (757 1),   (379 2),     10111101011, {3 5 101}
  50,  2883,  (1441 1),   (721 2),    101101000011, {3 31}
  50,  2889,   (361 3),  (1445 1),    101101001001, {3 107}
  50,  2897,   (181 4),  (1449 1),    101101010001, {2897}
  50,  2899,  (1449 1),   (725 2),    101101010011, {13 223}
  50,  2903,  (1451 1),   (363 3),    101101010111, {2903}
  50,  2907,  (1453 1),   (727 2),    101101011011, {3 17 19}
  50,  2911,  (1455 1),    (91 5),    101101011111, {41 71}
  50,  2923,  (1461 1),   (731 2),    101101101011, {37 79}
  50,  2925,   (731 2),  (1463 1),    101101101101, {3 5 13}
  50,  2935,  (1467 1),   (367 3),    101101110111, {5 587}
  50,  2949,   (737 2),  (1475 1),    101110000101, {3 983}
  50,  2955,  (1477 1),   (739 2),    101110001011, {3 5 197}
  50,  2967,  (1483 1),   (371 3),    101110010111, {3 23 43}
  50,  2969,   (371 3),  (1485 1),    101110011001, {2969}
  50,  2977,    (93 5),  (1489 1),    101110100001, {13 229}
  50,  2983,  (1491 1),   (373 3),    101110100111, {19 157}
  50,  2985,   (373 3),  (1493 1),    101110101001, {3 5 199}
  50,  3005,   (751 2),  (1503 1),    101110111101, {5 601}
  50,  3031,  (1515 1),   (379 3),    101111010111, {7 433}
  50,  5765,  (1441 2),  (2883 1),   1011010000101, {5 1153}
  50,  5771,  (2885 1),  (1443 2),   1011010001011, {29 199}
  50,  5777,   (361 4),  (2889 1),   1011010010001, {53 109}
  50,  5779,  (2889 1),  (1445 2),   1011010010011, {5779}
  50,  5795,  (2897 1),  (1449 2),   1011010100011, {5 19 61}
  50,  5797,  (1449 2),  (2899 1),   1011010100101, {11 17 31}
  50,  5805,  (1451 2),  (2903 1),   1011010101101, {3 5 43}
  50,  5815,  (2907 1),   (727 3),   1011010110111, {5 1163}
  50,  5817,   (727 3),  (2909 1),   1011010111001, {3 7 277}
  50,  5819,  (2909 1),  (1455 2),   1011010111011, {11 23}
  50,  5821,  (1455 2),  (2911 1),   1011010111101, {5821}
  50,  5823,  (2911 1),    (91 6),   1011010111111, {3 647}
  50,  5847,  (2923 1),   (731 3),   1011011010111, {3 1949}
  50,  5849,   (731 3),  (2925 1),   1011011011001, {5849}
  50,  5851,  (2925 1),  (1463 2),   1011011011011, {5851}
  50,  5853,  (1463 2),  (2927 1),   1011011011101, {3 1951}
  50,  5857,   (183 5),  (2929 1),   1011011100001, {5857}
  50,  5869,  (1467 2),  (2935 1),   1011011101101, {5869}
  50,  5883,  (2941 1),  (1471 2),   1011011111011, {3 37 53}
  50,  5901,  (1475 2),  (2951 1),   1011100001101, {3 7 281}
  50,  5905,   (369 4),  (2953 1),   1011100010001, {5 1181}
  50,  5911,  (2955 1),   (739 3),   1011100010111, {23 257}
  50,  5933,  (1483 2),  (2967 1),   1011100101101, {17 349}
  50,  5937,   (371 4),  (2969 1),   1011100110001, {3 1979}
  50,  5939,  (2969 1),  (1485 2),   1011100110011, {5939}
  50,  5947,  (2973 1),  (1487 2),   1011100111011, {19 313}
  50,  5955,  (2977 1),  (1489 2),   1011101000011, {3 5 397}
  50,  5967,  (2983 1),   (373 4),   1011101001111, {3 13 17}
  50,  5971,  (2985 1),  (1493 2),   1011101010011, {7 853}
  50,  6013,  (1503 2),  (3007 1),   1011101111101, {7 859}
  50,  6059,  (3029 1),  (1515 2),   1011110101011, {73 83}
  50,  6061,  (1515 2),  (3031 1),   1011110101101, {11 19 29}
  50,  6063,  (3031 1),   (379 4),   1011110101111, {3 43 47}
  50,  6175,  (3087 1),   (193 5),   1100000011111, {5 13 19}
  51,   487,   (243 1),    (61 3),       111100111, {487}
  51,   491,   (245 1),   (123 2),       111101011, {491}
  51,   967,   (483 1),   (121 3),      1111000111, {967}
  51,   975,   (487 1),    (61 4),      1111001111, {3 5 13}
