# Odd core environment

This is a list of the first 5000 integers in consecutive order. For every integer n:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- ternary and binary representations of the oc are given.
- residues of oc modulo a set of small primes then follow (`m3`, `m5`, etc).

oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31
1,6,0,1,1,1,1,1,1,1,1,1,1,1,1
65,0,8,2102,1000001,2,0,2,10,0,14,8,19,7,3
33,1,8,1020,100001,0,3,5,0,7,16,14,10,4,2
67,0,8,2111,1000011,1,2,4,1,2,16,10,21,9,5
17,2,3,122,10001,2,2,3,6,4,0,17,17,17,17
69,0,3,2120,1000101,0,4,6,3,4,1,12,0,11,7
35,1,3,1022,100011,2,0,0,2,9,1,16,12,6,4
71,0,37,2122,1000111,2,1,1,5,6,3,14,2,13,9
9,3,6,100,1001,0,4,2,9,9,9,9,9,9,9
73,0,42,2201,1001001,1,3,3,7,8,5,16,4,15,11
37,1,6,1101,100101,1,2,2,4,11,3,18,14,8,6
75,0,3,2210,1001011,0,0,5,9,10,7,18,6,17,13
19,2,6,201,10011,1,4,5,8,6,2,0,19,19,19
77,0,6,2212,1001101,2,2,0,0,12,9,1,8,19,15
39,1,11,1110,100111,0,4,4,6,0,5,1,16,10,8
79,0,11,2221,1001111,1,4,2,2,1,11,3,10,21,17
5,4,1,12,101,2,0,5,5,5,5,5,5,5,5
81,0,6,10000,1010001,0,1,4,4,3,13,5,12,23,19
41,1,40,1112,101001,2,1,6,8,2,7,3,18,12,10
83,0,40,10002,1010011,2,3,6,6,5,15,7,14,25,21
21,2,1,210,10101,0,1,0,10,8,4,2,21,21,21
85,0,1,10011,1010101,1,0,1,8,7,0,9,16,27,23
43,1,9,1121,101011,1,3,1,10,4,9,5,20,14,12
87,0,9,10020,1010111,0,2,3,10,9,2,11,18,0,25
11,3,4,102,1011,2,1,4,0,11,11,11,11,11,11
89,0,9,10022,1011001,2,4,5,1,11,4,13,20,2,27
45,1,4,1200,101101,0,0,3,1,6,11,7,22,16,14
91,0,33,10101,1011011,1,1,0,3,0,6,15,22,4,29
23,2,4,212,10111,2,3,2,1,10,6,4,0,23,23
93,0,4,10110,1011101,0,3,2,5,2,8,17,1,6,0
47,1,38,1202,101111,2,2,5,3,8,13,9,1,18,16
95,0,38,10112,1011111,2,0,4,7,4,10,0,3,8,2
3,5,2,10,11,0,3,3,3,3,3,3,3,3,3
97,0,43,10121,1100001,1,2,6,9,6,12,2,5,10,4
49,1,7,1211,110001,1,4,0,5,10,15,11,3,20,18
99,0,7,10200,1100011,0,4,1,0,8,14,4,7,12,6
25,2,7,221,11001,1,0,4,3,12,8,6,2,25,25
101,0,7,10202,1100101,2,1,3,2,10,16,6,9,14,8
51,1,7,1220,110011,0,1,2,7,12,0,13,5,22,20
103,0,31,10211,1100111,1,3,5,4,12,1,8,11,16,10
13,3,2,111,1101,1,3,6,2,0,13,13,13,13,13
105,0,12,10220,1101001,0,0,0,6,1,3,10,13,18,12
53,1,2,1222,110101,2,3,4,9,1,2,15,7,24,22
107,0,36,10222,1101011,2,2,2,8,3,5,12,15,20,14
27,2,41,1000,11011,0,2,6,5,1,10,8,4,27,27
109,0,41,11001,1101101,1,4,4,10,5,7,14,17,22,16
55,1,41,2001,110111,1,0,6,0,3,4,17,9,26,24
111,0,24,11010,1101111,0,1,6,1,7,9,16,19,24,18
7,4,5,21,111,1,2,0,7,7,7,7,7,7,7
113,0,2,11012,1110001,2,3,1,3,9,11,18,21,26,20
57,1,10,2010,111001,0,2,1,2,5,6,0,11,28,26
115,0,10,11021,1110011,1,0,3,5,11,13,1,0,28,22
29,2,5,1002,11101,2,4,1,7,3,12,10,6,0,29
117,0,5,11100,1110101,0,2,5,7,0,15,3,2,1,24
59,1,10,2012,111011,2,4,3,4,7,8,2,13,1,28
119,0,10,11102,1110111,2,4,0,9,2,0,5,4,3,26
15,3,5,120,1111,0,0,1,4,2,15,15,15,15,15
121,0,34,11111,1111001,1,1,2,0,4,2,7,6,5,28
61,1,5,2021,111101,1,1,5,6,9,10,4,15,3,30
123,0,15,11120,1111011,0,3,4,2,6,4,9,8,7,30
31,2,39,1011,11111,1,1,3,9,5,14,12,8,2,0
125,0,39,11122,1111101,2,0,6,4,8,6,11,10,9,1
63,1,39,2100,111111,0,3,0,8,11,12,6,17,5,1
127,0,15,11201,1111111,1,2,1,6,10,8,13,12,11,3
1,7,0,1,1,1,1,1,1,1,1,1,1,1,1
129,0,44,11210,10000001,0,4,3,8,12,10,15,14,13,5
65,1,8,2102,1000001,2,0,2,10,0,14,8,19,7,3
131,0,8,11212,10000011,2,1,5,10,1,12,17,16,15,7
33,2,8,1020,100001,0,3,5,0,7,16,14,10,4,2
133,0,8,11221,10000101,1,3,0,1,3,14,0,18,17,9
67,1,8,2111,1000011,1,2,4,1,2,16,10,21,9,5
135,0,13,12000,10000111,0,0,2,3,5,16,2,20,19,11
17,3,3,122,10001,2,2,3,6,4,0,17,17,17,17
137,0,32,12002,10001001,2,2,4,5,7,1,4,22,21,13
69,1,3,2120,1000101,0,4,6,3,4,1,12,0,11,7
139,0,13,12011,10001011,1,4,6,7,9,3,6,1,23,15
35,2,3,1022,100011,2,0,0,2,9,1,16,12,6,4
141,0,3,12020,10001101,0,1,1,9,11,5,8,3,25,17
71,1,37,2122,1000111,2,1,1,5,6,3,14,2,13,9
143,0,37,12022,10001111,2,3,3,0,0,7,10,5,27,19
9,4,6,100,1001,0,4,2,9,9,9,9,9,9,9
145,0,42,12101,10010001,1,0,5,2,2,9,12,7,0,21
73,1,42,2201,1001001,1,3,3,7,8,5,16,4,15,11
147,0,42,12110,10010011,0,2,0,4,4,11,14,9,2,23
37,2,6,1101,100101,1,2,2,4,11,3,18,14,8,6
149,0,6,12112,10010101,2,4,2,6,6,13,16,11,4,25
75,1,3,2210,1001011,0,0,5,9,10,7,18,6,17,13
151,0,3,12121,10010111,1,1,4,8,8,15,18,13,6,27
19,3,6,201,10011,1,4,5,8,6,2,0,19,19,19
153,0,11,12200,10011001,0,3,6,10,10,0,1,15,8,29
77,1,6,2212,1001101,2,2,0,0,12,9,1,8,19,15
155,0,30,12202,10011011,2,0,1,1,12,2,3,17,10,0
39,2,11,1110,100111,0,4,4,6,0,5,1,16,10,8
157,0,11,12211,10011101,1,2,3,3,1,4,5,19,12,2
79,1,11,2221,1001111,1,4,2,2,1,11,3,10,21,17
159,0,18,12220,10011111,0,4,5,5,3,6,7,21,14,4
5,5,1,12,101,2,0,5,5,5,5,5,5,5,5
161,0,35,12222,10100001,2,1,0,7,5,8,9,0,16,6
81,1,6,10000,1010001,0,1,4,4,3,13,5,12,23,19
163,0,6,20001,10100011,1,3,2,9,7,10,11,2,18,8
41,2,40,1112,101001,2,1,6,8,2,7,3,18,12,10
165,0,40,20010,10100101,0,0,4,0,9,12,13,4,20,10
83,1,40,10002,1010011,2,3,6,6,5,15,7,14,25,21
167,0,23,20012,10100111,2,2,6,2,11,14,15,6,22,12
21,3,1,210,10101,0,1,0,10,8,4,2,21,21,21
169,0,16,20021,10101001,1,4,1,4,0,16,17,8,24,14
85,1,1,10011,1010101,1,0,1,8,7,0,9,16,27,23
171,0,45,20100,10101011,0,1,3,6,2,1,0,10,26,16
43,2,9,1121,101011,1,3,1,10,4,9,5,20,14,12
173,0,9,20102,10101101,2,3,5,8,4,3,2,12,28,18
87,1,9,10020,1010111,0,2,3,10,9,2,11,18,0,25
175,0,28,20111,10101111,1,0,0,10,6,5,4,14,1,20
11,4,4,102,1011,2,1,4,0,11,11,11,11,11,11
177,0,9,20120,10110001,0,2,2,1,8,7,6,16,3,22
89,1,9,10022,1011001,2,4,5,1,11,4,13,20,2,27
179,0,9,20122,10110011,2,4,4,3,10,9,8,18,5,24
45,2,4,1200,101101,0,0,3,1,6,11,7,22,16,14
181,0,4,20201,10110101,1,1,6,5,12,11,10,20,7,26
91,1,33,10101,1011011,1,1,0,3,0,6,15,22,4,29
183,0,33,20210,10110111,0,3,1,7,1,13,12,22,9,28
23,3,4,212,10111,2,3,2,1,10,6,4,0,23,23
185,0,14,20212,10111001,2,0,3,9,3,15,14,1,11,30
93,1,4,10110,1011101,0,3,2,5,2,8,17,1,6,0
187,0,14,20221,10111011,1,2,5,0,5,0,16,3,13,1
47,2,38,1202,101111,2,2,5,3,8,13,9,1,18,16
189,0,38,21000,10111101,0,4,0,2,7,2,18,5,15,3
95,1,38,10112,1011111,2,0,4,7,4,10,0,3,8,2
191,0,14,21002,10111111,2,1,2,4,9,4,1,7,17,5
3,6,2,10,11,0,3,3,3,3,3,3,3,3,3
193,0,43,21011,11000001,1,3,4,6,11,6,3,9,19,7
97,1,43,10121,1100001,1,2,6,9,6,12,2,5,10,4
195,0,43,21020,11000011,0,0,6,8,0,8,5,11,21,9
49,2,7,1211,110001,1,4,0,5,10,15,11,3,20,18
197,0,7,21022,11000101,2,2,1,10,2,10,7,13,23,11
99,1,7,10200,1100011,0,4,1,0,8,14,4,7,12,6
199,0,43,21101,11000111,1,4,3,1,4,12,9,15,25,13
25,3,7,221,11001,1,0,4,3,12,8,6,2,25,25
201,0,4,21110,11001001,0,1,5,3,6,14,11,17,27,15
101,1,7,10202,1100101,2,1,3,2,10,16,6,9,14,8
203,0,12,21112,11001011,2,3,0,5,8,16,13,19,0,17
51,2,7,1220,110011,0,1,2,7,12,0,13,5,22,20
205,0,7,21121,11001101,1,0,2,7,10,1,15,21,2,19
103,1,31,10211,1100111,1,3,5,4,12,1,8,11,16,10
207,0,31,21200,11001111,0,2,4,9,12,3,17,0,4,21
13,4,2,111,1101,1,3,6,2,0,13,13,13,13,13
209,0,12,21202,11010001,2,4,6,0,1,5,0,2,6,23
105,1,12,10220,1101001,0,0,0,6,1,3,10,13,18,12
211,0,12,21211,11010011,1,1,1,2,3,7,2,4,8,25
53,2,2,1222,110101,2,3,4,9,1,2,15,7,24,22
213,0,2,21220,11010101,0,3,3,4,5,9,4,6,10,27
107,1,36,10222,1101011,2,2,2,8,3,5,12,15,20,14
215,0,36,21222,11010111,2,0,5,6,7,11,6,8,12,29
27,3,41,1000,11011,0,2,6,5,1,10,8,4,27,27
217,0,7,22001,11011001,1,2,0,8,9,13,8,10,14,0
109,1,41,11001,1101101,1,4,4,10,5,7,14,17,22,16
219,0,17,22010,11011011,0,4,2,10,11,15,10,12,16,2
55,2,41,2001,110111,1,0,6,0,3,4,17,9,26,24
221,0,41,22012,11011101,2,1,4,1,0,0,12,14,18,4
111,1,24,11010,1101111,0,1,6,1,7,9,16,19,24,18
223,0,24,22021,11011111,1,3,6,3,2,2,14,16,20,6
7,5,5,21,111,1,2,0,7,7,7,7,7,7,7
225,0,17,22100,11100001,0,0,1,5,4,4,16,18,22,8
113,1,2,11012,1110001,2,3,1,3,9,11,18,21,26,20
227,0,2,22102,11100011,2,2,3,7,6,6,18,20,24,10
57,2,10,2010,111001,0,2,1,2,5,6,0,11,28,26
229,0,10,22111,11100101,1,4,5,9,8,8,1,22,26,12
115,1,10,11021,1110011,1,0,3,5,11,13,1,0,28,22
231,0,46,22120,11100111,0,1,0,0,10,10,3,1,28,14
29,3,5,1002,11101,2,4,1,7,3,12,10,6,0,29
233,0,29,22122,11101001,2,3,2,2,12,12,5,3,1,16
117,1,5,11100,1110101,0,2,5,7,0,15,3,2,1,24
235,0,46,22201,11101011,1,0,4,4,1,14,7,5,3,18
59,2,10,2012,111011,2,4,3,4,7,8,2,13,1,28
237,0,10,22210,11101101,0,2,6,6,3,16,9,7,5,20
119,1,10,11102,1110111,2,4,0,9,2,0,5,4,3,26
239,0,17,22212,11101111,2,4,1,8,5,1,11,9,7,22
15,4,5,120,1111,0,0,1,4,2,15,15,15,15,15
241,0,5,22221,11110001,1,1,3,10,7,3,13,11,9,24
121,1,34,11111,1111001,1,1,2,0,4,2,7,6,5,28
243,0,34,100000,11110011,0,3,5,1,9,5,15,13,11,26
61,2,5,2021,111101,1,1,5,6,9,10,4,15,3,30
245,0,5,100002,11110101,2,0,0,3,11,7,17,15,13,28
123,1,15,11120,1111011,0,3,4,2,6,4,9,8,7,30
247,0,15,100011,11110111,1,2,2,5,0,9,0,17,15,30
31,3,39,1011,11111,1,1,3,9,5,14,12,8,2,0
249,0,15,100020,11111001,0,4,4,7,2,11,2,19,17,1
125,1,39,11122,1111101,2,0,6,4,8,6,11,10,9,1
251,0,22,100022,11111011,2,1,6,9,4,13,4,21,19,3
63,2,39,2100,111111,0,3,0,8,11,12,6,17,5,1
253,0,39,100101,11111101,1,3,1,0,6,15,6,0,21,5
127,1,15,11201,1111111,1,2,1,6,10,8,13,12,11,3
255,0,15,100110,11111111,0,0,3,2,8,0,8,2,23,7
1,8,0,1,1,1,1,1,1,1,1,1,1,1,1
257,0,44,100112,100000001,2,2,5,4,10,2,10,4,25,9
129,1,44,11210,10000001,0,4,3,8,12,10,15,14,13,5
259,0,44,100121,100000011,1,4,0,6,12,4,12,6,27,11
65,2,8,2102,1000001,2,0,2,10,0,14,8,19,7,3
261,0,8,100200,100000101,0,1,2,8,1,6,14,8,0,13
131,1,8,11212,10000011,2,1,5,10,1,12,17,16,15,7
263,0,27,100202,100000111,2,3,4,10,3,8,16,10,2,15
33,3,8,1020,100001,0,3,5,0,7,16,14,10,4,2
265,0,44,100211,100001001,1,0,6,1,5,10,18,12,4,17
133,1,8,11221,10000101,1,3,0,1,3,14,0,18,17,9
267,0,5,100220,100001011,0,2,1,3,7,12,1,14,6,19
67,2,8,2111,1000011,1,2,4,1,2,16,10,21,9,5
269,0,8,100222,100001101,2,4,3,5,9,14,3,16,8,21
135,1,13,12000,10000111,0,0,2,3,5,16,2,20,19,11
271,0,13,101001,100001111,1,1,5,7,11,16,5,18,10,23
17,4,3,122,10001,2,2,3,6,4,0,17,17,17,17
273,0,8,101010,100010001,0,3,0,9,0,1,7,20,12,25
137,1,32,12002,10001001,2,2,4,5,7,1,4,22,21,13
275,0,32,101012,100010011,2,0,2,0,2,3,9,22,14,27
69,2,3,2120,1000101,0,4,6,3,4,1,12,0,11,7
277,0,3,101021,100010101,1,2,4,2,4,5,11,1,16,29
139,1,13,12011,10001011,1,4,6,7,9,3,6,1,23,15
279,0,13,101100,100010111,0,4,6,4,6,7,13,3,18,0
35,3,3,1022,100011,2,0,0,2,9,1,16,12,6,4
281,0,13,101102,100011001,2,1,1,6,8,9,15,5,20,2
141,1,3,12020,10001101,0,1,1,9,11,5,8,3,25,17
283,0,20,101111,100011011,1,3,3,8,10,11,17,7,22,4
71,2,37,2122,1000111,2,1,1,5,6,3,14,2,13,9
285,0,37,101120,100011101,0,0,5,10,12,13,0,9,24,6
143,1,37,12022,10001111,2,3,3,0,0,7,10,5,27,19
287,0,13,101122,100011111,2,2,0,1,1,15,2,11,26,8
9,5,6,100,1001,0,4,2,9,9,9,9,9,9,9
289,0,8,101201,100100001,1,4,2,3,3,0,4,13,28,10
145,1,42,12101,10010001,1,0,5,2,2,9,12,7,0,21
291,0,42,101210,100100011,0,1,4,5,5,2,6,15,1,12
73,2,42,2201,1001001,1,3,3,7,8,5,16,4,15,11
293,0,42,101212,100100101,2,3,6,7,7,4,8,17,3,14
147,1,42,12110,10010011,0,2,0,4,4,11,14,9,2,23
295,0,18,101221,100100111,1,0,1,9,9,6,10,19,5,16
37,3,6,1101,100101,1,2,2,4,11,3,18,14,8,6
297,0,25,102000,100101001,0,2,3,0,11,8,12,21,7,18
149,1,6,12112,10010101,2,4,2,6,6,13,16,11,4,25
299,0,42,102002,100101011,2,4,5,2,0,10,14,0,9,20
75,2,3,2210,1001011,0,0,5,9,10,7,18,6,17,13
301,0,3,102011,100101101,1,1,0,4,2,12,16,2,11,22
151,1,3,12121,10010111,1,1,4,8,8,15,18,13,6,27
303,0,13,102020,100101111,0,3,2,6,4,14,18,4,13,24
19,4,6,201,10011,1,4,5,8,6,2,0,19,19,19
305,0,11,102022,100110001,2,0,4,8,6,16,1,6,15,26
153,1,11,12200,10011001,0,3,6,10,10,0,1,15,8,29
307,0,11,102101,100110011,1,2,6,10,8,1,3,8,17,28
77,2,6,2212,1001101,2,2,0,0,12,9,1,8,19,15
309,0,6,102110,100110101,0,4,1,1,10,3,5,10,19,30
155,1,30,12202,10011011,2,0,1,1,12,2,3,17,10,0
311,0,30,102112,100110111,2,1,3,3,12,5,7,12,21,1
39,3,11,1110,100111,0,4,4,6,0,5,1,16,10,8
313,0,47,102121,100111001,1,3,5,5,1,7,9,14,23,3
157,1,11,12211,10011101,1,2,3,3,1,4,5,19,12,2
315,0,11,102200,100111011,0,0,0,7,3,9,11,16,25,5
79,2,11,2221,1001111,1,4,2,2,1,11,3,10,21,17
317,0,11,102202,100111101,2,2,2,9,5,11,13,18,27,7
159,1,18,12220,10011111,0,4,5,5,3,6,7,21,14,4
319,0,18,102211,100111111,1,4,4,0,7,13,15,20,0,9
5,6,1,12,101,2,0,5,5,5,5,5,5,5,5
321,0,6,102220,101000001,0,1,6,2,9,15,17,22,2,11
161,1,35,12222,10100001,2,1,0,7,5,8,9,0,16,6
323,0,35,102222,101000011,2,3,1,4,11,0,0,1,4,13
81,2,6,10000,1010001,0,1,4,4,3,13,5,12,23,19
325,0,6,110001,101000101,1,0,3,6,0,2,2,3,6,15
163,1,6,20001,10100011,1,3,2,9,7,10,11,2,18,8
327,0,52,110010,101000111,0,2,5,8,2,4,4,5,8,17
41,3,40,1112,101001,2,1,6,8,2,7,3,18,12,10
329,0,16,110012,101001001,2,4,0,10,4,6,6,7,10,19
165,1,40,20010,10100101,0,0,4,0,9,12,13,4,20,10
331,0,6,110021,101001011,1,1,2,1,6,8,8,9,12,21
83,2,40,10002,1010011,2,3,6,6,5,15,7,14,25,21
333,0,40,110100,101001101,0,3,4,3,8,10,10,11,14,23
167,1,23,20012,10100111,2,2,6,2,11,14,15,6,22,12
335,0,23,110102,101001111,2,0,6,5,10,12,12,13,16,25
21,4,1,210,10101,0,1,0,10,8,4,2,21,21,21
337,0,40,110111,101010001,1,2,1,7,12,14,14,15,18,27
169,1,16,20021,10101001,1,4,1,4,0,16,17,8,24,14
339,0,16,110120,101010011,0,4,3,9,1,16,16,17,20,29
85,2,1,10011,1010101,1,0,1,8,7,0,9,16,27,23
341,0,1,110122,101010101,2,1,5,0,3,1,18,19,22,0
171,1,45,20100,10101011,0,1,3,6,2,1,0,10,26,16
343,0,45,110201,101010111,1,3,0,2,5,3,1,21,24,2
43,3,9,1121,101011,1,3,1,10,4,9,5,20,14,12
345,0,45,110210,101011001,0,0,2,4,7,5,3,0,26,4
173,1,9,20102,10101101,2,3,5,8,4,3,2,12,28,18
347,0,45,110212,101011011,2,2,4,6,9,7,5,2,28,6
87,2,9,10020,1010111,0,2,3,10,9,2,11,18,0,25
349,0,9,110221,101011101,1,4,6,8,11,9,7,4,1,8
175,1,28,20111,10101111,1,0,0,10,6,5,4,14,1,20
351,0,28,111000,101011111,0,1,1,10,0,11,9,6,3,10
11,5,4,102,1011,2,1,4,0,11,11,11,11,11,11
353,0,45,111002,101100001,2,3,3,1,2,13,11,8,5,12
177,1,9,20120,10110001,0,2,2,1,8,7,6,16,3,22
355,0,9,111011,101100011,1,0,5,3,4,15,13,10,7,14
89,2,9,10022,1011001,2,4,5,1,11,4,13,20,2,27
357,0,9,111020,101100101,0,2,0,5,6,0,15,12,9,16
179,1,9,20122,10110011,2,4,4,3,10,9,8,18,5,24
359,0,16,111022,101100111,2,4,2,7,8,2,17,14,11,18
45,3,4,1200,101101,0,0,3,1,6,11,7,22,16,14
361,0,14,111101,101101001,1,1,4,9,10,4,0,16,13,20
181,1,4,20201,10110101,1,1,6,5,12,11,10,20,7,26
363,0,14,111110,101101011,0,3,6,0,12,6,2,18,15,22
91,2,33,10101,1011011,1,1,0,3,0,6,15,22,4,29
365,0,33,111112,101101101,2,0,1,2,1,8,4,20,17,24
183,1,33,20210,10110111,0,3,1,7,1,13,12,22,9,28
367,0,14,111121,101101111,1,2,3,4,3,10,6,22,19,26
23,4,4,212,10111,2,3,2,1,10,6,4,0,23,23
369,0,4,111200,101110001,0,4,5,6,5,12,8,1,21,28
185,1,14,20212,10111001,2,0,3,9,3,15,14,1,11,30
371,0,14,111202,101110011,2,1,0,8,7,14,10,3,23,30
93,2,4,10110,1011101,0,3,2,5,2,8,17,1,6,0
373,0,4,111211,101110101,1,3,2,10,9,16,12,5,25,1
187,1,14,20221,10111011,1,2,5,0,5,0,16,3,13,1
375,0,14,111220,101110111,0,0,4,1,11,1,14,7,27,3
47,3,38,1202,101111,2,2,5,3,8,13,9,1,18,16
377,0,21,111222,101111001,2,2,6,3,0,3,16,9,0,5
189,1,38,21000,10111101,0,4,0,2,7,2,18,5,15,3
379,0,19,112001,101111011,1,4,1,5,2,5,18,11,2,7
95,2,38,10112,1011111,2,0,4,7,4,10,0,3,8,2
381,0,38,112010,101111101,0,1,3,7,4,7,1,13,4,9
191,1,14,21002,10111111,2,1,2,4,9,4,1,7,17,5
383,0,14,112012,101111111,2,3,5,9,6,9,3,15,6,11
3,7,2,10,11,0,3,3,3,3,3,3,3,3,3
385,0,9,112021,110000001,1,0,0,0,8,11,5,17,8,13
193,1,43,21011,11000001,1,3,4,6,11,6,3,9,19,7
387,0,43,112100,110000011,0,2,2,2,10,13,7,19,10,15
97,2,43,10121,1100001,1,2,6,9,6,12,2,5,10,4
389,0,43,112102,110000101,2,4,4,4,12,15,9,21,12,17
195,1,43,21020,11000011,0,0,6,8,0,8,5,11,21,9
391,0,43,112111,110000111,1,1,6,6,1,0,11,0,14,19
49,3,7,1211,110001,1,4,0,5,10,15,11,3,20,18
393,0,19,112120,110001001,0,3,1,8,3,2,13,2,16,21
197,1,7,21022,11000101,2,2,1,10,2,10,7,13,23,11
395,0,26,112122,110001011,2,0,3,10,5,4,15,4,18,23
99,2,7,10200,1100011,0,4,1,0,8,14,4,7,12,6
397,0,7,112201,110001101,1,2,5,1,7,6,17,6,20,25
199,1,43,21101,11000111,1,4,3,1,4,12,9,15,25,13
399,0,43,112210,110001111,0,4,0,3,9,8,0,8,22,27
25,4,7,221,11001,1,0,4,3,12,8,6,2,25,25
401,0,4,112212,110010001,2,1,2,5,11,10,2,10,24,29
201,1,4,21110,11001001,0,1,5,3,6,14,11,17,27,15
403,0,4,112221,110010011,1,3,4,7,0,12,4,12,26,0
101,2,7,10202,1100101,2,1,3,2,10,16,6,9,14,8
405,0,7,120000,110010101,0,0,6,9,2,14,6,14,28,2
203,1,12,21112,11001011,2,3,0,5,8,16,13,19,0,17
407,0,12,120002,110010111,2,2,1,0,4,16,8,16,1,4
51,3,7,1220,110011,0,1,2,7,12,0,13,5,22,20
409,0,12,120011,110011001,1,4,3,2,6,1,10,18,3,6
205,1,7,21121,11001101,1,0,2,7,10,1,15,21,2,19
411,0,48,120020,110011011,0,1,5,4,8,3,12,20,5,8
103,2,31,10211,1100111,1,3,5,4,12,1,8,11,16,10
413,0,31,120022,110011101,2,3,0,6,10,5,14,22,7,10
207,1,31,21200,11001111,0,2,4,9,12,3,17,0,4,21
415,0,48,120101,110011111,1,0,2,8,12,7,16,1,9,12
13,5,2,111,1101,1,3,6,2,0,13,13,13,13,13
