# Goldbach partions

Every Goldbach pair represents a prime symmetry around n/2.

`n`       a positive integer
`factors` the prime factors of n
`gbpairs` the Goldbach prime pairs that sum to n, if n is even and greater than 4

```csv
n,     factors,    gbpairs
295,   5⋅59,       
296,   2³⋅37,      3+293 13+283 19+277 67+229 73+223 97+199 103+193 139+157
297,   3³⋅11,      
298,   2⋅149,      5+293 17+281 29+269 41+257 47+251 59+239 71+227 101+197 107+191 131+167 149+149
299,   13⋅23,      
300,   2²⋅3⋅5²,    7+293 17+283 19+281 23+277 29+271 31+269 37+263 43+257 59+241 61+239 67+233 71+229 73+227 89+211 101+199 103+197 107+193 109+191 127+173 137+163 149+151
301,   7⋅43,       
302,   2⋅151,      19+283 31+271 61+241 73+229 79+223 103+199 109+193 139+163 151+151
303,   3⋅101,      
304,   2⁴⋅19,      11+293 23+281 41+263 47+257 53+251 71+233 107+197 113+191 131+173 137+167
305,   5⋅61,       
306,   2⋅3²⋅17,    13+293 23+283 29+277 37+269 43+263 67+239 73+233 79+227 83+223 107+199 109+197 113+193 127+179 139+167 149+157
307,   307,        
308,   2²⋅7⋅11,    31+277 37+271 67+241 79+229 97+211 109+199 127+181 151+157
309,   3⋅103,      
310,   2⋅5⋅31,     3+307 17+293 29+281 41+269 47+263 53+257 59+251 71+239 83+227 113+197 131+179 137+173
311,   311,        
312,   2³⋅3⋅13,    5+307 19+293 29+283 31+281 41+271 43+269 61+251 71+241 73+239 79+233 83+229 89+223 101+211 113+199 131+181 139+173 149+163
313,   313,        
314,   2⋅157,      3+311 7+307 31+283 37+277 43+271 73+241 103+211 151+163 157+157
315,   3²⋅5⋅7,     
316,   2²⋅79,      3+313 5+311 23+293 47+269 53+263 59+257 83+233 89+227 137+179 149+167
317,   317,        
318,   2⋅3⋅53,     5+313 7+311 11+307 37+281 41+277 47+271 61+257 67+251 79+239 89+229 107+211 127+191 137+181 139+179 151+167
319,   11⋅29,      
320,   2⁶⋅5,       3+317 7+313 13+307 37+283 43+277 79+241 97+223 109+211 127+193 139+181 157+163
321,   3⋅107,      
322,   2⋅7⋅23,     5+317 11+311 29+293 41+281 53+269 59+263 71+251 83+239 89+233 131+191 149+173
323,   17⋅19,      
324,   2²⋅3⁴,      7+317 11+313 13+311 17+307 31+293 41+283 43+281 47+277 53+271 61+263 67+257 73+251 83+241 97+227 101+223 113+211 127+197 131+193 151+173 157+167
325,   5²⋅13,      
326,   2⋅163,      13+313 19+307 43+283 97+229 103+223 127+199 163+163
327,   3⋅109,      
