# Stopping distance group fractal

Every row here will terminate in 6 steps. This is every number under 10000 with that stopping distance.
Note they largely diverge then largely converge again.
Also note the shameless self-similar hierarchy that appears in the binary digits when sorted.

`nl` is the 2-adic odd core/valuation of n's even neighbor to the left
`nr` is the 2-adic odd core/valuation of n's even neighbor to the right

   n,         nl,        nr,  dist,           binary,  hey_look_a_fractal,   factors,       orbit
2349,   (587 2), (1175 1),    42,   100100101101,    █░░█░░█░██░█,  {3 29},       2349 ->881 ->661 ->31 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
2357,   (589 2), (1179 1),    42,   100100110101,    █░░█░░██░█░█,  {2357},       2357 ->221 ->83 ->125 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
2369,    (37 6), (1185 1),    42,   100101000001,    █░░█░█░░░░░█,  {23 103},     2369 ->1777 ->1333 ->125 ->47 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
2391,  (1195 1),  (299 3),    42,   100101010111,    █░░█░█░█░███,  {3 797},      2391 ->3587 ->5381 ->1009 ->757 ->71 ->107 ->161 ->121 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
2397,   (599 2), (1199 1),    42,   100101011101,    █░░█░█░███░█,  {3 17 47},    2397 ->899 ->1349 ->253 ->95 ->143 ->215 ->323 ->485 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
2409,   (301 3), (1205 1),    42,   100101101001,    █░░█░██░█░░█,  {3 11 73},    2409 ->1807 ->2711 ->4067 ->6101 ->143 ->215 ->323 ->485 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
2415,  (1207 1),  (151 4),    42,   100101101111,    █░░█░██░████,  {3 5 7 23},   2415 ->3623 ->5435 ->8153 ->6115 ->9173 ->215 ->323 ->485 ->91 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
2427,  (1213 1),  (607 2),    42,   100101111011,    █░░█░████░██,  {3 809},      2427 ->3641 ->2731 ->4097 ->3073 ->2305 ->1729 ->1297 ->973 ->365 ->137 ->103 ->155 ->233 ->175 ->263 ->395 ->593 ->445 ->167 ->251 ->377 ->283 ->425 ->319 ->479 ->719 ->1079 ->1619 ->2429 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
2473,   (309 3), (1237 1),    42,   100110101001,    █░░██░█░█░░█,  {2473},       2473 ->1855 ->2783 ->4175 ->6263 ->9395 ->14093 ->5285 ->991 ->1487 ->2231 ->3347 ->5021 ->1883 ->2825 ->2119 ->3179 ->4769 ->3577 ->2683 ->4025 ->3019 ->4529 ->3397 ->637 ->239 ->359 ->539 ->809 ->607 ->911 ->1367 ->2051 ->3077 ->577 ->433 ->325 ->61 ->23 ->35 ->53 ->5 ->1
4431,  (2215 1),  (277 4),    42,  1000101001111,   █░░░█░█░░████,  {3 7 211},    4431 ->6647 ->9971 ->14957 ->5609 ->4207 ->6311 ->9467 ->14201 ->10651 ->15977 ->11983 ->17975 ->26963 ->40445 ->15167 ->22751 ->34127 ->51191 ->76787 ->115181 ->43193 ->32395 ->48593 ->36445 ->13667 ->20501 ->961 ->721 ->541 ->203 ->305 ->229 ->43 ->65 ->49 ->37 ->7 ->11 ->17 ->13 ->5 ->1
4575,  (2287 1),  (143 5),    42,  1000111011111,   █░░░███░█████,  {3 5 61},     4575 ->6863 ->10295 ->15443 ->23165 ->8687 ->13031 ->19547 ->29321 ->21991 ->32987 ->49481 ->37111 ->55667 ->83501 ->31313 ->23485 ->8807 ->13211 ->19817 ->14863 ->22295 ->33443 ->50165 ->4703 ->7055 ->10583 ->15875 ->23813 ->4465 ->3349 ->157 ->59 ->89 ->67 ->101 ->19 ->29 ->11 ->17 ->13 ->5 ->1
4587,  (2293 1), (1147 2),    42,  1000111101011,   █░░░████░█░██,  {3 11 139},   4587 ->6881 ->5161 ->3871 ->5807 ->8711 ->13067 ->19601 ->14701 ->5513 ->4135 ->6203 ->9305 ->6979 ->10469 ->1963 ->2945 ->2209 ->1657 ->1243 ->1865 ->1399 ->2099 ->3149 ->1181 ->443 ->665 ->499 ->749 ->281 ->211 ->317 ->119 ->179 ->269 ->101 ->19 ->29 ->11 ->17 ->13 ->5 ->1
