# Odd number information

# `n`       a positive odd integer
# `base3`   the ternary representation of n
# `base2`   the binary representation of n
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `m*`      the prime residues of n modulo a set of primes
# `factors` the prime factors of n

   n,    base3,       base2, dist,       nl,       nr, m3, m5, m7, m11, m13, m17, factors
 263,   100202,   100000111,   27,  (131 1),   (33 3), 2,  3,  4,  10,  3,   8,   {263}
 265,   100211,   100001001,   44,   (33 3),  (133 1), 1,  0,  6,  1,   5,   10,  {5 53}
 267,   100220,   100001011,    5,  (133 1),   (67 2), 0,  2,  1,  3,   7,   12,  {3 89}
 269,   100222,   100001101,    8,   (67 2),  (135 1), 2,  4,  3,  5,   9,   14,  {269}
 271,   101001,   100001111,   13,  (135 1),   (17 4), 1,  1,  5,  7,   11,  16,  {271}
 273,   101010,   100010001,    8,   (17 4),  (137 1), 0,  3,  0,  9,   0,   1,   {3 7 13}
 275,   101012,   100010011,   32,  (137 1),   (69 2), 2,  0,  2,  0,   2,   3,   {5 11}
 277,   101021,   100010101,    3,   (69 2),  (139 1), 1,  2,  4,  2,   4,   5,   {277}
 279,   101100,   100010111,   13,  (139 1),   (35 3), 0,  4,  6,  4,   6,   7,   {3 31}
 281,   101102,   100011001,   13,   (35 3),  (141 1), 2,  1,  1,  6,   8,   9,   {281}
 283,   101111,   100011011,   20,  (141 1),   (71 2), 1,  3,  3,  8,   10,  11,  {283}
 285,   101120,   100011101,   37,   (71 2),  (143 1), 0,  0,  5,  10,  12,  13,  {3 5 19}
 287,   101122,   100011111,   13,  (143 1),    (9 5), 2,  2,  0,  1,   1,   15,  {7 41}
 289,   101201,   100100001,    8,    (9 5),  (145 1), 1,  4,  2,  3,   3,   0,   {17}
 291,   101210,   100100011,   42,  (145 1),   (73 2), 0,  1,  4,  5,   5,   2,   {3 97}
 293,   101212,   100100101,   42,   (73 2),  (147 1), 2,  3,  6,  7,   7,   4,   {293}
 295,   101221,   100100111,   18,  (147 1),   (37 3), 1,  0,  1,  9,   9,   6,   {5 59}
 297,   102000,   100101001,   25,   (37 3),  (149 1), 0,  2,  3,  0,   11,  8,   {3 11}
 299,   102002,   100101011,   42,  (149 1),   (75 2), 2,  4,  5,  2,   0,   10,  {13 23}
 301,   102011,   100101101,    3,   (75 2),  (151 1), 1,  1,  0,  4,   2,   12,  {7 43}
 303,   102020,   100101111,   13,  (151 1),   (19 4), 0,  3,  2,  6,   4,   14,  {3 101}
 305,   102022,   100110001,   11,   (19 4),  (153 1), 2,  0,  4,  8,   6,   16,  {5 61}
 307,   102101,   100110011,   11,  (153 1),   (77 2), 1,  2,  6,  10,  8,   1,   {307}
 309,   102110,   100110101,    6,   (77 2),  (155 1), 0,  4,  1,  1,   10,  3,   {3 103}
 311,   102112,   100110111,   30,  (155 1),   (39 3), 2,  1,  3,  3,   12,  5,   {311}
 313,   102121,   100111001,   47,   (39 3),  (157 1), 1,  3,  5,  5,   1,   7,   {313}
 315,   102200,   100111011,   11,  (157 1),   (79 2), 0,  0,  0,  7,   3,   9,   {3 5 7}
 317,   102202,   100111101,   11,   (79 2),  (159 1), 2,  2,  2,  9,   5,   11,  {317}
 319,   102211,   100111111,   18,  (159 1),    (5 6), 1,  4,  4,  0,   7,   13,  {11 29}
 321,   102220,   101000001,    6,    (5 6),  (161 1), 0,  1,  6,  2,   9,   15,  {3 107}
 323,   102222,   101000011,   35,  (161 1),   (81 2), 2,  3,  1,  4,   11,  0,   {17 19}
 325,   110001,   101000101,    6,   (81 2),  (163 1), 1,  0,  3,  6,   0,   2,   {5 13}
 327,   110010,   101000111,   52,  (163 1),   (41 3), 0,  2,  5,  8,   2,   4,   {3 109}
 329,   110012,   101001001,   16,   (41 3),  (165 1), 2,  4,  0,  10,  4,   6,   {7 47}
 331,   110021,   101001011,    6,  (165 1),   (83 2), 1,  1,  2,  1,   6,   8,   {331}
 333,   110100,   101001101,   40,   (83 2),  (167 1), 0,  3,  4,  3,   8,   10,  {3 37}
 335,   110102,   101001111,   23,  (167 1),   (21 4), 2,  0,  6,  5,   10,  12,  {5 67}
 337,   110111,   101010001,   40,   (21 4),  (169 1), 1,  2,  1,  7,   12,  14,  {337}
 339,   110120,   101010011,   16,  (169 1),   (85 2), 0,  4,  3,  9,   1,   16,  {3 113}
 341,   110122,   101010101,    1,   (85 2),  (171 1), 2,  1,  5,  0,   3,   1,   {11 31}
 343,   110201,   101010111,   45,  (171 1),   (43 3), 1,  3,  0,  2,   5,   3,   {7}
 345,   110210,   101011001,   45,   (43 3),  (173 1), 0,  0,  2,  4,   7,   5,   {3 5 23}
 347,   110212,   101011011,   45,  (173 1),   (87 2), 2,  2,  4,  6,   9,   7,   {347}
 349,   110221,   101011101,    9,   (87 2),  (175 1), 1,  4,  6,  8,   11,  9,   {349}
 351,   111000,   101011111,   28,  (175 1),   (11 5), 0,  1,  1,  10,  0,   11,  {3 13}
 353,   111002,   101100001,   45,   (11 5),  (177 1), 2,  3,  3,  1,   2,   13,  {353}
 355,   111011,   101100011,    9,  (177 1),   (89 2), 1,  0,  5,  3,   4,   15,  {5 71}
 357,   111020,   101100101,    9,   (89 2),  (179 1), 0,  2,  0,  5,   6,   0,   {3 7 17}
 359,   111022,   101100111,   16,  (179 1),   (45 3), 2,  4,  2,  7,   8,   2,   {359}
 361,   111101,   101101001,   14,   (45 3),  (181 1), 1,  1,  4,  9,   10,  4,   {19}
 363,   111110,   101101011,   14,  (181 1),   (91 2), 0,  3,  6,  0,   12,  6,   {3 11}
 365,   111112,   101101101,   33,   (91 2),  (183 1), 2,  0,  1,  2,   1,   8,   {5 73}
 367,   111121,   101101111,   14,  (183 1),   (23 4), 1,  2,  3,  4,   3,   10,  {367}
 369,   111200,   101110001,    4,   (23 4),  (185 1), 0,  4,  5,  6,   5,   12,  {3 41}
 371,   111202,   101110011,   14,  (185 1),   (93 2), 2,  1,  0,  8,   7,   14,  {7 53}
 373,   111211,   101110101,    4,   (93 2),  (187 1), 1,  3,  2,  10,  9,   16,  {373}
 375,   111220,   101110111,   14,  (187 1),   (47 3), 0,  0,  4,  1,   11,  1,   {3 5}
 377,   111222,   101111001,   21,   (47 3),  (189 1), 2,  2,  6,  3,   0,   3,   {13 29}
 379,   112001,   101111011,   19,  (189 1),   (95 2), 1,  4,  1,  5,   2,   5,   {379}
 381,   112010,   101111101,   38,   (95 2),  (191 1), 0,  1,  3,  7,   4,   7,   {3 127}
 383,   112012,   101111111,   14,  (191 1),    (3 7), 2,  3,  5,  9,   6,   9,   {383}
 385,   112021,   110000001,    9,    (3 7),  (193 1), 1,  0,  0,  0,   8,   11,  {5 7 11}
 387,   112100,   110000011,   43,  (193 1),   (97 2), 0,  2,  2,  2,   10,  13,  {3 43}
 389,   112102,   110000101,   43,   (97 2),  (195 1), 2,  4,  4,  4,   12,  15,  {389}
